================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 21
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 12:55:11
  remove_target  : 26763
  accum_removed  : 27065
  selected_channels : 105
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1456468
  model_sparsity : 33.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       21    65.6%
  features.2                 96          0       70    72.9%
  features.3                144          2       70    48.6%
  features.4                144          1       76    52.8%
  features.5                192          2      112    58.3%
  features.6                192          4      120    62.5%
  features.7                192          1      115    59.9%
  features.8                384          8      230    59.9%
  features.9                384          7      224    58.3%
  features.10               384         11      216    56.2%
  features.11               384          5      226    58.9%
  features.12               576          9      264    45.8%
  features.13               576          1      116    20.1%
  features.14               576          9      293    50.9%
  features.15               960         18      608    63.3%
  features.16               960          7      262    27.3%
  features.17               960         19      253    26.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                 26          1       3.8%
  features.3                 76          1       1.3%
  features.4                 69          1       1.4%
  features.5                 82          1       1.2%
  features.6                 76          1       1.3%
  features.7                 78          1       1.3%
  features.8                162          1       0.6%
  features.9                167          1       0.6%
  features.10               179          1       0.6%
  features.11               163          1       0.6%
  features.12               321          2       0.6%
  features.13               461          3       0.7%
  features.14               292          2       0.7%
  features.15               370          2       0.5%
  features.16               705          4       0.6%
  features.17               726          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 11채널 제거
  features.11: 5채널 제거
  features.12: 9채널 제거
  features.13: 1채널 제거
  features.14: 9채널 제거
  features.15: 18채널 제거
  features.16: 7채널 제거
  features.17: 19채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 2채널 제거
  features.6: 4채널 제거
  features.7: 1채널 제거
  features.8: 8채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.1                         2    -0.090909 2.747742e-06 7.979710e-03   0.9091   0.0000       25
features.8                       114    -0.075776 9.177409e-07 1.861616e-06   0.9814   0.0248      137
features.7                        43    -0.070130 4.174389e-06 5.720043e-06   0.7013   0.0000      105
features.14                      392    -0.067010 2.814608e-06 6.399126e-07   0.8247   0.0172      265
features.6                       122    -0.064000 1.411693e-07 5.263811e-06   0.7600   0.0133       73
features.10                      210    -0.062360 2.570761e-07 5.073654e-07   0.7753   0.0169      137
features.15                      492    -0.060434 5.040441e-07 5.913450e-07   0.7751   0.0190      329
features.14                      188    -0.054296 5.736846e-06 7.203727e-07   0.9759   0.0481      265
features.11                      302    -0.053086 7.806211e-07 4.577018e-06   0.7531   0.0247      169
features.17                      306    -0.051724 2.867755e-07 7.496403e-09   0.6166   0.0110      489
features.15                      260    -0.051491 2.278115e-06 6.842753e-07   0.9783   0.0515      329
features.9                        65    -0.047590 1.487617e-07 6.375037e-07   0.5301   0.0060      137
features.15                       38    -0.046883 7.233168e-07 6.730870e-07   0.8591   0.0434      329
features.10                       73    -0.046629 2.327580e-07 5.155331e-07   0.7697   0.0337      137
features.8                       148    -0.045342 1.082559e-07 1.303048e-06   0.4534   0.0000      137
features.10                       89    -0.043820 1.075639e-07 5.056628e-07   0.4888   0.0056      137
features.15                      406    -0.042818 3.052231e-07 6.247676e-07   0.6477   0.0244      329
features.10                      308    -0.041573 8.389576e-08 4.929686e-07   0.4157   0.0000      137
features.15                      661    -0.041463 5.145454e-07 6.641431e-07   0.7805   0.0407      329
features.9                       117    -0.040361 1.008419e-07 6.346565e-07   0.4036   0.0000      137
features.6                        63    -0.040000 8.826860e-08 5.512954e-06   0.6400   0.0267       73
features.5                       119    -0.039506 1.471417e-07 6.194392e-06   0.7284   0.0370       73
features.11                      305    -0.038889 4.416774e-07 4.558930e-06   0.5556   0.0185      169
features.9                       199    -0.038554 1.583192e-07 7.789253e-07   0.5482   0.0181      137
features.17                       79    -0.038345 5.943976e-07 1.032535e-08   0.8676   0.0538      489
features.14                       51    -0.032646 1.032194e-06 5.890014e-07   0.3883   0.0069      265
features.10                      341    -0.032584 1.064760e-06 5.619731e-07   0.9831   0.0730      137
