================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 25
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 13:17:19
  remove_target  : 24170
  accum_removed  : 24394
  selected_channels : 106
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1355417
  model_sparsity : 38.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          2       75    78.1%
  features.3                144          3       79    54.9%
  features.4                144          2       84    58.3%
  features.5                192          3      123    64.1%
  features.6                192          4      134    69.8%
  features.7                192          4      131    68.2%
  features.8                384          7      248    64.6%
  features.9                384          9      250    65.1%
  features.10               384          8      252    65.6%
  features.11               384          5      250    65.1%
  features.12               576          8      295    51.2%
  features.13               576          6      126    21.9%
  features.14               576         12      339    58.9%
  features.15               960         12      660    68.8%
  features.16               960          8      301    31.4%
  features.17               960         13      316    32.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 23          1       4.3%
  features.3                 68          1       1.5%
  features.4                 62          1       1.6%
  features.5                 72          1       1.4%
  features.6                 62          1       1.6%
  features.7                 65          1       1.5%
  features.8                143          1       0.7%
  features.9                143          1       0.7%
  features.10               140          1       0.7%
  features.11               139          1       0.7%
  features.12               289          2       0.7%
  features.13               456          3       0.7%
  features.14               249          2       0.8%
  features.15               312          2       0.6%
  features.16               667          4       0.6%
  features.17               657          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 5채널 제거
  features.12: 8채널 제거
  features.13: 6채널 제거
  features.14: 12채널 제거
  features.15: 12채널 제거
  features.16: 8채널 제거
  features.17: 13채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 7채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                       98    -0.070290 1.305547e-06 6.765280e-06   0.8333   0.0145      169
features.15                      257    -0.065273 5.689917e-07 9.109435e-07   0.8264   0.0193      329
features.10                       77    -0.064748 2.078392e-07 6.429706e-07   0.7122   0.0072      137
features.14                      472    -0.060887 3.746769e-06 9.847085e-07   0.9355   0.0363      265
features.15                      938    -0.058842 1.105379e-06 9.975615e-07   0.9357   0.0386      329
features.15                      849    -0.057878 7.069044e-07 9.501056e-07   0.8682   0.0322      329
features.7                       177    -0.054688 3.236733e-06 9.360705e-06   0.6875   0.0156      105
features.9                       294    -0.053521 2.520859e-07 1.047190e-06   0.7254   0.0211      137
features.6                        62    -0.050820 5.191121e-07 7.209264e-06   0.9508   0.0492       73
features.10                      236    -0.050360 1.691416e-07 6.661993e-07   0.6331   0.0144      137
features.14                      358    -0.049597 2.736508e-06 9.882449e-07   0.8589   0.0403      265
features.9                       382    -0.047887 3.164259e-07 1.142264e-06   0.7958   0.0352      137
features.17                      451    -0.046189 3.594431e-07 1.183596e-08   0.7226   0.0290      489
features.12                      309    -0.045139 6.325434e-08 4.939300e-07   0.5764   0.0139      201
features.8                       156    -0.043662 1.308083e-07 2.563886e-06   0.6268   0.0211      137
features.8                       240    -0.042254 8.223031e-07 2.927879e-06   0.9930   0.0634      137
features.15                      818    -0.039228 1.689090e-07 8.579828e-07   0.4791   0.0096      329
features.10                      215    -0.038849 2.607985e-07 7.102105e-07   0.7770   0.0432      137
features.14                      548    -0.037097 5.998217e-06 1.070146e-06   0.9879   0.0685      265
features.6                       187    -0.036066 2.411935e-08 5.561013e-06   0.3607   0.0000       73
features.6                        80    -0.036066 7.486221e-08 7.030089e-06   0.6557   0.0328       73
features.7                        88    -0.035938 5.395151e-06 9.675256e-06   0.7812   0.0469      105
features.14                      469    -0.035887 2.486713e-06 1.035745e-06   0.8306   0.0524      265
features.17                       97    -0.035061 1.259217e-07 7.393442e-09   0.3506   0.0000      489
features.17                      124    -0.034146 2.752161e-07 1.229439e-08   0.6296   0.0320      489
features.17                      644    -0.032622 1.405882e-07 8.782533e-09   0.3811   0.0061      489
features.15                      925    -0.032476 1.515714e-07 8.921772e-07   0.4405   0.0129      329
features.9                       377    -0.032394 1.426777e-07 1.137790e-06   0.5775   0.0282      137
features.14                      518    -0.030645 1.069311e-06 8.922029e-07   0.4879   0.0202      265
features.8                       177    -0.029577 1.170813e-07 2.622197e-06   0.5493   0.0282      137
features.15                      541    -0.027010 8.799728e-08 6.014910e-07   0.2701   0.0000      329
features.9                        98    -0.026761 2.389462e-07 1.182515e-06   0.7113   0.0493      137
features.16                      854    -0.025676 7.510558e-07 6.773340e-08   0.8649   0.0676      329
features.15                      183    -0.025402 9.705932e-08 6.693554e-07   0.3119   0.0064      329
features.8                       380    -0.025352 1.657533e-07 2.901681e-06   0.6972   0.0493      137
features.12                      459    -0.023958 1.308335e-07 7.062799e-07   0.7396   0.0556      201
features.17                       94    -0.023933 2.790970e-07 1.326424e-08   0.6372   0.0442      489
features.10                      118    -0.023741 6.914202e-07 7.563394e-07   0.9496   0.0791      137
features.4                        64    -0.022951 1.525832e-06 1.285246e-05   0.6721   0.0492       65
features.12                      242    -0.022569 6.304659e-07 8.679079e-07   0.9757   0.0833      201
features.3                        67    -0.022388 1.824956e-08 3.048377e-05   0.3582   0.0149       57
features.17                      104    -0.021951 2.863453e-07 1.333510e-08   0.6448   0.0473      489
features.11                      380    -0.020290 2.086559e-07 6.745425e-06   0.2681   0.0072      169
features.10                      176    -0.020144 3.558590e-08 5.378881e-07   0.2014   0.0000      137
features.9                         0    -0.019718 8.570830e-07 1.273821e-06   0.9577   0.0845      137
features.10                      332    -0.019424 9.342931e-08 7.005416e-07   0.4532   0.0288      137
features.3                       100    -0.019403 2.892090e-08 3.108878e-05   0.4627   0.0299       57
features.9                       146    -0.019014 4.792025e-07 1.265066e-06   0.8873   0.0775      137
features.16                      432    -0.018919 3.926691e-07 6.085560e-08   0.6892   0.0556      329
features.7                        80    -0.018750 1.534329e-06 9.534240e-06   0.4688   0.0312      105
features.16                      531    -0.018168 5.450330e-07 6.644122e-08   0.7763   0.0661      329
features.15                      835    -0.017363 2.309002e-07 1.012325e-06   0.6077   0.0482      329
features.15                      343    -0.016720 6.935056e-08 6.120088e-07   0.1961   0.0032      329
features.13                      453    -0.015824 5.655728e-07 2.416779e-07   0.9495   0.0879      201
features.9                       277    -0.015493 3.385391e-08 9.238620e-07   0.1549   0.0000      137
features.13                      249    -0.015165 1.235851e-07 2.104126e-07   0.7253   0.0637      201
features.3                        63    -0.014925 6.888409e-09 2.871005e-05   0.1493   0.0000       57
features.9                        69    -0.014789 3.125546e-07 1.243635e-06   0.7817   0.0704      137
features.14                      316    -0.014113 3.622775e-07 6.347448e-07   0.1774   0.0040      265
features.10                      211    -0.013669 9.517742e-08 7.015256e-07   0.4604   0.0360      137
features.6                       166    -0.013115 1.891242e-08 6.182470e-06   0.2787   0.0164       73
