================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 26
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 13:22:46
  remove_target  : 23560
  accum_removed  : 23860
  selected_channels : 100
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1331557
  model_sparsity : 39.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          1       76    79.2%
  features.3                144          3       82    56.9%
  features.4                144          5       89    61.8%
  features.5                192          3      126    65.6%
  features.6                192          2      136    70.8%
  features.7                192          3      134    69.8%
  features.8                384          6      254    66.1%
  features.9                384          8      258    67.2%
  features.10               384          5      257    66.9%
  features.11               384          8      258    67.2%
  features.12               576          2      297    51.6%
  features.13               576          7      133    23.1%
  features.14               576          8      347    60.2%
  features.15               960         14      674    70.2%
  features.16               960         13      314    32.7%
  features.17               960         12      328    34.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 21          1       4.8%
  features.3                 65          1       1.5%
  features.4                 60          1       1.7%
  features.5                 69          1       1.4%
  features.6                 58          1       1.7%
  features.7                 61          1       1.6%
  features.8                136          1       0.7%
  features.9                134          1       0.7%
  features.10               132          1       0.8%
  features.11               134          1       0.7%
  features.12               281          2       0.7%
  features.13               450          3       0.7%
  features.14               237          2       0.8%
  features.15               300          2       0.7%
  features.16               659          4       0.6%
  features.17               644          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.11: 8채널 제거
  features.12: 2채널 제거
  features.13: 7채널 제거
  features.14: 8채널 제거
  features.15: 14채널 제거
  features.16: 13채널 제거
  features.17: 12채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.4: 5채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 3채널 제거
  features.8: 6채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                        65    -0.080702 1.554824e-07 6.483412e-06   0.8070   0.0000       73
features.10                      221    -0.078626 6.439581e-07 7.921200e-07   0.9237   0.0153      137
features.9                         5    -0.078195 6.448961e-07 1.142106e-06   0.9173   0.0150      137
features.15                      536    -0.075585 1.003886e-06 8.191270e-07   0.9064   0.0167      329
features.3                       119    -0.070312 1.478287e-07 2.636099e-05   0.8438   0.0156       57
features.10                      259    -0.061832 2.098514e-07 7.171209e-07   0.6870   0.0076      137
features.8                        91    -0.060000 3.592021e-07 2.826091e-06   0.8667   0.0296      137
features.14                      502    -0.059746 2.451224e-06 9.324130e-07   0.8263   0.0254      265
features.14                      113    -0.057203 1.352824e-06 6.691927e-07   0.5720   0.0000      265
features.2                        22    -0.055000 1.751191e-07 4.735054e-04   0.5500   0.0000       49
features.15                      496    -0.054515 1.362876e-06 9.427231e-07   0.9365   0.0435      329
features.7                        12    -0.053333 1.743719e-05 1.034446e-05   0.9833   0.0500      105
features.9                        62    -0.045865 6.756652e-07 1.202772e-06   0.9323   0.0526      137
features.17                      323    -0.044635 2.424903e-07 1.111727e-08   0.6003   0.0171      489
features.15                      918    -0.043813 2.095937e-07 8.065266e-07   0.5585   0.0134      329
features.8                       355    -0.042963 2.805078e-07 2.866416e-06   0.8296   0.0444      137
features.7                       130    -0.041667 1.304521e-06 7.970677e-06   0.4167   0.0000      105
features.5                       170    -0.041176 1.861522e-07 1.064019e-05   0.8088   0.0441       73
features.11                       57    -0.039850 5.802333e-07 7.575805e-06   0.6015   0.0226      169
features.11                      173    -0.039098 6.959486e-07 7.588686e-06   0.6617   0.0301      169
features.16                      869    -0.038298 3.694602e-07 3.491384e-08   0.6839   0.0334      329
features.10                       68    -0.037405 3.107012e-07 8.421557e-07   0.7863   0.0458      137
features.4                         7    -0.037288 1.976944e-06 1.233935e-05   0.6780   0.0339       65
features.17                      232    -0.036236 2.700433e-07 1.239120e-08   0.6423   0.0311      489
features.15                      302    -0.036120 1.627976e-06 1.047136e-06   0.9632   0.0669      329
features.9                       241    -0.036090 2.895257e-07 1.185552e-06   0.7669   0.0451      137
features.12                      250    -0.035000 2.313111e-07 7.113823e-07   0.8964   0.0607      201
