================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 29
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 13:39:49
  remove_target  : 21814
  accum_removed  : 22170
  selected_channels : 90
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1263414
  model_sparsity : 42.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          1       80    83.3%
  features.3                144          2       90    62.5%
  features.4                144          3       96    66.7%
  features.5                192          1      134    69.8%
  features.6                192          3      145    75.5%
  features.7                192          2      141    73.4%
  features.8                384          4      265    69.0%
  features.9                384          8      278    72.4%
  features.10               384          6      271    70.6%
  features.11               384          7      275    71.6%
  features.12               576          9      321    55.7%
  features.13               576          5      144    25.0%
  features.14               576          6      370    64.2%
  features.15               960          7      698    72.7%
  features.16               960         11      352    36.7%
  features.17               960         15      374    39.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 17          1       5.9%
  features.3                 56          1       1.8%
  features.4                 51          1       2.0%
  features.5                 59          1       1.7%
  features.6                 50          1       2.0%
  features.7                 53          1       1.9%
  features.8                123          1       0.8%
  features.9                114          1       0.9%
  features.10               119          1       0.8%
  features.11               116          1       0.9%
  features.12               264          2       0.8%
  features.13               437          3       0.7%
  features.14               212          2       0.9%
  features.15               269          2       0.7%
  features.16               619          4       0.6%
  features.17               601          4       0.7%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 7채널 제거
  features.12: 9채널 제거
  features.13: 5채널 제거
  features.14: 6채널 제거
  features.15: 7채널 제거
  features.16: 11채널 제거
  features.17: 15채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 1채널 제거
  features.6: 3채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      222    -0.073043 2.812860e-06 1.000018e-05   0.9652   0.0261      169
features.10                      141    -0.067797 3.336465e-07 7.743621e-07   0.8305   0.0169      137
features.11                       46    -0.066957 7.616692e-07 6.043443e-06   0.6696   0.0000      169
features.9                       142    -0.066372 2.017618e-07 1.113820e-06   0.6637   0.0000      137
features.8                       196    -0.044262 9.225462e-08 2.921710e-06   0.4426   0.0000      137
features.11                      172    -0.043478 1.389141e-06 1.043230e-05   0.8261   0.0435      169
features.11                       95    -0.043478 1.087850e-06 1.020845e-05   0.7478   0.0348      169
features.9                       254    -0.042478 3.727275e-07 1.416631e-06   0.8230   0.0442      137
features.14                      165    -0.040758 1.091376e-06 9.471809e-07   0.5355   0.0142      265
features.7                        99    -0.040385 3.102784e-06 1.134537e-05   0.5769   0.0192      105
features.2                        86    -0.037500 9.614299e-08 5.412267e-04   0.3750   0.0000       49
features.12                      453    -0.036882 8.741530e-08 7.138027e-07   0.6768   0.0342      201
features.4                        11    -0.034000 6.581672e-07 1.501920e-05   0.3400   0.0000       65
features.15                      274    -0.033955 1.242248e-07 8.246661e-07   0.4403   0.0112      329
features.9                        77    -0.033628 1.990385e-07 1.338488e-06   0.6549   0.0354      137
features.10                       98    -0.032203 7.670705e-08 6.147821e-07   0.3983   0.0085      137
features.4                        56    -0.032000 1.202969e-06 1.535278e-05   0.5000   0.0200       65
features.9                        84    -0.030088 7.906738e-08 1.217044e-06   0.3805   0.0088      137
features.6                       136    -0.026531 1.905628e-08 5.618047e-06   0.2653   0.0000       73
features.10                       72    -0.026271 1.491625e-07 8.046544e-07   0.5678   0.0339      137
features.8                        84    -0.026230 6.819197e-08 3.110901e-06   0.3361   0.0082      137
features.9                       231    -0.025664 6.566717e-07 1.500474e-06   0.8938   0.0708      137
features.12                       23    -0.023574 4.644054e-08 6.880695e-07   0.4753   0.0266      201
features.7                        23    -0.023077 4.599885e-07 9.936024e-06   0.2308   0.0000      105
features.16                      313    -0.022492 2.128028e-07 5.315275e-08   0.5162   0.0324      329
features.11                      232    -0.020870 7.674882e-07 1.060503e-05   0.6783   0.0522      169
features.17                      300    -0.020500 3.146613e-07 1.824601e-08   0.6850   0.0533      489
