================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 30
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 13:45:18
  remove_target  : 21260
  accum_removed  : 21295
  selected_channels : 87
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1242119
  model_sparsity : 43.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          2       82    85.4%
  features.3                144          0       90    62.5%
  features.4                144          2       98    68.1%
  features.5                192          2      136    70.8%
  features.6                192          2      147    76.6%
  features.7                192          3      144    75.0%
  features.8                384          4      269    70.1%
  features.9                384          6      284    74.0%
  features.10               384          7      278    72.4%
  features.11               384          5      280    72.9%
  features.12               576         13      334    58.0%
  features.13               576          5      149    25.9%
  features.14               576          9      379    65.8%
  features.15               960          3      701    73.0%
  features.16               960          9      361    37.6%
  features.17               960         15      389    40.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 16          1       6.2%
  features.3                 54          1       1.9%
  features.4                 48          1       2.1%
  features.5                 58          1       1.7%
  features.6                 47          1       2.1%
  features.7                 51          1       2.0%
  features.8                119          1       0.8%
  features.9                106          1       0.9%
  features.10               113          1       0.9%
  features.11               109          1       0.9%
  features.12               255          2       0.8%
  features.13               432          3       0.7%
  features.14               206          2       1.0%
  features.15               262          2       0.8%
  features.16               608          4       0.7%
  features.17               586          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 7채널 제거
  features.11: 5채널 제거
  features.12: 13채널 제거
  features.13: 5채널 제거
  features.14: 9채널 제거
  features.15: 3채널 제거
  features.16: 9채널 제거
  features.17: 15채널 제거
  features.2: 2채널 제거
  features.4: 2채널 제거
  features.5: 2채널 제거
  features.6: 2채널 제거
  features.7: 3채널 제거
  features.8: 4채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.5                       113    -0.068421 1.138756e-06 1.290874e-05   1.0000   0.0351       73
features.9                        94    -0.060000 1.183907e-06 1.608732e-06   0.9429   0.0381      137
features.9                       206    -0.052381 3.405234e-07 1.493956e-06   0.7810   0.0286      137
features.12                      525    -0.045276 9.047052e-08 8.225107e-07   0.7008   0.0276      201
features.17                      545    -0.043932 2.860542e-07 1.502264e-08   0.5932   0.0171      489
features.5                       116    -0.043860 6.621080e-08 1.036909e-05   0.4386   0.0000       73
features.7                       125    -0.042000 1.538609e-05 1.470881e-05   0.9600   0.0600      105
features.14                      321    -0.041951 1.035802e-06 9.064344e-07   0.4195   0.0000      265
features.10                      227    -0.041071 8.629289e-07 9.130406e-07   0.9732   0.0625      137
features.16                      450    -0.039209 9.974553e-07 8.316917e-08   0.8962   0.0560      329
features.17                      503    -0.038803 3.300801e-07 1.606913e-08   0.6496   0.0291      489
features.11                      123    -0.037963 9.184319e-07 1.177165e-05   0.7130   0.0370      169
features.12                       30    -0.037008 7.616999e-08 8.236502e-07   0.6535   0.0315      201
features.9                        19    -0.035238 6.558155e-08 1.105014e-06   0.3524   0.0000      137
features.12                      361    -0.033071 3.824134e-08 7.041316e-07   0.4016   0.0079      201
features.10                      130    -0.032143 1.287316e-07 8.039465e-07   0.5625   0.0268      137
features.17                      861    -0.029231 2.788752e-07 1.627005e-08   0.5846   0.0325      489
features.11                      323    -0.028704 2.977027e-07 9.337843e-06   0.2870   0.0000      169
features.11                       75    -0.028704 1.248575e-06 1.322481e-05   0.7870   0.0556      169
features.14                      174    -0.027317 2.758217e-06 1.367797e-06   0.8439   0.0634      265
features.14                      314    -0.026829 3.918586e-06 1.373766e-06   0.9268   0.0732      265
features.14                        7    -0.026829 7.927133e-07 9.160180e-07   0.3122   0.0049      265
features.13                      509    -0.026682 1.292100e-07 2.098248e-07   0.7262   0.0510      201
features.2                        42    -0.026667 4.042830e-08 5.079624e-04   0.2667   0.0000       49
features.12                      124    -0.026378 3.065934e-08 6.924239e-07   0.2992   0.0039      201
features.16                      423    -0.024876 9.721366e-07 8.854975e-08   0.8863   0.0708      329
features.15                      509    -0.024138 1.006123e-07 7.663147e-07   0.2759   0.0038      329
