================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 34
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 14:08:14
  remove_target  : 19195
  accum_removed  : 19201
  selected_channels : 73
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1161631
  model_sparsity : 47.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       85    88.5%
  features.3                144          2       94    65.3%
  features.4                144          2      106    73.6%
  features.5                192          1      141    73.4%
  features.6                192          1      153    79.7%
  features.7                192          3      151    78.6%
  features.8                384          2      283    73.7%
  features.9                384          6      306    79.7%
  features.10               384          3      290    75.5%
  features.11               384          5      292    76.0%
  features.12               576          7      364    63.2%
  features.13               576          2      166    28.8%
  features.14               576          9      412    71.5%
  features.15               960          6      733    76.4%
  features.16               960         11      409    42.6%
  features.17               960         13      440    45.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 11          1       9.1%
  features.3                 52          1       1.9%
  features.4                 40          1       2.5%
  features.5                 52          1       1.9%
  features.6                 40          1       2.5%
  features.7                 44          1       2.3%
  features.8                103          1       1.0%
  features.9                 84          1       1.2%
  features.10                97          1       1.0%
  features.11                97          1       1.0%
  features.12               219          2       0.9%
  features.13               412          3       0.7%
  features.14               173          1       0.6%
  features.15               233          2       0.9%
  features.16               562          3       0.5%
  features.17               533          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 5채널 제거
  features.12: 7채널 제거
  features.13: 2채널 제거
  features.14: 9채널 제거
  features.15: 6채널 제거
  features.16: 11채널 제거
  features.17: 13채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 1채널 제거
  features.6: 1채널 제거
  features.7: 3채널 제거
  features.8: 2채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      442    -0.079651 3.261400e-06 1.399972e-06   0.8488   0.0058      265
features.12                      252    -0.058257 9.996587e-08 1.061537e-06   0.7064   0.0138      201
features.15                      959    -0.053879 2.174550e-07 9.216734e-07   0.5388   0.0000      329
features.15                      508    -0.052155 2.602689e-07 1.562212e-06   0.6379   0.0129      329
features.8                       232    -0.051961 1.779066e-07 4.096862e-06   0.6078   0.0098      137
features.15                      927    -0.049138 5.250174e-07 1.746008e-06   0.8405   0.0388      329
features.10                       69    -0.047917 1.607484e-07 1.022965e-06   0.5729   0.0104      137
features.10                      119    -0.043750 4.644020e-07 1.272391e-06   0.8125   0.0417      137
features.16                      248    -0.042781 1.756471e-06 1.259006e-07   0.9733   0.0606      329
features.15                      397    -0.040517 1.820714e-07 1.311195e-06   0.4828   0.0086      329
features.12                      291    -0.039450 5.141094e-08 1.004028e-06   0.4771   0.0092      201
features.14                      242    -0.036628 1.358705e-06 1.614296e-06   0.5233   0.0174      265
features.17                      107    -0.031767 5.645846e-07 2.826796e-08   0.8421   0.0583      489
features.12                      422    -0.031651 6.955457e-08 1.227060e-06   0.5642   0.0275      201
features.3                        59    -0.031373 2.867787e-07 5.523040e-05   0.8431   0.0588       57
features.11                      149    -0.031250 7.090936e-07 1.488110e-05   0.5938   0.0312      169
features.17                      533    -0.029887 2.278332e-07 2.343511e-08   0.4850   0.0207      489
features.17                      720    -0.027820 3.051600e-07 2.567565e-08   0.6335   0.0395      489
features.9                        31    -0.027711 1.219245e-06 3.610680e-06   0.9277   0.0723      137
features.16                      753    -0.025490 2.764072e-06 1.423404e-07   0.9929   0.0820      329
features.11                      163    -0.025000 7.604794e-06 1.866788e-05   1.0000   0.0833      169
features.17                      115    -0.025000 1.761450e-07 2.260430e-08   0.3684   0.0132      489
features.14                       22    -0.022674 1.214308e-06 1.642335e-06   0.4884   0.0291      265
features.17                      616    -0.021805 2.485144e-07 2.502580e-08   0.5395   0.0357      489
features.9                       191    -0.021687 4.169976e-08 2.022730e-06   0.2169   0.0000      137
features.13                      421    -0.021411 8.581577e-08 1.946240e-07   0.6521   0.0487      201
features.6                        25    -0.020513 2.832756e-07 1.290922e-05   0.8974   0.0769       73
features.14                      160    -0.019767 6.732790e-07 1.539812e-06   0.3023   0.0116      265
features.14                      235    -0.019767 3.013096e-06 1.904329e-06   0.8256   0.0698      265
features.4                       125    -0.017949 2.579061e-06 3.237205e-05   0.6410   0.0513       65
features.12                      179    -0.017431 3.497767e-08 1.075140e-06   0.3394   0.0183      201
features.9                        11    -0.016867 5.965902e-08 2.700138e-06   0.2771   0.0120      137
features.8                       138    -0.016667 4.286182e-08 3.791366e-06   0.1667   0.0000      137
features.9                       131    -0.015663 2.555488e-07 3.483608e-06   0.6988   0.0602      137
features.13                      121    -0.015572 1.805800e-07 2.759385e-07   0.8345   0.0754      201
features.16                       62    -0.015508 2.008961e-07 9.786248e-08   0.4759   0.0357      329
features.15                      490    -0.015086 1.551526e-07 1.703531e-06   0.4224   0.0302      329
features.9                        76    -0.013253 1.113018e-07 3.143638e-06   0.4578   0.0361      137
features.14                      100    -0.012791 3.500479e-07 1.171798e-06   0.1279   0.0000      265
features.17                      486    -0.012594 1.196496e-07 2.192840e-08   0.2274   0.0113      489
features.9                       308    -0.012048 1.713803e-07 3.190431e-06   0.5542   0.0482      137
features.12                      391    -0.011927 1.904869e-08 8.653371e-07   0.1606   0.0046      201
features.7                       157    -0.011628 4.347346e-06 1.818940e-05   0.5349   0.0465      105
features.7                        95    -0.011628 3.255519e-07 1.189416e-05   0.1163   0.0000      105
features.17                      404    -0.011466 8.375626e-08 1.916786e-08   0.1485   0.0038      489
features.17                      857    -0.010526 2.869241e-07 2.811787e-08   0.6128   0.0564      489
features.16                      588    -0.010339 9.041376e-07 1.442896e-07   0.8734   0.0856      329
features.17                      495    -0.009586 3.148499e-07 2.828488e-08   0.6372   0.0602      489
features.16                      265    -0.009447 3.883491e-07 1.271465e-07   0.6560   0.0624      329
features.17                      428    -0.009023 9.619928e-08 2.180881e-08   0.1748   0.0094      489
features.16                      749    -0.008913 4.837574e-07 1.324728e-07   0.7308   0.0713      329
features.14                       60    -0.008721 1.978206e-06 1.898527e-06   0.6628   0.0640      265
features.17                      811    -0.008459 3.416145e-07 2.872314e-08   0.6767   0.0658      489
features.12                      570    -0.008257 4.471865e-08 1.248118e-06   0.4128   0.0367      201
features.3                        17    -0.007843 4.576696e-09 3.409262e-05   0.0784   0.0000       57
features.5                       147    -0.007843 5.805671e-09 9.988553e-06   0.0784   0.0000       73
features.14                       10    -0.007558 8.808166e-07 1.659720e-06   0.3895   0.0349      265
features.11                       65    -0.007292 7.063564e-08 9.438792e-06   0.0729   0.0000      169
features.7                       179    -0.006977 7.596739e-06 1.898592e-05   0.6977   0.0698      105
features.12                      373    -0.005963 2.413090e-08 1.168682e-06   0.2661   0.0229      201
features.16                      533    -0.005882 1.026171e-07 7.164212e-08   0.2995   0.0267      329
features.4                        95    -0.005128 5.033898e-08 2.508548e-05   0.0513   0.0000       65
features.11                      339    -0.004167 4.594088e-07 1.545206e-05   0.4167   0.0417      169
features.17                       48    -0.004135 2.043596e-07 2.619737e-08   0.4474   0.0451      489
