================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 38
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 14:29:44
  remove_target  : 17326
  accum_removed  : 17683
  selected_channels : 67
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1088396
  model_sparsity : 50.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       88    91.7%
  features.3                144          1      101    70.1%
  features.4                144          3      116    80.6%
  features.5                192          2      150    78.1%
  features.6                192          3      158    82.3%
  features.7                192          3      158    82.3%
  features.8                384          2      294    76.6%
  features.9                384          3      324    84.4%
  features.10               384          3      308    80.2%
  features.11               384          3      305    79.4%
  features.12               576         10      401    69.6%
  features.13               576          1      177    30.7%
  features.14               576          5      442    76.7%
  features.15               960          7      764    79.6%
  features.16               960          6      445    46.4%
  features.17               960         15      485    50.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  8          1      12.5%
  features.3                 44          1       2.3%
  features.4                 31          1       3.2%
  features.5                 44          1       2.3%
  features.6                 37          1       2.7%
  features.7                 37          1       2.7%
  features.8                 92          1       1.1%
  features.9                 63          1       1.6%
  features.10                79          1       1.3%
  features.11                82          1       1.2%
  features.12               185          1       0.5%
  features.13               400          2       0.5%
  features.14               139          1       0.7%
  features.15               203          2       1.0%
  features.16               521          3       0.6%
  features.17               490          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 3채널 제거
  features.12: 10채널 제거
  features.13: 1채널 제거
  features.14: 5채널 제거
  features.15: 7채널 제거
  features.16: 6채널 제거
  features.17: 15채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 2채널 제거
  features.6: 3채널 제거
  features.7: 3채널 제거
  features.8: 2채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                       17    -0.084615 6.835270e-07 1.428062e-06   0.8462   0.0000      137
features.10                      206    -0.078205 9.326627e-07 1.554234e-06   0.8974   0.0128      137
features.11                      199    -0.072840 3.446653e-06 2.097291e-05   0.9506   0.0247      169
features.3                       133    -0.072093 1.696743e-07 5.563309e-05   0.7209   0.0000       57
features.17                      455    -0.069530 5.521969e-07 2.494790e-08   0.7321   0.0041      489
features.5                       185    -0.065116 2.200484e-07 2.064791e-05   0.6512   0.0000       73
features.9                       317    -0.064516 4.781398e-07 4.614104e-06   0.7903   0.0161      137
features.12                      435    -0.063587 1.246250e-07 1.285461e-06   0.6848   0.0054      201
features.12                      542    -0.062500 4.591087e-07 1.508587e-06   0.9185   0.0326      201
features.7                        36    -0.061111 6.668201e-06 2.291579e-05   0.6111   0.0000      105
features.15                      494    -0.056931 4.345112e-07 1.676635e-06   0.7030   0.0149      329
features.8                       271    -0.054945 1.687371e-07 3.807952e-06   0.5495   0.0000      137
features.9                       210    -0.053226 2.223665e-07 4.514249e-06   0.5323   0.0000      137
features.12                       51    -0.051630 1.356137e-07 1.437229e-06   0.7120   0.0217      201
features.14                      307    -0.047101 1.791779e-06 2.377233e-06   0.4710   0.0000      265
features.15                      184    -0.046535 6.372766e-07 2.256061e-06   0.8218   0.0396      329
features.15                      452    -0.045545 2.328266e-07 1.272060e-06   0.4554   0.0000      329
features.12                      462    -0.044565 8.880994e-08 1.415413e-06   0.5924   0.0163      201
features.7                        92    -0.044444 7.631177e-06 2.300922e-05   0.6944   0.0278      105
features.11                      314    -0.044444 5.171572e-07 1.758677e-05   0.4444   0.0000      169
features.12                      567    -0.043478 2.865572e-07 1.601203e-06   0.8750   0.0489      201
features.15                      277    -0.042574 9.312531e-07 2.398561e-06   0.8713   0.0495      329
features.17                      828    -0.031288 4.467557e-07 3.200342e-08   0.6442   0.0368      489
features.7                        49    -0.027778 1.356345e-05 2.577910e-05   0.7778   0.0556      105
features.14                      457    -0.027536 3.871659e-06 2.982550e-06   0.7971   0.0580      265
features.16                      890    -0.026923 4.784143e-07 1.186919e-07   0.6846   0.0462      329
features.15                      795    -0.026733 2.510664e-07 1.976701e-06   0.4901   0.0248      329
features.12                      421    -0.026630 3.686115e-08 8.844406e-07   0.2663   0.0000      201
features.17                      416    -0.025971 2.616408e-07 2.803250e-08   0.4070   0.0164      489
features.10                      304    -0.025641 5.359104e-07 1.599593e-06   0.8333   0.0641      137
features.17                       64    -0.025153 2.205184e-07 2.773102e-08   0.3436   0.0102      489
features.17                      941    -0.024131 4.139076e-07 3.213118e-08   0.6094   0.0409      489
features.17                       11    -0.021472 2.960437e-07 3.036406e-08   0.4540   0.0266      489
features.14                      134    -0.021014 1.283171e-06 2.617604e-06   0.3406   0.0145      265
features.4                       135    -0.020000 1.702562e-07 4.167421e-05   0.2000   0.0000       65
features.6                        42    -0.019444 2.397786e-08 9.674840e-06   0.1944   0.0000       73
features.17                      381    -0.019018 4.320498e-07 3.303109e-08   0.6319   0.0491      489
features.16                      312    -0.018846 3.872985e-07 1.193229e-07   0.6212   0.0481      329
features.17                      665    -0.018200 2.585714e-07 3.009581e-08   0.4029   0.0245      489
features.15                      307    -0.017822 1.216809e-07 1.599381e-06   0.2228   0.0050      329
features.17                      916    -0.017791 1.614176e-07 2.634769e-08   0.2331   0.0061      489
features.12                        9    -0.015761 1.279406e-07 1.717822e-06   0.6957   0.0598      201
features.6                        79    -0.013889 5.059308e-08 1.153614e-05   0.3889   0.0278       73
features.16                      374    -0.013077 1.433312e-07 8.489547e-08   0.3731   0.0269      329
features.9                        28    -0.012903 1.668261e-07 4.951965e-06   0.4194   0.0323      137
features.17                       34    -0.012679 7.103031e-07 3.637671e-08   0.8262   0.0777      489
features.12                      452    -0.011957 9.244756e-08 1.673350e-06   0.6087   0.0543      201
features.14                      431    -0.010870 1.164241e-06 2.655985e-06   0.3043   0.0217      265
features.17                      800    -0.010838 6.080922e-07 3.527515e-08   0.7710   0.0736      489
features.17                      395    -0.010429 3.933403e-07 3.331668e-08   0.5828   0.0532      489
features.16                      614    -0.010000 1.353684e-07 9.413443e-08   0.3596   0.0288      329
features.5                       130    -0.009302 4.650725e-08 2.068700e-05   0.3023   0.0233       73
features.17                      469    -0.008998 3.268774e-07 3.281148e-08   0.4949   0.0450      489
features.8                       338    -0.008791 2.658698e-07 6.040921e-06   0.6813   0.0659      137
features.12                       42    -0.008696 8.019305e-07 1.810679e-06   0.9674   0.0978      201
features.14                      248    -0.007246 4.173052e-07 2.429502e-06   0.1377   0.0072      265
features.4                         0    -0.006667 3.523662e-06 4.796830e-05   0.6667   0.0667       65
features.4                        34    -0.006667 1.738677e-06 4.300628e-05   0.3667   0.0333       65
features.15                      118    -0.006436 5.654301e-07 2.567250e-06   0.7772   0.0792      329
features.16                      290    -0.006154 3.024900e-07 1.328218e-07   0.5462   0.0538      329
features.6                        39    -0.005556 8.448286e-08 1.447393e-05   0.5556   0.0556       73
features.17                      798    -0.005317 1.124922e-07 2.686254e-08   0.1268   0.0082      489
features.11                      312    -0.004938 5.742122e-07 2.217366e-05   0.4938   0.0494      169
features.13                      179    -0.004511 1.345641e-07 2.642026e-07   0.7669   0.0802      201
