================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 40
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 14:40:30
  remove_target  : 16456
  accum_removed  : 16486
  selected_channels : 62
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1054770
  model_sparsity : 51.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       88    91.7%
  features.3                144          2      105    72.9%
  features.4                144          1      119    82.6%
  features.5                192          0      152    79.2%
  features.6                192          1      161    83.9%
  features.7                192          1      161    83.9%
  features.8                384          3      300    78.1%
  features.9                384          5      334    87.0%
  features.10               384          4      314    81.8%
  features.11               384          3      310    80.7%
  features.12               576         10      423    73.4%
  features.13               576          0      181    31.4%
  features.14               576          5      452    78.5%
  features.15               960          6      778    81.0%
  features.16               960         10      460    47.9%
  features.17               960         11      508    52.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  8          1      12.5%
  features.3                 41          1       2.4%
  features.4                 26          1       3.8%
  features.5                 40          1       2.5%
  features.6                 32          1       3.1%
  features.7                 32          1       3.1%
  features.8                 87          1       1.1%
  features.9                 55          1       1.8%
  features.10                74          1       1.4%
  features.11                77          1       1.3%
  features.12               163          1       0.6%
  features.13               395          2       0.5%
  features.14               129          1       0.8%
  features.15               188          1       0.5%
  features.16               510          3       0.6%
  features.17               463          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 3채널 제거
  features.12: 10채널 제거
  features.14: 5채널 제거
  features.15: 6채널 제거
  features.16: 10채널 제거
  features.17: 11채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.6: 1채널 제거
  features.7: 1채널 제거
  features.8: 3채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      821    -0.075974 6.151827e-07 2.688644e-08   0.7987   0.0043      489
features.9                       204    -0.068519 7.888717e-07 6.223922e-06   0.8519   0.0185      137
features.14                      460    -0.064844 4.360243e-06 3.528934e-06   0.8594   0.0234      265
features.11                      191    -0.059211 1.034008e-06 1.678408e-05   0.5921   0.0000      169
features.6                        54    -0.058065 8.103773e-08 1.307454e-05   0.5806   0.0000       73
features.14                      396    -0.054688 5.867093e-06 3.617564e-06   0.9688   0.0469      265
features.12                      292    -0.052469 1.854058e-07 2.298415e-06   0.7469   0.0247      201
features.12                      569    -0.051852 2.539660e-07 2.540982e-06   0.8519   0.0370      201
features.9                       180    -0.050000 2.239719e-07 6.182542e-06   0.5000   0.0000      137
features.17                      918    -0.043939 1.224528e-06 4.861867e-08   0.9654   0.0584      489
features.16                      256    -0.034971 2.016615e-07 5.047207e-08   0.4912   0.0157      329
features.12                      227    -0.033951 3.511490e-07 2.714517e-06   0.8951   0.0617      201
features.12                      301    -0.033333 1.153333e-06 2.809272e-06   1.0000   0.0741      201
features.3                        45    -0.032500 6.701022e-08 5.898154e-05   0.5500   0.0250       57
features.8                        37    -0.031395 3.155361e-07 5.704472e-06   0.7326   0.0465      137
features.17                       38    -0.026623 7.821225e-07 5.067761e-08   0.8896   0.0693      489
features.16                      716    -0.026130 3.798444e-07 1.155753e-07   0.6680   0.0452      329
features.10                      184    -0.026027 7.825768e-08 1.489297e-06   0.2603   0.0000      137
features.9                        32    -0.025926 4.657896e-07 6.579556e-06   0.7593   0.0556      137
features.17                      826    -0.025108 2.329182e-07 3.691026e-08   0.3874   0.0152      489
features.12                       75    -0.023457 1.233912e-07 2.566036e-06   0.6790   0.0494      201
features.17                      760    -0.023160 4.322713e-07 4.522832e-08   0.6602   0.0476      489
features.14                       65    -0.022656 2.264330e-06 3.582665e-06   0.5781   0.0391      265
features.7                       112    -0.022581 3.740053e-06 3.339300e-05   0.5161   0.0323      105
features.17                      592    -0.021212 2.913258e-07 4.003579e-08   0.4654   0.0281      489
features.16                      874    -0.020432 1.861245e-07 1.026714e-07   0.4695   0.0295      329
features.8                       174    -0.019767 1.619651e-07 5.308018e-06   0.5116   0.0349      137
features.12                      104    -0.019136 4.094963e-08 2.201808e-06   0.3580   0.0185      201
features.17                      669    -0.018615 5.243961e-07 4.919874e-08   0.7511   0.0628      489
features.15                      749    -0.017647 1.269058e-07 2.320354e-06   0.2727   0.0107      329
features.12                      479    -0.017284 5.696128e-08 2.430907e-06   0.4506   0.0309      201
features.16                       25    -0.016110 1.183475e-07 7.739775e-08   0.3379   0.0196      329
features.17                      449    -0.016017 1.205641e-07 2.640144e-08   0.1602   0.0000      489
features.15                      569    -0.015508 2.888434e-07 2.747925e-06   0.4920   0.0374      329
features.12                      146    -0.015432 1.826035e-08 1.864443e-06   0.1543   0.0000      201
features.15                      188    -0.014973 1.793191e-07 2.394240e-06   0.3422   0.0214      329
features.12                      348    -0.014198 4.232277e-07 2.842750e-06   0.9198   0.0864      201
features.17                      121    -0.013636 1.339090e-07 3.408302e-08   0.1948   0.0065      489
features.14                      245    -0.013281 1.636356e-06 3.538647e-06   0.4141   0.0312      265
features.16                      116    -0.013163 1.926670e-07 1.115961e-07   0.4853   0.0393      329
features.16                      482    -0.012181 9.372679e-07 1.622573e-07   0.8821   0.0845      329
features.4                        63    -0.012000 1.154549e-07 3.845282e-05   0.1200   0.0000       65
features.16                      173    -0.011198 4.724422e-07 1.356661e-07   0.7132   0.0668      329
features.16                      737    -0.011198 6.448095e-08 3.309518e-08   0.2181   0.0118      329
features.10                      374    -0.010959 1.057966e-07 1.710086e-06   0.3562   0.0274      137
features.14                       28    -0.010156 8.588207e-07 3.454312e-06   0.2422   0.0156      265
features.12                      454    -0.009877 7.718717e-07 2.874669e-06   0.9877   0.0988      201
features.16                      602    -0.009823 1.135460e-06 1.644000e-07   0.9116   0.0904      329
features.15                      662    -0.009626 1.754101e-07 2.683130e-06   0.3369   0.0267      329
features.16                      816    -0.009430 1.535608e-07 1.082092e-07   0.4126   0.0354      329
features.11                      282    -0.009211 9.611013e-07 2.462391e-05   0.5658   0.0526      169
features.17                      844    -0.008874 1.313586e-07 3.632306e-08   0.1861   0.0108      489
features.10                      169    -0.008219 5.689069e-08 1.647177e-06   0.2055   0.0137      137
features.11                      130    -0.007895 6.668622e-07 2.405899e-05   0.4342   0.0395      169
features.15                      614    -0.006952 4.364588e-08 1.507726e-06   0.0695   0.0000      329
features.10                      262    -0.006849 1.629979e-07 1.873995e-06   0.5616   0.0548      137
features.15                      603    -0.006417 5.931960e-08 1.887936e-06   0.1123   0.0053      329
features.8                       126    -0.005814 3.924502e-07 7.538610e-06   0.7907   0.0814      137
features.9                        10    -0.005556 4.592117e-07 6.683044e-06   0.7222   0.0741      137
features.9                       311    -0.005556 1.701814e-07 6.399573e-06   0.3889   0.0370      137
features.17                      186    -0.005411 5.689044e-07 5.254042e-08   0.7749   0.0801      489
features.3                         3    -0.005000 1.289339e-07 7.754966e-05   0.7250   0.0750       57
