================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 6
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 16:38:50
  remove_target  : 39173
  accum_removed  : 39334
  selected_channels : 174
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1940623
  model_sparsity : 11.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        0     0.0%
  features.2                 96          5       18    18.8%
  features.3                144          3       17    11.8%
  features.4                144          2       12     8.3%
  features.5                192          4       32    16.7%
  features.6                192          4       41    21.4%
  features.7                192          2       10     5.2%
  features.8                384         12      110    28.6%
  features.9                384          7       96    25.0%
  features.10               384          8       78    20.3%
  features.11               384          8       84    21.9%
  features.12               576         24      157    27.3%
  features.13               576         21      119    20.7%
  features.14               576         17       71    12.3%
  features.15               960         36      248    25.8%
  features.16               960         17       95     9.9%
  features.17               960          4        5     0.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 83          1       1.2%
  features.3                130          1       0.8%
  features.4                134          1       0.7%
  features.5                164          1       0.6%
  features.6                155          1       0.6%
  features.7                184          1       0.5%
  features.8                286          2       0.7%
  features.9                295          2       0.7%
  features.10               314          2       0.6%
  features.11               308          2       0.6%
  features.12               443          3       0.7%
  features.13               478          3       0.6%
  features.14               522          3       0.6%
  features.15               748          4       0.5%
  features.16               882          5       0.6%
  features.17               959          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 8채널 제거
  features.12: 24채널 제거
  features.13: 21채널 제거
  features.14: 17채널 제거
  features.15: 36채널 제거
  features.16: 17채널 제거
  features.17: 4채널 제거
  features.2: 5채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 4채널 제거
  features.6: 4채널 제거
  features.7: 2채널 제거
  features.8: 12채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      384    -0.438580 1.410997e-06 5.187366e-08   0.9021   0.0250      265
features.12                      433    -0.397059 1.451339e-07 1.660145e-07   0.8982   0.1041      201
features.12                      486    -0.392534 3.546569e-07 2.676032e-07   0.9661   0.1810      201
features.12                        6    -0.383484 1.367152e-07 1.881158e-07   0.8869   0.1199      201
features.10                      136    -0.381789 1.196858e-07 6.832416e-08   0.7891   0.0256      137
features.13                       60    -0.379455 1.344426e-07 8.184767e-08   0.8197   0.0608      201
features.15                      625    -0.372825 3.179898e-07 5.329230e-08   0.8046   0.0589      329
features.15                      916    -0.370817 3.002512e-07 5.093246e-08   0.7965   0.0549      329
features.2                        71    -0.365854 1.771700e-07 5.089429e-06   0.8171   0.0854       49
features.14                      369    -0.357006 1.030435e-06 1.075443e-07   0.8081   0.0940      265
features.15                      733    -0.355422 4.240720e-07 9.887161e-08   0.8568   0.1459      329
features.8                        24    -0.350877 1.088193e-07 4.521503e-07   0.8316   0.1298      137
features.13                      316    -0.350105 1.047982e-07 8.608416e-08   0.7652   0.0650      201
features.15                      602    -0.350067 5.402331e-07 1.334456e-07   0.8942   0.1941      329
features.9                        67    -0.348639 1.080995e-07 1.642420e-07   0.7517   0.0544      137
features.14                       45    -0.348368 1.548620e-06 2.094050e-07   0.9290   0.2322      265
features.13                       53    -0.345912 1.453451e-07 1.901769e-07   0.8532   0.1614      201
features.9                       380    -0.345238 9.737426e-08 1.290994e-07   0.7279   0.0374      137
features.12                      574    -0.345023 1.084027e-07 2.047937e-07   0.8326   0.1425      201
features.13                      483    -0.344864 2.970802e-07 2.613312e-07   0.9455   0.2558      201
features.15                      497    -0.344043 8.439720e-07 1.749698e-07   0.9438   0.2557      329
features.13                        5    -0.341719 1.061397e-07 1.061730e-07   0.7715   0.0881      201
features.8                       326    -0.338596 8.197190e-08 2.787677e-07   0.7509   0.0737      137
features.12                      236    -0.335973 7.306419e-08 1.114630e-07   0.7308   0.0588      201
features.8                       214    -0.335088 1.437846e-07 6.728035e-07   0.8842   0.2140      137
features.16                      126    -0.332009 6.038918e-07 4.407553e-08   0.8763   0.2123      329
features.8                       191    -0.331579 1.226819e-07 6.509480e-07   0.8632   0.2000      137
