================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 16:50:31
  remove_target  : 37229
  accum_removed  : 37329
  selected_channels : 161
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1864873
  model_sparsity : 14.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        0     0.0%
  features.2                 96          4       27    28.1%
  features.3                144          2       22    15.3%
  features.4                144          3       18    12.5%
  features.5                192          4       40    20.8%
  features.6                192          2       47    24.5%
  features.7                192          5       20    10.4%
  features.8                384          6      124    32.3%
  features.9                384         10      111    28.9%
  features.10               384          7       98    25.5%
  features.11               384         17      108    28.1%
  features.12               576         11      184    31.9%
  features.13               576         11      157    27.3%
  features.14               576         19      106    18.4%
  features.15               960         35      320    33.3%
  features.16               960         21      134    14.0%
  features.17               960          4       11     1.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 73          1       1.4%
  features.3                124          1       0.8%
  features.4                129          1       0.8%
  features.5                156          1       0.6%
  features.6                147          1       0.7%
  features.7                177          1       0.6%
  features.8                266          2       0.8%
  features.9                283          2       0.7%
  features.10               293          2       0.7%
  features.11               293          2       0.7%
  features.12               403          3       0.7%
  features.13               430          3       0.7%
  features.14               489          3       0.6%
  features.15               675          4       0.6%
  features.16               847          5       0.6%
  features.17               953          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 7채널 제거
  features.11: 17채널 제거
  features.12: 11채널 제거
  features.13: 11채널 제거
  features.14: 19채널 제거
  features.15: 35채널 제거
  features.16: 21채널 제거
  features.17: 4채널 제거
  features.2: 4채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 4채널 제거
  features.6: 2채널 제거
  features.7: 5채널 제거
  features.8: 6채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                      349    -0.363014 1.245399e-07 1.439202e-07   0.8048   0.0788      137
features.12                      510    -0.356965 2.386571e-07 3.521984e-07   0.9403   0.2264      201
features.11                      298    -0.347603 2.564891e-07 2.977503e-07   0.7192   0.0240      169
features.15                      838    -0.336053 4.011053e-07 1.740205e-07   0.8769   0.2047      329
features.10                      186    -0.335616 1.212307e-07 1.834808e-07   0.7945   0.1233      137
features.7                        20    -0.332386 8.015880e-07 4.717342e-07   0.7159   0.0511      105
features.13                       88    -0.332168 1.341544e-07 2.531877e-07   0.8601   0.1958      201
features.16                      189    -0.319740 9.122066e-07 6.580557e-08   0.9362   0.2967      329
features.2                        67    -0.319444 1.316498e-07 7.124107e-06   0.7222   0.0833       49
features.16                       94    -0.319149 7.319580e-07 5.938243e-08   0.9066   0.2683      329
features.15                      621    -0.318991 7.590284e-07 2.599168e-07   0.9407   0.3027      329
features.16                      135    -0.316785 4.157533e-07 2.855277e-08   0.7908   0.1572      329
features.12                      134    -0.315920 5.534400e-08 7.635700e-08   0.6766   0.0448      201
features.7                       144    -0.315341 9.073833e-07 9.531545e-07   0.7727   0.1420      105
features.11                      152    -0.315068 2.018248e-07 2.558343e-07   0.6438   0.0137      169
features.12                      388    -0.314677 9.249752e-08 3.328102e-07   0.8284   0.1990      201
features.15                      852    -0.313798 2.089063e-07 1.042111e-07   0.7478   0.1202      329
features.14                      539    -0.313525 1.122225e-06 2.113677e-07   0.8238   0.1967      265
features.16                      199    -0.313239 8.620754e-07 6.607882e-08   0.9255   0.2991      329
features.15                      650    -0.313056 2.993902e-07 1.692149e-07   0.8249   0.1988      329
features.15                      948    -0.312315 3.474198e-06 3.180174e-07   0.9985   0.3739      329
features.11                       53    -0.311644 2.862390e-07 7.670526e-07   0.7534   0.1301      169
features.11                      173    -0.311644 4.638912e-07 1.725530e-06   0.9144   0.2911      169
features.14                      448    -0.310451 1.511390e-06 2.929056e-07   0.9119   0.2910      265
features.13                      130    -0.310023 9.436427e-08 1.863809e-07   0.7762   0.1562      201
features.14                      405    -0.308402 1.120309e-06 2.224534e-07   0.8217   0.2049      265
features.10                       94    -0.306507 9.298607e-08 1.629577e-07   0.6952   0.0822      137
features.15                       17    -0.306380 3.546065e-07 2.179378e-07   0.8620   0.2493      329
features.16                      700    -0.305556 3.640915e-07 2.725920e-08   0.7600   0.1489      329
features.13                      226    -0.304196 1.407335e-07 3.201911e-07   0.8741   0.2657      201
features.15                      703    -0.304154 2.188040e-07 1.332142e-07   0.7582   0.1499      329
features.9                       274    -0.303191 1.703692e-07 3.578366e-07   0.8475   0.2411      137
features.9                        12    -0.301418 1.124993e-07 3.096221e-07   0.7730   0.1702      137
features.16                      901    -0.301418 4.553126e-07 4.473023e-08   0.8156   0.2128      329
features.12                      412    -0.300995 8.442784e-08 3.120698e-07   0.7935   0.1915      201
features.14                       14    -0.300205 9.290584e-07 1.608659e-07   0.7561   0.1557      265
features.15                      415    -0.299703 1.635994e-07 6.577564e-08   0.6691   0.0697      329
features.16                       41    -0.299645 5.968801e-07 6.056730e-08   0.8723   0.2730      329
features.15                       27    -0.298961 2.680938e-07 1.698883e-07   0.7997   0.2018      329
features.7                       114    -0.298295 9.328706e-07 1.130173e-06   0.8011   0.2045      105
features.11                       99    -0.296233 3.883364e-07 1.471307e-06   0.8562   0.2637      169
features.15                      565    -0.295252 2.852383e-07 1.937818e-07   0.8145   0.2240      329
features.14                      365    -0.295082 1.360691e-06 2.903631e-07   0.8770   0.2869      265
