================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 14
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 17:25:18
  remove_target  : 31966
  accum_removed  : 32086
  selected_channels : 158
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1659580
  model_sparsity : 24.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        2     6.2%
  features.2                 96          4       56    58.3%
  features.3                144          5       43    29.9%
  features.4                144          5       34    23.6%
  features.5                192          6       70    36.5%
  features.6                192          5       77    40.1%
  features.7                192         11       53    27.6%
  features.8                384          4      164    42.7%
  features.9                384          9      159    41.4%
  features.10               384          9      148    38.5%
  features.11               384         16      180    46.9%
  features.12               576         20      269    46.7%
  features.13               576         10      246    42.7%
  features.14               576         18      224    38.9%
  features.15               960         19      480    50.0%
  features.16               960         11      221    23.0%
  features.17               960          6       42     4.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 30          1       3.3%
  features.2                 44          1       2.3%
  features.3                106          1       0.9%
  features.4                115          1       0.9%
  features.5                128          1       0.8%
  features.6                120          1       0.8%
  features.7                150          1       0.7%
  features.8                224          2       0.9%
  features.9                234          2       0.9%
  features.10               245          2       0.8%
  features.11               220          2       0.9%
  features.12               327          2       0.6%
  features.13               340          2       0.6%
  features.14               370          2       0.5%
  features.15               499          3       0.6%
  features.16               750          4       0.5%
  features.17               924          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 9채널 제거
  features.11: 16채널 제거
  features.12: 20채널 제거
  features.13: 10채널 제거
  features.14: 18채널 제거
  features.15: 19채널 제거
  features.16: 11채널 제거
  features.17: 6채널 제거
  features.2: 4채널 제거
  features.3: 5채널 제거
  features.4: 5채널 제거
  features.5: 6채널 제거
  features.6: 5채널 제거
  features.7: 11채널 제거
  features.8: 4채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      492    -0.349594 1.115727e-06 1.037436e-07   0.7425   0.0434      265
features.7                        98    -0.345638 1.441508e-06 1.716055e-06   0.8591   0.1678      105
features.11                      153    -0.344749 3.868828e-07 1.895516e-06   0.8265   0.1370      169
features.14                      469    -0.340108 1.592039e-06 3.763688e-07   0.8862   0.2060      265
features.15                      529    -0.338353 3.493403e-07 3.003959e-07   0.8574   0.1807      329
features.14                       90    -0.333333 9.783024e-07 8.137245e-08   0.6883   0.0217      265
features.5                         3    -0.326772 5.571637e-08 1.924685e-06   0.8031   0.1496       73
features.12                      263    -0.323620 1.284513e-07 4.984703e-07   0.8405   0.1933      201
features.7                       123    -0.318792 1.385487e-06 1.886167e-06   0.8389   0.2013      105
features.11                      217    -0.317352 3.498344e-07 2.350386e-06   0.8037   0.1689      169
features.11                      294    -0.315068 4.429274e-07 2.832919e-06   0.8630   0.2329      169
features.12                      227    -0.312883 1.582032e-07 6.316839e-07   0.8926   0.2669      201
features.7                        71    -0.312081 3.106679e-06 2.547082e-06   0.9664   0.3423      105
features.14                      120    -0.311653 1.162900e-06 2.990864e-07   0.7615   0.1382      265
features.15                      277    -0.311245 5.121593e-07 5.190851e-07   0.9096   0.2871      329
features.15                      656    -0.311245 2.028199e-07 1.358385e-07   0.6988   0.0763      329
features.13                      197    -0.309735 6.431854e-08 1.203762e-07   0.6903   0.0708      201
features.9                       284    -0.309013 9.193489e-08 2.657803e-07   0.6910   0.0730      137
features.7                       121    -0.302013 1.641477e-06 2.213880e-06   0.8926   0.2886      105
features.5                        18    -0.295276 4.703279e-08 1.966208e-06   0.7480   0.1575       73
features.9                       138    -0.293991 7.800459e-08 2.330974e-07   0.6352   0.0472      137
features.8                       110    -0.293722 2.401809e-07 1.612914e-06   0.9148   0.3274      137
features.16                      535    -0.291722 3.818181e-07 4.933253e-08   0.7797   0.1963      329
features.14                      428    -0.289973 8.371209e-07 1.017554e-07   0.6179   0.0379      265
features.4                        29    -0.289474 3.994137e-07 3.743307e-06   0.7807   0.2018       65
features.15                      370    -0.289157 3.017971e-07 4.447739e-07   0.8193   0.2410      329
features.15                      919    -0.289157 2.579515e-07 3.769076e-07   0.7851   0.2068      329
features.12                      489    -0.288344 5.995558e-08 2.861640e-07   0.6871   0.1104      201
features.15                      927    -0.287149 3.259133e-07 4.726373e-07   0.8373   0.2631      329
features.13                      376    -0.286136 1.299674e-07 4.410272e-07   0.8407   0.2684      201
features.7                       183    -0.285235 6.559795e-07 9.040564e-07   0.6174   0.0470      105
features.12                      303    -0.282209 5.668971e-08 2.460171e-07   0.6503   0.0859      201
features.7                        15    -0.281879 1.074911e-06 1.799327e-06   0.7517   0.1879      105
features.14                        8    -0.281843 1.022193e-06 3.045817e-07   0.7073   0.1436      265
features.14                      525    -0.280488 1.064613e-06 3.138085e-07   0.7182   0.1572      265
features.8                       151    -0.280269 6.481135e-08 2.191100e-07   0.5740   0.0135      137
features.13                      179    -0.280236 1.952628e-07 6.036190e-07   0.9027   0.3422      201
features.10                      298    -0.278688 1.035313e-07 2.710960e-07   0.6926   0.1352      137
features.14                      430    -0.277778 9.097525e-07 2.298972e-07   0.6640   0.1084      265
features.10                      196    -0.276639 9.411753e-08 2.039133e-07   0.6475   0.0943      137
features.14                      458    -0.276423 2.563004e-06 7.320515e-07   0.9783   0.4255      265
features.14                      429    -0.275068 1.964663e-06 6.706512e-07   0.9377   0.3875      265
features.15                      751    -0.274096 2.545719e-07 4.242877e-07   0.7791   0.2309      329
features.11                      316    -0.273973 2.218936e-07 1.281087e-06   0.6301   0.0822      169
features.6                        13    -0.273109 2.692740e-08 1.978124e-06   0.7059   0.1597       73
features.12                      434    -0.269939 7.804567e-07 1.021233e-06   0.9939   0.4540      201
features.7                       186    -0.268456 1.230349e-06 2.158155e-06   0.8054   0.2685      105
features.14                      506    -0.268293 1.570792e-06 6.053626e-07   0.8835   0.3469      265
features.4                        60    -0.267544 3.562868e-07 3.834990e-06   0.7456   0.2105       65
features.2                        86    -0.267442 9.493716e-08 1.024475e-04   0.7674   0.2326       49
features.12                      442    -0.266871 7.731929e-08 4.849955e-07   0.7239   0.1902      201
