================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 15
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 17:31:11
  remove_target  : 31164
  accum_removed  : 31301
  selected_channels : 141
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1628279
  model_sparsity : 25.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        2     6.2%
  features.2                 96          1       57    59.4%
  features.3                144          1       44    30.6%
  features.4                144          1       35    24.3%
  features.5                192          5       75    39.1%
  features.6                192          6       83    43.2%
  features.7                192          6       59    30.7%
  features.8                384          6      170    44.3%
  features.9                384         10      169    44.0%
  features.10               384         13      161    41.9%
  features.11               384         15      195    50.8%
  features.12               576         10      279    48.4%
  features.13               576         12      258    44.8%
  features.14               576         17      241    41.8%
  features.15               960         20      500    52.1%
  features.16               960          7      228    23.8%
  features.17               960         11       53     5.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 30          1       3.3%
  features.2                 40          1       2.5%
  features.3                101          1       1.0%
  features.4                110          1       0.9%
  features.5                122          1       0.8%
  features.6                115          1       0.9%
  features.7                139          1       0.7%
  features.8                220          2       0.9%
  features.9                225          2       0.9%
  features.10               236          2       0.8%
  features.11               204          2       1.0%
  features.12               307          2       0.7%
  features.13               330          2       0.6%
  features.14               352          2       0.6%
  features.15               480          3       0.6%
  features.16               739          4       0.5%
  features.17               918          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 13채널 제거
  features.11: 15채널 제거
  features.12: 10채널 제거
  features.13: 12채널 제거
  features.14: 17채널 제거
  features.15: 20채널 제거
  features.16: 7채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.4: 1채널 제거
  features.5: 5채널 제거
  features.6: 6채널 제거
  features.7: 6채널 제거
  features.8: 6채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      332    -0.354701 1.884212e-06 4.186077e-07   0.9117   0.2023      265
features.11                      137    -0.354680 7.728954e-07 3.552742e-06   0.9409   0.2315      169
features.11                      159    -0.344828 7.461206e-07 3.731423e-06   0.9310   0.2414      169
features.12                      188    -0.334967 3.601058e-07 8.144237e-07   0.9673   0.2974      201
features.15                      404    -0.323591 5.192713e-07 5.539617e-07   0.9040   0.2568      329
features.15                       95    -0.318372 2.315875e-07 1.897441e-07   0.7349   0.0981      329
features.12                      430    -0.313725 5.622679e-08 2.553215e-07   0.6961   0.0686      201
features.11                      221    -0.312808 3.532998e-07 2.693830e-06   0.7635   0.1379      169
features.8                       277    -0.310502 2.293358e-07 1.470671e-06   0.8813   0.2603      137
features.12                      106    -0.310458 1.765217e-07 7.436282e-07   0.8987   0.2778      201
features.12                      217    -0.310457 5.276836e-08 1.471401e-07   0.6699   0.0490      201
features.11                      136    -0.310345 2.286082e-07 1.413782e-06   0.6700   0.0493      169
features.9                       329    -0.310268 1.865600e-07 5.949419e-07   0.8348   0.2143      137
features.15                      322    -0.307933 1.741151e-07 1.209591e-07   0.6681   0.0522      329
features.15                      928    -0.305846 1.959857e-07 1.724904e-07   0.6994   0.0877      329
features.6                        15    -0.302632 4.272309e-08 1.911541e-06   0.7281   0.1228       73
features.10                      197    -0.302128 1.211487e-07 2.524138e-07   0.7149   0.1106      137
features.14                      500    -0.299145 1.767524e-06 5.800195e-07   0.8946   0.2963      265
features.14                      244    -0.297721 1.426565e-06 4.910893e-07   0.8376   0.2422      265
features.16                       17    -0.296748 5.478796e-07 8.028491e-08   0.8591   0.2656      329
features.14                        4    -0.296296 1.035361e-06 2.877300e-07   0.7208   0.1282      265
features.15                      217    -0.294363 7.565396e-07 7.099107e-07   0.9415   0.3528      329
features.10                      360    -0.293617 1.681998e-07 4.391383e-07   0.8298   0.2426      137
features.7                        87    -0.293478 1.962808e-06 3.050380e-06   0.8696   0.2826      105
features.7                       128    -0.293478 1.473710e-06 2.269924e-06   0.7899   0.2029      105
features.14                      477    -0.292023 2.015475e-06 6.427724e-07   0.9259   0.3419      265
features.14                      288    -0.290598 1.697565e-06 5.909469e-07   0.8860   0.3048      265
features.5                        32    -0.289256 9.852343e-08 4.976373e-06   0.8595   0.2810       73
features.15                      302    -0.289144 1.693339e-06 8.842786e-07   0.9937   0.4154      329
features.13                      379    -0.288754 5.685633e-08 1.805324e-07   0.6748   0.0973      201
features.7                       174    -0.286232 5.518049e-06 3.810895e-06   0.9855   0.4130      105
features.11                      335    -0.285714 7.062441e-07 4.579643e-06   0.9163   0.3448      169
features.11                      366    -0.285714 2.273926e-07 1.758640e-06   0.6601   0.0887      169
features.14                      400    -0.284900 8.785383e-07 1.808122e-07   0.6382   0.0684      265
features.14                      339    -0.283476 1.073673e-06 3.655198e-07   0.7379   0.1709      265
features.11                       82    -0.283251 2.130705e-07 1.421846e-06   0.6207   0.0542      169
features.11                      292    -0.283251 1.151109e-06 5.323546e-06   0.9803   0.4138      169
features.7                         0    -0.282609 3.575408e-06 3.763654e-06   0.9638   0.3986      105
features.15                      726    -0.281837 3.658255e-07 5.590201e-07   0.8267   0.2630      329
features.12                      467    -0.281046 5.880306e-08 4.676339e-07   0.7157   0.1536      201
features.10                      227    -0.280851 6.704348e-07 6.839272e-07   0.9830   0.4213      137
features.3                        90    -0.280000 3.170686e-08 8.829153e-06   0.7200   0.1600       57
features.14                      164    -0.279202 1.118317e-06 4.074632e-07   0.7493   0.1909      265
