================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 18:18:40
  remove_target  : 25410
  accum_removed  : 25679
  selected_channels : 111
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1403734
  model_sparsity : 36.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        5    15.6%
  features.2                 96          1       64    66.7%
  features.3                144          3       65    45.1%
  features.4                144          2       51    35.4%
  features.5                192          3      102    53.1%
  features.6                192          5      105    54.7%
  features.7                192          3       93    48.4%
  features.8                384          6      225    58.6%
  features.9                384          5      220    57.3%
  features.10               384          6      205    53.4%
  features.11               384          5      243    63.3%
  features.12               576         10      351    60.9%
  features.13               576         16      328    56.9%
  features.14               576          6      344    59.7%
  features.15               960         16      634    66.0%
  features.16               960         16      368    38.3%
  features.17               960          8      135    14.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 33          1       3.0%
  features.3                 82          1       1.2%
  features.4                 95          1       1.1%
  features.5                 93          1       1.1%
  features.6                 92          1       1.1%
  features.7                102          1       1.0%
  features.8                165          1       0.6%
  features.9                169          1       0.6%
  features.10               185          1       0.5%
  features.11               146          1       0.7%
  features.12               235          2       0.9%
  features.13               264          2       0.8%
  features.14               238          2       0.8%
  features.15               342          2       0.6%
  features.16               608          4       0.7%
  features.17               833          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 5채널 제거
  features.12: 10채널 제거
  features.13: 16채널 제거
  features.14: 6채널 제거
  features.15: 16채널 제거
  features.16: 16채널 제거
  features.17: 8채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 5채널 제거
  features.7: 3채널 제거
  features.8: 6채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                       77    -0.348974 2.148885e-07 1.382412e-07   0.7185   0.0205      329
features.12                      258    -0.309829 6.129282e-08 4.517778e-07   0.7094   0.0897      201
features.8                       352    -0.307927 1.243942e-07 1.644315e-06   0.7866   0.1707      137
features.9                       360    -0.294643 1.357740e-07 7.922662e-07   0.7738   0.1845      137
features.15                      495    -0.284457 1.639673e-07 3.657524e-07   0.6481   0.0792      329
features.16                      514    -0.281713 2.641535e-06 2.739001e-07   0.9852   0.4217      329
features.13                      568    -0.281369 3.867331e-08 6.297351e-08   0.5970   0.0342      201
features.16                      731    -0.280066 2.352500e-07 4.277059e-08   0.6820   0.1219      329
features.13                      445    -0.277567 8.007519e-08 6.340476e-07   0.7757   0.2205      201
features.8                        90    -0.274390 2.313795e-07 3.490604e-06   0.9146   0.3659      137
features.3                        50    -0.271605 1.379048e-08 8.344213e-06   0.6420   0.0988       57
features.12                      129    -0.271368 6.796712e-08 9.809798e-07   0.7521   0.2094      201
features.15                      433    -0.269795 3.192699e-07 1.033268e-06   0.8035   0.2639      329
features.11                       75    -0.268966 7.167762e-07 1.110392e-05   0.9310   0.3931      169
features.8                        89    -0.268293 2.468250e-07 3.653198e-06   0.9268   0.3902      137
features.14                      353    -0.267932 1.243350e-06 9.614247e-07   0.7553   0.2194      265
features.16                      242    -0.265239 9.009696e-07 2.332093e-07   0.9044   0.3740      329
features.16                      557    -0.261120 2.291774e-06 3.107991e-07   0.9769   0.4547      329
features.10                      220    -0.260870 4.348924e-07 7.872222e-07   0.9565   0.4348      137
features.16                      577    -0.259473 1.427927e-07 2.287049e-08   0.5799   0.0610      329
features.15                      828    -0.256598 1.401329e-07 4.209568e-07   0.6041   0.0909      329
features.8                       278    -0.256098 2.520344e-07 4.199919e-06   0.9451   0.4329      137
features.8                       359    -0.256098 4.507084e-07 4.403189e-06   0.9817   0.4695      137
features.13                      276    -0.254753 7.740489e-08 7.098696e-07   0.7605   0.2510      201
features.17                      281    -0.254207 5.868936e-07 1.577579e-08   0.8041   0.2957      489
features.6                        27    -0.252747 3.763208e-08 4.133305e-06   0.7802   0.2747       73
features.12                       56    -0.252137 7.435705e-08 1.133553e-06   0.7650   0.2607      201
