================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 24
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 18:24:39
  remove_target  : 24768
  accum_removed  : 24798
  selected_channels : 102
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1378936
  model_sparsity : 37.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        5    15.6%
  features.2                 96          1       65    67.7%
  features.3                144          3       68    47.2%
  features.4                144          2       53    36.8%
  features.5                192          1      103    53.6%
  features.6                192          1      106    55.2%
  features.7                192          6       99    51.6%
  features.8                384          8      233    60.7%
  features.9                384          3      223    58.1%
  features.10               384          4      209    54.4%
  features.11               384         10      253    65.9%
  features.12               576         10      361    62.7%
  features.13               576          5      333    57.8%
  features.14               576         15      359    62.3%
  features.15               960          9      643    67.0%
  features.16               960         11      379    39.5%
  features.17               960         13      148    15.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 32          1       3.1%
  features.3                 79          1       1.3%
  features.4                 93          1       1.1%
  features.5                 90          1       1.1%
  features.6                 87          1       1.1%
  features.7                 99          1       1.0%
  features.8                159          1       0.6%
  features.9                164          1       0.6%
  features.10               179          1       0.6%
  features.11               141          1       0.7%
  features.12               225          2       0.9%
  features.13               248          2       0.8%
  features.14               232          2       0.9%
  features.15               326          2       0.6%
  features.16               592          3       0.5%
  features.17               825          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 10채널 제거
  features.12: 10채널 제거
  features.13: 5채널 제거
  features.14: 15채널 제거
  features.15: 9채널 제거
  features.16: 11채널 제거
  features.17: 13채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 1채널 제거
  features.6: 1채널 제거
  features.7: 6채널 제거
  features.8: 8채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      222    -0.326840 1.536475e-06 4.047434e-07   0.7316   0.0779      265
features.13                      469    -0.307692 5.624519e-08 1.306888e-07   0.6680   0.0526      201
features.11                       66    -0.296429 8.091190e-07 1.030804e-05   0.9429   0.3500      169
features.3                       129    -0.294872 5.247067e-08 3.041334e-05   0.9359   0.3462       57
features.14                      317    -0.287879 1.289740e-06 5.552790e-07   0.6926   0.1169      265
features.12                      309    -0.285714 1.031282e-07 1.164012e-06   0.8170   0.2455      201
features.7                       104    -0.285714 7.699305e-07 1.153624e-06   0.5816   0.0102      105
features.14                      148    -0.283550 2.431282e-06 1.395700e-06   0.9004   0.3333      265
features.17                      647    -0.279126 3.601527e-07 5.214663e-09   0.6566   0.0983      489
features.12                       75    -0.276786 1.650416e-07 1.711075e-06   0.9107   0.3571      201
features.9                       204    -0.276074 4.000191e-07 1.528148e-06   0.9202   0.3681      137
features.7                       176    -0.270408 1.122903e-06 3.517321e-06   0.7143   0.1735      105
features.11                       29    -0.267857 2.222730e-07 2.872820e-06   0.6071   0.0714      169
features.14                      141    -0.264069 1.466075e-06 8.565322e-07   0.7273   0.1991      265
features.15                      813    -0.261538 1.734850e-07 3.577848e-07   0.6062   0.0831      329
features.11                       64    -0.260714 3.614351e-07 6.876398e-06   0.7429   0.2214      169
features.7                       162    -0.260204 7.225838e-07 1.482077e-06   0.5510   0.0306      105
features.10                       21    -0.258427 1.054759e-07 3.988780e-07   0.6854   0.1685      137
features.13                      245    -0.257085 5.095770e-08 3.344676e-07   0.6356   0.1215      201
features.15                      480    -0.256923 4.404083e-07 1.520754e-06   0.8554   0.3415      329
features.8                       190    -0.256329 6.010065e-08 7.588974e-07   0.5823   0.0696      137
features.17                      687    -0.254248 8.928571e-07 2.150617e-08   0.8859   0.3774      489
features.15                      310    -0.252308 4.685427e-07 1.586100e-06   0.8677   0.3631      329
features.14                      306    -0.251082 4.367763e-06 2.061219e-06   0.9870   0.4848      265
features.13                      315    -0.251012 5.556349e-08 4.329033e-07   0.6599   0.1579      201
features.15                      326    -0.250769 3.133084e-07 1.203775e-06   0.7723   0.2708      329
features.8                       173    -0.250000 1.104738e-07 2.801628e-06   0.7911   0.2911      137
