================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 43
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-27 20:15:32
  remove_target  : 15228
  accum_removed  : 15542
  selected_channels : 62
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1006598
  model_sparsity : 54.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        5    15.6%
  features.2                 96          1       74    77.1%
  features.3                144          2      100    69.4%
  features.4                144          0       69    47.9%
  features.5                192          3      132    68.8%
  features.6                192          2      143    74.5%
  features.7                192          5      150    78.1%
  features.8                384          2      308    80.2%
  features.9                384          2      294    76.6%
  features.10               384          3      273    71.1%
  features.11               384          3      333    86.7%
  features.12               576          2      455    79.0%
  features.13               576          5      431    74.8%
  features.14               576          8      483    83.9%
  features.15               960          2      812    84.6%
  features.16               960         12      579    60.3%
  features.17               960         10      401    41.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 23          1       4.3%
  features.3                 46          1       2.2%
  features.4                 75          1       1.3%
  features.5                 63          1       1.6%
  features.6                 51          1       2.0%
  features.7                 47          1       2.1%
  features.8                 78          1       1.3%
  features.9                 92          1       1.1%
  features.10               114          1       0.9%
  features.11                54          1       1.9%
  features.12               123          1       0.8%
  features.13               150          1       0.7%
  features.14               101          1       1.0%
  features.15               150          1       0.7%
  features.16               393          2       0.5%
  features.17               569          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 3채널 제거
  features.12: 2채널 제거
  features.13: 5채널 제거
  features.14: 8채널 제거
  features.15: 2채널 제거
  features.16: 12채널 제거
  features.17: 10채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 5채널 제거
  features.8: 2채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      252    -0.273585 6.950526e-07 4.430638e-05   0.8113   0.2642      169
features.8                       260    -0.272727 4.823844e-07 1.226137e-05   0.9740   0.4286      137
features.13                      142    -0.271812 8.711762e-08 1.005606e-06   0.7315   0.1879      201
features.9                       311    -0.258242 1.438885e-07 3.067114e-06   0.7692   0.2527      137
features.5                        62    -0.258065 7.916550e-08 1.137378e-05   0.7258   0.2097       73
features.16                       37    -0.252551 5.433312e-07 3.534056e-07   0.7704   0.2653      329
features.17                      645    -0.250880 5.478640e-07 2.822338e-08   0.7077   0.2060      489
features.6                        47    -0.250000 2.283298e-08 2.448433e-06   0.5600   0.0600       73
features.7                        58    -0.250000 2.723642e-06 2.386220e-05   0.8261   0.3261      105
features.10                      129    -0.247788 4.139277e-07 1.747633e-06   0.9735   0.4779      137
features.16                      754    -0.246173 4.508670e-07 3.252471e-07   0.7321   0.2398      329
features.11                        9    -0.245283 5.978630e-07 4.128784e-05   0.7358   0.2453      169
features.10                      181    -0.243363 6.009885e-08 2.627460e-07   0.5575   0.0708      137
features.13                      240    -0.241611 3.546675e-07 3.352373e-06   0.9597   0.4765      201
features.16                      265    -0.239796 4.256381e-07 3.029509e-07   0.7092   0.2296      329
features.7                        42    -0.239130 1.071582e-06 5.682811e-06   0.5435   0.0652      105
features.7                        63    -0.239130 1.325855e-06 1.170051e-05   0.6304   0.1522      105
features.16                      738    -0.238520 2.828439e-07 1.126710e-07   0.5918   0.1148      329
features.16                      758    -0.238520 3.568958e-07 2.141233e-07   0.6658   0.1888      329
features.17                       24    -0.235035 3.396442e-07 1.292626e-08   0.5704   0.1004      489
features.17                       45    -0.235035 4.695881e-07 2.656032e-08   0.6673   0.1972      489
features.14                      527    -0.235000 2.552358e-05 1.088290e-05   1.0000   0.5300      265
features.3                        97    -0.233333 1.352910e-08 3.013541e-05   0.5556   0.0889       57
features.13                      399    -0.231544 1.225356e-07 1.998696e-06   0.8188   0.3557      201
features.17                      669    -0.230634 2.951528e-07 9.111345e-09   0.5317   0.0704      489
features.14                      243    -0.230000 1.718852e-06 5.806491e-07   0.5100   0.0500      265
features.14                      512    -0.230000 5.949888e-06 8.136679e-06   0.8500   0.3900      265
features.16                      883    -0.228316 3.258265e-07 2.081139e-07   0.6352   0.1786      329
features.8                       176    -0.227273 1.752348e-07 7.828885e-06   0.7403   0.2857      137
features.5                       109    -0.225806 5.452837e-08 9.985595e-06   0.6290   0.1774       73
features.13                      410    -0.224832 3.732754e-07 4.436622e-06   0.9732   0.5235      201
features.16                      730    -0.224490 2.730879e-07 1.332060e-07   0.5816   0.1327      329
