================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 3
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 03:36:14
  remove_target  : 42279
  accum_removed  : 42440
  selected_channels : 200
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2061731
  model_sparsity : 6.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        3     9.4%
  features.2                 96          2        6     6.2%
  features.3                144          4       11     7.6%
  features.4                144          0        0     0.0%
  features.5                192          8       20    10.4%
  features.6                192          5       19     9.9%
  features.7                192          1        3     1.6%
  features.8                384         18       56    14.6%
  features.9                384         16       45    11.7%
  features.10               384         15       48    12.5%
  features.11               384         16       39    10.2%
  features.12               576         20       72    12.5%
  features.13               576         23       68    11.8%
  features.14               576         16       45     7.8%
  features.15               960         35      112    11.7%
  features.16               960         16       61     6.4%
  features.17               960          4        5     0.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 30          1       3.3%
  features.2                 92          1       1.1%
  features.3                137          1       0.7%
  features.4                144          1       0.7%
  features.5                180          1       0.6%
  features.6                178          1       0.6%
  features.7                190          1       0.5%
  features.8                346          2       0.6%
  features.9                355          2       0.6%
  features.10               351          2       0.6%
  features.11               361          2       0.6%
  features.12               524          3       0.6%
  features.13               531          3       0.6%
  features.14               547          3       0.5%
  features.15               883          5       0.6%
  features.16               915          5       0.5%
  features.17               959          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 15채널 제거
  features.11: 16채널 제거
  features.12: 20채널 제거
  features.13: 23채널 제거
  features.14: 16채널 제거
  features.15: 35채널 제거
  features.16: 16채널 제거
  features.17: 4채널 제거
  features.2: 2채널 제거
  features.3: 4채널 제거
  features.5: 8채널 제거
  features.6: 5채널 제거
  features.7: 1채널 제거
  features.8: 18채널 제거
  features.9: 16채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                        92    -0.891594 8.923957e-07 1.850196e-07   1.0000   0.0841      137
features.10                      135    -0.885714 5.782059e-07 1.260501e-07   0.9971   0.1171      137
features.8                       160    -0.880870 2.995708e-07 6.899157e-08   0.9797   0.0087      137
features.12                      497    -0.879350 3.556816e-07 8.767653e-08   0.9847   0.0688      201
features.12                      101    -0.878967 3.780091e-07 1.150784e-07   0.9885   0.1071      201
features.9                       139    -0.876554 4.710535e-07 9.329135e-08   0.9802   0.0565      137
features.2                        37    -0.874725 5.823942e-07 1.046189e-05   1.0000   0.2527       49
features.8                       183    -0.873913 3.072631e-07 2.445913e-07   0.9855   0.1304      137
features.15                      513    -0.871542 1.357078e-06 9.064057e-08   0.9921   0.2132      329
features.15                       19    -0.871202 1.327915e-06 8.461391e-08   0.9898   0.1961      329
features.8                       171    -0.870145 3.621543e-07 4.473252e-07   0.9942   0.2464      137
features.15                      167    -0.869161 1.165631e-06 7.312407e-08   0.9841   0.1655      329
features.9                       310    -0.865537 4.056840e-07 4.413783e-08   0.9633   0.0141      137
features.14                       42    -0.863004 2.061202e-06 1.999953e-07   0.9890   0.2711      265
features.9                       372    -0.862147 5.161601e-07 2.832528e-07   0.9887   0.2768      137
features.5                        74    -0.862011 1.722934e-07 9.731227e-07   0.9721   0.1285       73
features.8                       159    -0.861449 2.670773e-07 2.025368e-07   0.9681   0.0986      137
features.15                      500    -0.860431 1.006113e-06 5.878140e-08   0.9683   0.1100      329
features.15                      389    -0.860317 1.171561e-06 1.046437e-07   0.9853   0.2642      329
features.12                      307    -0.860229 2.597035e-07 9.204285e-08   0.9637   0.0707      201
features.6                       147    -0.858757 1.319443e-07 1.204991e-06   0.9831   0.2599       73
features.13                      503    -0.858113 2.936813e-07 7.739879e-08   0.9604   0.0623      201
features.15                      293    -0.857823 1.068138e-06 8.498736e-08   0.9751   0.1973      329
features.8                       170    -0.857681 2.630065e-07 1.584168e-07   0.9594   0.0580      137
features.8                       314    -0.857101 2.618181e-07 6.901003e-08   0.9536   0.0116      137
features.10                      195    -0.856857 3.105723e-07 1.266309e-07   0.9657   0.1229      137
features.15                      622    -0.856349 1.082489e-06 9.661952e-08   0.9773   0.2324      329
