================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 4
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 03:42:18
  remove_target  : 41218
  accum_removed  : 41489
  selected_channels : 185
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2020242
  model_sparsity : 7.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          3        9     9.4%
  features.3                144          2       13     9.0%
  features.4                144          1        1     0.7%
  features.5                192          7       27    14.1%
  features.6                192          9       28    14.6%
  features.7                192          1        4     2.1%
  features.8                384          9       65    16.9%
  features.9                384         13       58    15.1%
  features.10               384         12       60    15.6%
  features.11               384          7       46    12.0%
  features.12               576         22       94    16.3%
  features.13               576         20       88    15.3%
  features.14               576         11       56     9.7%
  features.15               960         40      152    15.8%
  features.16               960         26       87     9.1%
  features.17               960          2        7     0.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 90          1       1.1%
  features.3                133          1       0.8%
  features.4                144          1       0.7%
  features.5                172          1       0.6%
  features.6                173          1       0.6%
  features.7                189          1       0.5%
  features.8                328          2       0.6%
  features.9                339          2       0.6%
  features.10               336          2       0.6%
  features.11               345          2       0.6%
  features.12               504          3       0.6%
  features.13               508          3       0.6%
  features.14               531          3       0.6%
  features.15               848          5       0.6%
  features.16               899          5       0.6%
  features.17               955          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 12채널 제거
  features.11: 7채널 제거
  features.12: 22채널 제거
  features.13: 20채널 제거
  features.14: 11채널 제거
  features.15: 40채널 제거
  features.16: 26채널 제거
  features.17: 2채널 제거
  features.2: 3채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 7채널 제거
  features.6: 9채널 제거
  features.7: 1채널 제거
  features.8: 9채널 제거
  features.9: 13채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                      212    -0.884478 4.005944e-07 1.306853e-07   0.9940   0.1015      137
features.12                        6    -0.878330 4.553634e-07 1.617871e-07   0.9960   0.1809      201
features.12                        3    -0.874155 3.488634e-07 1.148246e-07   0.9821   0.0974      201
features.10                      152    -0.872537 3.725618e-07 1.572587e-07   0.9851   0.1403      137
features.9                       232    -0.871302 4.596103e-07 1.372790e-07   0.9793   0.1006      137
features.15                       16    -0.868241 1.420927e-06 1.132478e-07   0.9941   0.2645      329
features.8                       239    -0.867584 2.663248e-07 3.394333e-07   0.9817   0.1590      137
features.5                        30    -0.862573 1.271899e-07 1.920260e-07   0.9591   0.0058       73
features.6                       141    -0.862209 1.166517e-07 7.968051e-07   0.9767   0.1686       73
features.10                      280    -0.862090 2.807164e-07 8.979374e-08   0.9642   0.0567      137
features.6                        26    -0.860465 8.426309e-08 2.513498e-07   0.9593   0.0291       73
features.12                      313    -0.860238 4.082008e-07 2.894363e-07   0.9920   0.3260      201
features.9                       349    -0.858580 3.488236e-07 1.131171e-07   0.9615   0.0680      137
features.13                      430    -0.858185 4.249903e-07 1.726856e-07   0.9783   0.2229      201
features.10                      366    -0.857612 3.863172e-07 2.678414e-07   0.9910   0.3433      137
features.10                      358    -0.857313 2.696822e-07 1.076297e-07   0.9612   0.0776      137
features.9                       185    -0.856509 3.754634e-07 1.477086e-07   0.9645   0.1154      137
features.9                       306    -0.856509 4.965721e-07 3.194095e-07   0.9852   0.3018      137
features.8                       137    -0.855046 2.314284e-07 2.848964e-07   0.9633   0.1193      137
features.13                      481    -0.853057 5.109498e-07 2.924356e-07   0.9901   0.3807      201
features.6                        67    -0.852907 9.867541e-08 9.765677e-07   0.9709   0.2093       73
features.12                      251    -0.852883 4.037268e-07 3.273945e-07   0.9901   0.3817      201
features.11                      348    -0.851744 5.527473e-07 3.365594e-07   0.9535   0.0640      169
features.10                      172    -0.850746 4.882822e-07 3.478772e-07   1.0000   0.4925      137
features.9                       115    -0.849408 3.111595e-07 1.065062e-07   0.9497   0.0533      137
features.8                        14    -0.848318 2.446134e-07 6.409101e-07   0.9755   0.2966      137
features.16                      924    -0.847884 9.041883e-07 2.468328e-08   0.9543   0.1102      329
features.10                       57    -0.847463 2.355104e-07 2.760449e-08   0.9433   0.0149      137
features.5                        78    -0.847368 1.395342e-07 2.894286e-06   0.9825   0.3684       73
features.13                      350    -0.847337 4.233474e-07 2.477008e-07   0.9763   0.3136      201
features.16                      165    -0.847327 1.215981e-06 6.519724e-08   0.9800   0.3463      329
features.12                      315    -0.846322 2.373914e-07 1.406118e-07   0.9563   0.1431      201
features.15                      223    -0.846281 1.029736e-06 1.170696e-07   0.9705   0.2715      329
features.16                      284    -0.845880 9.529650e-07 3.722632e-08   0.9610   0.1904      329
features.8                        52    -0.845872 2.689765e-07 9.063990e-07   0.9847   0.4037      137
features.12                       88    -0.845527 2.378626e-07 1.509124e-07   0.9583   0.1690      201
features.16                      215    -0.844209 9.467241e-07 3.555572e-08   0.9577   0.1771      329
features.10                      288    -0.844179 2.313200e-07 4.413058e-08   0.9403   0.0209      137
features.2                        91    -0.843820 4.484351e-07 1.603035e-05   0.9775   0.3596       49
features.15                      339    -0.843684 1.202380e-06 2.062033e-07   0.9870   0.4463      329
features.15                      611    -0.842621 1.326158e-06 2.413986e-07   0.9906   0.4888      329
features.12                      389    -0.841948 2.264650e-07 1.259960e-07   0.9483   0.1153      201
features.13                      321    -0.841815 3.297606e-07 2.012873e-07   0.9645   0.2623      201
features.15                       90    -0.841322 1.099451e-06 1.622093e-07   0.9776   0.3849      329
features.14                      351    -0.840755 1.830131e-06 1.870993e-07   0.9604   0.2358      265
features.14                      399    -0.839811 1.792665e-06 1.643535e-07   0.9566   0.2113      265
features.15                      334    -0.839433 8.360008e-07 6.295866e-08   0.9469   0.1275      329
features.5                       162    -0.839181 1.656950e-07 4.953314e-06   0.9883   0.5029       73
features.15                      288    -0.838961 9.232304e-07 9.466811e-08   0.9551   0.2066      329
features.15                      300    -0.838489 1.078809e-06 1.606264e-07   0.9740   0.3813      329
features.9                        66    -0.838166 3.003022e-07 1.470193e-07   0.9438   0.1124      137
features.15                      577    -0.837072 1.131005e-06 2.160671e-07   0.9811   0.4593      329
features.15                      943    -0.836954 9.654676e-07 1.205372e-07   0.9610   0.2798      329
features.13                      224    -0.836884 2.904958e-07 2.165643e-07   0.9606   0.2761      201
features.11                      173    -0.834593 6.930765e-07 1.949183e-06   0.9797   0.4709      169
features.8                        39    -0.834557 1.972637e-07 2.668723e-07   0.9388   0.1040      137
