================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 6
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 03:54:15
  remove_target  : 39166
  accum_removed  : 39193
  selected_channels : 177
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1940464
  model_sparsity : 11.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        4    12.5%
  features.2                 96          2       15    15.6%
  features.3                144          3       19    13.2%
  features.4                144          2        4     2.8%
  features.5                192          5       38    19.8%
  features.6                192          5       39    20.3%
  features.7                192          0        5     2.6%
  features.8                384         11       89    23.2%
  features.9                384         12       82    21.4%
  features.10               384         11       82    21.4%
  features.11               384         17       75    19.5%
  features.12               576         16      132    22.9%
  features.13               576         18      127    22.0%
  features.14               576         13       81    14.1%
  features.15               960         38      226    23.5%
  features.16               960         22      132    13.8%
  features.17               960          1       10     1.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 83          1       1.2%
  features.3                128          1       0.8%
  features.4                142          1       0.7%
  features.5                159          1       0.6%
  features.6                158          1       0.6%
  features.7                187          1       0.5%
  features.8                306          2       0.7%
  features.9                314          2       0.6%
  features.10               313          2       0.6%
  features.11               326          2       0.6%
  features.12               460          3       0.7%
  features.13               467          3       0.6%
  features.14               508          3       0.6%
  features.15               772          4       0.5%
  features.16               850          5       0.6%
  features.17               951          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 11채널 제거
  features.11: 17채널 제거
  features.12: 16채널 제거
  features.13: 18채널 제거
  features.14: 13채널 제거
  features.15: 38채널 제거
  features.16: 22채널 제거
  features.17: 1채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 5채널 제거
  features.6: 5채널 제거
  features.8: 11채널 제거
  features.9: 12채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       127    -0.899344 3.833933e-07 8.397660e-08   1.0000   0.0066      137
features.9                       271    -0.877316 5.548303e-07 2.449481e-07   0.9968   0.1981      137
features.12                      304    -0.874292 2.734564e-07 7.116199e-08   0.9760   0.0414      201
features.11                      227    -0.872923 7.010723e-07 5.447431e-07   0.9846   0.1323      169
features.15                      165    -0.871725 8.457106e-07 6.384349e-08   0.9818   0.1193      329
features.12                      433    -0.871024 2.909987e-07 1.240777e-07   0.9782   0.0937      201
features.8                       213    -0.870820 2.030868e-07 1.512766e-07   0.9705   0.0262      137
features.9                       186    -0.866773 3.514890e-07 1.068559e-07   0.9681   0.0447      137
features.15                      289    -0.866407 1.178053e-06 1.334337e-07   0.9922   0.2659      329
features.15                      592    -0.866278 8.798901e-07 9.859064e-08   0.9831   0.1855      329
features.15                      687    -0.866278 7.700085e-07 6.007949e-08   0.9741   0.1038      329
features.15                      590    -0.865759 8.026794e-07 6.980621e-08   0.9780   0.1440      329
features.11                      269    -0.864308 6.595046e-07 7.375181e-07   0.9815   0.1908      169
features.11                       70    -0.862462 5.672715e-07 3.485895e-07   0.9662   0.0708      169
features.13                      131    -0.861373 3.379289e-07 1.857182e-07   0.9785   0.1931      201
features.13                       53    -0.860730 3.204570e-07 1.518125e-07   0.9742   0.1609      201
features.15                      602    -0.860182 1.134592e-06 1.548480e-07   0.9909   0.3165      329
features.14                      443    -0.859763 2.049949e-06 1.495274e-07   0.9744   0.1716      265
features.15                       64    -0.856809 7.717455e-07 1.102487e-07   0.9754   0.2101      329
features.12                      562    -0.852505 4.158094e-07 4.773107e-07   0.9978   0.4553      201
features.11                        7    -0.850769 6.345690e-07 9.877069e-07   0.9754   0.2708      169
features.15                      202    -0.850584 1.299423e-06 2.342388e-07   0.9935   0.4358      329
features.8                       191    -0.848525 2.259568e-07 8.493686e-07   0.9803   0.3377      137
features.15                      315    -0.848119 7.031471e-07 1.025505e-07   0.9637   0.1920      329
features.15                      796    -0.847730 9.842533e-07 2.075375e-07   0.9870   0.4060      329
features.15                      629    -0.846952 7.137153e-07 1.183484e-07   0.9663   0.2270      329
features.13                      265    -0.846352 3.572571e-07 3.561538e-07   0.9828   0.3820      201
features.12                        0    -0.844444 2.986838e-07 3.957291e-07   0.9826   0.3987      201
features.12                      360    -0.842919 1.963289e-07 1.382102e-07   0.9499   0.1198      201
features.3                       104    -0.842520 3.588389e-08 4.549006e-06   0.9606   0.2205       57
features.12                      284    -0.842484 2.031281e-07 1.523247e-07   0.9521   0.1438      201
features.13                       74    -0.842275 2.742368e-07 2.149599e-07   0.9614   0.2296      201
features.15                      269    -0.841764 6.494587e-07 6.641864e-08   0.9494   0.1271      329
features.8                       345    -0.840984 1.827965e-07 3.080640e-07   0.9475   0.1180      137
features.15                      643    -0.840856 7.175774e-07 1.440283e-07   0.9676   0.2996      329
features.8                       185    -0.839672 1.642599e-07 9.819421e-08   0.9344   0.0131      137
features.14                      381    -0.839645 1.699001e-06 6.712717e-08   0.9369   0.0355      265
features.16                      106    -0.839105 8.704737e-07 3.773294e-08   0.9529   0.1849      329
features.15                      335    -0.838910 7.315832e-07 1.719952e-07   0.9702   0.3424      329
features.16                      236    -0.838163 1.363022e-06 1.608499e-07   0.9929   0.5548      329
features.16                      376    -0.837927 8.724251e-07 4.436544e-08   0.9541   0.2073      329
features.16                      225    -0.837338 8.938118e-07 4.989648e-08   0.9564   0.2344      329
features.12                       53    -0.837255 3.534670e-07 5.382811e-07   0.9869   0.5098      201
features.15                      625    -0.836835 6.434983e-07 7.581272e-08   0.9468   0.1530      329
features.15                      434    -0.836446 7.913942e-07 2.280833e-07   0.9767   0.4254      329
features.12                      241    -0.835512 1.905951e-07 1.492162e-07   0.9434   0.1351      201
features.10                       92    -0.834295 2.494874e-07 2.819956e-07   0.9647   0.3397      137
features.16                      298    -0.834158 1.101106e-06 1.006100e-07   0.9753   0.4358      329
features.9                       222    -0.833866 2.972996e-07 3.029144e-07   0.9553   0.2588      137
features.12                      144    -0.833115 2.500725e-07 3.547422e-07   0.9651   0.3551      201
features.8                       218    -0.832787 2.008029e-07 6.829850e-07   0.9574   0.2885      137
features.15                      111    -0.832166 6.497789e-07 1.206801e-07   0.9507   0.2348      329
features.11                       48    -0.831385 4.842545e-07 2.295206e-07   0.9262   0.0215      169
features.12                      291    -0.831372 2.184456e-07 3.041888e-07   0.9586   0.3137      201
features.13                      298    -0.831116 2.627347e-07 2.740645e-07   0.9571   0.3026      201
features.15                      702    -0.830869 6.945389e-07 1.718352e-07   0.9611   0.3411      329
features.10                      339    -0.830769 2.254354e-07 2.486908e-07   0.9551   0.2885      137
features.5                        95    -0.830380 1.531443e-07 7.493613e-06   0.9937   0.6392       73
features.15                      686    -0.830220 1.085672e-06 4.582805e-07   0.9896   0.6044      329
features.9                       183    -0.829712 2.668016e-07 1.198334e-07   0.9297   0.0703      137
features.13                      307    -0.828970 1.907415e-07 5.057977e-08   0.9249   0.0343      201
features.14                      550    -0.828797 1.835877e-06 2.589250e-07   0.9566   0.3215      265
features.15                      155    -0.828534 6.841524e-07 1.782058e-07   0.9598   0.3528      329
features.15                      166    -0.828275 8.055230e-07 3.322246e-07   0.9792   0.5305      329
features.6                        55    -0.828026 7.770027e-08 1.602741e-06   0.9554   0.3185       73
