================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 7
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:00:59
  remove_target  : 38186
  accum_removed  : 38415
  selected_channels : 175
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1902049
  model_sparsity : 13.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        5    15.6%
  features.2                 96          3       18    18.8%
  features.3                144          3       22    15.3%
  features.4                144          2        6     4.2%
  features.5                192          5       43    22.4%
  features.6                192          4       43    22.4%
  features.7                192          2        7     3.6%
  features.8                384         12      101    26.3%
  features.9                384         11       93    24.2%
  features.10               384         16       98    25.5%
  features.11               384          9       84    21.9%
  features.12               576         16      148    25.7%
  features.13               576         18      145    25.2%
  features.14               576         20      101    17.5%
  features.15               960         33      259    27.0%
  features.16               960         16      148    15.4%
  features.17               960          4       14     1.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 28          1       3.6%
  features.2                 81          1       1.2%
  features.3                125          1       0.8%
  features.4                140          1       0.7%
  features.5                154          1       0.6%
  features.6                153          1       0.7%
  features.7                187          1       0.5%
  features.8                295          2       0.7%
  features.9                302          2       0.7%
  features.10               302          2       0.7%
  features.11               309          2       0.6%
  features.12               444          3       0.7%
  features.13               449          3       0.7%
  features.14               495          3       0.6%
  features.15               734          4       0.5%
  features.16               828          5       0.6%
  features.17               950          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 16채널 제거
  features.11: 9채널 제거
  features.12: 16채널 제거
  features.13: 18채널 제거
  features.14: 20채널 제거
  features.15: 33채널 제거
  features.16: 16채널 제거
  features.17: 4채널 제거
  features.2: 3채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 5채널 제거
  features.6: 4채널 제거
  features.7: 2채널 제거
  features.8: 12채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      203    -0.887133 3.933278e-07 1.049377e-07   0.9932   0.0677      201
features.6                       152    -0.886842 1.195722e-07 2.068667e-07   0.9868   0.0132       73
features.13                      171    -0.879018 4.541006e-07 1.607322e-07   0.9933   0.1496      201
features.8                       284    -0.876531 1.980607e-07 2.299487e-07   0.9796   0.0510      137
features.15                      298    -0.871487 1.305483e-06 1.119256e-07   0.9905   0.1992      329
features.15                      819    -0.870805 1.307939e-06 1.225644e-07   0.9918   0.2183      329
features.10                      250    -0.869103 3.309538e-07 2.241928e-07   0.9900   0.2193      137
features.12                      486    -0.869074 4.450268e-07 2.984542e-07   0.9955   0.2686      201
features.8                       228    -0.869048 1.915199e-07 2.557093e-07   0.9728   0.0646      137
features.15                      244    -0.865211 9.025665e-07 1.093352e-07   0.9823   0.1883      329
features.12                      510    -0.861625 3.402008e-07 2.540289e-07   0.9819   0.2212      201
features.14                      430    -0.861538 2.057584e-06 1.253131e-07   0.9696   0.1113      265
features.10                       51    -0.861462 2.849660e-07 2.398634e-07   0.9834   0.2359      137
features.12                      272    -0.860722 2.557590e-07 1.404402e-07   0.9684   0.1084      201
features.15                       49    -0.859618 1.026769e-06 1.508473e-07   0.9864   0.2810      329
features.13                      270    -0.858482 2.463989e-07 1.671803e-07   0.9710   0.1540      201
features.15                      371    -0.855389 9.059980e-07 1.610987e-07   0.9836   0.2988      329
features.15                      448    -0.854980 7.153409e-07 9.114014e-08   0.9673   0.1555      329
features.13                      411    -0.854241 3.138398e-07 2.907357e-07   0.9821   0.2969      201
features.15                      926    -0.853888 6.759530e-07 5.035691e-08   0.9563   0.0682      329
features.14                      240    -0.853441 1.930534e-06 1.115022e-07   0.9575   0.0830      265
features.6                        85    -0.853289 1.006901e-07 1.072240e-06   0.9737   0.2303       73
features.8                        53    -0.852721 1.649025e-07 2.108650e-07   0.9524   0.0442      137
features.13                      184    -0.852009 2.402463e-07 1.937819e-07   0.9688   0.1987      201
features.15                      898    -0.851432 7.636687e-07 1.273556e-07   0.9714   0.2278      329
features.13                      517    -0.850446 2.744341e-07 2.905834e-07   0.9777   0.2946      201
features.15                      609    -0.850205 1.486727e-06 3.106890e-07   0.9959   0.4611      329
features.16                      499    -0.849698 1.550272e-06 1.214089e-07   0.9952   0.4595      329
features.8                       270    -0.849660 3.398284e-07 1.257166e-06   0.9966   0.4728      137
features.12                      447    -0.849436 1.940544e-07 4.720797e-08   0.9458   0.0181      201
features.13                        3    -0.847768 2.281653e-07 1.829061e-07   0.9621   0.1808      201
features.12                       52    -0.847630 2.474381e-07 2.131409e-07   0.9616   0.1783      201
features.15                      825    -0.847476 7.012770e-07 1.026527e-07   0.9618   0.1814      329
features.15                      179    -0.846930 7.416273e-07 1.326980e-07   0.9686   0.2483      329
features.9                       221    -0.846844 2.685723e-07 7.997584e-08   0.9435   0.0233      137
features.16                      850    -0.845345 1.044300e-06 8.245209e-08   0.9782   0.3507      329
features.14                      322    -0.845142 2.619487e-06 4.208549e-07   0.9919   0.4757      265
features.9                       332    -0.844850 3.615534e-07 4.553725e-07   0.9834   0.4020      137
features.15                      138    -0.843383 6.914232e-07 1.062349e-07   0.9577   0.1855      329
features.10                      167    -0.843189 2.329230e-07 1.676122e-07   0.9502   0.1196      137
features.16                      358    -0.841717 1.234435e-06 1.373169e-07   0.9891   0.4849      329
features.16                      255    -0.841354 9.231227e-07 7.143186e-08   0.9698   0.3144      329
features.13                      464    -0.838839 2.152427e-07 2.098352e-07   0.9554   0.2098      201
features.10                      258    -0.837874 2.351039e-07 2.573166e-07   0.9601   0.2625      137
features.16                      709    -0.837848 8.368370e-07 6.673986e-08   0.9637   0.2950      329
features.11                      183    -0.837662 8.298357e-07 3.442670e-06   0.9968   0.5942      169
features.16                      270    -0.837606 8.967974e-07 7.320943e-08   0.9661   0.3192      329
features.9                        17    -0.837541 3.020812e-07 3.208231e-07   0.9568   0.2359      137
features.14                       94    -0.836032 2.072528e-06 3.509579e-07   0.9757   0.4211      265
features.13                       89    -0.835938 2.535187e-07 3.934358e-07   0.9732   0.3996      201
features.15                      847    -0.835334 6.143857e-07 8.543910e-08   0.9441   0.1432      329
features.5                         3    -0.835294 8.203266e-08 1.087768e-06   0.9412   0.1176       73
features.14                      120    -0.834818 1.867275e-06 1.685463e-07   0.9453   0.1599      265
features.14                      515    -0.834413 2.623120e-06 5.768937e-07   0.9939   0.6012      265
features.8                        15    -0.834354 1.688682e-07 9.058073e-07   0.9660   0.3503      137
features.14                       44    -0.834211 1.923004e-06 2.133672e-07   0.9534   0.2389      265
features.15                       29    -0.833697 7.134557e-07 2.032177e-07   0.9659   0.3561      329
features.3                        72    -0.833064 4.683268e-08 1.372131e-05   0.9758   0.4516       57
features.13                      384    -0.833036 1.933081e-07 1.569263e-07   0.9420   0.1473      201
features.12                      132    -0.832280 2.188509e-07 2.814593e-07   0.9526   0.2506      201
features.6                        48    -0.831579 7.427490e-08 1.438581e-06   0.9539   0.2697       73
features.14                      366    -0.831376 1.805513e-06 1.319113e-07   0.9372   0.1215      265
features.8                        76    -0.831292 1.655143e-07 7.505262e-07   0.9558   0.2891      137
features.16                      218    -0.830834 1.487729e-06 2.354722e-07   0.9940   0.6372      329
features.9                        90    -0.829900 3.157357e-07 5.306011e-07   0.9734   0.4618      137
features.12                      362    -0.829797 1.846463e-07 2.307740e-07   0.9436   0.1941      201
features.8                       217    -0.829592 1.485080e-07 1.677389e-07   0.9252   0.0306      137
features.14                       76    -0.829150 1.797843e-06 1.249506e-07   0.9332   0.1073      265
features.16                      699    -0.828658 9.828066e-07 1.324330e-07   0.9734   0.4740      329
features.11                      310    -0.828247 5.504182e-07 1.145152e-06   0.9481   0.2500      169
features.5                        23    -0.828105 1.439724e-07 1.002825e-05   1.0000   0.7190       73
features.15                      826    -0.827831 6.609040e-07 1.630194e-07   0.9536   0.3042      329
features.13                      386    -0.827679 2.081151e-07 2.762625e-07   0.9509   0.2812      201
features.10                      140    -0.826578 3.645539e-07 7.360072e-07   1.0000   0.7342      137
features.14                      371    -0.826518 1.828939e-06 1.941668e-07   0.9413   0.2065      265
features.7                       178    -0.825806 2.316934e-06 2.360721e-06   0.9839   0.5968      105
features.15                      295    -0.824966 9.961707e-07 5.569964e-07   0.9850   0.6153      329
features.14                       29    -0.824089 2.060709e-06 4.497575e-07   0.9717   0.5040      265
features.12                      525    -0.823928 2.038979e-07 3.446455e-07   0.9503   0.3138      201
features.12                      395    -0.823251 2.669270e-07 6.288868e-07   0.9707   0.5034      201
features.14                      314    -0.823077 2.141489e-06 5.337099e-07   0.9777   0.5688      265
features.13                      313    -0.822321 2.397676e-07 4.833650e-07   0.9665   0.4754      201
features.15                      409    -0.821419 8.564692e-07 4.986377e-07   0.9782   0.5894      329
features.6                       102    -0.821053 7.331125e-08 1.395956e-06   0.9408   0.2566       73
features.12                      290    -0.820993 1.759356e-07 2.909568e-07   0.9413   0.2619      201
features.5                       136    -0.820915 1.102240e-07 4.988685e-06   0.9673   0.4967       73
features.16                      790    -0.820677 7.439291e-07 5.286746e-08   0.9383   0.2382      329
features.9                       330    -0.820598 5.662549e-07 1.397534e-06   1.0000   0.7940      137
features.14                      385    -0.820445 4.018114e-06 1.062504e-06   1.0000   0.7955      265
features.8                       362    -0.820408 1.619246e-07 8.705201e-07   0.9490   0.3367      137
features.12                      186    -0.820316 1.552699e-07 5.282273e-08   0.9142   0.0248      201
features.15                      869    -0.819918 5.666572e-07 9.875215e-08   0.9304   0.1746      329
features.11                      285    -0.818831 6.488502e-07 3.134134e-06   0.9708   0.5487      169
features.1                        27    -0.818519 2.540789e-07 9.755375e-03   1.0000   0.8148       25
features.12                      335    -0.818510 1.586445e-07 1.372638e-07   0.9210   0.1038      201
features.14                      233    -0.818219 1.733666e-06 7.395457e-08   0.9130   0.0344      265
features.15                      543    -0.817872 6.570339e-07 2.274271e-07   0.9509   0.3793      329
features.14                       51    -0.817814 2.069423e-06 5.431917e-07   0.9737   0.5850      265
features.12                      150    -0.817607 1.592781e-07 1.619154e-07   0.9233   0.1332      201
features.16                      196    -0.817533 1.273688e-06 3.876674e-07   0.9915   0.7485      329
features.15                      379    -0.817462 6.108687e-07 1.675357e-07   0.9427   0.3097      329
features.14                       49    -0.817409 3.637751e-06 1.014183e-06   0.9960   0.7895      265
features.9                        62    -0.816943 3.685314e-07 1.116789e-06   0.9867   0.7110      137
features.13                       92    -0.816741 1.800553e-07 2.271611e-07   0.9330   0.2299      201
features.13                      154    -0.816071 1.738953e-07 1.672533e-07   0.9241   0.1562      201
features.14                       81    -0.815992 1.898319e-06 3.416294e-07   0.9514   0.4028      265
features.16                       26    -0.815840 9.175857e-07 1.746960e-07   0.9686   0.5586      329
features.4                        76    -0.815827 4.747513e-07 9.506829e-07   0.9137   0.0647       65
features.15                       27    -0.815689 5.793014e-07 1.306870e-07   0.9332   0.2415      329
features.16                      345    -0.815236 7.273731e-07 5.048816e-08   0.9311   0.2273      329
features.13                      244    -0.815179 2.168247e-07 4.772753e-07   0.9576   0.4665      201
features.13                      328    -0.815179 1.740041e-07 1.847173e-07   0.9263   0.1853      201
features.10                       50    -0.814950 2.048184e-07 1.977477e-07   0.9236   0.1628      137
features.10                      229    -0.814618 2.669162e-07 5.655612e-07   0.9734   0.6146      137
features.10                      254    -0.814618 2.039503e-07 1.634125e-07   0.9169   0.1063      137
features.2                         3    -0.813750 4.680402e-07 2.099131e-04   1.0000   0.8625       49
features.12                      428    -0.813544 2.690199e-07 8.529514e-07   0.9729   0.6208      201
features.9                       182    -0.813289 2.678208e-07 3.828843e-07   0.9402   0.3289      137
features.15                      319    -0.812415 8.380112e-07 6.740926e-07   0.9768   0.6671      329
features.9                       326    -0.811960 5.123097e-07 1.850785e-06   0.9967   0.8505      137
features.15                      808    -0.811733 5.196713e-07 8.198384e-08   0.9168   0.1337      329
