================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:07:31
  remove_target  : 37226
  accum_removed  : 37459
  selected_channels : 163
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1864590
  model_sparsity : 14.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        6    18.8%
  features.2                 96          2       20    20.8%
  features.3                144          2       24    16.7%
  features.4                144          1        7     4.9%
  features.5                192          1       44    22.9%
  features.6                192          5       48    25.0%
  features.7                192          3       10     5.2%
  features.8                384         12      113    29.4%
  features.9                384         10      103    26.8%
  features.10               384         12      110    28.6%
  features.11               384         11       95    24.7%
  features.12               576         14      162    28.1%
  features.13               576         14      159    27.6%
  features.14               576         14      115    20.0%
  features.15               960         36      295    30.7%
  features.16               960         22      170    17.7%
  features.17               960          3       17     1.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 78          1       1.3%
  features.3                122          1       0.8%
  features.4                138          1       0.7%
  features.5                149          1       0.7%
  features.6                149          1       0.7%
  features.7                185          1       0.5%
  features.8                283          2       0.7%
  features.9                291          2       0.7%
  features.10               286          2       0.7%
  features.11               300          2       0.7%
  features.12               428          3       0.7%
  features.13               431          3       0.7%
  features.14               475          3       0.6%
  features.15               701          4       0.6%
  features.16               812          5       0.6%
  features.17               946          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 12채널 제거
  features.11: 11채널 제거
  features.12: 14채널 제거
  features.13: 14채널 제거
  features.14: 14채널 제거
  features.15: 36채널 제거
  features.16: 22채널 제거
  features.17: 3채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 1채널 제거
  features.6: 5채널 제거
  features.7: 3채널 제거
  features.8: 12채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       174    -0.883448 4.204030e-07 1.285495e-07   0.9862   0.0414      137
features.13                      316    -0.881628 3.711563e-07 1.081315e-07   0.9884   0.0791      201
features.8                       148    -0.880496 3.673110e-07 3.948111e-07   0.9894   0.0993      137
features.10                      239    -0.875789 2.815599e-07 1.258764e-07   0.9789   0.0526      137
features.10                      321    -0.875789 2.673816e-07 5.110066e-08   0.9754   0.0211      137
features.13                      227    -0.875116 3.591538e-07 1.612121e-07   0.9860   0.1233      201
features.10                       40    -0.871930 2.988215e-07 2.397606e-07   0.9860   0.1544      137
features.12                      178    -0.870726 3.488945e-07 3.061261e-07   0.9906   0.2084      201
features.12                      174    -0.870023 2.671898e-07 1.124239e-07   0.9719   0.0468      201
features.15                      338    -0.868571 1.263688e-06 1.581704e-07   0.9914   0.2371      329
features.11                      266    -0.868227 7.255990e-07 7.551889e-07   0.9799   0.1371      169
features.12                      109    -0.866979 3.022717e-07 2.260607e-07   0.9789   0.1405      201
features.11                      196    -0.862876 7.130134e-07 7.231260e-07   0.9732   0.1304      169
features.15                       22    -0.861857 1.111175e-06 1.811950e-07   0.9871   0.2657      329
features.11                       12    -0.857859 6.507174e-07 3.223514e-07   0.9565   0.0301      169
features.15                      626    -0.857571 8.712302e-07 1.282656e-07   0.9743   0.1929      329
features.2                        88    -0.857143 5.048267e-07 1.254700e-05   0.9740   0.1948       49
features.8                        48    -0.857092 2.922035e-07 8.529648e-07   0.9823   0.2695      137
features.15                      350    -0.857000 7.404644e-07 8.352163e-08   0.9657   0.1214      329
features.15                      719    -0.856571 1.580957e-06 2.933017e-07   0.9957   0.3957      329
features.11                      102    -0.856522 6.992097e-07 7.470795e-07   0.9666   0.1338      169
features.13                        7    -0.855581 2.301200e-07 1.425850e-07   0.9628   0.1093      201
features.14                      277    -0.855063 2.577178e-06 2.838000e-07   0.9789   0.2595      265
features.9                        52    -0.854483 3.568570e-07 3.852721e-07   0.9759   0.2379      137
features.12                      300    -0.853396 2.122235e-07 1.032648e-07   0.9532   0.0445      201
features.15                      354    -0.852857 1.165372e-06 2.718604e-07   0.9886   0.3686      329
features.10                      357    -0.852632 2.369772e-07 1.758238e-07   0.9579   0.0947      137
features.16                       72    -0.851418 1.123258e-06 5.876639e-08   0.9741   0.2528      329
features.16                      510    -0.851418 1.277665e-06 8.404693e-08   0.9827   0.3305      329
features.13                       68    -0.850233 3.074585e-07 4.465248e-07   0.9837   0.3512      201
features.13                      202    -0.848372 2.361349e-07 2.451524e-07   0.9651   0.2023      201
features.7                       103    -0.848370 2.154043e-06 1.432215e-06   0.9728   0.2717      105
features.14                      203    -0.847890 3.124858e-06 4.679595e-07   0.9937   0.4641      265
features.6                        44    -0.847297 7.006403e-08 9.873104e-07   0.9595   0.1622       73
features.13                      291    -0.846977 2.283415e-07 2.047913e-07   0.9581   0.1535      201
features.1                        28    -0.846154 2.855866e-07 7.303293e-04   1.0000   0.5385       25
features.8                       129    -0.845390 2.329351e-07 5.616229e-07   0.9574   0.1631      137
features.15                      856    -0.845286 7.193172e-07 1.378491e-07   0.9629   0.2129      329
features.12                      511    -0.844965 2.120030e-07 1.757837e-07   0.9508   0.1077      201
features.15                       50    -0.843143 7.697948e-07 2.109669e-07   0.9700   0.2986      329
features.9                       125    -0.843103 2.442066e-07 1.648386e-07   0.9448   0.0724      137
features.12                      236    -0.843091 2.096176e-07 1.755016e-07   0.9485   0.1054      201
features.8                       230    -0.841489 2.513773e-07 9.863113e-07   0.9716   0.3298      137
features.13                       88    -0.840698 2.372073e-07 3.527078e-07   0.9674   0.3000      201
features.12                      531    -0.840515 2.626932e-07 4.455268e-07   0.9696   0.3208      201
features.16                      199    -0.840074 1.085352e-06 8.453652e-08   0.9704   0.3329      329
features.13                      177    -0.840000 2.240722e-07 2.315945e-07   0.9535   0.1814      201
features.12                      292    -0.839578 2.276497e-07 3.437464e-07   0.9578   0.2248      201
features.16                      263    -0.839334 1.154668e-06 1.030869e-07   0.9753   0.3847      329
features.14                      250    -0.839029 2.323879e-06 2.954555e-07   0.9641   0.2869      265
features.15                       37    -0.838857 6.713402e-07 1.096290e-07   0.9500   0.1614      329
features.15                      824    -0.838714 1.059908e-06 3.923420e-07   0.9857   0.4843      329
features.16                      724    -0.838594 1.243116e-06 1.306980e-07   0.9815   0.4476      329
features.10                      136    -0.838246 2.267511e-07 1.200055e-07   0.9368   0.0491      137
features.13                      509    -0.838140 2.446531e-07 4.421690e-07   0.9698   0.3465      201
features.16                      496    -0.837731 1.437693e-06 1.865093e-07   0.9914   0.5450      329
features.15                      916    -0.837714 6.237622e-07 5.954795e-08   0.9386   0.0700      329
features.10                      356    -0.836491 2.835611e-07 4.968084e-07   0.9825   0.4772      137
features.14                      532    -0.835865 2.408441e-06 3.621298e-07   0.9684   0.3565      265
features.15                      855    -0.834286 6.458794e-07 9.732849e-08   0.9429   0.1429      329
features.16                      417    -0.832676 1.036607e-06 8.943563e-08   0.9642   0.3514      329
features.15                      464    -0.832143 9.251949e-07 3.924115e-07   0.9786   0.4857      329
features.10                      207    -0.831579 3.328423e-07 7.459311e-07   0.9965   0.6526      137
features.11                      213    -0.830769 7.755825e-07 3.840767e-06   0.9866   0.5719      169
features.14                      424    -0.830591 2.596094e-06 5.593283e-07   0.9810   0.5232      265
features.11                      292    -0.830435 7.361099e-07 3.580422e-06   0.9833   0.5452      169
features.11                      121    -0.829766 7.804024e-07 4.330146e-06   0.9900   0.6120      169
features.9                       350    -0.829655 2.424131e-07 3.220271e-07   0.9414   0.1759      137
features.9                        31    -0.828621 4.719126e-07 1.240722e-06   1.0000   0.7138      137
features.2                        80    -0.828571 3.688685e-07 8.774555e-06   0.9351   0.1299       49
features.10                      360    -0.828421 3.164705e-07 7.117434e-07   0.9895   0.6211      137
features.8                       321    -0.826950 1.864460e-07 3.894333e-07   0.9291   0.0922      137
features.15                      217    -0.826429 7.751266e-07 3.845616e-07   0.9714   0.4786      329
features.11                       36    -0.824080 6.123892e-07 9.989920e-07   0.9365   0.1873      169
features.11                       62    -0.824080 9.579383e-07 6.701152e-06   0.9967   0.7291      169
features.7                       176    -0.823913 1.767174e-06 1.157650e-06   0.9402   0.2228      105
features.9                        86    -0.823793 2.110773e-07 1.692106e-07   0.9241   0.0793      137
features.15                      678    -0.823714 6.809557e-07 2.664179e-07   0.9557   0.3643      329
features.12                      427    -0.823653 1.904460e-07 1.825294e-07   0.9274   0.1101      201
features.15                       45    -0.823571 6.163243e-07 1.296195e-07   0.9371   0.1986      329
features.13                      456    -0.823488 2.100282e-07 3.076081e-07   0.9442   0.2628      201
features.10                      290    -0.823158 2.630590e-07 5.311564e-07   0.9719   0.5158      137
