================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 9
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:13:22
  remove_target  : 36289
  accum_removed  : 36607
  selected_channels : 159
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1827983
  model_sparsity : 16.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        7    21.9%
  features.2                 96          3       23    24.0%
  features.3                144          2       26    18.1%
  features.4                144          0        7     4.9%
  features.5                192          3       47    24.5%
  features.6                192          2       50    26.0%
  features.7                192          1       11     5.7%
  features.8                384          8      121    31.5%
  features.9                384         10      113    29.4%
  features.10               384         16      126    32.8%
  features.11               384         14      109    28.4%
  features.12               576         18      180    31.2%
  features.13               576         10      169    29.3%
  features.14               576         15      130    22.6%
  features.15               960         31      326    34.0%
  features.16               960         20      190    19.8%
  features.17               960          5       22     2.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 26          1       3.8%
  features.2                 76          1       1.3%
  features.3                120          1       0.8%
  features.4                137          1       0.7%
  features.5                148          1       0.7%
  features.6                144          1       0.7%
  features.7                182          1       0.5%
  features.8                271          2       0.7%
  features.9                281          2       0.7%
  features.10               274          2       0.7%
  features.11               289          2       0.7%
  features.12               414          3       0.7%
  features.13               417          3       0.7%
  features.14               461          3       0.7%
  features.15               665          4       0.6%
  features.16               790          4       0.5%
  features.17               943          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 16채널 제거
  features.11: 14채널 제거
  features.12: 18채널 제거
  features.13: 10채널 제거
  features.14: 15채널 제거
  features.15: 31채널 제거
  features.16: 20채널 제거
  features.17: 5채널 제거
  features.2: 3채널 제거
  features.3: 2채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 1채널 제거
  features.8: 8채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      148    -0.879367 1.016191e-06 8.062138e-08   0.9895   0.1114      329
features.11                      306    -0.872917 8.326141e-07 8.352636e-07   0.9861   0.1458      169
features.9                       276    -0.871429 2.967796e-07 1.992625e-07   0.9786   0.0929      137
features.15                      852    -0.868373 7.862141e-07 1.090463e-07   0.9819   0.1536      329
features.11                      117    -0.861111 7.531056e-07 1.202593e-06   0.9826   0.2326      169
features.9                       147    -0.859286 2.395152e-07 1.570509e-07   0.9607   0.0536      137
features.12                      259    -0.855448 2.851586e-07 4.333374e-07   0.9855   0.3148      201
features.10                      349    -0.852381 2.362555e-07 2.524107e-07   0.9670   0.1795      137
features.15                      161    -0.850753 9.065811e-07 2.754168e-07   0.9849   0.3569      329
features.9                       257    -0.850714 2.274867e-07 3.473711e-08   0.9464   0.0107      137
features.15                      140    -0.850301 5.620408e-07 4.982757e-08   0.9503   0.0497      329
features.16                       75    -0.845627 1.241219e-06 1.035647e-07   0.9848   0.4068      329
features.8                       220    -0.844074 1.834295e-07 9.973018e-07   0.9741   0.3259      137
features.15                      737    -0.843825 5.483861e-07 6.450297e-08   0.9458   0.0738      329
features.15                      445    -0.843072 6.849086e-07 2.094898e-07   0.9684   0.2846      329
features.11                      355    -0.842361 5.873402e-07 1.071846e-06   0.9583   0.2014      169
features.9                       379    -0.842143 2.033041e-07 1.111204e-07   0.9393   0.0321      137
features.6                       184    -0.841259 6.611506e-08 6.567736e-07   0.9441   0.0839       73
features.12                      311    -0.840678 1.604568e-07 1.665788e-07   0.9443   0.0920      201
features.8                       110    -0.840370 1.886069e-07 1.283601e-06   0.9815   0.4296      137
features.11                      152    -0.840278 5.714078e-07 3.437440e-07   0.9375   0.0347      169
features.1                        22    -0.840000 3.720942e-07 3.566762e-03   1.0000   0.6000       25
features.8                       227    -0.840000 1.579913e-07 8.002977e-07   0.9630   0.2667      137
features.16                      604    -0.839670 1.054699e-06 8.159728e-08   0.9708   0.3409      329
features.15                      833    -0.839157 6.553173e-07 2.092270e-07   0.9639   0.2831      329
features.10                       81    -0.838095 2.521904e-07 4.441681e-07   0.9780   0.4212      137
features.12                      125    -0.838015 3.317576e-07 9.057592e-07   0.9952   0.5763      201
features.9                       127    -0.837857 2.501558e-07 4.165042e-07   0.9643   0.3000      137
features.14                      229    -0.837826 2.065485e-06 1.734576e-07   0.9478   0.1522      265
features.10                       78    -0.837363 2.236864e-07 3.109853e-07   0.9597   0.2637      137
features.15                      803    -0.835241 7.071951e-07 3.604735e-07   0.9759   0.4307      329
features.8                       101    -0.834815 2.135324e-07 1.833377e-06   0.9889   0.5519      137
features.10                      215    -0.834799 2.635471e-07 5.270201e-07   0.9853   0.5201      137
features.14                      546    -0.834783 1.992211e-06 1.654565e-07   0.9435   0.1435      265
features.9                       355    -0.834286 4.367864e-07 8.175956e-07   0.9929   0.5929      137
features.10                      186    -0.832967 1.989228e-07 2.084855e-07   0.9414   0.1429      137
features.15                      175    -0.832379 5.730885e-07 1.794946e-07   0.9518   0.2425      329
features.13                      561    -0.831971 1.995859e-07 2.337107e-07   0.9471   0.2043      201
features.12                      574    -0.831719 1.545357e-07 1.705515e-07   0.9346   0.0944      201
