================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 10
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:19:25
  remove_target  : 35374
  accum_removed  : 35714
  selected_channels : 154
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1792269
  model_sparsity : 18.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2        9    28.1%
  features.2                 96          2       25    26.0%
  features.3                144          5       31    21.5%
  features.4                144          1        8     5.6%
  features.5                192          4       51    26.6%
  features.6                192          2       52    27.1%
  features.7                192          2       13     6.8%
  features.8                384          6      127    33.1%
  features.9                384         10      123    32.0%
  features.10               384          8      134    34.9%
  features.11               384         13      122    31.8%
  features.12               576         19      199    34.5%
  features.13               576         14      183    31.8%
  features.14               576         11      141    24.5%
  features.15               960         23      349    36.4%
  features.16               960         23      213    22.2%
  features.17               960          9       31     3.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 25          1       4.0%
  features.2                 73          1       1.4%
  features.3                118          1       0.8%
  features.4                137          1       0.7%
  features.5                145          1       0.7%
  features.6                142          1       0.7%
  features.7                181          1       0.6%
  features.8                263          2       0.8%
  features.9                271          2       0.7%
  features.10               258          2       0.8%
  features.11               275          2       0.7%
  features.12               396          2       0.5%
  features.13               407          3       0.7%
  features.14               446          3       0.7%
  features.15               634          4       0.6%
  features.16               770          4       0.5%
  features.17               938          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 8채널 제거
  features.11: 13채널 제거
  features.12: 19채널 제거
  features.13: 14채널 제거
  features.14: 11채널 제거
  features.15: 23채널 제거
  features.16: 23채널 제거
  features.17: 9채널 제거
  features.2: 2채널 제거
  features.3: 5채널 제거
  features.4: 1채널 제거
  features.5: 4채널 제거
  features.6: 2채널 제거
  features.7: 2채널 제거
  features.8: 6채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      324    -0.885782 9.865599e-07 1.099541e-07   0.9968   0.1137      329
features.13                       14    -0.878079 2.815989e-07 8.517928e-08   0.9803   0.0419      201
features.15                      482    -0.871406 6.730081e-07 1.102071e-07   0.9810   0.1153      329
features.15                      367    -0.868878 5.694695e-07 5.525038e-08   0.9700   0.0411      329
features.8                       292    -0.862977 1.803703e-07 6.002394e-07   0.9733   0.1298      137
features.15                      540    -0.860190 6.301742e-07 1.603490e-07   0.9747   0.1706      329
features.12                      285    -0.860000 2.307001e-07 1.852450e-07   0.9646   0.0810      201
features.12                      426    -0.858481 2.528431e-07 5.122816e-07   0.9848   0.2785      201
features.12                      181    -0.852911 2.006040e-07 1.865532e-07   0.9570   0.0835      201
features.12                      542    -0.852405 2.416297e-07 5.502358e-07   0.9823   0.3165      201
features.15                      262    -0.850711 4.992004e-07 8.284042e-08   0.9526   0.0664      329
features.15                      582    -0.849921 5.476736e-07 1.659776e-07   0.9637   0.1738      329
features.15                      597    -0.849289 7.319088e-07 4.047947e-07   0.9858   0.3791      329
features.12                      508    -0.844810 2.383750e-07 6.612894e-07   0.9797   0.3696      201
features.16                      264    -0.844733 1.106838e-06 1.055225e-07   0.9753   0.3303      329
features.11                      363    -0.844526 6.851752e-07 2.117335e-06   0.9708   0.2920      169
features.2                        10    -0.844444 3.420478e-07 1.537825e-05   0.9583   0.1806       49
features.16                      700    -0.843693 9.425096e-07 5.269343e-08   0.9571   0.1769      329
features.11                      150    -0.843431 6.236294e-07 1.217879e-06   0.9562   0.1715      169
features.9                         5    -0.843333 3.252648e-07 8.409363e-07   0.9889   0.4667      137
features.15                      199    -0.841706 6.327320e-07 3.954446e-07   0.9763   0.3697      329
features.3                        24    -0.839316 6.377624e-08 1.880220e-05   0.9744   0.3761       57
features.8                       281    -0.838931 2.139431e-07 1.773799e-06   0.9847   0.4733      137
features.14                      165    -0.838202 2.361617e-06 3.719403e-07   0.9596   0.2539      265
features.13                      359    -0.837685 1.922058e-07 2.504560e-07   0.9483   0.1576      201
features.1                         2    -0.837500 2.687077e-07 4.610473e-03   1.0000   0.6250       25
features.13                      149    -0.837192 1.885284e-07 1.797946e-07   0.9433   0.1182      201
