================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 11
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:25:10
  remove_target  : 34481
  accum_removed  : 34527
  selected_channels : 151
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1757742
  model_sparsity : 19.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       10    31.2%
  features.2                 96          4       29    30.2%
  features.3                144          3       34    23.6%
  features.4                144          2       10     6.9%
  features.5                192          2       53    27.6%
  features.6                192          2       54    28.1%
  features.7                192          7       20    10.4%
  features.8                384          7      134    34.9%
  features.9                384         12      135    35.2%
  features.10               384          8      142    37.0%
  features.11               384          8      130    33.9%
  features.12               576         17      216    37.5%
  features.13               576         14      197    34.2%
  features.14               576         15      156    27.1%
  features.15               960         19      368    38.3%
  features.16               960         20      233    24.3%
  features.17               960         10       41     4.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 23          1       4.3%
  features.2                 71          1       1.4%
  features.3                113          1       0.9%
  features.4                136          1       0.7%
  features.5                141          1       0.7%
  features.6                140          1       0.7%
  features.7                179          1       0.6%
  features.8                257          2       0.8%
  features.9                261          2       0.8%
  features.10               250          2       0.8%
  features.11               262          2       0.8%
  features.12               377          2       0.5%
  features.13               393          2       0.5%
  features.14               435          3       0.7%
  features.15               611          4       0.7%
  features.16               747          4       0.5%
  features.17               929          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 8채널 제거
  features.11: 8채널 제거
  features.12: 17채널 제거
  features.13: 14채널 제거
  features.14: 15채널 제거
  features.15: 19채널 제거
  features.16: 20채널 제거
  features.17: 10채널 제거
  features.2: 4채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 2채널 제거
  features.6: 2채널 제거
  features.7: 7채널 제거
  features.8: 7채널 제거
  features.9: 12채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                       67    -0.892771 3.990118e-07 1.122729e-07   0.9960   0.0361      137
features.15                      945    -0.882131 6.778519e-07 5.061509e-08   0.9836   0.0311      329
features.8                        24    -0.881250 3.631043e-07 6.934689e-07   0.9961   0.1523      137
features.11                      225    -0.880843 9.873654e-07 1.030083e-06   0.9923   0.1226      169
features.15                      775    -0.879836 7.601713e-07 1.033242e-07   0.9885   0.0984      329
features.6                       190    -0.878417 1.656974e-07 1.175162e-06   0.9928   0.1511       73
features.12                      318    -0.877925 2.093786e-07 2.030585e-07   0.9840   0.0771      201
features.10                      104    -0.869076 4.190445e-07 4.139969e-07   1.0000   0.3092      137
features.11                       80    -0.865517 8.022054e-07 1.176769e-06   0.9770   0.1379      169
features.12                      281    -0.865160 2.307084e-07 4.602184e-07   0.9894   0.2527      201
features.11                      142    -0.855939 9.388651e-07 2.390500e-06   0.9847   0.3027      169
features.3                       127    -0.854464 3.512879e-08 4.850338e-06   0.9554   0.0536       57
features.14                      476    -0.852765 2.421398e-06 2.444843e-07   0.9654   0.1613      265
features.15                      321    -0.852295 1.009961e-06 5.579196e-07   0.9967   0.4475      329
features.12                      295    -0.851064 1.546403e-07 2.205708e-07   0.9548   0.0824      201
features.14                      487    -0.847696 2.327191e-06 2.199703e-07   0.9562   0.1290      265
features.12                      495    -0.847340 1.821109e-07 4.983102e-07   0.9734   0.2872      201
features.15                      843    -0.845246 6.992366e-07 5.174680e-07   0.9869   0.4295      329
features.2                         8    -0.844286 4.688124e-07 5.263575e-05   0.9857   0.4286       49
features.11                      279    -0.842146 9.302177e-07 3.381869e-06   0.9808   0.4061      169
features.13                      229    -0.841837 3.450568e-07 9.622163e-07   0.9974   0.5587      201
features.14                      454    -0.841705 2.296571e-06 2.404255e-07   0.9516   0.1475      265
features.2                        84    -0.840000 3.754358e-07 4.126176e-05   0.9714   0.3429       49
features.16                      627    -0.836595 9.694988e-07 9.128080e-08   0.9611   0.2842      329
features.9                       347    -0.836154 2.287732e-07 3.108787e-07   0.9423   0.1192      137
features.13                      444    -0.835459 2.259732e-07 4.867893e-07   0.9668   0.3469      201
features.10                        7    -0.835341 3.283699e-07 7.464084e-07   0.9920   0.5743      137
features.15                      754    -0.834098 4.734166e-07 2.641940e-07   0.9557   0.2607      329
features.7                        74    -0.832022 1.956943e-06 1.531021e-06   0.9551   0.2753      105
features.3                        61    -0.831250 2.914506e-08 1.000752e-05   0.9464   0.2054       57
features.15                      904    -0.830820 4.602750e-07 2.703616e-07   0.9525   0.2639      329
features.3                       111    -0.830357 5.386848e-08 2.564837e-05   0.9732   0.4554       57
features.14                      244    -0.828802 2.412003e-06 4.697393e-07   0.9608   0.3594      265
features.12                      575    -0.828723 1.364022e-07 1.308974e-07   0.9255   0.0426      201
features.13                      425    -0.827806 2.117526e-07 3.836511e-07   0.9490   0.2628      201
features.14                      410    -0.826037 2.492715e-06 6.943530e-07   0.9747   0.5115      265
features.9                       254    -0.822692 2.918257e-07 1.023115e-06   0.9769   0.5654      137
features.16                      501    -0.822520 1.022977e-06 1.870480e-07   0.9665   0.4732      329
features.8                       133    -0.821484 2.110875e-07 2.728760e-06   0.9805   0.6094      137
features.7                        80    -0.820786 2.689308e-06 5.058019e-06   0.9944   0.7416      105
features.16                      551    -0.820777 1.001746e-06 1.791211e-07   0.9638   0.4665      329
features.14                      117    -0.820737 2.475605e-06 7.158910e-07   0.9700   0.5230      265
features.13                      200    -0.820663 2.294678e-07 8.325204e-07   0.9694   0.5179      201
features.16                      335    -0.820375 1.107243e-06 2.627881e-07   0.9745   0.5670      329
