================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:31:18
  remove_target  : 33618
  accum_removed  : 33768
  selected_channels : 152
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1723974
  model_sparsity : 21.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       12    37.5%
  features.2                 96          2       31    32.3%
  features.3                144          1       35    24.3%
  features.4                144          2       12     8.3%
  features.5                192          3       56    29.2%
  features.6                192          4       58    30.2%
  features.7                192          8       28    14.6%
  features.8                384          8      142    37.0%
  features.9                384         12      147    38.3%
  features.10               384          9      151    39.3%
  features.11               384         10      140    36.5%
  features.12               576         15      231    40.1%
  features.13               576         18      215    37.3%
  features.14               576          9      165    28.6%
  features.15               960         20      388    40.4%
  features.16               960         21      254    26.5%
  features.17               960          8       49     5.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 22          1       4.5%
  features.2                 67          1       1.5%
  features.3                110          1       0.9%
  features.4                134          1       0.7%
  features.5                139          1       0.7%
  features.6                138          1       0.7%
  features.7                172          1       0.6%
  features.8                250          2       0.8%
  features.9                249          2       0.8%
  features.10               242          2       0.8%
  features.11               254          2       0.8%
  features.12               360          2       0.6%
  features.13               379          2       0.5%
  features.14               420          3       0.7%
  features.15               592          3       0.5%
  features.16               727          4       0.6%
  features.17               919          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 9채널 제거
  features.11: 10채널 제거
  features.12: 15채널 제거
  features.13: 18채널 제거
  features.14: 9채널 제거
  features.15: 20채널 제거
  features.16: 21채널 제거
  features.17: 8채널 제거
  features.2: 2채널 제거
  features.3: 1채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 4채널 제거
  features.7: 8채널 제거
  features.8: 8채널 제거
  features.9: 12채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      768    -0.889848 1.414355e-06 9.693871e-08   1.0000   0.1015      329
features.15                      909    -0.878342 7.861856e-07 1.123664e-07   0.9898   0.1252      329
features.9                       173    -0.877016 2.410803e-07 7.491227e-08   0.9758   0.0121      137
features.9                       176    -0.875403 2.419578e-07 2.513407e-07   0.9798   0.0645      137
features.2                         0    -0.869697 5.352382e-07 1.342195e-05   0.9848   0.1667       49
features.11                      105    -0.868775 6.462714e-07 1.471104e-06   0.9881   0.2055      169
features.15                      591    -0.865482 5.433120e-07 6.439850e-08   0.9679   0.0558      329
features.15                      751    -0.854822 6.675323e-07 2.805157e-07   0.9814   0.2843      329
features.10                      173    -0.854772 1.866087e-07 2.919566e-07   0.9710   0.1909      137
features.10                      203    -0.852282 1.875920e-07 3.546333e-07   0.9751   0.2531      137
features.12                       79    -0.851532 1.365472e-07 3.087474e-07   0.9610   0.1337      201
features.5                       137    -0.851449 1.427421e-07 4.514391e-06   0.9928   0.4203       73
features.14                      498    -0.850597 2.976824e-06 5.057540e-07   0.9928   0.4296      265
features.15                      429    -0.848562 4.820378e-07 1.313376e-07   0.9594   0.1489      329
features.12                      336    -0.846797 1.619106e-07 5.515567e-07   0.9749   0.3064      201
features.16                      890    -0.846281 9.833075e-07 9.319362e-08   0.9752   0.3140      329
features.16                      398    -0.846143 1.391549e-06 1.482561e-07   0.9904   0.4518      329
features.11                      140    -0.844664 5.108890e-07 3.666328e-07   0.9407   0.0198      169
features.10                      314    -0.842324 2.383218e-07 6.602404e-07   0.9959   0.5394      137
features.12                      472    -0.840668 1.273433e-07 2.083352e-07   0.9443   0.0919      201
features.8                       144    -0.838956 1.479773e-07 3.435504e-07   0.9398   0.0683      137
features.13                      164    -0.836772 1.773252e-07 5.246326e-07   0.9735   0.3942      201
features.16                       47    -0.836639 8.547446e-07 6.116448e-08   0.9545   0.2245      329
features.15                      477    -0.833333 4.966892e-07 3.436095e-07   0.9628   0.3316      329
features.16                      942    -0.832782 1.022617e-06 1.549116e-07   0.9766   0.4614      329
features.7                        87    -0.831579 2.018385e-06 3.111525e-06   0.9825   0.5263      105
features.9                        33    -0.830242 2.347779e-07 6.772428e-07   0.9677   0.4073      137
features.11                      178    -0.829644 6.018300e-07 4.405440e-06   0.9763   0.4901      169
features.12                      540    -0.828691 1.690198e-07 9.532855e-07   0.9777   0.5125      201
features.9                       337    -0.828629 2.114421e-07 5.306411e-07   0.9516   0.2782      137
features.13                      442    -0.828571 1.683474e-07 4.622363e-07   0.9603   0.3571      201
features.8                        46    -0.828112 3.518361e-07 3.291595e-06   0.9960   0.6827      137
features.13                      551    -0.828042 1.774264e-07 8.245455e-07   0.9762   0.5053      201
features.14                      442    -0.827446 2.925090e-06 8.809157e-07   0.9881   0.6181      265
features.8                        74    -0.827309 1.499941e-07 8.489154e-07   0.9438   0.2209      137
features.15                      254    -0.826734 5.126383e-07 4.722067e-07   0.9645   0.4129      329
features.10                      111    -0.826556 2.074517e-07 8.378065e-07   0.9876   0.6224      137
features.13                      455    -0.825926 1.584177e-07 3.106665e-07   0.9418   0.2169      201
features.6                       167    -0.825547 6.326349e-08 3.545340e-06   0.9635   0.4161       73
features.13                      317    -0.825397 1.598003e-07 3.366493e-07   0.9444   0.2460      201
features.15                       24    -0.825381 9.180729e-07 1.522864e-06   0.9966   0.7157      329
features.16                      759    -0.824105 8.137202e-07 7.155415e-08   0.9435   0.2507      329
features.12                       38    -0.823955 1.745010e-07 1.235521e-06   0.9833   0.6100      201
features.9                       191    -0.823387 2.700346e-07 1.762688e-06   0.9960   0.7298      137
features.13                      525    -0.822487 1.819152e-07 1.012097e-06   0.9788   0.5847      201
features.16                      353    -0.822176 1.229973e-06 3.387422e-07   0.9835   0.6295      329
features.12                      494    -0.822006 1.380083e-07 7.799975e-07   0.9638   0.4540      201
features.9                       262    -0.821774 2.533025e-07 1.269928e-06   0.9839   0.6371      137
features.16                      280    -0.821212 9.004963e-07 1.650352e-07   0.9656   0.4780      329
features.16                      670    -0.821212 1.138517e-06 3.372779e-07   0.9821   0.6267      329
features.16                      760    -0.821074 8.511917e-07 1.124369e-07   0.9532   0.3678      329
features.15                      405    -0.820812 4.684301e-07 4.434293e-07   0.9560   0.3959      329
