================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 14
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:44:31
  remove_target  : 31953
  accum_removed  : 31959
  selected_channels : 143
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1659194
  model_sparsity : 24.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       14    43.8%
  features.2                 96          2       35    36.5%
  features.3                144          2       38    26.4%
  features.4                144          2       17    11.8%
  features.5                192          4       62    32.3%
  features.6                192          2       63    32.8%
  features.7                192          5       42    21.9%
  features.8                384          5      153    39.8%
  features.9                384          9      166    43.2%
  features.10               384         11      174    45.3%
  features.11               384          9      158    41.1%
  features.12               576         14      265    46.0%
  features.13               576         17      247    42.9%
  features.14               576         17      192    33.3%
  features.15               960         20      429    44.7%
  features.16               960         18      291    30.3%
  features.17               960          5       60     6.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 19          1       5.3%
  features.2                 63          1       1.6%
  features.3                108          1       0.9%
  features.4                129          1       0.8%
  features.5                134          1       0.7%
  features.6                131          1       0.8%
  features.7                155          1       0.6%
  features.8                236          2       0.8%
  features.9                227          2       0.9%
  features.10               221          2       0.9%
  features.11               235          2       0.9%
  features.12               325          2       0.6%
  features.13               346          2       0.6%
  features.14               401          3       0.7%
  features.15               551          3       0.5%
  features.16               687          4       0.6%
  features.17               905          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 11채널 제거
  features.11: 9채널 제거
  features.12: 14채널 제거
  features.13: 17채널 제거
  features.14: 17채널 제거
  features.15: 20채널 제거
  features.16: 18채널 제거
  features.17: 5채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 4채널 제거
  features.6: 2채널 제거
  features.7: 5채널 제거
  features.8: 5채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       156    -0.879646 2.476045e-07 3.064002e-07   0.9867   0.0841      137
features.15                      441    -0.872000 5.665162e-07 9.110105e-08   0.9800   0.1000      329
features.7                        20    -0.871429 1.944005e-06 1.190941e-06   0.9870   0.1688      105
features.13                       63    -0.858841 1.525555e-07 2.521131e-07   0.9739   0.1768      201
features.13                      195    -0.857102 1.783012e-07 3.993759e-07   0.9855   0.2986      201
features.13                      512    -0.855072 1.444286e-07 1.170396e-07   0.9594   0.0841      201
features.12                       41    -0.850617 1.750815e-07 5.869691e-07   0.9784   0.2994      201
features.16                      338    -0.849854 9.198594e-07 6.980565e-08   0.9767   0.2915      329
features.13                      529    -0.849275 1.460770e-07 2.425211e-07   0.9623   0.1681      201
features.12                      489    -0.847531 1.487026e-07 4.861191e-07   0.9660   0.2191      201
features.10                       26    -0.844091 1.753845e-07 3.757439e-07   0.9682   0.2727      137
features.13                       84    -0.841739 1.423934e-07 2.336401e-07   0.9536   0.1652      201
features.12                      118    -0.841358 1.297863e-07 2.441272e-07   0.9444   0.0864      201
features.11                      106    -0.841026 8.150895e-07 4.090084e-06   0.9872   0.4744      169
features.12                      326    -0.840741 1.513600e-07 6.066159e-07   0.9691   0.3148      201
features.15                      692    -0.840545 7.179270e-07 7.202081e-07   0.9945   0.5455      329
features.13                      499    -0.840290 2.409172e-07 9.594198e-07   1.0000   0.5971      201
features.15                      942    -0.839636 4.352979e-07 9.662322e-08   0.9455   0.1127      329
features.3                        60    -0.839252 3.709435e-08 8.906864e-06   0.9533   0.1869       57
features.12                      443    -0.839198 1.341139e-07 3.845995e-07   0.9506   0.1636      201
features.13                      253    -0.839130 1.770993e-07 6.227725e-07   0.9826   0.4522      201
features.8                       333    -0.838723 1.411029e-07 3.979828e-07   0.9404   0.0766      137
features.16                      288    -0.838338 8.791091e-07 1.008385e-07   0.9723   0.3673      329
features.10                       32    -0.838182 1.586093e-07 1.659628e-07   0.9409   0.0864      137
features.16                      216    -0.837318 1.176825e-06 2.109096e-07   0.9913   0.5481      329
features.10                       65    -0.837273 1.667958e-07 3.645175e-07   0.9591   0.2591      137
features.13                      363    -0.837101 1.827538e-07 8.645248e-07   0.9913   0.5507      201
