================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 16
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 04:56:59
  remove_target  : 30370
  accum_removed  : 30607
  selected_channels : 135
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1597215
  model_sparsity : 27.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       16    50.0%
  features.2                 96          2       41    42.7%
  features.3                144          2       43    29.9%
  features.4                144          2       24    16.7%
  features.5                192          3       68    35.4%
  features.6                192          5       71    37.0%
  features.7                192          7       58    30.2%
  features.8                384          6      166    43.2%
  features.9                384          8      187    48.7%
  features.10               384          9      190    49.5%
  features.11               384          7      172    44.8%
  features.12               576         12      291    50.5%
  features.13               576         14      277    48.1%
  features.14               576         13      216    37.5%
  features.15               960         16      461    48.0%
  features.16               960         19      335    34.9%
  features.17               960          9       73     7.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 17          1       5.9%
  features.2                 57          1       1.8%
  features.3                103          1       1.0%
  features.4                122          1       0.8%
  features.5                127          1       0.8%
  features.6                126          1       0.8%
  features.7                141          1       0.7%
  features.8                224          2       0.9%
  features.9                205          2       1.0%
  features.10               203          2       1.0%
  features.11               219          2       0.9%
  features.12               297          2       0.7%
  features.13               313          2       0.6%
  features.14               373          2       0.5%
  features.15               515          3       0.6%
  features.16               644          4       0.6%
  features.17               896          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 9채널 제거
  features.11: 7채널 제거
  features.12: 12채널 제거
  features.13: 14채널 제거
  features.14: 13채널 제거
  features.15: 16채널 제거
  features.16: 19채널 제거
  features.17: 9채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 5채널 제거
  features.7: 7채널 제거
  features.8: 6채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                         1    -0.891071 5.289909e-07 1.463077e-05   1.0000   0.0893       49
features.9                       211    -0.882843 2.234578e-07 2.260638e-07   0.9853   0.0392      137
features.9                       175    -0.873039 2.962572e-07 6.686240e-07   1.0000   0.2696      137
features.15                      759    -0.871984 5.406555e-07 1.653966e-07   0.9844   0.1401      329
features.13                       38    -0.862180 1.857112e-07 5.542915e-07   0.9936   0.3205      201
features.3                        37    -0.857843 5.344442e-08 1.739004e-05   0.9902   0.3333       57
features.14                      339    -0.854032 2.680164e-06 5.376143e-07   0.9946   0.4113      265
features.13                       57    -0.852885 1.853304e-07 6.891490e-07   0.9904   0.3846      201
features.12                      159    -0.849662 1.918523e-07 9.073241e-07   0.9865   0.3818      201
features.12                      528    -0.849324 1.432112e-07 5.433396e-07   0.9696   0.2331      201
features.12                      219    -0.844932 1.366732e-07 3.824706e-07   0.9527   0.1250      201
features.14                      490    -0.841129 2.435596e-06 4.621742e-07   0.9731   0.3468      265
features.15                       39    -0.841051 5.544968e-07 8.969516e-07   0.9903   0.5019      329
features.11                      254    -0.839908 5.993448e-07 8.834533e-07   0.9404   0.0642      169
features.14                      481    -0.839785 2.440918e-06 5.115016e-07   0.9758   0.3844      265
features.14                      435    -0.839516 2.580828e-06 7.988005e-07   0.9919   0.5323      265
features.14                      419    -0.839247 1.977788e-06 1.225187e-07   0.9382   0.0511      265
features.16                      893    -0.836858 6.630520e-07 1.251260e-07   0.9642   0.3095      329
features.6                       134    -0.836000 7.192288e-08 1.628605e-06   0.9520   0.2080       73
features.13                      417    -0.835577 1.378539e-07 5.663209e-07   0.9647   0.3269      201
features.16                      337    -0.835459 1.801268e-06 4.319654e-07   0.9984   0.6314      329
features.9                       104    -0.835294 1.753223e-07 4.148974e-07   0.9412   0.1176      137
features.16                      867    -0.834992 9.371112e-07 3.727581e-07   0.9922   0.5801      329
features.12                      279    -0.834797 1.317668e-07 4.720746e-07   0.9459   0.1655      201
features.9                       187    -0.833824 2.282596e-07 1.337210e-06   0.9902   0.5735      137
features.10                      380    -0.833168 1.947944e-07 5.523136e-07   0.9703   0.4010      137
features.10                      328    -0.831683 2.009121e-07 6.747872e-07   0.9802   0.5050      137
features.15                      463    -0.830545 5.871769e-07 1.519753e-06   0.9961   0.6595      329
features.9                       245    -0.830392 2.130644e-07 1.148881e-06   0.9804   0.5196      137
features.15                      631    -0.828405 5.003711e-07 9.414749e-07   0.9786   0.5233      329
features.16                      733    -0.827994 7.143806e-07 2.841839e-07   0.9767   0.5101      329
features.13                      543    -0.827885 1.240377e-07 5.208511e-07   0.9519   0.2885      201
features.13                      376    -0.827885 2.490916e-07 1.635980e-06   0.9968   0.6923      201
features.15                      850    -0.827821 3.970003e-07 1.865850e-07   0.9377   0.1615      329
features.9                         9    -0.826961 1.759565e-07 6.265262e-07   0.9461   0.2451      137
features.7                        37    -0.826429 1.795959e-06 2.095185e-06   0.9500   0.2857      105
features.5                        98    -0.826190 1.706845e-07 1.239111e-05   0.9921   0.6667       73
features.13                      179    -0.825321 1.722017e-07 1.258181e-06   0.9840   0.6026      201
features.10                      269    -0.824752 2.197173e-07 1.300074e-06   0.9950   0.7079      137
features.12                      565    -0.824324 1.389883e-07 9.239952e-07   0.9595   0.3919      201
features.10                      133    -0.823762 1.650642e-07 4.295627e-07   0.9455   0.2723      137
features.4                         3    -0.823140 1.165069e-06 1.212611e-05   0.9835   0.6198       65
features.12                       68    -0.822297 2.306020e-07 2.889889e-06   0.9966   0.7466      201
features.5                       104    -0.822222 8.645937e-08 1.381197e-06   0.9286   0.1349       73
features.12                      454    -0.821959 2.004234e-07 2.246932e-06   0.9899   0.6892      201
features.16                      279    -0.821617 6.042189e-07 1.655763e-07   0.9549   0.3779      329
features.16                      342    -0.821306 5.904776e-07 1.394938e-07   0.9502   0.3390      329
features.12                      319    -0.821284 1.243220e-07 4.255037e-07   0.9291   0.1486      201
features.15                      914    -0.821012 3.803513e-07 2.489390e-07   0.9339   0.1946      329
features.13                       20    -0.819872 1.229920e-07 5.457883e-07   0.9455   0.3109      201
features.10                      324    -0.818812 1.557272e-07 3.871531e-07   0.9356   0.2327      137
features.1                         8    -0.818750 1.821517e-07 3.411246e-02   1.0000   0.8125       25
features.15                      257    -0.818677 4.261568e-07 6.179291e-07   0.9533   0.3930      329
features.13                      497    -0.817949 1.252795e-07 8.413874e-07   0.9583   0.4455      201
features.11                      276    -0.817890 6.985421e-07 7.450476e-06   0.9771   0.6147      169
features.6                       155    -0.817600 4.739507e-08 4.955771e-07   0.9120   0.0320       73
features.15                      375    -0.817121 3.545234e-07 8.009475e-08   0.9144   0.0584      329
features.15                      520    -0.817121 6.152872e-07 2.997636e-06   0.9981   0.8113      329
features.10                      134    -0.816337 4.232211e-07 2.243939e-06   1.0000   0.8366      137
features.14                      360    -0.815323 2.378239e-06 7.304337e-07   0.9624   0.5081      265
features.8                       166    -0.815247 4.378439e-07 4.886703e-06   0.9955   0.8072      137
features.6                       114    -0.815200 1.265849e-07 7.755187e-06   0.9840   0.7040       73
features.16                       81    -0.815086 6.244099e-07 2.760427e-07   0.9611   0.4992      329
features.2                        25    -0.814286 3.975736e-07 7.075511e-05   0.9464   0.3750       49
