================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 05:03:34
  remove_target  : 29605
  accum_removed  : 29738
  selected_channels : 130
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1567477
  model_sparsity : 28.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       17    53.1%
  features.2                 96          1       42    43.8%
  features.3                144          2       45    31.2%
  features.4                144          4       28    19.4%
  features.5                192          2       70    36.5%
  features.6                192          4       75    39.1%
  features.7                192          6       64    33.3%
  features.8                384          6      172    44.8%
  features.9                384         11      198    51.6%
  features.10               384          8      198    51.6%
  features.11               384          8      180    46.9%
  features.12               576         10      301    52.3%
  features.13               576         10      287    49.8%
  features.14               576         12      228    39.6%
  features.15               960         19      480    50.0%
  features.16               960         17      352    36.7%
  features.17               960          9       82     8.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 16          1       6.2%
  features.2                 55          1       1.8%
  features.3                101          1       1.0%
  features.4                120          1       0.8%
  features.5                124          1       0.8%
  features.6                121          1       0.8%
  features.7                134          1       0.7%
  features.8                218          2       0.9%
  features.9                197          1       0.5%
  features.10               194          1       0.5%
  features.11               212          2       0.9%
  features.12               285          2       0.7%
  features.13               299          2       0.7%
  features.14               360          2       0.6%
  features.15               499          3       0.6%
  features.16               625          4       0.6%
  features.17               887          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 8채널 제거
  features.11: 8채널 제거
  features.12: 10채널 제거
  features.13: 10채널 제거
  features.14: 12채널 제거
  features.15: 19채널 제거
  features.16: 17채널 제거
  features.17: 9채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 4채널 제거
  features.5: 2채널 제거
  features.6: 4채널 제거
  features.7: 6채널 제거
  features.8: 6채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      388    -0.886242 2.086465e-07 1.891219e-07   0.9966   0.1074      201
features.11                      249    -0.877725 8.504895e-07 1.478340e-06   0.9858   0.0948      169
features.9                        67    -0.873980 2.599753e-07 4.261904e-07   0.9847   0.1224      137
features.10                      118    -0.867876 2.346847e-07 2.725754e-07   0.9793   0.1347      137
features.13                       48    -0.865772 1.800991e-07 3.490677e-07   0.9832   0.1913      201
features.12                      106    -0.862676 2.019188e-07 8.270254e-07   0.9965   0.3415      201
features.10                      180    -0.861658 2.810977e-07 4.161175e-07   0.9896   0.2902      137
features.12                      558    -0.861620 1.836932e-07 6.331725e-07   0.9859   0.2570      201
features.14                      270    -0.858496 2.874963e-06 5.072174e-07   0.9916   0.3398      265
features.13                      256    -0.858389 1.792778e-07 4.688475e-07   0.9799   0.2349      201
features.8                       225    -0.856682 1.625797e-07 8.694043e-07   0.9770   0.2258      137
features.9                       107    -0.854592 1.847548e-07 2.047192e-07   0.9541   0.0408      137
features.12                      149    -0.853873 1.439201e-07 3.204537e-07   0.9613   0.1127      201
features.7                       109    -0.852632 1.800100e-06 1.057003e-06   0.9549   0.0677      105
features.13                      382    -0.851678 2.299660e-07 9.833115e-07   1.0000   0.4832      201
features.11                      151    -0.849763 6.845563e-07 1.405111e-06   0.9526   0.0758      169
features.16                      486    -0.848718 1.080069e-06 2.181771e-07   0.9936   0.4551      329
features.10                      188    -0.848705 3.910795e-07 6.691218e-07   1.0000   0.5130      137
features.9                       223    -0.844898 1.844042e-07 3.573187e-07   0.9490   0.0918      137
features.9                        25    -0.844388 1.916493e-07 5.434665e-07   0.9592   0.1888      137
features.12                      277    -0.844366 1.540770e-07 7.353396e-07   0.9718   0.3028      201
features.15                      495    -0.843976 4.738161e-07 5.555032e-07   0.9799   0.3795      329
features.16                      315    -0.843590 7.324951e-07 1.083174e-07   0.9647   0.2468      329
features.15                      250    -0.842972 3.975551e-07 3.470939e-07   0.9639   0.2450      329
features.12                      145    -0.841901 1.711643e-07 8.720733e-07   0.9754   0.3592      201
features.6                        73    -0.840833 8.032026e-08 4.093160e-06   0.9833   0.4417       73
features.1                        20    -0.840000 2.155783e-07 5.053015e-04   1.0000   0.6000       25
features.9                       138    -0.838265 1.797833e-07 3.916509e-07   0.9439   0.1122      137
features.11                      118    -0.837915 1.049839e-06 7.285940e-06   1.0000   0.6209      169
features.12                      122    -0.836268 1.286096e-07 5.132173e-07   0.9507   0.1937      201
features.15                       98    -0.836145 3.526261e-07 1.696447e-07   0.9438   0.1325      329
features.7                        91    -0.834586 1.911671e-06 2.783020e-06   0.9699   0.3835      105
features.9                         0    -0.834184 4.514273e-07 1.775350e-06   1.0000   0.6582      137
features.11                      357    -0.834123 6.022270e-07 4.871634e-07   0.9289   0.0190      169
features.11                      149    -0.832701 8.606004e-07 7.363901e-06   0.9953   0.6303      169
features.16                      591    -0.831410 8.088386e-07 2.839357e-07   0.9808   0.5128      329
features.12                      168    -0.829930 1.439708e-07 9.057529e-07   0.9648   0.3838      201
features.14                       27    -0.828969 3.901410e-06 1.702712e-06   1.0000   0.7103      265
features.15                      403    -0.828916 9.045825e-07 2.050522e-06   1.0000   0.7108      329
features.13                      173    -0.828859 1.854752e-07 1.259212e-06   0.9866   0.5906      201
features.13                       12    -0.827517 1.635113e-07 9.464428e-07   0.9698   0.4530      201
features.16                      689    -0.826763 6.953414e-07 1.452756e-07   0.9551   0.3285      329
features.15                      716    -0.826506 6.495632e-07 1.792182e-06   0.9940   0.6807      329
features.15                      316    -0.826104 3.439798e-07 2.442393e-07   0.9378   0.1787      329
features.15                       93    -0.825301 4.016392e-07 7.657516e-07   0.9659   0.4398      329
features.3                       143    -0.825000 6.156370e-08 5.611922e-05   0.9900   0.6600       57
features.11                      258    -0.824645 7.056577e-07 4.360162e-06   0.9668   0.4550      169
features.2                        36    -0.824074 5.839074e-07 2.391053e-04   1.0000   0.7593       49
features.16                      254    -0.823878 8.129583e-07 4.172715e-07   0.9840   0.6170      329
features.16                      100    -0.823397 5.563908e-07 8.088534e-08   0.9359   0.1891      329
features.9                       375    -0.822959 1.952761e-07 1.108557e-06   0.9694   0.4949      137
features.10                      171    -0.821243 2.165217e-07 6.563819e-07   0.9689   0.5078      137
features.15                      385    -0.821084 4.143224e-07 1.034812e-06   0.9719   0.5361      329
features.6                       113    -0.820833 5.899303e-08 4.394557e-06   0.9667   0.4917       73
features.14                      172    -0.820056 2.895021e-06 1.962840e-06   0.9944   0.7493      265
features.13                      505    -0.819799 1.658536e-07 1.153768e-06   0.9732   0.5604      201
features.16                      273    -0.819712 5.392426e-07 8.431783e-08   0.9327   0.1971      329
features.16                      706    -0.819391 7.743538e-07 4.032325e-07   0.9776   0.6042      329
features.7                        73    -0.818797 2.489632e-06 7.711195e-06   1.0000   0.8120      105
features.16                      526    -0.818750 8.126300e-07 4.769191e-07   0.9824   0.6538      329
features.17                      504    -0.818284 1.539209e-06 6.335974e-08   0.9774   0.6140      489
features.7                        58    -0.818045 2.213781e-06 6.333268e-06   0.9925   0.7519      105
features.15                      457    -0.817871 4.236042e-07 1.286276e-06   0.9739   0.5863      329
features.9                       255    -0.816837 1.712562e-07 6.069970e-07   0.9337   0.2347      137
features.14                      114    -0.816435 2.769836e-06 1.842692e-06   0.9889   0.7354      265
features.11                      263    -0.816114 7.038878e-07 5.096165e-06   0.9621   0.4976      169
features.15                      830    -0.816064 3.412551e-07 3.442114e-07   0.9337   0.2430      329
features.12                      252    -0.815845 2.432627e-07 4.775582e-06   1.0000   0.8415      201
features.16                      290    -0.814904 7.821505e-07 5.027840e-07   0.9792   0.6635      329
features.12                      502    -0.814789 1.894728e-07 3.717158e-06   0.9930   0.7887      201
features.14                       46    -0.814485 2.087052e-06 2.746543e-07   0.9248   0.1783      265
features.4                        14    -0.814286 6.580240e-07 1.971911e-06   0.9160   0.1008       65
features.15                      494    -0.813454 4.036839e-07 1.313331e-06   0.9699   0.5944      329
features.13                      406    -0.813423 1.575225e-07 1.080597e-06   0.9631   0.5336      201
features.14                      315    -0.813370 2.612296e-06 1.375933e-06   0.9777   0.6657      265
features.15                      131    -0.813052 6.855065e-07 3.936587e-06   0.9960   0.8333      329
features.8                       310    -0.812903 1.669831e-07 3.159707e-06   0.9816   0.7051      137
features.14                      198    -0.812813 2.950057e-06 2.903990e-06   0.9972   0.8468      265
features.17                       88    -0.812528 1.343032e-06 5.973541e-08   0.9695   0.6005      489
features.6                       148    -0.812500 1.096824e-07 1.646030e-05   1.0000   0.8750       73
features.10                      178    -0.812435 1.711498e-07 4.460422e-07   0.9378   0.3161      137
features.13                      564    -0.812416 2.035024e-07 2.928956e-06   0.9933   0.8154      201
features.16                      318    -0.811538 5.148610e-07 8.994822e-08   0.9247   0.2067      329
features.15                      241    -0.811446 5.545864e-07 2.868466e-06   0.9880   0.7771      329
features.7                       185    -0.811278 1.726865e-06 2.595345e-06   0.9398   0.3459      105
features.14                      439    -0.810863 2.372861e-06 9.468479e-07   0.9638   0.5655      265
features.14                       26    -0.810306 2.404916e-06 1.015739e-06   0.9666   0.5961      265
features.17                      433    -0.810271 1.304229e-06 5.838847e-08   0.9661   0.5926      489
features.9                       231    -0.810204 3.482943e-07 3.011727e-06   0.9898   0.8061      137
features.16                      917    -0.810096 1.835557e-06 2.171640e-06   1.0000   0.8990      329
features.15                      398    -0.809839 5.656497e-07 3.545842e-06   0.9900   0.8112      329
features.7                       167    -0.809774 1.742367e-06 3.240506e-06   0.9474   0.4286      105
features.17                      847    -0.809594 1.910686e-06 1.323529e-07   0.9865   0.7822      489
features.11                      190    -0.809479 8.262010e-07 1.285099e-05   0.9810   0.7346      169
features.8                       140    -0.809217 1.936973e-07 5.373270e-06   0.9908   0.8249      137
features.10                      181    -0.808808 1.676318e-07 3.473895e-07   0.9223   0.2124      137
features.5                       114    -0.808130 1.420194e-07 1.244465e-05   0.9756   0.6992       73
features.9                       225    -0.807653 3.769999e-07 4.103616e-06   0.9949   0.8776      137
features.4                        54    -0.807563 1.327535e-06 4.146462e-05   1.0000   0.9244       65
features.15                      177    -0.806024 4.639974e-07 2.151336e-06   0.9759   0.7229      329
features.15                      402    -0.805823 5.374077e-07 3.557553e-06   0.9859   0.8153      329
features.10                      272    -0.805699 2.847636e-07 2.936635e-06   0.9948   0.8964      137
features.9                       351    -0.805612 1.607681e-07 3.932483e-07   0.9082   0.1173      137
features.10                       28    -0.804663 1.746027e-07 5.750202e-07   0.9430   0.4404      137
features.8                       347    -0.804147 1.335114e-07 7.809932e-07   0.9171   0.2120      137
features.14                      500    -0.803621 2.307145e-06 9.452326e-07   0.9554   0.5627      265
features.15                      498    -0.802610 5.345179e-07 3.770749e-06   0.9839   0.8293      329
features.16                       98    -0.802404 1.385771e-06 4.079588e-06   0.9984   0.9615      329
features.16                      329    -0.802404 8.913436e-07 1.516307e-06   0.9872   0.8606      329
features.13                      312    -0.802349 1.752625e-07 2.301070e-06   0.9765   0.7651      201
features.14                      529    -0.802228 2.741768e-06 2.921406e-06   0.9861   0.8524      265
features.12                      491    -0.802113 1.197752e-07 1.331845e-06   0.9472   0.5035      201
features.14                       79    -0.801950 2.204520e-06 7.529457e-07   0.9443   0.4791      265
features.17                      239    -0.801919 1.555919e-06 1.354180e-07   0.9786   0.7878      489
features.6                       188    -0.801667 4.671359e-08 8.721120e-07   0.9000   0.0833       73
features.15                      187    -0.801606 3.944533e-07 1.558297e-06   0.9618   0.6406      329
features.17                      814    -0.801467 3.612222e-06 4.752376e-07   0.9989   0.9752      489
features.8                        43    -0.801382 3.135832e-07 1.051253e-05   0.9954   0.9447      137
features.16                      667    -0.800962 1.005602e-06 2.221002e-06   0.9904   0.9038      329
features.5                       176    -0.800813 4.805236e-07 1.232588e-04   1.0000   0.9919       73
features.4                        40    -0.800000 6.253366e-07 1.912755e-06   0.8992   0.0924       65
features.3                        29    -0.800000 3.738836e-08 3.715600e-05   0.9500   0.5500       57
features.15                      641    -0.800000 3.180541e-07 4.802724e-07   0.9257   0.3313      329
features.17                      218    -0.799661 2.160763e-06 2.560229e-07   0.9898   0.9120      489
features.17                      226    -0.799097 3.530771e-06 9.837822e-07   0.9977   0.9887      489
features.17                      376    -0.798984 2.618092e-06 4.400660e-07   0.9955   0.9695      489
features.16                      613    -0.798878 7.530095e-07 9.532241e-07   0.9744   0.7804      329
features.8                       244    -0.798617 1.919917e-07 7.257248e-06   0.9862   0.8894      137
features.4                       128    -0.798319 6.463869e-07 3.846697e-06   0.9076   0.1849       65
features.16                      115    -0.798237 1.108700e-06 5.583270e-06   0.9952   0.9744      329
