================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 18
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 05:10:17
  remove_target  : 28861
  accum_removed  : 29192
  selected_channels : 128
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1538285
  model_sparsity : 29.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       18    56.2%
  features.2                 96          1       43    44.8%
  features.3                144          3       48    33.3%
  features.4                144          4       32    22.2%
  features.5                192          3       73    38.0%
  features.6                192          4       79    41.1%
  features.7                192          3       67    34.9%
  features.8                384          5      177    46.1%
  features.9                384          6      204    53.1%
  features.10               384          6      204    53.1%
  features.11               384          7      187    48.7%
  features.12               576         11      312    54.2%
  features.13               576         17      304    52.8%
  features.14               576         13      241    41.8%
  features.15               960         18      498    51.9%
  features.16               960         21      373    38.9%
  features.17               960          5       87     9.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 54          1       1.9%
  features.3                 99          1       1.0%
  features.4                116          1       0.9%
  features.5                122          1       0.8%
  features.6                117          1       0.9%
  features.7                128          1       0.8%
  features.8                212          2       0.9%
  features.9                186          1       0.5%
  features.10               186          1       0.5%
  features.11               204          2       1.0%
  features.12               275          2       0.7%
  features.13               289          2       0.7%
  features.14               348          2       0.6%
  features.15               480          3       0.6%
  features.16               608          4       0.7%
  features.17               878          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 6채널 제거
  features.11: 7채널 제거
  features.12: 11채널 제거
  features.13: 17채널 제거
  features.14: 13채널 제거
  features.15: 18채널 제거
  features.16: 21채널 제거
  features.17: 5채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.4: 4채널 제거
  features.5: 3채널 제거
  features.6: 4채널 제거
  features.7: 3채널 제거
  features.8: 5채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      305    -0.876389 1.732785e-07 3.394033e-07   0.9931   0.1736      201
features.8                       288    -0.869668 1.938192e-07 4.622958e-07   0.9763   0.0900      137
features.11                       49    -0.868473 7.575532e-07 3.162900e-07   0.9655   0.0049      169
features.15                      621    -0.865553 5.380631e-07 2.309348e-07   0.9791   0.1566      329
features.10                      282    -0.863784 1.936412e-07 2.429676e-07   0.9730   0.1189      137
features.14                      503    -0.859942 4.853674e-06 5.226636e-07   0.9942   0.3487      265
features.13                      391    -0.854861 1.583090e-07 5.451361e-07   0.9826   0.2951      201
features.13                      381    -0.853472 1.446321e-07 4.585912e-07   0.9757   0.2465      201
features.12                      166    -0.852555 1.572605e-07 6.411968e-07   0.9708   0.2117      201
features.15                      156    -0.850939 5.049535e-07 3.761791e-07   0.9708   0.2276      329
features.1                        29    -0.850000 2.388093e-07 1.917107e-05   1.0000   0.5000       25
features.16                      506    -0.849423 1.070695e-06 1.921600e-07   0.9852   0.3723      329
features.15                      253    -0.844050 7.387190e-07 1.074859e-06   0.9937   0.5031      329
features.4                        42    -0.842609 8.019847e-07 6.137129e-06   0.9652   0.2609       65
features.5                        44    -0.841322 1.169570e-07 6.931660e-06   0.9917   0.5124       73
features.7                       140    -0.840158 1.578616e-06 1.291125e-06   0.9449   0.1024      105
features.12                      425    -0.839781 1.405314e-07 5.127824e-07   0.9526   0.1752      201
features.7                       186    -0.839370 2.037626e-06 3.739876e-06   0.9843   0.4646      105
features.14                      450    -0.838905 3.725863e-06 5.268744e-07   0.9712   0.3516      265
features.14                      307    -0.838328 4.069451e-06 7.006911e-07   0.9798   0.4352      265
features.15                       43    -0.838205 5.920951e-07 8.926781e-07   0.9812   0.4489      329
features.15                      370    -0.837996 6.828668e-07 1.228940e-06   0.9916   0.5449      329
features.15                      928    -0.837996 6.103099e-07 9.705736e-07   0.9833   0.4697      329
features.9                       213    -0.837838 2.304643e-07 9.003787e-07   0.9676   0.3297      137
features.13                      342    -0.837153 1.183580e-07 1.924117e-07   0.9410   0.0972      201
features.13                      424    -0.836458 2.577292e-07 1.449792e-06   0.9965   0.6042      201
features.12                      397    -0.836131 1.608202e-07 1.117132e-06   0.9745   0.4088      201
features.16                      878    -0.835750 1.016681e-06 2.982856e-07   0.9835   0.4942      329
features.14                      150    -0.835735 3.282939e-06 3.113027e-07   0.9510   0.2017      265
features.10                      103    -0.832973 1.876690e-07 5.402717e-07   0.9676   0.3784      137
features.16                      490    -0.832949 7.174637e-07 1.515900e-07   0.9588   0.2998      329
features.9                       292    -0.829189 1.869062e-07 4.942809e-07   0.9351   0.1243      137
features.11                       27    -0.828571 6.399160e-07 2.773048e-06   0.9458   0.2266      169
features.6                       185    -0.828448 6.336715e-08 2.370336e-06   0.9483   0.2500       73
features.10                      159    -0.828108 1.704999e-07 3.386222e-07   0.9405   0.1838      137
features.8                       326    -0.827014 1.457926e-07 3.481388e-07   0.9242   0.0474      137
features.13                      102    -0.826736 1.305421e-07 6.940751e-07   0.9583   0.3576      201
features.15                      325    -0.825887 4.707813e-07 8.161776e-07   0.9645   0.4217      329
features.12                      104    -0.825547 1.256045e-07 6.617842e-07   0.9416   0.2190      201
features.14                      338    -0.825360 3.337903e-06 5.090091e-07   0.9539   0.3314      265
features.15                      101    -0.824426 4.517169e-07 6.771820e-07   0.9582   0.3800      329
features.13                      516    -0.823958 1.716260e-07 1.805977e-06   0.9896   0.6667      201
features.16                       42    -0.823888 7.705505e-07 2.575756e-07   0.9654   0.4498      329
features.16                      629    -0.823229 6.667975e-07 1.782609e-07   0.9522   0.3377      329
features.4                       111    -0.821739 7.418312e-07 4.334200e-06   0.9304   0.1565       65
features.14                      536    -0.821614 4.336631e-06 1.536017e-06   0.9885   0.6801      265
features.15                      268    -0.821294 4.778157e-07 1.014883e-06   0.9666   0.4864      329
features.13                      355    -0.820486 1.143386e-07 2.640420e-07   0.9271   0.1389      201
features.14                       35    -0.820461 4.878283e-06 2.327170e-06   0.9971   0.7695      265
features.15                      481    -0.819833 4.432111e-07 6.564862e-07   0.9520   0.3695      329
features.14                      554    -0.818732 3.952416e-06 1.050970e-06   0.9741   0.5793      265
features.16                      802    -0.818451 6.894788e-07 2.384651e-07   0.9572   0.4300      329
features.13                      518    -0.818403 1.321838e-07 9.937778e-07   0.9618   0.4722      201
features.3                        45    -0.818367 5.110931e-08 2.548991e-05   0.9592   0.4490       57
features.3                        71    -0.818367 3.784373e-08 6.921300e-06   0.9184   0.0816       57
features.11                       16    -0.818227 6.433891e-07 4.105307e-06   0.9507   0.3744      169
features.11                      335    -0.817734 7.809864e-07 6.594931e-06   0.9704   0.5567      169
features.15                      190    -0.817536 7.678022e-07 3.236977e-06   0.9958   0.7871      329
features.7                       147    -0.817323 2.568419e-06 7.054180e-06   0.9921   0.7559      105
features.12                       62    -0.816788 1.485689e-07 1.507963e-06   0.9635   0.5036      201
features.13                      144    -0.816319 1.520017e-07 1.659618e-06   0.9792   0.6493      201
features.16                      880    -0.816145 7.202082e-07 2.894454e-07   0.9605   0.4827      329
features.8                       182    -0.816114 1.926254e-07 2.326505e-06   0.9716   0.5829      137
features.15                      581    -0.815658 3.907093e-07 3.727909e-07   0.9311   0.2234      329
features.16                      675    -0.814827 1.281942e-06 1.386872e-06   0.9967   0.8221      329
features.16                        4    -0.814662 8.814359e-07 4.451464e-07   0.9720   0.6013      329
features.9                        80    -0.814595 3.565131e-07 4.489574e-06   1.0000   0.8541      137
features.13                      371    -0.814583 1.151967e-07 4.160402e-07   0.9306   0.2292      201
features.11                       55    -0.814286 1.156136e-06 2.392007e-05   1.0000   0.8571      169
features.3                       109    -0.814286 4.391602e-08 2.273955e-05   0.9490   0.3980       57
features.17                      727    -0.814025 1.537916e-06 7.043693e-08   0.9738   0.6237      489
features.14                      214    -0.813833 4.094899e-06 1.953488e-06   0.9856   0.7320      265
features.16                      104    -0.813509 1.003087e-06 6.084526e-07   0.9802   0.6870      329
features.2                        33    -0.813208 5.339235e-07 3.401850e-04   1.0000   0.8679       49
features.9                       359    -0.812973 2.177345e-07 1.239087e-06   0.9568   0.4811      137
features.16                      925    -0.812685 7.205066e-07 3.340785e-07   0.9621   0.5321      329
features.16                      777    -0.812191 7.864963e-07 4.043320e-07   0.9671   0.5815      329
features.6                        39    -0.812069 1.283025e-07 1.333965e-05   0.9914   0.8017       73
features.14                      369    -0.811527 3.279296e-06 6.640473e-07   0.9481   0.4179      265
features.12                      553    -0.811314 1.420391e-07 1.612777e-06   0.9599   0.5255      201
features.11                      189    -0.810837 5.753148e-07 1.861626e-06   0.9163   0.1379      169
features.9                       162    -0.810811 1.791018e-07 7.306351e-07   0.9297   0.2595      137
features.12                      172    -0.810219 1.969606e-07 3.180588e-06   0.9818   0.7336      201
features.16                      442    -0.810049 6.034690e-07 1.871477e-07   0.9407   0.3657      329
features.11                      199    -0.809852 6.470906e-07 5.560999e-06   0.9557   0.5025      169
features.15                      918    -0.809186 5.338932e-07 2.001467e-06   0.9749   0.6827      329
features.14                       22    -0.808934 3.544816e-06 1.027367e-06   0.9625   0.5735      265
features.10                        8    -0.808649 2.024994e-07 1.907645e-06   0.9892   0.8162      137
features.16                      151    -0.808567 1.216091e-06 1.402486e-06   0.9901   0.8254      329
features.15                      774    -0.807516 1.025167e-06 7.914614e-06   1.0000   0.9248      329
features.16                      305    -0.807414 6.358989e-07 2.579160e-07   0.9473   0.4514      329
features.16                      188    -0.807249 5.493475e-07 9.408271e-08   0.9176   0.1862      329
features.17                       24    -0.806955 1.913054e-06 1.612431e-07   0.9886   0.8278      489
features.12                       66    -0.806934 2.454140e-07 5.902323e-06   0.9927   0.8650      201
features.12                      382    -0.806569 3.267942e-07 9.883703e-06   1.0000   0.9343      201
features.16                      937    -0.806096 9.109705e-07 6.635510e-07   0.9736   0.7018      329
features.6                        63    -0.806034 8.682579e-08 1.226473e-05   0.9828   0.7845       73
features.15                      168    -0.805846 4.333883e-07 9.709012e-07   0.9478   0.4718      329
features.5                       178    -0.805785 5.253419e-08 1.464385e-06   0.9091   0.1240       73
features.16                      719    -0.805272 1.542663e-06 3.302060e-06   0.9984   0.9325      329
features.16                      410    -0.805107 5.228061e-07 5.110759e-08   0.9061   0.1038      329
features.14                      520    -0.804899 2.944545e-06 2.838453e-07   0.9135   0.1729      265
features.13                      416    -0.804514 1.679597e-07 3.432488e-06   0.9861   0.8299      201
features.4                        84    -0.804348 7.614510e-07 1.180818e-05   0.9478   0.4870       65
features.10                      235    -0.804324 3.152938e-07 5.036369e-06   1.0000   0.9568      137
features.13                      109    -0.804167 1.392635e-07 1.828939e-06   0.9688   0.6771      201
features.13                      127    -0.804167 3.051439e-07 1.212775e-05   1.0000   0.9583      201
features.13                      515    -0.804167 1.079140e-07 1.205305e-07   0.8993   0.0521      201
features.12                      404    -0.804015 1.075285e-07 2.286320e-07   0.9015   0.0730      201
features.8                       319    -0.803792 1.630985e-07 2.210321e-06   0.9526   0.5355      137
features.9                        97    -0.803784 2.775734e-07 3.463011e-06   0.9838   0.8162      137
features.15                      697    -0.803758 4.456558e-07 1.242614e-06   0.9541   0.5491      329
features.16                      793    -0.803624 6.840692e-07 3.881579e-07   0.9555   0.5634      329
features.4                        17    -0.803478 1.211551e-06 7.558824e-05   1.0000   0.9652       65
features.13                      288    -0.803472 1.423954e-07 2.029043e-06   0.9722   0.7153      201
features.8                       275    -0.803317 1.613953e-07 1.759313e-06   0.9431   0.4550      137
features.14                      519    -0.803170 5.153369e-06 6.304392e-06   1.0000   0.9683      265
features.17                      908    -0.803079 1.495107e-06 9.357905e-08   0.9704   0.7024      489
features.13                      125    -0.802778 1.339747e-07 1.737031e-06   0.9653   0.6597      201
features.6                        36    -0.802586 7.965949e-08 8.288929e-06   0.9655   0.6638       73
features.17                      198    -0.802508 1.139801e-06 3.754303e-08   0.9441   0.4721      489
features.16                      584    -0.802471 5.871223e-07 2.103870e-07   0.9357   0.3970      329
features.15                      310    -0.802296 4.694217e-07 1.696315e-06   0.9624   0.6388      329
features.10                      296    -0.802162 1.524913e-07 3.976866e-07   0.9189   0.2486      137
features.15                      462    -0.801879 6.482135e-07 5.520497e-06   0.9875   0.8685      329
features.12                      411    -0.801825 2.667836e-07 1.476932e-05   0.9964   0.9489      201
features.5                        25    -0.801653 1.359927e-07 7.155215e-05   1.0000   0.9835       73
features.17                      657    -0.801596 1.684456e-06 1.513277e-07   0.9806   0.8096      489
