================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 05:34:32
  remove_target  : 26066
  accum_removed  : 26467
  selected_channels : 115
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1429179
  model_sparsity : 34.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       21    65.6%
  features.2                 96          1       51    53.1%
  features.3                144          4       61    42.4%
  features.4                144          2       47    32.6%
  features.5                192          3       89    46.4%
  features.6                192          6       94    49.0%
  features.7                192          4       82    42.7%
  features.8                384          6      193    50.3%
  features.9                384          7      230    59.9%
  features.10               384          6      229    59.6%
  features.11               384          7      220    57.3%
  features.12               576          9      347    60.2%
  features.13               576          7      343    59.5%
  features.14               576          9      286    49.7%
  features.15               960         16      558    58.1%
  features.16               960         21      448    46.7%
  features.17               960          7      122    12.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 46          1       2.2%
  features.3                 87          1       1.1%
  features.4                 99          1       1.0%
  features.5                106          1       0.9%
  features.6                104          1       1.0%
  features.7                114          1       0.9%
  features.8                197          1       0.5%
  features.9                161          1       0.6%
  features.10               161          1       0.6%
  features.11               171          1       0.6%
  features.12               238          2       0.8%
  features.13               240          2       0.8%
  features.14               299          2       0.7%
  features.15               418          3       0.7%
  features.16               533          3       0.6%
  features.17               845          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 7채널 제거
  features.12: 9채널 제거
  features.13: 7채널 제거
  features.14: 9채널 제거
  features.15: 16채널 제거
  features.16: 21채널 제거
  features.17: 7채널 제거
  features.2: 1채널 제거
  features.3: 4채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 6채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      371    -0.878947 8.242026e-07 3.739021e-08   0.9831   0.0583      329
features.11                      352    -0.877059 6.631103e-07 1.269699e-06   0.9765   0.0176      169
features.11                      361    -0.861765 7.322602e-07 3.611028e-06   0.9824   0.2235      169
features.13                       19    -0.858577 2.422809e-07 9.387471e-07   0.9958   0.3766      201
features.5                        96    -0.856191 1.010476e-07 4.892859e-06   0.9810   0.2667       73
features.9                       235    -0.855000 2.749413e-07 1.468929e-06   0.9938   0.3938      137
features.8                       253    -0.853061 1.712817e-07 1.245498e-06   0.9745   0.2398      137
features.6                        35    -0.850485 5.528354e-08 2.872791e-06   0.9612   0.1456       73
features.14                      330    -0.847315 5.164125e-06 7.705668e-07   0.9832   0.3758      265
features.6                       122    -0.846602 6.713321e-08 5.381509e-06   0.9806   0.3592       73
features.9                        99    -0.845625 2.479620e-07 1.422254e-06   0.9812   0.3750      137
features.8                       364    -0.845408 1.319767e-07 9.583284e-07   0.9541   0.1327      137
features.16                      801    -0.843421 6.608550e-07 1.006242e-07   0.9586   0.1936      329
features.8                       163    -0.842347 1.461715e-07 1.254614e-06   0.9643   0.2551      137
features.13                      186    -0.840167 1.474562e-07 9.177861e-07   0.9749   0.3724      201
features.15                       14    -0.838849 5.422532e-07 1.177051e-06   0.9832   0.4604      329
features.6                         0    -0.836893 6.163313e-08 5.532283e-06   0.9709   0.3689       73
features.7                       120    -0.836283 1.617866e-06 3.224859e-06   0.9558   0.2389      105
features.16                      630    -0.834774 6.204415e-07 1.097513e-07   0.9511   0.2124      329
features.14                       60    -0.834564 4.512767e-06 5.654141e-07   0.9597   0.2919      265
features.15                      538    -0.833573 3.838115e-07 2.362347e-07   0.9400   0.1247      329
features.16                       31    -0.833271 7.231333e-07 2.529911e-07   0.9718   0.4135      329
features.15                      556    -0.833094 3.901608e-07 4.467090e-07   0.9496   0.2158      329
features.12                      207    -0.832489 1.919004e-07 2.631787e-06   0.9916   0.5992      201
features.8                        58    -0.831633 1.284225e-07 1.189470e-06   0.9490   0.2245      137
features.15                      688    -0.831175 4.196280e-07 6.936618e-07   0.9592   0.3213      329
features.6                        74    -0.831068 5.292452e-08 4.406027e-06   0.9515   0.2524       73
