================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 05:40:12
  remove_target  : 25404
  accum_removed  : 25517
  selected_channels : 109
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1403662
  model_sparsity : 36.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       21    65.6%
  features.2                 96          2       53    55.2%
  features.3                144          2       63    43.8%
  features.4                144          3       50    34.7%
  features.5                192          4       93    48.4%
  features.6                192          1       95    49.5%
  features.7                192          4       86    44.8%
  features.8                384          5      198    51.6%
  features.9                384          7      237    61.7%
  features.10               384          9      238    62.0%
  features.11               384          3      223    58.1%
  features.12               576         12      359    62.3%
  features.13               576         11      354    61.5%
  features.14               576          9      295    51.2%
  features.15               960         12      570    59.4%
  features.16               960         14      462    48.1%
  features.17               960         11      133    13.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 45          1       2.2%
  features.3                 83          1       1.2%
  features.4                 97          1       1.0%
  features.5                103          1       1.0%
  features.6                 98          1       1.0%
  features.7                110          1       0.9%
  features.8                191          1       0.5%
  features.9                154          1       0.6%
  features.10               155          1       0.6%
  features.11               164          1       0.6%
  features.12               229          2       0.9%
  features.13               233          2       0.9%
  features.14               290          2       0.7%
  features.15               402          3       0.7%
  features.16               512          3       0.6%
  features.17               838          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 9채널 제거
  features.11: 3채널 제거
  features.12: 12채널 제거
  features.13: 11채널 제거
  features.14: 9채널 제거
  features.15: 12채널 제거
  features.16: 14채널 제거
  features.17: 11채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 4채널 제거
  features.6: 1채널 제거
  features.7: 4채널 제거
  features.8: 5채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                       76    -0.878528 6.532430e-07 1.672577e-06   0.9816   0.0491      169
features.9                       328    -0.877124 1.923995e-07 7.742421e-07   0.9935   0.1699      137
features.9                         3    -0.869281 2.221399e-07 1.216737e-06   1.0000   0.3072      137
features.15                      395    -0.861845 5.422675e-07 2.041260e-07   0.9701   0.1122      329
features.15                      612    -0.858853 6.257152e-07 5.786959e-07   0.9825   0.2544      329
features.10                       54    -0.858442 2.177001e-07 5.385907e-07   0.9805   0.2403      137
features.12                       40    -0.853947 1.573407e-07 9.471499e-07   0.9781   0.2632      201
features.13                      201    -0.852155 1.525066e-07 4.457035e-07   0.9655   0.1681      201
features.8                       256    -0.852105 1.389390e-07 5.612131e-07   0.9526   0.0526      137
features.15                      215    -0.846135 5.030028e-07 4.332864e-07   0.9626   0.2020      329
features.5                        11    -0.846078 1.135161e-07 1.047404e-05   0.9902   0.4510       73
features.11                      331    -0.841718 5.944163e-07 5.906269e-06   0.9755   0.3620      169
features.14                      209    -0.840830 5.743429e-06 1.955032e-06   1.0000   0.5917      265
features.9                       193    -0.836601 1.757460e-07 1.463334e-06   0.9739   0.3987      137
features.16                      394    -0.834442 6.302919e-07 8.587856e-08   0.9432   0.1448      329
features.10                       58    -0.833117 1.841919e-07 6.006141e-07   0.9610   0.3182      137
features.15                      657    -0.832918 5.190498e-07 1.023689e-06   0.9676   0.3791      329
features.14                      379    -0.832180 4.719970e-06 1.156689e-06   0.9792   0.4913      265
features.10                       84    -0.831818 1.616413e-07 4.813790e-07   0.9481   0.2143      137
features.13                      214    -0.831465 1.983763e-07 1.822625e-06   0.9871   0.5690      201
features.17                      671    -0.831183 1.692540e-06 4.254856e-08   0.9689   0.4086      489
features.16                      240    -0.829550 6.570005e-07 1.122424e-07   0.9452   0.2114      329
features.2                        76    -0.829545 5.417427e-07 5.179285e-05   0.9318   0.0909       49
features.12                      257    -0.828947 1.188982e-07 3.441604e-07   0.9298   0.0789      201
features.13                      528    -0.828879 1.289553e-07 5.114211e-07   0.9440   0.2069      201
features.14                      479    -0.828028 4.398341e-06 9.837077e-07   0.9689   0.4394      265
features.12                      152    -0.827193 1.352109e-07 1.351709e-06   0.9605   0.3728      201
features.12                      227    -0.827193 2.311587e-07 3.721233e-06   0.9956   0.6886      201
features.15                       96    -0.826933 4.597883e-07 6.754315e-07   0.9501   0.2818      329
features.15                      328    -0.826185 7.160008e-07 2.752681e-06   0.9875   0.6259      329
features.13                      521    -0.825862 1.388836e-07 7.677095e-07   0.9526   0.3147      201
features.14                      431    -0.825606 5.035501e-06 2.430321e-06   0.9896   0.6505      265
features.13                      275    -0.825431 1.481407e-07 1.032769e-06   0.9612   0.3966      201
features.16                      747    -0.825049 1.021119e-06 7.860047e-07   0.9902   0.6614      329
features.17                       14    -0.824970 1.507413e-06 4.003775e-08   0.9606   0.3955      489
features.15                      493    -0.822943 6.407735e-07 2.791451e-06   0.9850   0.6359      329
features.4                        88    -0.822917 1.235015e-06 1.986585e-05   0.9688   0.4896       65
features.13                      216    -0.822845 1.681625e-07 1.662333e-06   0.9741   0.5388      201
features.9                       320    -0.822222 1.668327e-07 1.312776e-06   0.9542   0.3660      137
features.14                      186    -0.821107 4.458476e-06 1.544837e-06   0.9723   0.5398      265
features.8                        37    -0.820526 1.567788e-07 2.593187e-06   0.9737   0.5579      137
features.14                      531    -0.820069 4.911272e-06 2.297084e-06   0.9827   0.6436      265
features.12                      504    -0.819298 2.773142e-07 5.343599e-06   1.0000   0.8070      201
features.13                      318    -0.818965 1.226060e-07 3.894652e-07   0.9267   0.1509      201
features.7                       138    -0.818349 2.768672e-06 9.895736e-06   0.9817   0.6514      105
features.16                      812    -0.817808 1.305826e-06 1.351673e-06   0.9941   0.7691      329
features.14                      295    -0.817301 3.819232e-06 7.378063e-07   0.9446   0.3287      265
features.14                      296    -0.817301 5.273504e-06 4.693030e-06   0.9965   0.7958      265
features.16                      697    -0.817025 9.058061e-07 7.457564e-07   0.9804   0.6536      329
features.12                      142    -0.816228 1.912204e-07 4.068206e-06   0.9868   0.7193      201
features.8                       358    -0.815789 1.271531e-07 1.620876e-06   0.9421   0.3211      137
features.5                        22    -0.815686 1.591173e-07 4.026211e-05   1.0000   0.8431       73
features.12                      199    -0.815351 1.954479e-07 4.811497e-06   0.9912   0.7675      201
features.17                      285    -0.815173 1.398949e-06 4.475156e-08   0.9522   0.4182      489
features.15                      285    -0.814963 3.823266e-07 4.223007e-07   0.9277   0.1995      329
features.6                       163    -0.814433 4.612398e-08 2.716105e-06   0.9175   0.1134       73
features.12                       61    -0.813158 1.260430e-07 1.258956e-06   0.9430   0.3553      201
features.7                         6    -0.812844 2.236560e-06 6.264438e-06   0.9541   0.4587      105
features.16                      703    -0.812329 9.996880e-07 1.366708e-06   0.9883   0.7710      329
features.16                      798    -0.811937 1.217177e-06 1.739796e-06   0.9922   0.8102      329
features.10                      236    -0.811688 1.429500e-07 2.261193e-07   0.9091   0.0649      137
features.17                      721    -0.811589 1.762701e-06 1.243179e-07   0.9737   0.6476      489
features.16                       61    -0.811546 7.578683e-07 4.723064e-07   0.9628   0.5499      329
features.12                        8    -0.811404 1.662125e-07 4.215414e-06   0.9825   0.7281      201
features.16                      311    -0.811155 9.023933e-07 8.981815e-07   0.9785   0.6947      329
features.16                      714    -0.810567 9.228435e-07 1.119409e-06   0.9824   0.7358      329
