================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 24
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 05:45:55
  remove_target  : 24766
  accum_removed  : 25253
  selected_channels : 109
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1378409
  model_sparsity : 37.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       21    65.6%
  features.2                 96          3       56    58.3%
  features.3                144          1       64    44.4%
  features.4                144          3       53    36.8%
  features.5                192          5       98    51.0%
  features.6                192          5      100    52.1%
  features.7                192          6       92    47.9%
  features.8                384          6      204    53.1%
  features.9                384          3      240    62.5%
  features.10               384          6      244    63.5%
  features.11               384          5      228    59.4%
  features.12               576          7      366    63.5%
  features.13               576         12      366    63.5%
  features.14               576         12      307    53.3%
  features.15               960         10      580    60.4%
  features.16               960         12      474    49.4%
  features.17               960         13      146    15.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 43          1       2.3%
  features.3                 81          1       1.2%
  features.4                 94          1       1.1%
  features.5                 99          1       1.0%
  features.6                 97          1       1.0%
  features.7                106          1       0.9%
  features.8                186          1       0.5%
  features.9                147          1       0.7%
  features.10               146          1       0.7%
  features.11               161          1       0.6%
  features.12               217          2       0.9%
  features.13               222          2       0.9%
  features.14               281          2       0.7%
  features.15               390          2       0.5%
  features.16               498          3       0.6%
  features.17               827          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 5채널 제거
  features.12: 7채널 제거
  features.13: 12채널 제거
  features.14: 12채널 제거
  features.15: 10채널 제거
  features.16: 12채널 제거
  features.17: 13채널 제거
  features.2: 3채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 5채널 제거
  features.6: 5채널 제거
  features.7: 6채널 제거
  features.8: 6채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      316    -0.868056 1.240826e-07 7.642793e-07   0.9861   0.1944      201
features.8                        13    -0.849189 1.359057e-07 7.096605e-07   0.9568   0.1189      137
features.10                       45    -0.848966 1.875321e-07 6.788194e-07   0.9793   0.3241      137
features.15                      890    -0.846787 4.046041e-07 4.391636e-07   0.9640   0.2082      329
features.7                        90    -0.839048 2.325692e-06 5.049368e-06   0.9714   0.3524      105
features.4                        50    -0.838710 1.188171e-06 2.742518e-05   1.0000   0.6129       65
features.14                      167    -0.837500 3.754505e-06 1.043880e-06   0.9821   0.4643      265
features.13                      147    -0.836199 1.136721e-07 1.050996e-06   0.9729   0.3937      201
features.13                      461    -0.836199 9.907587e-08 8.108831e-07   0.9638   0.3122      201
features.13                      197    -0.832579 9.083060e-08 2.654878e-07   0.9367   0.1041      201
features.13                      519    -0.831222 9.787993e-08 7.166218e-07   0.9548   0.2805      201
features.16                      409    -0.830986 5.835947e-07 1.085791e-07   0.9477   0.2193      329
features.5                       166    -0.829592 5.186731e-08 1.991636e-06   0.9286   0.0612       73
features.8                       344    -0.829189 1.207661e-07 6.277868e-07   0.9297   0.0757      137
features.14                       99    -0.828929 3.210326e-06 5.321760e-07   0.9500   0.2607      265
features.17                       83    -0.828814 1.668595e-06 5.769588e-08   0.9746   0.4831      489
features.13                      104    -0.826697 9.807891e-08 9.057692e-07   0.9593   0.3665      201
features.16                      956    -0.825553 6.271483e-07 2.120194e-07   0.9577   0.3642      329
features.13                      245    -0.824887 9.632728e-08 6.791521e-07   0.9457   0.2624      201
features.10                      251    -0.824828 1.670406e-07 7.534552e-07   0.9586   0.3793      137
features.2                        11    -0.823810 4.317010e-07 3.158539e-04   0.9762   0.5476       49
features.16                      761    -0.823742 6.662169e-07 3.791810e-07   0.9738   0.5272      329
features.16                      517    -0.823541 9.235355e-07 1.033291e-06   0.9960   0.7284      329
features.12                      129    -0.822685 1.229314e-07 2.906008e-06   0.9815   0.6065      201
features.17                      132    -0.822518 1.537585e-06 5.390442e-08   0.9661   0.4697      489
features.14                      493    -0.822143 4.680242e-06 3.591240e-06   0.9964   0.7464      265
features.16                      474    -0.822133 6.938869e-07 5.799365e-07   0.9799   0.5976      329
features.15                      184    -0.821851 5.368833e-07 3.059206e-06   0.9871   0.6658      329
features.16                      731    -0.819517 9.359824e-07 1.484953e-06   0.9980   0.7867      329
features.12                       74    -0.819444 1.405734e-07 5.400885e-06   0.9954   0.7639      201
features.17                        4    -0.818160 1.503578e-06 6.093846e-08   0.9649   0.5024      489
features.10                       60    -0.817931 1.782662e-07 1.363351e-06   0.9724   0.5724      137
features.14                      301    -0.817857 3.998210e-06 3.303132e-06   0.9893   0.7250      265
features.5                       101    -0.817347 9.629820e-08 2.387573e-05   0.9898   0.7347       73
features.13                      142    -0.817195 9.044079e-08 5.493326e-07   0.9321   0.2172      201
features.14                      251    -0.816429 3.702450e-06 2.384032e-06   0.9786   0.6429      265
features.16                      930    -0.816298 9.229868e-07 1.429870e-06   0.9940   0.7827      329
features.13                      198    -0.816290 1.401388e-07 3.000049e-06   0.9864   0.7149      201
features.14                      127    -0.816071 5.073538e-06 5.330739e-06   1.0000   0.8393      265
features.8                        17    -0.815676 1.056052e-07 2.968611e-07   0.9081   0.0162      137
features.11                      123    -0.815000 6.938399e-07 9.509326e-06   0.9625   0.5125      169
features.11                       32    -0.814375 6.808555e-07 7.684861e-06   0.9563   0.4625      169
features.2                        27    -0.814286 2.337406e-07 3.138618e-06   0.9048   0.0000       49
features.12                       87    -0.813889 9.669626e-08 1.002003e-06   0.9352   0.2778      201
features.4                       136    -0.812903 9.149658e-07 2.423752e-05   0.9677   0.5806       65
features.8                       291    -0.812432 1.263996e-07 2.039336e-06   0.9459   0.3892      137
features.5                        28    -0.811224 8.815422e-08 2.245313e-05   0.9796   0.7041       73
features.9                       205    -0.810959 2.416128e-07 4.817192e-06   0.9863   0.7671      137
features.15                      854    -0.810026 4.032280e-07 1.855266e-06   0.9614   0.5527      329
features.15                       75    -0.809512 3.406533e-07 8.940066e-07   0.9383   0.3496      329
features.6                       171    -0.809375 7.889860e-08 2.175188e-05   0.9896   0.8125       73
features.10                       85    -0.808966 2.197755e-07 2.825999e-06   0.9931   0.8483      137
features.6                       176    -0.808333 4.128037e-08 1.624426e-06   0.9062   0.0729       73
features.13                      451    -0.807692 1.233971e-07 3.611498e-06   0.9819   0.7602      201
features.2                        75    -0.807143 5.783941e-07 2.401375e-03   1.0000   0.9286       49
features.7                         2    -0.806667 2.530027e-06 1.342480e-05   0.9810   0.7619      105
features.7                        19    -0.806667 2.630745e-06 1.642483e-05   0.9905   0.8476      105
features.14                      392    -0.806429 2.888133e-06 8.033606e-07   0.9393   0.3893      265
features.5                        67    -0.806122 1.150553e-07 6.267318e-05   1.0000   0.9388       73
features.7                        46    -0.805714 1.674256e-06 4.045156e-06   0.9238   0.2571      105
features.14                      253    -0.805000 3.310995e-06 1.913424e-06   0.9607   0.5964      265
features.7                       124    -0.804762 1.599482e-06 9.700047e-07   0.8952   0.0095      105
features.16                       77    -0.804628 8.495549e-07 1.979894e-06   0.9879   0.8451      329
features.16                      902    -0.804628 6.432528e-07 6.966700e-07   0.9658   0.6459      329
features.12                       34    -0.804167 2.012384e-07 2.527310e-05   1.0000   0.9583      201
features.10                      295    -0.804138 2.155310e-07 2.749105e-06   0.9862   0.8345      137
features.15                      312    -0.804113 7.268458e-07 1.010475e-05   0.9923   0.8895      329
features.9                       315    -0.804110 2.525151e-07 1.012728e-05   0.9932   0.8973      137
features.13                      427    -0.804072 1.505568e-07 8.736837e-06   0.9955   0.9186      201
features.16                      132    -0.804024 7.650552e-07 1.707535e-06   0.9839   0.8149      329
features.14                      475    -0.803929 3.955214e-06 5.268243e-06   0.9857   0.8321      265
features.15                      674    -0.803599 4.374007e-07 4.359374e-06   0.9743   0.7326      329
features.17                      245    -0.803148 1.204850e-06 3.481368e-08   0.9334   0.3692      489
features.11                       66    -0.803125 8.081569e-07 3.903954e-05   0.9875   0.8562      169
features.6                       151    -0.803125 6.139653e-08 1.384265e-05   0.9688   0.6875       73
features.11                      234    -0.803125 7.463971e-07 2.914807e-05   0.9812   0.8000      169
features.5                        26    -0.803061 4.733091e-08 2.530927e-06   0.9082   0.1429       73
features.7                       107    -0.802857 3.520980e-06 4.680574e-05   1.0000   0.9714      105
features.10                      267    -0.802759 2.275183e-07 1.357707e-05   1.0000   0.9724      137
features.13                      231    -0.802715 1.169034e-07 3.754507e-06   0.9774   0.7692      201
features.8                       174    -0.802703 2.054196e-07 5.563504e-06   0.9784   0.7784      137
features.17                      538    -0.802663 1.803762e-06 1.980232e-07   0.9782   0.7772      489
features.3                        25    -0.802500 5.025753e-08 2.332094e-03   1.0000   0.9750       57
features.14                      255    -0.802143 4.327012e-06 7.112478e-06   0.9929   0.9143      265
features.9                       344    -0.802055 3.510617e-07 3.613245e-05   1.0000   0.9795      137
features.11                      171    -0.801875 1.458288e-06 2.422628e-04   1.0000   0.9812      169
features.16                      382    -0.801811 5.288167e-07 2.932850e-07   0.9396   0.4386      329
features.13                      370    -0.801810 1.925838e-07 4.177302e-05   1.0000   0.9819      201
features.16                      340    -0.801207 1.151530e-06 1.840230e-05   1.0000   0.9879      329
features.15                      453    -0.800771 3.137611e-07 6.437947e-07   0.9203   0.2751      329
features.17                      928    -0.800605 1.183523e-06 3.236071e-08   0.9286   0.3511      489
features.15                      291    -0.800257 1.001765e-06 2.982168e-05   0.9974   0.9743      329
features.6                       142    -0.800000 5.964053e-08 1.245385e-05   0.9583   0.6250       73
features.17                      422    -0.800000 1.625694e-06 1.860863e-07   0.9734   0.7603      489
features.12                      406    -0.799537 8.245742e-08 6.911546e-07   0.9074   0.1713      201
features.17                      566    -0.799516 1.575473e-06 1.594650e-07   0.9697   0.7324      489
features.17                      701    -0.799395 1.541004e-06 1.540430e-07   0.9685   0.7228      489
features.12                      226    -0.799074 1.079020e-07 3.507562e-06   0.9630   0.6759      201
features.14                       24    -0.798929 3.335998e-06 3.052336e-06   0.9643   0.6893      265
features.4                       124    -0.798925 9.544207e-07 7.331183e-05   0.9892   0.9140       65
features.17                       82    -0.798910 3.761642e-06 1.586442e-06   0.9976   0.9891      489
features.17                      858    -0.798547 2.964529e-06 1.172190e-06   0.9964   0.9818      489
features.15                      769    -0.797943 6.733439e-07 1.415643e-05   0.9897   0.9280      329
features.6                       100    -0.797917 4.715727e-08 6.020211e-06   0.9271   0.3646       73
features.17                      505    -0.797700 2.938485e-06 1.006859e-06   0.9952   0.9794      489
features.15                      901    -0.797686 8.803939e-07 3.029233e-05   0.9949   0.9769      329
features.8                        11    -0.797297 3.073789e-07 2.420347e-05   0.9946   0.9784      137
features.14                      488    -0.796786 3.457083e-06 4.150491e-06   0.9714   0.7750      265
features.17                      825    -0.796610 2.400701e-06 3.383393e-07   0.9831   0.8814      489
