================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 26
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 05:57:39
  remove_target  : 23525
  accum_removed  : 23847
  selected_channels : 103
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1330182
  model_sparsity : 39.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       21    65.6%
  features.2                 96          2       60    62.5%
  features.3                144          3       69    47.9%
  features.4                144          3       59    41.0%
  features.5                192          6      107    55.7%
  features.6                192          4      106    55.2%
  features.7                192          4      102    53.1%
  features.8                384          2      210    54.7%
  features.9                384          6      252    65.6%
  features.10               384          5      250    65.1%
  features.11               384          6      241    62.8%
  features.12               576          8      385    66.8%
  features.13               576         10      384    66.7%
  features.14               576          9      325    56.4%
  features.15               960          9      599    62.4%
  features.16               960         14      500    52.1%
  features.17               960         12      172    17.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 38          1       2.6%
  features.3                 78          1       1.3%
  features.4                 88          1       1.1%
  features.5                 91          1       1.1%
  features.6                 90          1       1.1%
  features.7                 94          1       1.1%
  features.8                176          1       0.6%
  features.9                138          1       0.7%
  features.10               139          1       0.7%
  features.11               149          1       0.7%
  features.12               199          1       0.5%
  features.13               202          2       1.0%
  features.14               260          2       0.8%
  features.15               370          2       0.5%
  features.16               474          3       0.6%
  features.17               800          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.11: 6채널 제거
  features.12: 8채널 제거
  features.13: 10채널 제거
  features.14: 9채널 제거
  features.15: 9채널 제거
  features.16: 14채널 제거
  features.17: 12채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 6채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 2채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      205    -0.875000 7.559009e-07 3.545513e-06   0.9865   0.1284      169
features.4                        77    -0.864368 1.293765e-06 6.638492e-06   0.9770   0.1494       65
features.6                       112    -0.864045 7.946885e-08 2.458381e-06   0.9775   0.1573       73
features.12                      555    -0.861616 1.140695e-07 9.324935e-07   0.9798   0.2020      201
features.14                      343    -0.859459 3.923119e-06 4.326508e-07   0.9730   0.1622      265
features.5                        31    -0.855556 6.492059e-08 2.627808e-06   0.9667   0.1444       73
features.16                      213    -0.854757 8.169698e-07 1.919398e-07   0.9873   0.3383      329
features.2                        59    -0.854054 2.764172e-07 1.814392e-04   0.9730   0.2162       49
features.13                      439    -0.849254 1.106768e-07 1.398241e-06   0.9900   0.4179      201
features.13                      383    -0.845771 1.046253e-07 9.081172e-07   0.9751   0.3184      201
features.13                      108    -0.843781 1.326682e-07 1.936975e-06   1.0000   0.5622      201
features.15                      659    -0.842818 5.560696e-07 1.341152e-06   0.9837   0.4255      329
features.13                      292    -0.842786 1.145472e-07 1.759862e-06   0.9950   0.5274      201
features.14                       80    -0.840541 6.008313e-06 1.976450e-06   1.0000   0.5946      265
features.11                       20    -0.839865 5.202580e-07 2.958147e-06   0.9459   0.1149      169
features.12                      248    -0.838889 9.163792e-08 1.127679e-06   0.9596   0.2475      201
features.14                      363    -0.837452 3.851128e-06 7.426343e-07   0.9653   0.3127      265
features.16                      770    -0.836575 7.240405e-07 2.519425e-07   0.9746   0.4059      329
features.16                      328    -0.836364 1.399774e-06 6.299796e-07   0.9979   0.6173      329
features.7                        13    -0.835484 2.788372e-06 3.856683e-06   0.9570   0.2581      105
features.11                      120    -0.833784 5.619368e-07 5.437193e-06   0.9595   0.2973      169
features.16                      854    -0.832770 7.392451e-07 3.033612e-07   0.9767   0.4630      329
features.12                       60    -0.831818 1.004436e-07 1.514901e-06   0.9646   0.3636      201
features.5                        51    -0.831111 6.990471e-08 1.428811e-05   0.9778   0.4889       73
features.13                      158    -0.829851 1.093840e-07 1.956686e-06   0.9851   0.5672      201
features.6                       103    -0.829214 9.810613e-08 1.071501e-05   0.9888   0.6067       73
features.16                      114    -0.828753 7.470758e-07 4.674075e-07   0.9831   0.5603      329
features.8                       119    -0.828571 1.534232e-07 1.567993e-06   0.9600   0.3543      137
features.14                      332    -0.827799 3.634158e-06 4.859390e-07   0.9421   0.2008      265
features.11                      327    -0.827703 5.847699e-07 9.947345e-06   0.9730   0.4797      169
features.16                      379    -0.827484 6.013540e-07 1.412930e-07   0.9493   0.2685      329
features.13                      232    -0.826866 9.855180e-08 1.183314e-06   0.9602   0.3731      201
features.5                        87    -0.826667 5.874935e-08 4.000720e-06   0.9444   0.2333       73
features.13                      560    -0.825373 9.311545e-08 6.726896e-07   0.9453   0.2537      201
features.17                      307    -0.824531 1.746721e-06 9.021502e-08   0.9775   0.5519      489
features.16                      259    -0.823679 1.436170e-06 1.421034e-06   1.0000   0.7632      329
features.16                      351    -0.823256 6.145882e-07 1.834018e-07   0.9514   0.3298      329
features.7                        44    -0.822581 4.128691e-06 1.160634e-05   0.9892   0.6774      105
features.15                      227    -0.822493 4.495650e-07 1.374946e-06   0.9621   0.4336      329
features.10                      233    -0.822464 2.210767e-07 1.726140e-06   0.9928   0.7101      137
features.9                        48    -0.820438 2.180384e-07 3.983069e-06   0.9927   0.7299      137
features.10                      274    -0.820290 1.688596e-07 6.452523e-07   0.9493   0.3406      137
features.13                      531    -0.819900 9.805676e-08 1.319655e-06   0.9552   0.3980      201
features.11                      296    -0.819595 5.828099e-07 1.061343e-05   0.9662   0.5000      169
features.15                       63    -0.819512 4.806618e-07 1.833399e-06   0.9702   0.5366      329
features.14                      528    -0.819305 4.307234e-06 4.048056e-06   0.9923   0.7375      265
features.5                        16    -0.818889 6.127546e-08 8.566330e-06   0.9556   0.4111       73
features.9                        95    -0.818248 1.384641e-07 1.550547e-06   0.9562   0.4234      137
features.17                      525    -0.817272 1.842274e-06 1.426063e-07   0.9812   0.6583      489
features.12                       80    -0.817172 1.211759e-07 4.100155e-06   0.9848   0.6919      201
features.8                       196    -0.817143 1.825372e-07 3.312988e-06   0.9771   0.6229      137
features.3                       112    -0.816883 5.012791e-08 2.755169e-05   0.9351   0.2468       57
features.9                        32    -0.816058 2.215537e-07 5.865075e-06   1.0000   0.8394      137
features.17                      861    -0.815144 1.837370e-06 1.474297e-07   0.9800   0.6683      489
features.12                       32    -0.814646 1.042524e-07 3.247497e-06   0.9747   0.6263      201
features.13                      555    -0.814428 9.729843e-08 1.358854e-06   0.9502   0.4080      201
features.17                      953    -0.813141 2.084450e-06 2.143542e-07   0.9887   0.7672      489
features.14                       21    -0.812741 3.743704e-06 1.431080e-06   0.9575   0.4903      265
features.16                      434    -0.812051 6.013209e-07 2.471934e-07   0.9471   0.4038      329
features.7                       132    -0.811828 2.924455e-06 9.498666e-06   0.9677   0.5914      105
features.3                        74    -0.811688 5.410075e-08 6.116112e-05   0.9481   0.4156       57
features.9                        57    -0.811679 1.276927e-07 7.789126e-07   0.9197   0.1606      137
features.2                        35    -0.810811 2.683102e-07 4.640953e-04   0.9459   0.4054       49
features.14                      458    -0.810425 3.851370e-06 2.264067e-06   0.9691   0.6178      265
features.17                      902    -0.810013 1.526870e-06 1.095309e-07   0.9662   0.5957      489
features.15                       78    -0.809756 5.374129e-07 4.091692e-06   0.9810   0.7317      329
features.9                       169    -0.809489 1.874513e-07 4.907926e-06   0.9854   0.7737      137
features.14                      346    -0.809266 4.077860e-06 4.533994e-06   0.9846   0.7683      265
features.12                      396    -0.809091 1.441711e-07 7.698896e-06   0.9899   0.8182      201
features.15                      524    -0.808672 4.529904e-07 2.369508e-06   0.9648   0.5962      329
features.16                      230    -0.808245 7.430501e-07 1.268364e-06   0.9810   0.7463      329
features.16                      473    -0.808245 6.375241e-07 6.138562e-07   0.9662   0.6131      329
features.4                        38    -0.808046 1.521329e-06 8.661394e-05   1.0000   0.9195       65
features.6                        59    -0.807865 6.920009e-08 1.083696e-05   0.9663   0.6180       73
features.17                      207    -0.807760 1.322300e-06 5.845989e-08   0.9474   0.4493      489
features.17                      336    -0.807760 1.238819e-06 5.020627e-08   0.9449   0.4268      489
features.10                       74    -0.807246 1.297227e-07 4.650222e-07   0.9203   0.2101      137
features.3                       141    -0.806494 1.153662e-07 3.973719e-04   0.9870   0.8182       57
features.10                       46    -0.805797 2.355373e-07 5.082109e-06   1.0000   0.9420      137
features.10                      303    -0.805797 2.169541e-07 2.398448e-06   0.9855   0.8116      137
features.13                      294    -0.805473 9.949373e-08 2.302921e-06   0.9652   0.6318      201
features.17                       91    -0.805382 1.335281e-06 7.076901e-08   0.9499   0.4956      489
features.16                      135    -0.805074 5.408601e-07 1.922244e-07   0.9323   0.3404      329
features.4                        15    -0.804598 1.318671e-06 6.762464e-05   0.9885   0.8506       65
features.12                      256    -0.804545 1.462365e-07 1.376339e-05   0.9949   0.9091      201
features.5                        60    -0.804444 8.007117e-08 7.232354e-05   1.0000   0.9556       73
features.5                       109    -0.804444 7.144126e-08 4.812436e-05   0.9889   0.8556       73
features.12                       72    -0.803535 3.560427e-07 3.581534e-05   1.0000   0.9646      201
features.15                      247    -0.803523 6.684659e-07 9.486157e-06   0.9919   0.8916      329
features.15                      380    -0.803252 9.800449e-07 1.479146e-05   0.9973   0.9431      329
features.7                       125    -0.803226 4.779710e-06 4.552632e-05   1.0000   0.9677      105
features.9                       117    -0.802920 1.293591e-07 1.421050e-06   0.9343   0.3796      137
features.16                      504    -0.801480 5.265324e-07 1.729261e-07   0.9260   0.3192      329
features.17                      631    -0.801126 2.887509e-06 6.956264e-07   0.9962   0.9549      489
features.6                       137    -0.801124 4.789274e-08 7.201707e-06   0.9438   0.4831       73
features.15                      361    -0.801084 3.784414e-07 7.025925e-07   0.9214   0.2818      329
features.16                      955    -0.801057 7.630273e-07 2.917561e-06   0.9852   0.8562      329
features.11                      326    -0.800676 1.570158e-06 3.795121e-04   1.0000   0.9932      169
features.15                       15    -0.800542 5.622780e-07 9.624229e-06   0.9892   0.8970      329
features.14                        5    -0.800000 3.650346e-06 1.531644e-06   0.9459   0.5135      265
features.17                      610    -0.799875 2.967580e-06 1.095906e-06   0.9975   0.9787      489
features.17                      412    -0.799750 1.363936e-06 9.942919e-08   0.9524   0.5745      489
features.17                      862    -0.799625 2.642971e-06 7.402776e-07   0.9950   0.9587      489
