================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 27
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:03:31
  remove_target  : 22929
  accum_removed  : 23026
  selected_channels : 98
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1307156
  model_sparsity : 40.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       21    65.6%
  features.2                 96          1       61    63.5%
  features.3                144          3       72    50.0%
  features.4                144          3       62    43.1%
  features.5                192          4      111    57.8%
  features.6                192          1      107    55.7%
  features.7                192          6      108    56.2%
  features.8                384          5      215    56.0%
  features.9                384          6      258    67.2%
  features.10               384          4      254    66.1%
  features.11               384          4      245    63.8%
  features.12               576         10      395    68.6%
  features.13               576         10      394    68.4%
  features.14               576          6      331    57.5%
  features.15               960         13      612    63.7%
  features.16               960         11      511    53.2%
  features.17               960         11      183    19.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 11          1       9.1%
  features.2                 36          1       2.8%
  features.3                 75          1       1.3%
  features.4                 85          1       1.2%
  features.5                 85          1       1.2%
  features.6                 86          1       1.2%
  features.7                 90          1       1.1%
  features.8                174          1       0.6%
  features.9                132          1       0.8%
  features.10               134          1       0.7%
  features.11               143          1       0.7%
  features.12               191          1       0.5%
  features.13               192          1       0.5%
  features.14               251          2       0.8%
  features.15               361          2       0.6%
  features.16               460          3       0.7%
  features.17               788          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 4채널 제거
  features.12: 10채널 제거
  features.13: 10채널 제거
  features.14: 6채널 제거
  features.15: 13채널 제거
  features.16: 11채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 4채널 제거
  features.6: 1채널 제거
  features.7: 6채널 제거
  features.8: 5채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      405    -0.872632 1.256350e-07 6.386681e-07   0.9842   0.1316      201
features.10                      340    -0.870677 2.037329e-07 5.252381e-07   0.9925   0.2256      137
features.5                       122    -0.865476 5.349152e-08 2.070472e-06   0.9643   0.0238       73
features.12                      107    -0.864211 1.100066e-07 5.890265e-07   0.9737   0.1211      201
features.15                       86    -0.858889 5.618785e-07 9.040364e-07   0.9889   0.3111      329
features.14                      173    -0.858400 4.892074e-06 8.869890e-07   0.9920   0.3440      265
features.9                       230    -0.858015 2.646508e-07 1.720330e-06   1.0000   0.4198      137
features.13                      403    -0.855497 1.227127e-07 5.144119e-07   0.9686   0.1623      201
features.15                      552    -0.854445 9.354857e-07 1.380743e-06   0.9944   0.4056      329
features.7                       169    -0.847191 2.492314e-06 7.800538e-06   0.9888   0.4270      105
features.7                         3    -0.844944 2.775432e-06 1.076782e-05   1.0000   0.5506      105
features.9                       335    -0.844275 1.969059e-07 2.075806e-06   0.9924   0.4885      137
features.7                        17    -0.843820 2.325262e-06 7.376172e-06   0.9775   0.3596      105
features.11                       89    -0.842958 8.896095e-07 1.083161e-05   0.9859   0.4437      169
features.16                      229    -0.841830 1.068285e-06 4.579045e-07   0.9913   0.5033      329
features.16                      344    -0.840087 1.128092e-06 5.119286e-07   0.9935   0.5403      329
features.6                        62    -0.838823 7.311151e-08 9.815829e-06   0.9882   0.5059       73
features.14                        3    -0.836400 5.066054e-06 2.505927e-06   0.9960   0.6000      265
features.9                       295    -0.835878 1.662372e-07 1.105469e-06   0.9542   0.2290      137
features.13                      530    -0.835079 1.286907e-07 1.735853e-06   0.9791   0.4607      201
features.13                      441    -0.832984 1.082659e-07 7.219407e-07   0.9529   0.2461      201
features.12                      361    -0.832105 1.039180e-07 1.185641e-06   0.9474   0.2053      201
features.12                      480    -0.832105 1.036089e-07 7.884374e-07   0.9421   0.1579      201
features.12                      209    -0.830000 2.258724e-07 5.924821e-06   1.0000   0.7000      201
features.13                      480    -0.829319 1.015309e-07 5.742859e-07   0.9424   0.1885      201
features.16                        8    -0.827451 1.011394e-06 6.713043e-07   0.9869   0.6078      329
features.10                       22    -0.826316 1.251515e-07 3.813743e-07   0.9323   0.1278      137
features.15                      795    -0.824722 1.301409e-06 4.921476e-06   0.9972   0.7278      329
features.9                       200    -0.823664 1.368094e-07 8.181299e-07   0.9313   0.1450      137
features.15                      266    -0.822500 3.725116e-07 4.634970e-07   0.9333   0.1750      329
features.15                      779    -0.821667 4.679874e-07 2.479413e-06   0.9750   0.5583      329
features.12                      310    -0.820526 1.071963e-07 2.192422e-06   0.9579   0.4158      201
features.13                      488    -0.820419 1.609292e-07 3.616159e-06   0.9895   0.7016      201
features.5                        99    -0.819048 6.051530e-08 3.587741e-05   1.0000   0.8095       73
features.14                      372    -0.818800 4.083342e-06 1.328792e-06   0.9600   0.4520      265
features.17                      145    -0.818678 2.043021e-06 2.014149e-07   0.9886   0.7103      489
features.7                        69    -0.817978 1.674213e-06 2.910492e-06   0.9213   0.1124      105
features.15                      934    -0.817778 4.038327e-07 9.425795e-07   0.9444   0.3222      329
features.12                      498    -0.816316 1.046587e-07 2.191861e-06   0.9526   0.4105      201
features.3                        50    -0.816216 5.644334e-08 1.386714e-04   0.9730   0.5946       57
features.4                        87    -0.815476 8.131793e-07 2.212599e-05   0.9524   0.4167       65
features.7                       184    -0.814607 1.847609e-06 7.274324e-06   0.9438   0.3483      105
features.11                      371    -0.814085 6.213152e-07 1.026689e-05   0.9507   0.4155      169
features.15                      173    -0.813611 4.475626e-07 2.373314e-06   0.9639   0.5389      329
features.10                      248    -0.813534 1.712628e-07 1.176800e-06   0.9624   0.5263      137
features.16                       52    -0.812200 1.597423e-06 4.199722e-06   0.9978   0.8584      329
features.10                      139    -0.811278 2.196321e-07 4.574502e-06   1.0000   0.8872      137
features.11                      247    -0.811268 1.354838e-06 8.730355e-05   1.0000   0.8873      169
features.3                       140    -0.810811 9.711525e-08 9.156045e-04   1.0000   0.8919       57
features.15                      818    -0.810556 4.245469e-07 1.767482e-06   0.9528   0.4694      329
features.8                       173    -0.809827 2.003801e-07 5.680776e-06   0.9827   0.7457      137
features.16                      366    -0.809804 9.816048e-07 1.707917e-06   0.9847   0.7647      329
features.15                      541    -0.809167 5.531104e-07 6.272516e-06   0.9861   0.7833      329
features.16                      694    -0.809150 7.641330e-07 1.008430e-06   0.9739   0.6732      329
features.17                      208    -0.809022 2.969483e-06 4.197560e-07   0.9975   0.8869      489
features.13                      361    -0.808901 1.340845e-07 5.130382e-06   0.9843   0.7696      201
features.14                       55    -0.808800 3.815321e-06 8.673899e-07   0.9360   0.3360      265
features.15                      170    -0.808611 3.770699e-07 9.901792e-07   0.9361   0.3389      329
features.17                      918    -0.808513 1.652877e-06 2.002903e-07   0.9771   0.7090      489
features.15                      118    -0.808333 4.768959e-07 5.064358e-06   0.9806   0.7417      329
features.4                        57    -0.808333 1.653509e-06 1.132840e-04   1.0000   0.9167       65
features.7                       127    -0.807865 2.130620e-06 1.241262e-05   0.9663   0.6180      105
features.17                      709    -0.807624 1.302318e-06 7.061990e-08   0.9504   0.4778      489
features.16                      953    -0.807407 5.378362e-07 2.392798e-07   0.9368   0.3573      329
features.12                       73    -0.807368 1.280350e-07 1.019714e-05   0.9895   0.8316      201
features.16                       22    -0.806754 7.496881e-07 1.038998e-06   0.9717   0.6776      329
features.15                      106    -0.806667 4.463746e-07 2.775326e-06   0.9611   0.5833      329
features.4                       126    -0.805952 7.949199e-07 1.506524e-05   0.9286   0.2976       65
features.5                       141    -0.805952 4.923198e-08 2.744094e-06   0.9048   0.0833       73
features.13                      368    -0.805759 9.888062e-08 1.126826e-06   0.9372   0.3770      201
features.12                      517    -0.805263 9.514878e-08 1.319722e-06   0.9211   0.2368      201
features.17                      841    -0.805210 1.291605e-06 7.129049e-08   0.9479   0.4790      489
features.14                       36    -0.804800 5.183249e-06 1.300849e-05   1.0000   0.9520      265
features.8                        89    -0.804624 1.124704e-07 2.634044e-06   0.9480   0.4855      137
features.8                        82    -0.804046 1.071244e-07 2.037666e-06   0.9364   0.3873      137
features.17                      798    -0.803939 1.366874e-06 1.190412e-07   0.9581   0.5832      489
features.9                       249    -0.803817 1.544763e-07 1.974293e-06   0.9466   0.4809      137
features.2                        69    -0.802857 1.607074e-07 6.309618e-04   0.9429   0.4571       49
features.3                       116    -0.802703 5.058305e-08 1.471359e-04   0.9595   0.6081       57
features.16                      489    -0.802179 1.029669e-06 4.810732e-06   0.9891   0.8802      329
features.17                      503    -0.802160 2.162479e-06 4.783747e-07   0.9924   0.9098      489
features.13                      345    -0.801571 1.174768e-07 3.089684e-06   0.9634   0.6545      201
features.17                      311    -0.801525 2.057672e-06 4.456510e-07   0.9898   0.8933      489
features.8                        75    -0.801156 3.157739e-07 2.884952e-05   1.0000   0.9884      137
features.8                        90    -0.801156 1.207002e-07 3.490327e-06   0.9595   0.6243      137
features.16                      958    -0.801089 1.623968e-06 2.905307e-05   1.0000   0.9891      329
features.11                        9    -0.800704 9.560597e-07 1.242001e-04   0.9930   0.9296      169
features.13                      357    -0.800524 2.272561e-07 1.595107e-04   1.0000   0.9948      201
features.13                      401    -0.800524 2.034148e-07 1.440997e-05   0.9948   0.9476      201
features.17                      400    -0.800508 2.001299e-06 3.984458e-07   0.9873   0.8806      489
features.14                      559    -0.800400 4.458198e-06 6.495958e-06   0.9760   0.7800      265
features.5                       185    -0.800000 5.726177e-08 5.185691e-05   0.9881   0.8929       73
features.15                      430    -0.800000 4.454887e-07 3.178593e-06   0.9583   0.6250      329
features.12                      347    -0.800000 1.173561e-07 8.658236e-06   0.9789   0.8105      201
features.17                      355    -0.800000 2.897413e-06 7.623828e-07   0.9949   0.9543      489
features.17                      524    -0.799873 2.094758e-06 5.190983e-07   0.9911   0.9212      489
features.9                       299    -0.799237 1.138359e-07 9.072386e-07   0.9084   0.1832      137
features.16                      206    -0.798911 6.219668e-07 8.264927e-07   0.9586   0.6383      329
