================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 29
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:15:06
  remove_target  : 21792
  accum_removed  : 22071
  selected_channels : 95
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1262620
  model_sparsity : 42.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          1       62    64.6%
  features.3                144          2       76    52.8%
  features.4                144          5       69    47.9%
  features.5                192          3      119    62.0%
  features.6                192          3      111    57.8%
  features.7                192          4      115    59.9%
  features.8                384          6      226    58.9%
  features.9                384          4      267    69.5%
  features.10               384          8      267    69.5%
  features.11               384          5      253    65.9%
  features.12               576          5      406    70.5%
  features.13               576          8      407    70.7%
  features.14               576         12      354    61.5%
  features.15               960          8      629    65.5%
  features.16               960          8      531    55.3%
  features.17               960         13      210    21.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 35          1       2.9%
  features.3                 70          1       1.4%
  features.4                 80          1       1.2%
  features.5                 76          1       1.3%
  features.6                 84          1       1.2%
  features.7                 81          1       1.2%
  features.8                164          1       0.6%
  features.9                121          1       0.8%
  features.10               125          1       0.8%
  features.11               136          1       0.7%
  features.12               175          1       0.6%
  features.13               177          1       0.6%
  features.14               234          2       0.9%
  features.15               339          2       0.6%
  features.16               437          3       0.7%
  features.17               763          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 5채널 제거
  features.12: 5채널 제거
  features.13: 8채널 제거
  features.14: 12채널 제거
  features.15: 8채널 제거
  features.16: 8채널 제거
  features.17: 13채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 5채널 제거
  features.5: 3채널 제거
  features.6: 3채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                       77    -0.875148 6.919728e-07 4.311730e-07   0.9882   0.1420      329
features.5                        38    -0.852000 7.713685e-08 1.589141e-05   1.0000   0.4800       73
features.11                      318    -0.851852 1.456836e-06 1.310868e-05   1.0000   0.4815      169
features.11                      209    -0.850370 6.595961e-07 3.311347e-06   0.9556   0.0963      169
features.6                       110    -0.848193 5.303231e-08 4.126319e-06   0.9639   0.1928       73
features.10                        2    -0.846774 1.310887e-07 3.240910e-07   0.9516   0.0968      137
features.15                      748    -0.843787 5.323757e-07 1.450141e-06   0.9822   0.4024      329
features.14                        6    -0.840773 4.132248e-06 1.440247e-06   0.9828   0.4378      265
features.16                      278    -0.838991 7.035001e-07 3.211321e-07   0.9771   0.4037      329
features.10                      284    -0.838710 1.922027e-07 1.311310e-06   0.9919   0.5403      137
features.4                        19    -0.837975 1.150227e-06 1.602661e-05   0.9620   0.2785       65
features.9                       284    -0.837500 1.443988e-07 7.529761e-07   0.9417   0.1000      137
features.7                        43    -0.833750 2.843931e-06 1.686268e-05   1.0000   0.6625      105
features.14                      199    -0.831330 4.078281e-06 1.767345e-06   0.9785   0.4936      265
features.14                      276    -0.829185 4.299106e-06 2.996347e-06   0.9914   0.6309      265
features.9                        19    -0.827500 1.730064e-07 2.416015e-06   0.9750   0.5000      137
features.16                      137    -0.826835 1.296382e-06 1.594414e-06   1.0000   0.7317      329
features.5                       182    -0.826667 5.732482e-08 1.662181e-05   0.9733   0.4933       73
features.14                      162    -0.826180 3.482932e-06 8.791677e-07   0.9485   0.2747      265
features.4                        56    -0.822785 1.253781e-06 5.305307e-05   0.9873   0.6582       65
features.16                      361    -0.822706 8.236809e-07 9.688999e-07   0.9862   0.6491      329
features.8                       280    -0.822699 1.287514e-07 2.195930e-07   0.9141   0.0000      137
features.10                      294    -0.821774 1.261005e-07 5.736651e-07   0.9355   0.2016      137
features.7                       137    -0.821250 2.112271e-06 6.300076e-06   0.9375   0.2250      105
features.4                        11    -0.820253 1.154491e-06 4.552550e-05   0.9747   0.5696       65
features.16                      585    -0.819954 4.843518e-07 1.165662e-07   0.9312   0.1812      329
features.14                      336    -0.818884 3.487788e-06 1.268418e-06   0.9528   0.3863      265
