================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 30
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:21:12
  remove_target  : 21240
  accum_removed  : 21320
  selected_channels : 96
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1241300
  model_sparsity : 43.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          0       62    64.6%
  features.3                144          4       80    55.6%
  features.4                144          3       72    50.0%
  features.5                192          6      125    65.1%
  features.6                192          4      115    59.9%
  features.7                192          4      119    62.0%
  features.8                384          6      232    60.4%
  features.9                384          3      270    70.3%
  features.10               384          4      271    70.6%
  features.11               384          6      259    67.4%
  features.12               576          9      415    72.0%
  features.13               576          7      414    71.9%
  features.14               576         11      365    63.4%
  features.15               960         11      640    66.7%
  features.16               960         10      541    56.4%
  features.17               960          8      218    22.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 34          1       2.9%
  features.3                 68          1       1.5%
  features.4                 75          1       1.3%
  features.5                 73          1       1.4%
  features.6                 81          1       1.2%
  features.7                 77          1       1.3%
  features.8                158          1       0.6%
  features.9                117          1       0.9%
  features.10               117          1       0.9%
  features.11               131          1       0.8%
  features.12               170          1       0.6%
  features.13               169          1       0.6%
  features.14               222          2       0.9%
  features.15               331          2       0.6%
  features.16               429          3       0.7%
  features.17               750          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 6채널 제거
  features.12: 9채널 제거
  features.13: 7채널 제거
  features.14: 11채널 제거
  features.15: 11채널 제거
  features.16: 10채널 제거
  features.17: 8채널 제거
  features.3: 4채널 제거
  features.4: 3채널 제거
  features.5: 6채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                        83    -0.872500 5.929043e-08 9.291517e-07   0.9750   0.0500       73
features.11                      201    -0.861538 6.048708e-07 6.929022e-06   0.9846   0.2462      169
features.11                      320    -0.857692 7.342787e-07 1.106647e-05   1.0000   0.4231      169
features.12                      518    -0.856213 1.184885e-07 1.374366e-06   0.9763   0.2249      201
features.7                        56    -0.853947 2.539032e-06 8.665867e-06   0.9868   0.3421      105
features.8                       117    -0.845860 1.369919e-07 2.424159e-06   0.9873   0.4268      137
features.5                       168    -0.845833 6.782998e-08 3.910356e-06   0.9583   0.1667       73
features.11                      136    -0.843846 5.946292e-07 7.358555e-06   0.9692   0.2846      169
features.15                      322    -0.843333 3.759411e-07 3.214747e-07   0.9485   0.1030      329
features.15                      814    -0.840303 6.696845e-07 2.508798e-06   0.9939   0.5424      329
features.7                        65    -0.839474 2.250744e-06 9.193053e-06   0.9737   0.3684      105
features.14                      514    -0.838462 4.385296e-06 2.930597e-06   0.9955   0.5747      265
features.11                      304    -0.837692 5.382830e-07 1.269175e-06   0.9308   0.0000      169
features.5                         4    -0.837500 5.037405e-08 1.373387e-06   0.9306   0.0000       73
features.10                      359    -0.836207 1.652039e-07 1.083941e-06   0.9741   0.4052      137
features.14                      208    -0.836199 3.675262e-06 1.417493e-06   0.9729   0.3937      265
features.14                      133    -0.832127 3.843152e-06 1.779205e-06   0.9774   0.4751      265
features.8                        64    -0.831210 1.273111e-07 2.756874e-06   0.9745   0.4586      137
features.3                       107    -0.829851 3.819081e-08 4.423383e-05   0.9552   0.2985       57
features.15                      416    -0.829394 4.448077e-07 1.614658e-06   0.9667   0.4061      329
features.15                      569    -0.829091 3.567448e-07 4.972425e-07   0.9394   0.1636      329
features.14                      451    -0.827149 4.106304e-06 4.091191e-06   0.9910   0.6471      265
features.15                      560    -0.826970 3.724222e-07 6.736842e-07   0.9455   0.2394      329
features.5                         5    -0.826389 9.609862e-08 3.044962e-05   1.0000   0.7361       73
features.7                        88    -0.826316 3.038995e-06 2.116117e-05   1.0000   0.7368      105
features.12                       11    -0.826035 1.696545e-07 4.693698e-06   0.9882   0.6331      201
features.4                        69    -0.825676 1.206133e-06 4.709175e-05   0.9865   0.6216       65
features.13                      462    -0.824405 1.299197e-07 4.230089e-06   0.9940   0.7024      201
features.4                        44    -0.822973 2.014032e-06 7.186849e-05   1.0000   0.7703       65
features.14                       19    -0.822172 3.089981e-06 7.042165e-07   0.9367   0.2081      265
features.12                      503    -0.821302 9.133651e-08 1.562439e-06   0.9408   0.2544      201
features.10                       16    -0.820690 1.861476e-07 2.158784e-06   0.9828   0.6379      137
features.12                      330    -0.820118 8.762729e-08 5.397066e-07   0.9231   0.1065      201
features.12                       10    -0.820118 1.051543e-07 2.921485e-06   0.9645   0.4793      201
features.13                      397    -0.819643 9.982389e-08 2.409180e-06   0.9702   0.5357      201
features.16                       30    -0.817757 7.456966e-07 6.793207e-07   0.9743   0.5911      329
features.4                         2    -0.817568 8.762032e-07 5.291792e-06   0.9189   0.0946       65
features.14                       71    -0.815385 3.562565e-06 2.774646e-06   0.9683   0.5611      265
features.11                      312    -0.815385 5.788334e-07 1.025775e-05   0.9462   0.3615      169
features.16                      625    -0.814953 4.858708e-07 1.992769e-07   0.9393   0.3037      329
features.14                      376    -0.814932 3.926102e-06 6.280480e-06   0.9864   0.7285      265
features.11                      252    -0.814615 6.699428e-07 2.847681e-05   0.9923   0.7846      169
features.8                       303    -0.814013 1.730497e-07 8.564377e-06   0.9936   0.8025      137
features.17                      463    -0.813351 1.551077e-06 1.584130e-07   0.9746   0.6382      489
features.14                      194    -0.812670 3.375542e-06 2.580582e-06   0.9638   0.5475      265
features.6                       153    -0.812500 4.348072e-08 1.365098e-06   0.9125   0.0875       73
features.8                       138    -0.812102 1.119543e-07 3.648009e-06   0.9682   0.5924      137
features.9                        61    -0.812069 1.383149e-07 1.591522e-06   0.9310   0.2586      137
features.9                       312    -0.812069 1.452625e-07 2.943937e-06   0.9655   0.5690      137
features.14                      189    -0.810407 6.557466e-06 1.147306e-05   1.0000   0.8959      265
features.5                       180    -0.809722 4.659799e-08 2.100054e-06   0.9028   0.0278       73
features.12                      563    -0.809467 9.117250e-08 1.917898e-06   0.9349   0.3195      201
features.15                      608    -0.809394 3.583196e-07 1.408242e-06   0.9424   0.3879      329
features.17                      760    -0.809079 1.647954e-06 2.537099e-07   0.9800   0.7290      489
features.16                      389    -0.808645 5.277027e-07 3.074108e-07   0.9416   0.3879      329
features.15                      299    -0.808485 3.399219e-07 5.648724e-07   0.9212   0.2061      329
features.16                      518    -0.807710 6.933955e-07 7.340627e-07   0.9650   0.6075      329
features.3                       131    -0.807463 3.400019e-08 1.952334e-05   0.9104   0.1194       57
features.17                      363    -0.807076 2.274976e-06 4.429428e-07   0.9933   0.8692      489
features.12                       39    -0.806509 9.162480e-08 2.683050e-06   0.9467   0.4556      201
features.15                      284    -0.806061 5.374703e-07 6.468387e-06   0.9818   0.7758      329
features.17                      377    -0.805741 1.535991e-06 2.273975e-07   0.9733   0.7023      489
features.17                      617    -0.805741 1.649547e-06 3.043848e-07   0.9813   0.7744      489
features.8                       222    -0.805732 1.096425e-07 3.669631e-06   0.9618   0.5987      137
features.5                        57    -0.805555 8.034391e-08 2.958122e-05   0.9722   0.6944       73
features.17                      850    -0.805474 1.583964e-06 2.752523e-07   0.9786   0.7530      489
features.8                       295    -0.805096 1.037404e-07 3.289917e-06   0.9554   0.5478      137
features.15                      647    -0.804848 5.618444e-07 9.868361e-06   0.9879   0.8424      329
features.10                      119    -0.803448 1.866137e-07 5.350898e-06   0.9914   0.8879      137
features.3                        65    -0.802985 3.172475e-08 1.195616e-05   0.8955   0.0299       57
features.5                        37    -0.802778 8.120249e-08 5.015276e-05   0.9861   0.8472       73
features.15                       31    -0.802727 7.684854e-07 2.020195e-05   0.9970   0.9455      329
features.15                      653    -0.802727 3.553321e-07 1.588309e-06   0.9364   0.4000      329
features.16                      765    -0.802570 1.684456e-06 2.214647e-05   1.0000   0.9743      329
features.13                      296    -0.802381 1.344960e-07 2.671110e-05   1.0000   0.9762      201
features.16                      816    -0.801635 5.299308e-07 4.499013e-07   0.9439   0.4790      329
features.14                       32    -0.801358 3.855933e-06 8.332159e-06   0.9819   0.8235      265
features.7                       155    -0.801316 1.963110e-06 5.292220e-06   0.9079   0.1579      105
features.6                        23    -0.801250 1.419746e-07 6.466812e-05   1.0000   0.9875       73
features.17                      147    -0.800935 3.019959e-06 1.116837e-06   0.9973   0.9666      489
features.9                       111    -0.800862 2.402422e-07 3.387665e-05   1.0000   0.9914      137
