================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 31
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:27:14
  remove_target  : 20707
  accum_removed  : 20924
  selected_channels : 92
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1220376
  model_sparsity : 44.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          1       63    65.6%
  features.3                144          1       81    56.2%
  features.4                144          3       75    52.1%
  features.5                192          6      131    68.2%
  features.6                192          4      119    62.0%
  features.7                192          3      122    63.5%
  features.8                384          7      239    62.2%
  features.9                384          2      272    70.8%
  features.10               384          8      279    72.7%
  features.11               384          6      265    69.0%
  features.12               576          7      422    73.3%
  features.13               576          7      421    73.1%
  features.14               576          8      373    64.8%
  features.15               960          9      649    67.6%
  features.16               960          9      550    57.3%
  features.17               960         11      229    23.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 34          1       2.9%
  features.3                 64          1       1.6%
  features.4                 72          1       1.4%
  features.5                 67          1       1.5%
  features.6                 77          1       1.3%
  features.7                 73          1       1.4%
  features.8                152          1       0.7%
  features.9                114          1       0.9%
  features.10               113          1       0.9%
  features.11               125          1       0.8%
  features.12               161          1       0.6%
  features.13               162          1       0.6%
  features.14               211          2       0.9%
  features.15               320          2       0.6%
  features.16               419          3       0.7%
  features.17               742          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 6채널 제거
  features.12: 7채널 제거
  features.13: 7채널 제거
  features.14: 8채널 제거
  features.15: 9채널 제거
  features.16: 9채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 6채널 제거
  features.6: 4채널 제거
  features.7: 3채널 제거
  features.8: 7채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                        13    -0.871681 1.717792e-07 6.456526e-07   0.9735   0.0442      137
features.10                      307    -0.868750 1.970701e-07 5.544971e-07   0.9821   0.1518      137
features.5                       121    -0.856061 7.434632e-08 1.053439e-05   0.9848   0.3030       73
features.8                       135    -0.854967 1.232803e-07 1.274213e-06   0.9669   0.1523      137
features.4                        70    -0.852113 1.645748e-06 3.465571e-05   1.0000   0.4789       65
features.13                       78    -0.850311 1.261317e-07 9.842342e-07   0.9752   0.2733      201
features.12                      314    -0.850000 1.199331e-07 2.373398e-06   0.9875   0.3875      201
features.14                      197    -0.847619 3.825511e-06 1.415098e-06   0.9857   0.3952      265
features.5                       112    -0.843939 8.107895e-08 1.797658e-05   1.0000   0.5606       73
features.17                      557    -0.843455 2.006448e-06 6.441413e-08   0.9865   0.4440      489
features.5                       153    -0.842424 5.317490e-08 5.087020e-06   0.9545   0.1667       73
features.10                      109    -0.839286 2.205045e-07 1.970597e-06   1.0000   0.6071      137
features.7                       144    -0.838889 2.903901e-06 9.409472e-06   0.9722   0.3611      105
features.11                      366    -0.837097 6.339112e-07 6.177167e-06   0.9516   0.1935      169
features.15                      381    -0.836991 4.854537e-07 1.190458e-06   0.9687   0.3480      329
features.8                       155    -0.832450 1.429855e-07 3.113392e-06   0.9801   0.4967      137
features.6                       124    -0.831579 6.144705e-08 5.521068e-06   0.9605   0.3289       73
features.11                      143    -0.831452 1.087247e-06 2.331652e-05   1.0000   0.6855      169
features.10                      312    -0.830357 1.358678e-07 9.417219e-07   0.9554   0.2946      137
features.17                      453    -0.830229 1.280384e-06 2.748288e-08   0.9501   0.2483      489
features.12                      500    -0.828750 1.894236e-07 5.881535e-06   1.0000   0.7125      201
features.12                      466    -0.828125 1.114562e-07 9.888588e-07   0.9375   0.1562      201
features.16                      639    -0.827033 8.901876e-07 1.036965e-06   0.9904   0.6435      329
features.14                      566    -0.826190 4.824842e-06 6.780769e-06   1.0000   0.7381      265
features.13                      506    -0.825466 2.175195e-07 4.331910e-06   0.9938   0.6894      201
features.12                      176    -0.823750 1.174170e-07 3.752486e-06   0.9750   0.5375      201
features.6                       174    -0.823684 5.171426e-08 5.371054e-06   0.9474   0.2895       73
features.14                      185    -0.822381 3.578825e-06 3.075292e-06   0.9762   0.5619      265
features.15                      341    -0.821944 4.851498e-07 2.004207e-06   0.9655   0.4702      329
features.7                       157    -0.819444 4.697288e-06 2.707730e-05   1.0000   0.8056      105
features.8                       188    -0.819205 1.111071e-07 1.453925e-06   0.9338   0.2119      137
features.15                      214    -0.818182 5.257635e-07 4.011345e-06   0.9843   0.6771      329
features.16                      683    -0.817225 8.209450e-07 1.184789e-06   0.9833   0.6770      329
features.7                       171    -0.816667 3.223487e-06 2.001396e-05   0.9861   0.7083      105
features.8                       208    -0.816556 1.123374e-07 1.696128e-06   0.9404   0.2980      137
features.13                      431    -0.816149 9.641206e-08 1.783378e-06   0.9565   0.4472      201
features.13                      447    -0.815528 1.030478e-07 2.060312e-06   0.9627   0.5093      201
features.17                       43    -0.815115 1.630679e-06 1.146523e-07   0.9717   0.5938      489
features.9                        39    -0.815044 1.450768e-07 2.924123e-06   0.9646   0.5310      137
features.16                      657    -0.813876 9.016142e-07 2.937423e-06   0.9952   0.8182      329
features.5                       175    -0.813636 6.055341e-08 1.875017e-05   0.9697   0.5909       73
features.14                      286    -0.813333 3.277273e-06 3.145091e-06   0.9667   0.5667      265
features.11                      245    -0.812903 7.685751e-07 2.144649e-05   0.9758   0.6532      169
features.15                      912    -0.812539 5.251521e-07 4.608853e-06   0.9812   0.7053      329
features.10                      353    -0.812500 1.451314e-07 1.523826e-06   0.9643   0.5536      137
features.16                      835    -0.811722 8.747626e-07 2.140011e-06   0.9880   0.7751      329
features.14                      466    -0.811429 4.451852e-06 9.394085e-06   0.9952   0.8429      265
features.11                      100    -0.811290 6.131795e-07 9.873538e-06   0.9435   0.3790      169
features.11                      187    -0.811290 6.090880e-07 8.293987e-06   0.9355   0.3065      169
features.4                        66    -0.811268 1.220896e-06 1.671652e-05   0.9296   0.2535       65
features.17                      661    -0.811201 1.869376e-06 2.376760e-07   0.9825   0.7301      489
features.12                      231    -0.810000 1.169125e-07 4.631182e-06   0.9688   0.6188      201
features.4                        41    -0.809859 1.040803e-06 2.004137e-06   0.9014   0.0141       65
features.12                      128    -0.809375 1.310711e-07 1.136235e-05   0.9938   0.8500      201
features.14                      467    -0.809048 3.163476e-06 1.715443e-06   0.9476   0.4381      265
features.16                      892    -0.808373 6.964329e-07 6.606540e-07   0.9617   0.5718      329
features.17                      717    -0.806748 1.251141e-06 6.124365e-08   0.9447   0.4345      489
features.8                        38    -0.806623 1.764053e-07 9.026650e-06   0.9868   0.8146      137
features.17                      500    -0.806478 2.246238e-06 3.958293e-07   0.9919   0.8623      489
features.13                      390    -0.806211 1.400763e-07 7.750403e-06   0.9876   0.8261      201
features.14                      544    -0.806190 4.158191e-06 9.486736e-06   0.9905   0.8524      265
