================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 33
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:39:09
  remove_target  : 19676
  accum_removed  : 19750
  selected_channels : 78
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1180323
  model_sparsity : 46.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          0       63    65.6%
  features.3                144          1       83    57.6%
  features.4                144          1       78    54.2%
  features.5                192          3      137    71.4%
  features.6                192          1      123    64.1%
  features.7                192          5      131    68.2%
  features.8                384          3      246    64.1%
  features.9                384          6      285    74.2%
  features.10               384          3      290    75.5%
  features.11               384          4      275    71.6%
  features.12               576          5      432    75.0%
  features.13               576          6      432    75.0%
  features.14               576         10      393    68.2%
  features.15               960         10      664    69.2%
  features.16               960          9      574    59.8%
  features.17               960         11      249    25.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 33          1       3.0%
  features.3                 62          1       1.6%
  features.4                 67          1       1.5%
  features.5                 58          1       1.7%
  features.6                 70          1       1.4%
  features.7                 66          1       1.5%
  features.8                141          1       0.7%
  features.9                105          1       1.0%
  features.10                97          1       1.0%
  features.11               113          1       0.9%
  features.12               149          1       0.7%
  features.13               150          1       0.7%
  features.14               193          1       0.5%
  features.15               306          2       0.7%
  features.16               395          2       0.5%
  features.17               722          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 4채널 제거
  features.12: 5채널 제거
  features.13: 6채널 제거
  features.14: 10채널 제거
  features.15: 10채널 제거
  features.16: 9채널 제거
  features.17: 11채널 제거
  features.3: 1채널 제거
  features.4: 1채널 제거
  features.5: 3채널 제거
  features.6: 1채널 제거
  features.7: 5채널 제거
  features.8: 3채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                       77    -0.871622 1.088450e-07 1.145293e-06   0.9865   0.1622      201
features.10                      245    -0.869792 1.673614e-07 1.014208e-06   1.0000   0.3021      137
features.12                      230    -0.864189 1.049156e-07 7.364999e-07   0.9730   0.1149      201
features.14                      427    -0.853646 4.135248e-06 5.222867e-07   0.9583   0.0885      265
features.11                       29    -0.850893 5.943973e-07 4.630097e-06   0.9554   0.0893      169
features.6                       106    -0.846377 6.070528e-08 4.760519e-06   0.9565   0.1449       73
features.16                      152    -0.843909 8.434610e-07 3.301599e-07   0.9822   0.4010      329
features.11                      373    -0.841964 9.908409e-07 2.118331e-05   1.0000   0.5804      169
features.10                      193    -0.840625 1.369225e-07 1.331774e-06   0.9792   0.4062      137
features.5                         1    -0.840351 4.815053e-08 4.350764e-06   0.9474   0.1228       73
features.15                      309    -0.838033 5.875634e-07 1.642999e-06   0.9770   0.4131      329
features.7                        34    -0.836923 2.900651e-06 1.966838e-05   1.0000   0.6308      105
features.13                      467    -0.835570 1.202464e-07 1.903802e-06   0.9799   0.4631      201
features.9                       109    -0.834615 1.436869e-07 1.917952e-06   0.9615   0.3077      137
features.15                      185    -0.834098 4.502818e-07 9.722637e-07   0.9574   0.2754      329
features.11                      381    -0.832143 5.594417e-07 8.041312e-06   0.9464   0.1964      169
features.14                        0    -0.828646 4.670470e-06 2.553202e-06   0.9792   0.5260      265
features.14                      112    -0.827604 4.215276e-06 1.478538e-06   0.9635   0.3958      265
features.13                      315    -0.824832 1.037666e-07 1.893774e-06   0.9664   0.4497      201
features.16                      648    -0.824619 1.032662e-06 1.279179e-06   0.9924   0.6853      329
features.10                      283    -0.823958 1.355417e-07 1.519843e-06   0.9688   0.4792      137
features.13                      115    -0.823490 1.463198e-07 4.926001e-06   0.9933   0.7047      201
features.14                      192    -0.823438 4.362078e-06 2.582904e-06   0.9740   0.5312      265
features.15                      365    -0.823279 7.677238e-07 4.004992e-06   0.9869   0.6492      329
features.14                      497    -0.820833 4.724597e-06 5.635386e-06   0.9844   0.6510      265
features.8                       287    -0.820714 1.423543e-07 3.638783e-06   0.9714   0.5357      137
features.17                      782    -0.820388 1.611464e-06 6.755914e-08   0.9598   0.4341      489
