================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 34
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:45:25
  remove_target  : 19182
  accum_removed  : 19340
  selected_channels : 84
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1160983
  model_sparsity : 47.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       23    71.9%
  features.2                 96          0       63    65.6%
  features.3                144          1       84    58.3%
  features.4                144          1       79    54.9%
  features.5                192          4      141    73.4%
  features.6                192          4      127    66.1%
  features.7                192          4      135    70.3%
  features.8                384          7      253    65.9%
  features.9                384          4      289    75.3%
  features.10               384          2      292    76.0%
  features.11               384          7      282    73.4%
  features.12               576          6      438    76.0%
  features.13               576          6      438    76.0%
  features.14               576         10      403    70.0%
  features.15               960         11      675    70.3%
  features.16               960          8      582    60.6%
  features.17               960          8      257    26.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 33          1       3.0%
  features.3                 61          1       1.6%
  features.4                 66          1       1.5%
  features.5                 55          1       1.8%
  features.6                 69          1       1.4%
  features.7                 61          1       1.6%
  features.8                138          1       0.7%
  features.9                 99          1       1.0%
  features.10                94          1       1.1%
  features.11               109          1       0.9%
  features.12               144          1       0.7%
  features.13               144          1       0.7%
  features.14               183          1       0.5%
  features.15               296          2       0.7%
  features.16               386          2       0.5%
  features.17               711          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 2채널 제거
  features.11: 7채널 제거
  features.12: 6채널 제거
  features.13: 6채널 제거
  features.14: 10채널 제거
  features.15: 11채널 제거
  features.16: 8채널 제거
  features.17: 8채널 제거
  features.3: 1채널 제거
  features.4: 1채널 제거
  features.5: 4채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 7채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      373    -0.882712 6.754810e-07 8.218797e-08   0.9831   0.0203      329
features.8                       356    -0.867883 1.268990e-07 9.626797e-07   0.9708   0.0584      137
features.8                        26    -0.867153 1.362689e-07 1.728075e-06   0.9854   0.1971      137
features.15                      249    -0.866441 6.802637e-07 6.202836e-07   0.9864   0.2136      329
features.11                      260    -0.853704 7.793900e-07 1.375885e-05   0.9907   0.3796      169
features.8                        80    -0.852555 1.138709e-07 6.780895e-07   0.9489   0.0146      137
features.12                      205    -0.851748 1.056352e-07 7.808581e-07   0.9580   0.1049      201
features.5                         6    -0.850000 5.368079e-08 1.305128e-05   0.9815   0.3333       73
features.5                       119    -0.850000 6.153127e-08 2.163005e-05   1.0000   0.5000       73
features.10                      298    -0.847312 1.557089e-07 8.872288e-07   0.9677   0.2366      137
features.9                       298    -0.844898 1.721039e-07 2.165915e-06   0.9694   0.2755      137
features.17                      756    -0.840422 2.266331e-06 1.014349e-07   0.9901   0.5070      489
features.15                      260    -0.840339 4.292663e-07 4.587136e-07   0.9525   0.1695      329
features.10                      110    -0.838710 1.986479e-07 2.588477e-06   1.0000   0.6129      137
features.7                       129    -0.838333 3.046684e-06 1.575517e-05   0.9833   0.4667      105
features.16                      220    -0.837143 9.589970e-07 7.299909e-07   0.9948   0.5818      329
features.11                      344    -0.837037 6.823491e-07 5.871736e-06   0.9444   0.1296      169
features.13                      392    -0.834266 1.288893e-07 4.301733e-06   1.0000   0.6573      201
features.13                      141    -0.832867 8.691047e-08 7.870977e-07   0.9510   0.2308      201
features.7                       102    -0.831667 2.570366e-06 9.680292e-06   0.9500   0.2333      105
features.13                       32    -0.830769 1.155341e-07 2.451138e-06   0.9790   0.5035      201
features.11                      155    -0.830556 7.470941e-07 2.146926e-05   0.9815   0.5278      169
features.14                      108    -0.830220 4.764334e-06 1.237118e-06   0.9615   0.3516      265
features.5                       156    -0.829630 4.625082e-08 1.353690e-05   0.9630   0.3704       73
features.11                      212    -0.829630 6.630723e-07 4.193922e-06   0.9259   0.0370      169
features.15                      866    -0.829153 4.476826e-07 1.399922e-06   0.9593   0.3424      329
features.12                       95    -0.828671 1.365479e-07 6.111334e-06   0.9930   0.6503      201
features.9                        85    -0.828571 1.468883e-07 2.005609e-06   0.9490   0.2551      137
features.12                      154    -0.827972 9.319017e-08 5.476412e-07   0.9301   0.0909      201
features.9                       363    -0.826531 1.418013e-07 1.494891e-06   0.9388   0.1837      137
features.12                      570    -0.825874 1.186935e-07 5.325661e-06   0.9860   0.6154      201
features.14                      377    -0.825275 3.962061e-06 6.255810e-07   0.9341   0.1538      265
features.11                       24    -0.824074 7.405381e-07 2.037072e-05   0.9722   0.5093      169
features.8                       341    -0.823358 1.026130e-07 8.892670e-07   0.9197   0.0438      137
features.5                       123    -0.822222 4.236595e-08 4.284007e-06   0.9259   0.1111       73
features.8                       250    -0.821898 1.355821e-07 4.677946e-06   0.9781   0.5839      137
features.3                        75    -0.821667 3.687623e-08 1.176880e-05   0.9167   0.0333       57
features.15                      741    -0.821017 5.568904e-07 3.607393e-06   0.9797   0.6068      329
features.15                      677    -0.820678 4.498289e-07 2.109756e-06   0.9627   0.4576      329
features.14                      153    -0.819780 3.930775e-06 6.275168e-07   0.9286   0.1593      265
features.14                       39    -0.818132 6.740177e-06 1.124085e-05   1.0000   0.8187      265
features.4                        94    -0.816923 1.913544e-06 7.545482e-05   0.9846   0.6923       65
features.12                       23    -0.816783 1.126930e-07 6.025610e-06   0.9790   0.6434      201
features.14                      226    -0.816483 4.297793e-06 1.467817e-06   0.9505   0.3901      265
features.17                      510    -0.816056 2.332495e-06 3.636157e-07   0.9944   0.7887      489
features.12                      191    -0.815385 1.728344e-07 1.309504e-05   1.0000   0.8462      201
features.17                      146    -0.813239 1.946707e-06 2.133129e-07   0.9775   0.6648      489
features.6                        98    -0.813235 1.116245e-07 3.945045e-05   1.0000   0.8676       73
features.14                      166    -0.812637 5.147645e-06 4.951847e-06   0.9725   0.6264      265
features.15                      274    -0.811864 3.659194e-07 7.410935e-07   0.9288   0.2407      329
features.16                      768    -0.811688 7.125265e-07 9.708400e-07   0.9714   0.6260      329
features.1                         1    -0.811111 5.937312e-07 7.115037e-02   1.0000   0.8889       25
features.6                       121    -0.810294 4.658799e-08 8.813604e-06   0.9412   0.3676       73
features.11                      314    -0.810185 8.563462e-07 1.087026e-04   1.0000   0.8981      169
features.14                      510    -0.809341 5.515391e-06 9.643516e-06   0.9835   0.7582      265
features.7                       115    -0.808333 2.365855e-06 7.062943e-06   0.9167   0.1667      105
features.13                      295    -0.806993 7.792504e-08 5.866555e-07   0.9161   0.1748      201
features.16                      243    -0.805974 8.082366e-07 3.266608e-06   0.9844   0.8000      329
features.9                       131    -0.805102 1.880447e-07 1.072527e-05   0.9898   0.8571      137
features.7                        47    -0.805000 4.385887e-06 7.640029e-05   1.0000   0.9500      105
features.16                      702    -0.804416 8.623078e-07 5.098302e-06   0.9896   0.8623      329
features.14                      459    -0.804396 5.657841e-06 1.450603e-05   0.9945   0.9066      265
