================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 36
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 06:57:28
  remove_target  : 18223
  accum_removed  : 18619
  selected_channels : 75
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1123327
  model_sparsity : 48.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          2       68    70.8%
  features.3                144          3       87    60.4%
  features.4                144          1       82    56.9%
  features.5                192          3      145    75.5%
  features.6                192          2      131    68.2%
  features.7                192          4      141    73.4%
  features.8                384          1      261    68.0%
  features.9                384          3      295    76.8%
  features.10               384          2      296    77.1%
  features.11               384          4      292    76.0%
  features.12               576          6      447    77.6%
  features.13               576          2      445    77.3%
  features.14               576         11      425    73.8%
  features.15               960         11      693    72.2%
  features.16               960         12      609    63.4%
  features.17               960          8      273    28.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 30          1       3.3%
  features.3                 60          1       1.7%
  features.4                 63          1       1.6%
  features.5                 50          1       2.0%
  features.6                 63          1       1.6%
  features.7                 55          1       1.8%
  features.8                124          1       0.8%
  features.9                 92          1       1.1%
  features.10                90          1       1.1%
  features.11                96          1       1.0%
  features.12               135          1       0.7%
  features.13               133          1       0.8%
  features.14               162          1       0.6%
  features.15               278          2       0.7%
  features.16               363          2       0.6%
  features.17               695          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 2채널 제거
  features.11: 4채널 제거
  features.12: 6채널 제거
  features.13: 2채널 제거
  features.14: 11채널 제거
  features.15: 11채널 제거
  features.16: 12채널 제거
  features.17: 8채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 1채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 4채널 제거
  features.8: 1채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      160    -0.895307 8.842580e-07 9.900354e-08   0.9964   0.0144      329
features.14                      409    -0.858385 6.904251e-06 1.649114e-06   1.0000   0.4161      265
features.9                       280    -0.852747 2.131519e-07 1.875492e-06   0.9670   0.1758      137
features.11                       41    -0.851579 8.309183e-07 8.415177e-06   0.9684   0.2000      169
features.12                      210    -0.851492 1.221172e-07 1.182054e-06   0.9701   0.2164      201
features.14                      222    -0.845963 4.866867e-06 1.168292e-06   0.9752   0.3168      265
features.15                      124    -0.843682 6.670498e-07 2.471494e-06   0.9928   0.4982      329
features.6                       157    -0.843548 8.592001e-08 5.675766e-06   0.9677   0.2742       73
features.13                      487    -0.842424 1.086078e-07 1.598653e-06   0.9773   0.3712      201
features.2                        24    -0.841379 2.588419e-07 2.905459e-03   0.9655   0.2759       49
features.17                      905    -0.840778 2.218199e-06 1.035130e-07   0.9856   0.4625      489
features.12                      308    -0.840298 1.596664e-07 5.426975e-06   1.0000   0.5970      201
features.10                      262    -0.838202 2.455804e-07 2.566837e-06   1.0000   0.6180      137
features.16                      508    -0.837017 5.976756e-07 1.799111e-07   0.9558   0.2320      329
features.12                        7    -0.836567 1.261311e-07 3.291965e-06   0.9776   0.4328      201
features.14                      387    -0.836025 5.175308e-06 2.915832e-06   0.9876   0.5280      265
features.11                      281    -0.835789 8.479573e-07 1.965033e-05   0.9789   0.4526      169
features.16                       13    -0.831492 7.301335e-07 6.685240e-07   0.9807   0.5110      329
features.9                        76    -0.830769 2.294086e-07 5.113512e-06   0.9890   0.5934      137
features.15                      564    -0.829964 5.007560e-07 1.764447e-06   0.9639   0.3755      329
features.7                       106    -0.829630 3.186092e-06 4.510786e-06   0.9259   0.0370      105
features.5                        76    -0.828571 1.108937e-07 4.161268e-05   1.0000   0.7143       73
features.16                        7    -0.827901 8.505134e-07 1.397081e-06   0.9917   0.6464      329
features.4                        99    -0.827419 3.670463e-06 9.516199e-05   1.0000   0.7258       65
features.15                      580    -0.825993 3.873430e-07 3.204650e-07   0.9278   0.0903      329
features.14                      345    -0.824845 4.644194e-06 1.287496e-06   0.9565   0.3602      265
features.14                      249    -0.824224 4.935660e-06 4.859709e-06   0.9814   0.5901      265
features.6                       135    -0.824193 1.244006e-07 1.442977e-05   0.9839   0.6129       73
features.11                       14    -0.823158 5.671795e-07 5.523581e-06   0.9263   0.1053      169
features.16                      380    -0.822376 6.358322e-07 5.728554e-07   0.9669   0.4779      329
features.15                      183    -0.821661 6.141702e-07 4.489827e-06   0.9819   0.6209      329
features.12                      423    -0.821642 1.190298e-07 1.446694e-06   0.9403   0.2463      201
features.2                        47    -0.820690 3.249251e-07 4.549345e-02   1.0000   0.7931       49
features.7                       181    -0.820370 6.922538e-06 4.362378e-05   1.0000   0.7963      105
features.16                      158    -0.819890 5.688898e-07 3.096231e-07   0.9475   0.3287      329
features.15                      518    -0.818773 5.786469e-07 4.414898e-06   0.9783   0.6173      329
features.5                       139    -0.818367 9.708641e-08 1.128106e-05   0.9388   0.2653       73
features.15                      896    -0.818051 4.073393e-07 7.015359e-07   0.9314   0.2022      329
