================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 38
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 07:10:12
  remove_target  : 17308
  accum_removed  : 17381
  selected_channels : 69
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1087945
  model_sparsity : 50.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       71    74.0%
  features.3                144          2       91    63.2%
  features.4                144          2       86    59.7%
  features.5                192          2      150    78.1%
  features.6                192          0      132    68.8%
  features.7                192          3      147    76.6%
  features.8                384          5      268    69.8%
  features.9                384          2      301    78.4%
  features.10               384          3      302    78.6%
  features.11               384          6      303    78.9%
  features.12               576          2      452    78.5%
  features.13               576          5      454    78.8%
  features.14               576          7      443    76.9%
  features.15               960          8      707    73.6%
  features.16               960         12      634    66.0%
  features.17               960          9      291    30.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 26          1       3.8%
  features.3                 55          1       1.8%
  features.4                 60          1       1.7%
  features.5                 44          1       2.3%
  features.6                 60          1       1.7%
  features.7                 48          1       2.1%
  features.8                121          1       0.8%
  features.9                 85          1       1.2%
  features.10                85          1       1.2%
  features.11                87          1       1.1%
  features.12               126          1       0.8%
  features.13               127          1       0.8%
  features.14               140          1       0.7%
  features.15               261          2       0.8%
  features.16               338          2       0.6%
  features.17               678          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 6채널 제거
  features.12: 2채널 제거
  features.13: 5채널 제거
  features.14: 7채널 제거
  features.15: 8채널 제거
  features.16: 12채널 제거
  features.17: 9채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 2채널 제거
  features.7: 3채널 제거
  features.8: 5채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        16    -0.896000 5.942197e-07 4.135977e-04   1.0000   0.0400       49
features.7                         7    -0.876596 3.267041e-06 1.473543e-05   1.0000   0.2340      105
features.14                      428    -0.869065 4.989653e-06 1.433744e-06   1.0000   0.3094      265
features.14                      325    -0.864029 4.806449e-06 1.223701e-06   0.9856   0.2302      265
features.8                        29    -0.857500 1.566225e-07 1.470411e-06   0.9583   0.0500      137
features.15                      442    -0.839231 8.348915e-07 4.615785e-06   0.9962   0.5731      329
features.16                      211    -0.836498 1.240474e-06 1.547112e-06   1.0000   0.6350      329
features.8                        18    -0.835000 1.643775e-07 4.541340e-06   0.9667   0.3500      137
features.9                       323    -0.833333 1.265657e-07 1.961542e-06   0.9405   0.1310      137
features.11                       22    -0.831395 5.015738e-07 1.174722e-05   0.9419   0.1628      169
features.13                      373    -0.829365 1.221540e-07 2.032365e-06   0.9603   0.3492      201
features.15                       23    -0.828462 7.757597e-07 4.204348e-06   0.9808   0.5423      329
features.14                      328    -0.828058 4.518970e-06 3.907067e-06   0.9712   0.4604      265
features.16                      553    -0.826113 9.555075e-07 1.521854e-06   0.9881   0.6320      329
features.12                      193    -0.825600 1.439806e-07 5.330272e-06   0.9760   0.5280      201
features.14                      502    -0.824460 4.073773e-06 8.420949e-07   0.9281   0.1079      265
features.13                      301    -0.823810 1.933383e-07 9.356458e-06   1.0000   0.7619      201
features.14                       65    -0.823022 4.871654e-06 1.126207e-05   0.9928   0.7050      265
features.3                       130    -0.822222 5.663891e-08 2.845461e-04   0.9815   0.6111       57
features.5                        63    -0.820930 1.262794e-07 7.502515e-05   1.0000   0.7907       73
features.16                      203    -0.820475 5.078782e-07 2.054790e-07   0.9318   0.1810      329
features.11                      127    -0.819767 8.411896e-07 1.140649e-04   1.0000   0.8023      169
features.17                      662    -0.819645 1.778032e-06 1.227925e-07   0.9616   0.4579      489
features.17                      678    -0.819055 2.032167e-06 2.420071e-07   0.9778   0.6100      489
features.8                       141    -0.817500 1.093787e-07 2.428388e-06   0.9250   0.1500      137
features.17                      297    -0.816839 2.600464e-06 4.018894e-07   0.9897   0.7386      489
features.10                       21    -0.816667 1.366289e-07 1.347996e-06   0.9405   0.2976      137
