================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 39
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 07:16:32
  remove_target  : 16873
  accum_removed  : 17315
  selected_channels : 67
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1070630
  model_sparsity : 51.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          2       73    76.0%
  features.3                144          3       94    65.3%
  features.4                144          3       89    61.8%
  features.5                192          3      153    79.7%
  features.6                192          0      132    68.8%
  features.7                192          4      151    78.6%
  features.8                384          0      268    69.8%
  features.9                384          3      304    79.2%
  features.10               384          1      303    78.9%
  features.11               384          3      306    79.7%
  features.12               576          5      457    79.3%
  features.13               576          2      456    79.2%
  features.14               576          8      451    78.3%
  features.15               960          8      715    74.5%
  features.16               960         11      645    67.2%
  features.17               960         11      302    31.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 25          1       4.0%
  features.3                 53          1       1.9%
  features.4                 58          1       1.7%
  features.5                 42          1       2.4%
  features.6                 60          1       1.7%
  features.7                 45          1       2.2%
  features.8                116          1       0.9%
  features.9                 83          1       1.2%
  features.10                82          1       1.2%
  features.11                81          1       1.2%
  features.12               124          1       0.8%
  features.13               122          1       0.8%
  features.14               133          1       0.8%
  features.15               253          2       0.8%
  features.16               326          2       0.6%
  features.17               669          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 1채널 제거
  features.11: 3채널 제거
  features.12: 5채널 제거
  features.13: 2채널 제거
  features.14: 8채널 제거
  features.15: 8채널 제거
  features.16: 11채널 제거
  features.17: 11채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 3채널 제거
  features.7: 4채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      265    -0.867500 7.046913e-07 7.935774e-06   0.9750   0.1000      169
features.2                        31    -0.858333 2.504095e-07 9.925663e-03   1.0000   0.4167       49
features.9                       190    -0.845122 1.569072e-07 2.464365e-06   0.9634   0.2195      137
features.7                       183    -0.843182 3.255691e-06 2.402293e-05   0.9773   0.3636      105
features.16                      662    -0.842462 1.195853e-06 1.466469e-06   1.0000   0.5754      329
features.14                      461    -0.840909 5.517364e-06 6.866432e-06   1.0000   0.5909      265
features.9                       269    -0.840244 2.968776e-07 7.180040e-06   1.0000   0.5976      137
features.14                      404    -0.839394 4.687443e-06 6.008491e-07   0.9394   0.0606      265
features.14                      300    -0.839394 4.904410e-06 1.711958e-06   0.9697   0.3333      265
features.7                       162    -0.838636 2.608829e-06 5.789313e-06   0.9318   0.0000      105
features.13                      320    -0.837190 1.226710e-07 2.872830e-06   0.9835   0.4793      201
features.2                         4    -0.833333 1.971150e-07 4.967303e-03   0.9583   0.2917       49
features.16                       37    -0.831385 6.176958e-07 3.211519e-07   0.9538   0.2708      329
features.17                      951    -0.831287 1.732248e-06 9.565378e-08   0.9656   0.3772      489
features.14                       84    -0.827273 4.684299e-06 7.317128e-07   0.9318   0.1136      265
features.14                      389    -0.825000 4.978306e-06 5.545292e-06   0.9773   0.5455      265
features.14                      400    -0.825000 4.772414e-06 1.756009e-06   0.9545   0.3409      265
features.5                       144    -0.821951 1.222650e-07 9.157488e-05   1.0000   0.7805       73
features.17                       52    -0.821856 2.153812e-06 3.423087e-07   0.9865   0.6602      489
features.16                      468    -0.821846 6.759662e-07 9.121011e-07   0.9662   0.4769      329
features.15                      450    -0.821825 7.627895e-07 4.763003e-06   0.9762   0.5675      329
features.17                      418    -0.820808 2.059741e-06 3.123239e-07   0.9835   0.6437      489
features.9                       152    -0.820732 1.246983e-07 1.822007e-06   0.9268   0.1341      137
features.16                      447    -0.820615 5.915878e-07 4.119023e-07   0.9477   0.3231      329
features.12                      379    -0.818699 1.305035e-07 5.101157e-06   0.9675   0.5203      201
features.17                      434    -0.818264 2.580276e-06 5.384430e-07   0.9955   0.7769      489
