================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 3
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-28 20:18:59
  remove_target  : 42282
  accum_removed  : 42577
  selected_channels : 201
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2061713
  model_sparsity : 6.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        0     0.0%
  features.2                 96          0        2     2.1%
  features.3                144          1        7     4.9%
  features.4                144          2        7     4.9%
  features.5                192          6       20    10.4%
  features.6                192          6       29    15.1%
  features.7                192          3        6     3.1%
  features.8                384         17       79    20.6%
  features.9                384         18       68    17.7%
  features.10               384         12       48    12.5%
  features.11               384         18       52    13.5%
  features.12               576         28       88    15.3%
  features.13               576         22       60    10.4%
  features.14               576         11       31     5.4%
  features.15               960         40      115    12.0%
  features.16               960         17       43     4.5%
  features.17               960          0        0     0.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 94          1       1.1%
  features.3                138          1       0.7%
  features.4                139          1       0.7%
  features.5                178          1       0.6%
  features.6                169          1       0.6%
  features.7                189          1       0.5%
  features.8                322          2       0.6%
  features.9                334          2       0.6%
  features.10               348          2       0.6%
  features.11               350          2       0.6%
  features.12               516          3       0.6%
  features.13               538          3       0.6%
  features.14               556          3       0.5%
  features.15               885          5       0.6%
  features.16               934          5       0.5%
  features.17               960          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 12채널 제거
  features.11: 18채널 제거
  features.12: 28채널 제거
  features.13: 22채널 제거
  features.14: 11채널 제거
  features.15: 40채널 제거
  features.16: 17채널 제거
  features.3: 1채널 제거
  features.4: 2채널 제거
  features.5: 6채널 제거
  features.6: 6채널 제거
  features.7: 3채널 제거
  features.8: 17채널 제거
  features.9: 18채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.5                        72    -0.446328 8.354784e-08 1.016780e-07   0.8927   0.0000       73
features.8                        72    -0.440810 1.796405e-07 2.001012e-07   0.9190   0.0374      137
features.11                       86    -0.435530 4.973948e-07 4.168370e-07   0.9542   0.0831      169
features.9                       221    -0.432432 1.993919e-07 5.720800e-08   0.8769   0.0120      137
features.8                       362    -0.426791 3.397128e-07 3.621133e-07   0.9844   0.1308      137
features.8                       112    -0.420561 1.218351e-07 8.203261e-08   0.8474   0.0062      137
features.9                       227    -0.414414 1.940206e-07 9.866747e-08   0.8649   0.0360      137
features.8                       316    -0.411215 1.324773e-07 2.070836e-07   0.8660   0.0436      137
features.11                      306    -0.405444 3.980442e-07 4.670471e-07   0.9112   0.1003      169
features.14                      415    -0.398198 9.225199e-07 3.656741e-08   0.8126   0.0162      265
features.9                       250    -0.396396 1.457032e-07 6.262657e-08   0.8078   0.0150      137
features.12                      431    -0.396116 2.102402e-07 1.376742e-07   0.9204   0.1282      201
features.15                      936    -0.395928 7.944770e-07 6.084822e-08   0.9321   0.1403      329
features.8                       321    -0.395639 1.505560e-07 3.125656e-07   0.9003   0.1090      137
features.12                      424    -0.394175 1.054451e-07 4.132099e-08   0.8136   0.0252      201
features.11                      134    -0.393983 4.965451e-07 6.487214e-07   0.9513   0.1633      169
features.8                       217    -0.392523 1.085489e-07 1.793444e-07   0.8193   0.0343      137
features.11                      269    -0.389685 4.411212e-07 5.873584e-07   0.9284   0.1490      169
features.8                        20    -0.389408 2.502379e-07 4.463630e-07   0.9595   0.1807      137
features.13                      326    -0.389199 2.438196e-07 1.290157e-07   0.9181   0.1397      201
features.10                      265    -0.387608 2.193163e-07 1.464760e-07   0.8905   0.1153      137
features.9                       240    -0.387387 2.087795e-07 1.944193e-07   0.8979   0.1231      137
features.9                       306    -0.385886 3.144341e-07 2.445296e-07   0.9459   0.1742      137
features.12                      132    -0.385437 2.428035e-07 1.581854e-07   0.9320   0.1612      201
features.12                      389    -0.384466 2.212124e-07 1.569230e-07   0.9243   0.1553      201
features.9                        66    -0.384384 1.909488e-07 1.561066e-07   0.8559   0.0871      137
