================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 9
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-28 20:50:52
  remove_target  : 36296
  accum_removed  : 36314
  selected_channels : 170
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1828559
  model_sparsity : 16.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        0     0.0%
  features.2                 96          7       34    35.4%
  features.3                144          4       26    18.1%
  features.4                144          3       21    14.6%
  features.5                192          7       47    24.5%
  features.6                192          5       52    27.1%
  features.7                192          4       24    12.5%
  features.8                384         10      134    34.9%
  features.9                384          7      118    30.7%
  features.10               384         10      108    28.1%
  features.11               384         12      120    31.2%
  features.12               576         14      198    34.4%
  features.13               576         22      179    31.1%
  features.14               576         19      125    21.7%
  features.15               960         28      348    36.2%
  features.16               960         11      145    15.1%
  features.17               960          7       18     1.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 69          1       1.4%
  features.3                122          1       0.8%
  features.4                126          1       0.8%
  features.5                152          1       0.7%
  features.6                145          1       0.7%
  features.7                172          1       0.6%
  features.8                260          2       0.8%
  features.9                273          2       0.7%
  features.10               286          2       0.7%
  features.11               276          2       0.7%
  features.12               392          2       0.5%
  features.13               419          3       0.7%
  features.14               470          3       0.6%
  features.15               640          4       0.6%
  features.16               826          5       0.6%
  features.17               949          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 10채널 제거
  features.11: 12채널 제거
  features.12: 14채널 제거
  features.13: 22채널 제거
  features.14: 19채널 제거
  features.15: 28채널 제거
  features.16: 11채널 제거
  features.17: 7채널 제거
  features.2: 7채널 제거
  features.3: 4채널 제거
  features.4: 3채널 제거
  features.5: 7채널 제거
  features.6: 5채널 제거
  features.7: 4채널 제거
  features.8: 10채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                        92    -0.350694 3.328748e-08 6.956121e-07   0.7847   0.0833       73
features.15                      796    -0.343505 6.570519e-07 2.612861e-07   0.9374   0.2504      329
features.13                      563    -0.340909 1.704850e-07 2.793429e-07   0.8995   0.2177      201
features.10                      141    -0.340351 1.626674e-07 2.541915e-07   0.8667   0.1860      137
features.8                       378    -0.339768 9.446871e-08 4.936775e-07   0.7915   0.1120      137
features.15                      810    -0.335681 3.310707e-07 1.863546e-07   0.8513   0.1800      329
features.14                      187    -0.334755 8.289267e-07 4.324427e-08   0.6802   0.0107      265
features.12                      395    -0.331202 1.505968e-07 3.994852e-07   0.9079   0.2455      201
features.13                      515    -0.326555 6.997061e-08 9.034573e-08   0.7129   0.0598      201
features.14                      418    -0.325160 8.160790e-07 6.342752e-08   0.6759   0.0256      265
features.15                      690    -0.324726 3.976080e-07 2.293808e-07   0.8764   0.2269      329
features.4                        40    -0.324000 2.322455e-07 1.020677e-06   0.6720   0.0240       65
features.15                      299    -0.323944 1.798916e-07 5.117105e-08   0.6854   0.0376      329
features.12                      205    -0.319693 6.481335e-08 1.987113e-07   0.7494   0.1100      201
features.15                      863    -0.316901 2.072842e-07 1.001552e-07   0.7293   0.0955      329
features.14                      518    -0.313433 1.076433e-06 1.933734e-07   0.7910   0.1642      265
features.11                      117    -0.312727 3.165179e-07 1.208611e-06   0.7855   0.1600      169
features.10                      337    -0.312281 1.943379e-07 3.015394e-07   0.8877   0.2632      137
features.14                      300    -0.310235 8.977492e-07 1.308884e-07   0.7164   0.0959      265
features.14                      250    -0.308102 1.350102e-06 2.738732e-07   0.8678   0.2516      265
features.14                      330    -0.305970 1.374592e-06 2.842108e-07   0.8721   0.2601      265
features.15                      458    -0.305947 1.273925e-06 3.802131e-07   0.9812   0.3693      329
features.12                      107    -0.305627 5.274705e-08 1.900617e-07   0.7110   0.0997      201
features.8                       201    -0.305019 1.158548e-07 9.198079e-07   0.8533   0.2432      137
features.4                        92    -0.304000 2.963313e-07 2.886496e-06   0.8000   0.1920       65
features.2                        84    -0.301471 2.534549e-07 2.458342e-05   0.8824   0.2794       49
features.13                       46    -0.300239 1.453936e-07 3.669590e-07   0.8828   0.2823      201
features.11                      370    -0.300000 5.782417e-07 2.209955e-06   0.9273   0.3273      169
features.12                      298    -0.299233 4.377830e-08 7.250470e-08   0.6292   0.0307      201
features.7                        62    -0.298246 7.851928e-07 1.054531e-06   0.7251   0.1287      105
features.12                      318    -0.297954 5.071363e-08 1.857290e-07   0.6931   0.0972      201
features.9                       340    -0.297794 6.975728e-08 8.041609e-08   0.6066   0.0110      137
features.8                       253    -0.297297 1.606991e-07 1.104537e-06   0.8880   0.2934      137
features.13                       30    -0.296651 1.316090e-07 3.520758e-07   0.8660   0.2727      201
features.14                      517    -0.296375 3.551171e-06 4.193099e-07   0.9979   0.4051      265
features.10                       22    -0.294737 7.742085e-08 1.377863e-07   0.6526   0.0632      137
features.11                      363    -0.294545 4.550285e-07 2.078370e-06   0.8945   0.3055      169
features.13                      553    -0.294258 1.390417e-07 3.761160e-07   0.8780   0.2895      201
features.15                      454    -0.293427 2.007426e-07 1.392627e-07   0.7199   0.1330      329
features.14                      551    -0.293177 7.627550e-07 8.985306e-08   0.6397   0.0533      265
features.15                      743    -0.292645 6.060667e-07 3.545539e-07   0.9327   0.3474      329
features.12                       84    -0.291560 1.572377e-07 5.039934e-07   0.9156   0.3325      201
features.12                      168    -0.291560 6.640826e-08 2.870758e-07   0.7545   0.1714      201
features.11                      129    -0.290909 5.936566e-07 2.333737e-06   0.9345   0.3527      169
features.8                       230    -0.289575 1.785925e-07 1.195555e-06   0.9112   0.3320      137
features.5                        71    -0.288079 3.891165e-08 1.772609e-06   0.7616   0.1854       73
features.15                      389    -0.287167 2.597756e-07 2.218040e-07   0.7934   0.2191      329
