================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 13
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-28 21:13:41
  remove_target  : 32788
  accum_removed  : 32897
  selected_channels : 153
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1691666
  model_sparsity : 22.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        2     6.2%
  features.2                 96          3       52    54.2%
  features.3                144          1       38    26.4%
  features.4                144          3       29    20.1%
  features.5                192          7       64    33.3%
  features.6                192          7       72    37.5%
  features.7                192          5       42    21.9%
  features.8                384         11      160    41.7%
  features.9                384          9      150    39.1%
  features.10               384          7      139    36.2%
  features.11               384         14      164    42.7%
  features.12               576         11      249    43.2%
  features.13               576         13      236    41.0%
  features.14               576         18      206    35.8%
  features.15               960         19      461    48.0%
  features.16               960         17      210    21.9%
  features.17               960          7       36     3.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 31          1       3.2%
  features.2                 47          1       2.1%
  features.3                107          1       0.9%
  features.4                118          1       0.8%
  features.5                135          1       0.7%
  features.6                127          1       0.8%
  features.7                155          1       0.6%
  features.8                235          2       0.9%
  features.9                243          2       0.8%
  features.10               252          2       0.8%
  features.11               234          2       0.9%
  features.12               338          2       0.6%
  features.13               353          2       0.6%
  features.14               388          2       0.5%
  features.15               518          3       0.6%
  features.16               767          4       0.5%
  features.17               931          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 14채널 제거
  features.12: 11채널 제거
  features.13: 13채널 제거
  features.14: 18채널 제거
  features.15: 19채널 제거
  features.16: 17채널 제거
  features.17: 7채널 제거
  features.2: 3채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 7채널 제거
  features.6: 7채널 제거
  features.7: 5채널 제거
  features.8: 11채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       345    -0.384615 1.322559e-07 2.977311e-07   0.8120   0.0427      137
features.6                       189    -0.349206 6.161579e-08 1.692471e-06   0.8730   0.1746       73
features.9                        90    -0.326446 1.495751e-07 3.626023e-07   0.8140   0.1612      137
features.16                      605    -0.323760 2.717133e-07 1.161226e-08   0.7063   0.0587      329
features.12                      398    -0.318991 6.244734e-08 1.070838e-07   0.6825   0.0445      201
features.14                       71    -0.312661 1.081839e-06 2.484643e-07   0.7597   0.1344      265
features.11                       59    -0.311159 5.092909e-07 2.832949e-06   0.8970   0.2747      169
features.8                       304    -0.307692 7.039357e-08 1.256042e-07   0.6197   0.0043      137
features.11                       71    -0.304721 3.217258e-07 1.874166e-06   0.7682   0.1588      169
features.15                       72    -0.304642 6.830629e-07 5.417319e-07   0.9478   0.3385      329
features.6                       105    -0.301587 3.578008e-08 1.265638e-06   0.7302   0.1270       73
features.7                        90    -0.295455 8.854152e-07 1.204420e-06   0.7013   0.1104      105
features.11                       34    -0.289700 2.886291e-07 1.922533e-06   0.7468   0.1674      169
features.5                        83    -0.287313 1.702597e-07 4.810289e-06   0.9627   0.3881       73
features.4                        20    -0.286325 3.879214e-07 3.009667e-06   0.7094   0.1368       65
features.14                       81    -0.285530 1.195274e-06 3.824196e-07   0.8191   0.2481      265
features.14                      359    -0.284238 1.227075e-06 4.029858e-07   0.8372   0.2687      265
features.14                      374    -0.284238 1.096351e-06 3.233598e-07   0.7700   0.2016      265
features.13                      482    -0.284091 2.332871e-07 6.593617e-07   0.9432   0.3750      201
features.16                      761    -0.283290 3.262973e-07 3.774910e-08   0.7546   0.1880      329
features.14                      285    -0.281654 2.096999e-06 6.164131e-07   0.9716   0.4083      265
features.15                      766    -0.281431 3.827191e-07 4.949152e-07   0.8781   0.3153      329
features.8                       368    -0.279915 1.208738e-07 9.973636e-07   0.7778   0.2179      137
features.5                        51    -0.279851 5.084883e-08 2.982259e-06   0.7836   0.2239       73
features.9                         3    -0.278926 1.164460e-07 3.958804e-07   0.7479   0.1901      137
features.16                      186    -0.278721 1.134809e-06 1.151289e-07   0.9452   0.3877      329
features.9                       339    -0.272727 3.235949e-07 7.339336e-07   0.9174   0.3719      137
