================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 19
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-28 21:46:40
  remove_target  : 28140
  accum_removed  : 28359
  selected_channels : 119
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1510267
  model_sparsity : 31.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        4    12.5%
  features.2                 96          0       60    62.5%
  features.3                144          2       53    36.8%
  features.4                144          5       46    31.9%
  features.5                192          2       93    48.4%
  features.6                192          3       94    49.0%
  features.7                192          9       78    40.6%
  features.8                384          8      198    51.6%
  features.9                384          7      201    52.3%
  features.10               384          5      183    47.7%
  features.11               384          9      219    57.0%
  features.12               576          9      315    54.7%
  features.13               576          7      286    49.7%
  features.14               576         11      301    52.3%
  features.15               960         14      575    59.9%
  features.16               960         13      303    31.6%
  features.17               960         15       92     9.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 28          1       3.6%
  features.2                 36          1       2.8%
  features.3                 93          1       1.1%
  features.4                103          1       1.0%
  features.5                101          1       1.0%
  features.6                101          1       1.0%
  features.7                123          1       0.8%
  features.8                194          1       0.5%
  features.9                190          1       0.5%
  features.10               206          2       1.0%
  features.11               174          1       0.6%
  features.12               270          2       0.7%
  features.13               297          2       0.7%
  features.14               286          2       0.7%
  features.15               399          2       0.5%
  features.16               670          4       0.6%
  features.17               883          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.11: 9채널 제거
  features.12: 9채널 제거
  features.13: 7채널 제거
  features.14: 11채널 제거
  features.15: 14채널 제거
  features.16: 13채널 제거
  features.17: 15채널 제거
  features.3: 2채널 제거
  features.4: 5채널 제거
  features.5: 2채널 제거
  features.6: 3채널 제거
  features.7: 9채널 제거
  features.8: 8채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                       98    -0.336585 1.620967e-07 3.347537e-07   0.8146   0.1415      137
features.7                        93    -0.319672 1.263109e-06 1.983853e-06   0.7131   0.0738      105
features.9                       226    -0.312169 1.181320e-07 4.094333e-07   0.6984   0.0741      137
features.15                      802    -0.309045 1.873387e-07 1.837789e-07   0.6859   0.0678      329
features.14                      227    -0.308772 1.130234e-06 3.019409e-07   0.6947   0.0772      265
features.7                       124    -0.307377 9.655354e-07 7.245683e-07   0.6148   0.0000      105
features.3                       112    -0.298913 4.425542e-08 1.453995e-05   0.8478   0.2500       57
features.14                      156    -0.291228 1.462091e-06 6.155803e-07   0.8035   0.2211      265
features.14                       94    -0.291228 2.144563e-06 9.607801e-07   0.9263   0.3439      265
features.11                      168    -0.286127 3.981943e-07 4.678963e-06   0.7688   0.1965      169
features.8                       295    -0.282383 1.079876e-07 1.379092e-06   0.7617   0.1969      137
features.9                       149    -0.280423 1.023083e-07 4.343116e-07   0.6455   0.0847      137
features.7                        96    -0.278689 1.287665e-06 2.787177e-06   0.7295   0.1721      105
features.15                      215    -0.277638 1.431510e-07 8.747289e-08   0.5905   0.0352      329
features.15                      937    -0.275126 3.540558e-07 7.831892e-07   0.8141   0.2638      329
features.12                      437    -0.275093 4.060962e-08 6.850571e-08   0.5799   0.0297      201
features.13                      518    -0.273649 1.252495e-07 6.559466e-07   0.8446   0.2973      201
features.12                       98    -0.273234 5.526136e-08 5.122978e-07   0.6729   0.1264      201
features.13                      502    -0.271959 5.474865e-08 2.501227e-07   0.6554   0.1115      201
features.13                      526    -0.271959 4.713936e-07 1.177827e-06   0.9865   0.4426      201
features.3                        27    -0.271739 2.460095e-08 1.100449e-05   0.7065   0.1630       57
features.16                      954    -0.269806 3.610832e-07 7.190049e-08   0.7593   0.2197      329
features.11                      281    -0.268786 2.378290e-07 2.833380e-06   0.6243   0.0867      169
features.14                      210    -0.268421 1.292277e-06 6.115470e-07   0.7544   0.2175      265
features.16                      432    -0.266816 2.993036e-07 5.540433e-08   0.7130   0.1794      329
features.11                      373    -0.265896 2.426916e-07 2.996700e-06   0.6301   0.0983      169
features.5                        13    -0.265000 5.804791e-08 5.414114e-06   0.7200   0.1900       73
features.4                        65    -0.264706 3.459394e-07 5.395318e-06   0.6863   0.1569       65
features.12                      123    -0.262082 8.237716e-08 9.399624e-07   0.7732   0.2491      201
features.9                        78    -0.261905 1.717078e-07 8.789893e-07   0.7937   0.2698      137
features.10                      278    -0.260976 1.056807e-06 8.124175e-07   0.9902   0.4683      137
features.13                      397    -0.258446 6.324530e-08 3.983718e-07   0.6959   0.1791      201
features.7                       105    -0.258197 1.767547e-06 3.684233e-06   0.8279   0.3115      105
features.15                      795    -0.257538 6.271954e-07 1.333754e-06   0.9121   0.3970      329
features.17                      557    -0.256803 2.267470e-07 2.990260e-09   0.5510   0.0374      489
features.16                      219    -0.255605 2.667560e-07 5.459678e-08   0.6876   0.1764      329
features.4                        94    -0.254902 5.243760e-07 8.143207e-06   0.8039   0.2941       65
features.12                       50    -0.254647 1.467040e-07 1.358111e-06   0.8848   0.3755      201
features.12                      498    -0.254647 7.097596e-08 8.223697e-07   0.7361   0.2268      201
features.14                      154    -0.254386 1.478526e-06 8.996049e-07   0.8211   0.3123      265
features.14                      395    -0.254386 1.437407e-06 7.901249e-07   0.8000   0.2912      265
features.7                         6    -0.254098 2.022058e-06 4.774107e-06   0.8852   0.3770      105
features.15                      564    -0.252513 1.861961e-07 5.031242e-07   0.6784   0.1734      329
features.16                      390    -0.250374 2.286089e-07 3.871479e-08   0.6413   0.1405      329
features.15                      142    -0.250000 2.959077e-07 8.370571e-07   0.7889   0.2889      329
features.12                      446    -0.249071 9.108293e-07 2.025841e-06   0.9963   0.4981      201
features.8                       221    -0.248705 1.053410e-07 1.705406e-06   0.7513   0.2539      137
features.16                      544    -0.248132 4.351842e-07 1.259260e-07   0.8027   0.3064      329
features.13                      540    -0.246622 1.199701e-07 7.882442e-07   0.8277   0.3345      201
features.8                       329    -0.246114 6.560438e-08 6.151299e-07   0.5544   0.0622      137
features.17                      800    -0.245465 5.044985e-07 1.208002e-08   0.7823   0.2914      489
features.6                       162    -0.245000 2.462940e-08 2.600958e-06   0.6100   0.1200       73
features.6                       137    -0.245000 3.426882e-08 3.790731e-06   0.7200   0.2300       73
features.15                      381    -0.243719 2.211262e-07 6.951898e-07   0.7337   0.2462      329
features.16                      357    -0.243647 2.619495e-07 5.814830e-08   0.6816   0.1943      329
features.8                        51    -0.243523 1.411281e-07 2.130234e-06   0.8290   0.3420      137
features.8                        64    -0.243523 1.235372e-07 1.918638e-06   0.7927   0.3057      137
features.17                      198    -0.243197 6.383323e-07 1.723468e-08   0.8492   0.3628      489
features.17                      841    -0.242630 3.249753e-07 6.978402e-09   0.6633   0.1780      489
features.7                       135    -0.241803 1.324497e-06 3.255975e-06   0.7459   0.2623      105
features.13                       28    -0.241554 4.746215e-08 3.084735e-07   0.6216   0.1385      201
features.10                      317    -0.241463 1.134518e-07 4.261072e-07   0.6878   0.2049      137
features.8                       370    -0.240933 1.934993e-07 2.617472e-06   0.8860   0.4041      137
features.14                      321    -0.240351 8.647566e-07 4.276004e-07   0.6211   0.1404      265
features.4                        11    -0.240196 9.115433e-07 1.080740e-05   0.9118   0.4314       65
features.5                       182    -0.240000 8.601621e-08 8.142159e-06   0.8300   0.3500       73
features.15                      633    -0.239950 1.269527e-07 1.522508e-07   0.5352   0.0553      329
features.11                      260    -0.239884 2.302370e-07 3.286281e-06   0.6127   0.1329      169
features.12                      120    -0.239777 1.584448e-07 1.467199e-06   0.8885   0.4089      201
features.15                      240    -0.238693 2.839614e-07 9.240579e-07   0.7864   0.3090      329
features.13                      487    -0.238176 5.445975e-08 3.737792e-07   0.6520   0.1757      201
features.7                       151    -0.237705 1.194622e-06 2.849671e-06   0.6639   0.1885      105
features.17                      727    -0.237528 1.019293e-06 2.600252e-08   0.9206   0.4456      489
features.11                      312    -0.236994 3.241468e-07 5.203434e-06   0.7225   0.2486      169
features.16                      576    -0.236921 2.457259e-07 5.755183e-08   0.6637   0.1898      329
features.17                      849    -0.236395 3.292157e-07 7.540301e-09   0.6701   0.1973      489
