================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-28 22:02:43
  remove_target  : 26068
  accum_removed  : 26336
  selected_channels : 96
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1429413
  model_sparsity : 34.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        5    15.6%
  features.2                 96          1       63    65.6%
  features.3                144          2       62    43.1%
  features.4                144          1       49    34.0%
  features.5                192          2       99    51.6%
  features.6                192          2      100    52.1%
  features.7                192          2       90    46.9%
  features.8                384          4      219    57.0%
  features.9                384          3      215    56.0%
  features.10               384          5      199    51.8%
  features.11               384          6      238    62.0%
  features.12               576          8      341    59.2%
  features.13               576          7      312    54.2%
  features.14               576          6      338    58.7%
  features.15               960         18      618    64.4%
  features.16               960         11      352    36.7%
  features.17               960         18      127    13.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 34          1       2.9%
  features.3                 84          1       1.2%
  features.4                 96          1       1.0%
  features.5                 95          1       1.1%
  features.6                 94          1       1.1%
  features.7                104          1       1.0%
  features.8                169          1       0.6%
  features.9                172          1       0.6%
  features.10               190          1       0.5%
  features.11               152          1       0.7%
  features.12               243          2       0.8%
  features.13               271          2       0.7%
  features.14               244          2       0.8%
  features.15               360          2       0.6%
  features.16               619          4       0.6%
  features.17               851          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.11: 6채널 제거
  features.12: 8채널 제거
  features.13: 7채널 제거
  features.14: 6채널 제거
  features.15: 18채널 제거
  features.16: 11채널 제거
  features.17: 18채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 2채널 제거
  features.6: 2채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      954    -0.303621 2.567507e-07 5.224564e-07   0.7493   0.1421      329
features.8                       279    -0.303571 9.000497e-08 9.447918e-07   0.7143   0.1071      137
features.15                      827    -0.302228 1.951333e-07 3.190904e-07   0.6908   0.0864      329
features.14                      175    -0.300412 1.364327e-06 6.727707e-07   0.7531   0.1523      265
features.12                      160    -0.299587 7.459821e-08 7.874017e-07   0.7645   0.1653      201
features.15                      885    -0.298050 1.438423e-07 4.294692e-08   0.6045   0.0084      329
features.17                      673    -0.297647 3.108731e-07 4.023284e-09   0.6635   0.0682      489
features.8                       347    -0.294643 6.695617e-08 5.754903e-07   0.6190   0.0298      137
features.17                      632    -0.291765 2.950760e-07 3.722249e-09   0.6388   0.0553      489
features.15                      484    -0.288301 1.949577e-07 4.176467e-07   0.6880   0.1114      329
features.13                      147    -0.281481 5.321813e-08 3.033732e-07   0.6852   0.1222      201
features.17                      443    -0.280588 4.492594e-07 8.295070e-09   0.7494   0.1882      489
features.15                       32    -0.279944 1.439224e-07 1.853257e-07   0.6072   0.0474      329
features.14                      398    -0.277778 2.587865e-06 1.560998e-06   0.9465   0.3909      265
features.7                       133    -0.276699 8.324135e-07 2.942060e-06   0.6796   0.1262      105
features.16                      783    -0.274272 2.658071e-06 2.724298e-07   0.9838   0.4353      329
features.15                      463    -0.271588 4.210579e-07 1.172777e-06   0.8524   0.3092      329
features.13                      353    -0.270370 4.087596e-08 1.594025e-07   0.6074   0.0667      201
features.17                      829    -0.268824 4.097863e-07 8.544889e-09   0.7294   0.1918      489
features.11                       89    -0.268212 3.125290e-07 4.941734e-06   0.7483   0.2119      169
features.15                       75    -0.267409 1.289847e-07 1.558561e-07   0.5655   0.0306      329
features.17                      504    -0.267059 9.871792e-07 2.105429e-08   0.9282   0.3941      489
features.13                       51    -0.266667 9.567116e-08 7.711034e-07   0.8259   0.2926      201
features.11                      100    -0.264901 2.510108e-07 4.461284e-06   0.7020   0.1722      169
features.8                       267    -0.264881 9.128973e-08 1.671774e-06   0.7262   0.1964      137
features.10                      236    -0.264550 8.563165e-08 2.437269e-07   0.6243   0.0952      137
features.10                      257    -0.264550 1.071311e-07 3.793360e-07   0.7037   0.1746      137
features.12                      515    -0.264463 1.105134e-07 1.339700e-06   0.8347   0.3058      201
features.11                      339    -0.261589 5.757181e-07 9.249073e-06   0.9007   0.3775      169
features.11                      347    -0.261589 1.942936e-07 3.358035e-06   0.6159   0.0927      169
features.5                        16    -0.260638 6.086555e-08 6.808548e-06   0.7979   0.2766       73
features.17                      216    -0.260588 5.637905e-07 1.319251e-08   0.8094   0.2882      489
features.9                       229    -0.260234 6.828525e-08 5.096414e-07   0.5906   0.0702      137
features.12                      428    -0.258264 3.787810e-07 2.190075e-06   0.9752   0.4587      201
features.15                      403    -0.257660 4.461583e-07 1.353608e-06   0.8719   0.3565      329
features.16                      490    -0.257282 8.216871e-07 2.040615e-07   0.8819   0.3673      329
