================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 30
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-28 22:45:27
  remove_target  : 21257
  accum_removed  : 21271
  selected_channels : 79
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1242030
  model_sparsity : 43.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        5    15.6%
  features.2                 96          0       65    67.7%
  features.3                144          1       82    56.9%
  features.4                144          0       57    39.6%
  features.5                192          3      116    60.4%
  features.6                192          2      119    62.0%
  features.7                192          2      115    59.9%
  features.8                384          4      266    69.3%
  features.9                384          4      254    66.1%
  features.10               384          4      236    61.5%
  features.11               384          4      290    75.5%
  features.12               576          3      402    69.8%
  features.13               576          7      364    63.2%
  features.14               576          9      415    72.0%
  features.15               960         16      725    75.5%
  features.16               960          7      449    46.8%
  features.17               960         13      218    22.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 31          1       3.2%
  features.3                 63          1       1.6%
  features.4                 87          1       1.1%
  features.5                 79          1       1.3%
  features.6                 75          1       1.3%
  features.7                 79          1       1.3%
  features.8                122          1       0.8%
  features.9                134          1       0.7%
  features.10               152          1       0.7%
  features.11                98          1       1.0%
  features.12               177          1       0.6%
  features.13               219          2       0.9%
  features.14               170          1       0.6%
  features.15               251          2       0.8%
  features.16               518          3       0.6%
  features.17               755          4       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 4채널 제거
  features.12: 3채널 제거
  features.13: 7채널 제거
  features.14: 9채널 제거
  features.15: 16채널 제거
  features.16: 7채널 제거
  features.17: 13채널 제거
  features.3: 1채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      157    -0.344000 3.567460e-07 7.606723e-07   0.7880   0.1000      329
features.17                        2    -0.287798 4.116673e-07 8.755787e-09   0.7056   0.1300      489
features.14                      242    -0.286982 1.614962e-06 1.147864e-06   0.7219   0.1479      265
features.14                      132    -0.281065 2.605155e-06 2.607242e-06   0.8698   0.3077      265
features.15                      814    -0.276000 3.563525e-07 1.951354e-06   0.7840   0.2320      329
features.15                      201    -0.268000 1.831238e-07 3.175229e-07   0.5800   0.0440      329
features.17                      169    -0.267905 3.109940e-07 6.208634e-09   0.6313   0.0955      489
features.17                      891    -0.267241 3.988360e-07 1.071927e-08   0.6976   0.1631      489
features.15                      748    -0.264000 2.058941e-07 7.432884e-07   0.6120   0.0840      329
features.15                       18    -0.262000 2.328378e-07 1.095342e-06   0.6720   0.1480      329
features.15                      131    -0.262000 2.802944e-07 1.693093e-06   0.7240   0.2000      329
features.9                       205    -0.259398 1.853096e-07 1.842257e-06   0.8271   0.3083      137
features.12                      462    -0.258523 6.469427e-08 1.132001e-06   0.6932   0.1761      201
features.7                         8    -0.256410 1.913299e-06 1.078337e-05   0.7692   0.2564      105
features.9                       255    -0.255639 8.716622e-08 1.109464e-06   0.6541   0.1429      137
features.15                      866    -0.252000 2.843358e-07 1.906889e-06   0.7280   0.2240      329
features.12                      226    -0.250000 2.042905e-07 3.642774e-06   0.9489   0.4489      201
features.17                      775    -0.246684 2.980323e-07 8.126441e-09   0.6154   0.1220      489
features.5                       100    -0.243590 3.647476e-08 3.832488e-06   0.5769   0.0897       73
features.17                      219    -0.242706 3.261071e-07 1.025266e-08   0.6419   0.1565      489
features.11                      261    -0.242268 2.327720e-07 1.115394e-05   0.6186   0.1340      169
features.15                      607    -0.240000 3.691673e-07 2.524543e-06   0.7960   0.3160      329
features.7                       153    -0.237180 7.482465e-07 3.063152e-06   0.5128   0.0385      105
features.11                       98    -0.237113 4.140929e-07 2.765319e-05   0.7835   0.3093      169
features.15                      721    -0.236000 2.862512e-07 2.168585e-06   0.7320   0.2600      329
features.8                       244    -0.235537 1.390054e-07 5.032980e-06   0.8099   0.3388      137
