================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 5
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 16:29:04
  remove_target  : 40185
  accum_removed  : 40433
  selected_channels : 169
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1979995
  model_sparsity : 9.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        1     3.1%
  features.2                 96          0        8     8.3%
  features.3                144          3       15    10.4%
  features.4                144          0        8     5.6%
  features.5                192          6       36    18.8%
  features.6                192          3       37    19.3%
  features.7                192          1       10     5.2%
  features.8                384         10      102    26.6%
  features.9                384          9       89    23.2%
  features.10               384          6       75    19.5%
  features.11               384          9       62    16.1%
  features.12               576         17      134    23.3%
  features.13               576         14       92    16.0%
  features.14               576         23       70    12.2%
  features.15               960         46      218    22.7%
  features.16               960         20       61     6.4%
  features.17               960          1        3     0.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 88          1       1.1%
  features.3                132          1       0.8%
  features.4                136          1       0.7%
  features.5                162          1       0.6%
  features.6                158          1       0.6%
  features.7                183          1       0.5%
  features.8                292          2       0.7%
  features.9                304          2       0.7%
  features.10               315          2       0.6%
  features.11               331          2       0.6%
  features.12               459          3       0.7%
  features.13               498          3       0.6%
  features.14               529          3       0.6%
  features.15               788          4       0.5%
  features.16               919          5       0.5%
  features.17               958          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 6채널 제거
  features.11: 9채널 제거
  features.12: 17채널 제거
  features.13: 14채널 제거
  features.14: 23채널 제거
  features.15: 46채널 제거
  features.16: 20채널 제거
  features.17: 1채널 제거
  features.3: 3채널 제거
  features.5: 6채널 제거
  features.6: 3채널 제거
  features.7: 1채널 제거
  features.8: 10채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                        55    -0.391089 3.045587e-07 2.477614e-07   0.8977   0.1155      137
features.15                      360    -0.390724 9.367096e-07 1.041305e-07   0.9301   0.1487      329
features.15                      591    -0.389454 1.772860e-06 1.278924e-07   0.9809   0.2020      329
features.15                      699    -0.389454 7.012266e-07 8.111471e-08   0.8780   0.0991      329
features.12                      478    -0.386463 2.124514e-07 2.009747e-07   0.9083   0.1354      201
features.15                      621    -0.384371 9.856627e-07 1.092352e-07   0.9339   0.1652      329
features.10                      226    -0.383758 1.872738e-07 1.841715e-07   0.8854   0.1178      137
features.14                      192    -0.381629 1.728137e-06 4.450277e-08   0.7822   0.0189      265
features.9                       171    -0.381188 2.178493e-07 2.303116e-07   0.8548   0.0924      137
features.15                      781    -0.378653 5.176610e-07 6.890754e-08   0.8285   0.0712      329
features.13                      366    -0.378270 1.397964e-07 8.581895e-08   0.8129   0.0563      201
features.15                      874    -0.371665 5.700791e-07 8.411426e-08   0.8539   0.1105      329
features.15                      441    -0.371665 7.312858e-07 9.930707e-08   0.8856   0.1423      329
features.8                       264    -0.369416 3.542198e-07 7.732168e-07   0.9656   0.2268      137
features.10                       82    -0.366242 1.843604e-07 2.071674e-07   0.8822   0.1497      137
features.8                       326    -0.365979 1.521574e-07 3.744627e-07   0.8282   0.0962      137
features.14                      201    -0.365530 3.090786e-06 1.717587e-07   0.9261   0.1951      265
features.15                      843    -0.365311 5.195693e-07 8.129825e-08   0.8310   0.1004      329
features.10                      313    -0.364650 1.476055e-07 1.514394e-07   0.8248   0.0955      137
features.12                      185    -0.364629 1.324222e-07 1.387311e-07   0.8079   0.0786      201
features.13                      359    -0.364185 1.555010e-07 1.359703e-07   0.8390   0.1107      201
features.16                      855    -0.361111 8.567340e-07 3.870164e-08   0.8900   0.1678      329
features.15                       90    -0.359593 7.514344e-07 1.178725e-07   0.8958   0.1766      329
features.12                      354    -0.358079 1.255122e-07 1.388863e-07   0.7969   0.0808      201
features.15                      379    -0.357052 6.446923e-07 1.048555e-07   0.8653   0.1512      329
features.15                      847    -0.355146 4.078663e-07 6.980352e-08   0.7840   0.0737      329
features.8                       171    -0.353952 1.307438e-07 3.565970e-07   0.7904   0.0825      137
