================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 10
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 16:49:37
  remove_target  : 35390
  accum_removed  : 35424
  selected_channels : 160
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1793197
  model_sparsity : 18.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        1     3.1%
  features.2                 96          5       30    31.2%
  features.3                144          2       29    20.1%
  features.4                144          1       13     9.0%
  features.5                192          3       51    26.6%
  features.6                192          4       49    25.5%
  features.7                192          7       38    19.8%
  features.8                384          4      138    35.9%
  features.9                384          9      126    32.8%
  features.10               384         13      131    34.1%
  features.11               384         13      121    31.5%
  features.12               576         13      229    39.8%
  features.13               576         12      173    30.0%
  features.14               576         24      143    24.8%
  features.15               960         29      388    40.4%
  features.16               960         20      166    17.3%
  features.17               960          1       17     1.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 31          1       3.2%
  features.2                 71          1       1.4%
  features.3                117          1       0.9%
  features.4                132          1       0.8%
  features.5                144          1       0.7%
  features.6                147          1       0.7%
  features.7                161          1       0.6%
  features.8                250          2       0.8%
  features.9                267          2       0.7%
  features.10               266          2       0.8%
  features.11               276          2       0.7%
  features.12               360          2       0.6%
  features.13               415          3       0.7%
  features.14               457          3       0.7%
  features.15               601          4       0.7%
  features.16               814          5       0.6%
  features.17               944          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 13채널 제거
  features.11: 13채널 제거
  features.12: 13채널 제거
  features.13: 12채널 제거
  features.14: 24채널 제거
  features.15: 29채널 제거
  features.16: 20채널 제거
  features.17: 1채널 제거
  features.2: 5채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 3채널 제거
  features.6: 4채널 제거
  features.7: 7채널 제거
  features.8: 4채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       147    -0.381579 2.115677e-07 1.248400e-07   0.8008   0.0376      137
features.14                       61    -0.376096 1.679560e-06 1.071071e-07   0.8026   0.0504      265
features.15                      496    -0.370000 4.162191e-07 1.361226e-07   0.8433   0.1033      329
features.15                      863    -0.361667 3.310393e-07 1.206995e-07   0.8050   0.0817      329
features.15                      435    -0.356667 5.598798e-07 1.903086e-07   0.8883   0.1750      329
features.15                      260    -0.349167 8.112533e-07 2.356175e-07   0.9333   0.2350      329
features.15                       37    -0.347500 4.770439e-07 1.863722e-07   0.8633   0.1683      329
features.13                      481    -0.345411 2.588694e-07 3.433647e-07   0.9565   0.2657      201
features.10                       76    -0.345283 5.576501e-07 3.651231e-07   0.9660   0.2755      137
features.13                      256    -0.344203 2.150779e-07 3.008652e-07   0.9251   0.2367      201
features.5                        84    -0.342657 1.785509e-07 3.361745e-06   0.9301   0.2448       73
features.10                       51    -0.339623 4.250300e-07 3.606727e-07   0.9321   0.2528      137
features.10                      369    -0.339623 3.740768e-07 3.386242e-07   0.9170   0.2377      137
features.11                      175    -0.338182 5.479844e-07 1.067176e-06   0.8073   0.1309      169
features.13                       10    -0.335749 2.816797e-07 3.837126e-07   0.9662   0.2947      201
features.5                        53    -0.335664 7.167240e-08 1.454298e-06   0.7692   0.0979       73
features.14                      146    -0.334430 2.222168e-06 2.523416e-07   0.8860   0.2171      265
features.16                      226    -0.330873 9.697520e-07 7.325190e-08   0.9336   0.2718      329
features.10                      105    -0.330189 1.542127e-07 1.947113e-07   0.7472   0.0868      137
features.12                      457    -0.328691 7.616770e-08 1.751726e-07   0.7382   0.0808      201
features.5                         6    -0.328671 1.724273e-07 3.477108e-06   0.9161   0.2587       73
features.14                       76    -0.327851 1.764908e-06 2.016008e-07   0.8158   0.1601      265
features.14                      400    -0.327851 3.650563e-06 3.381930e-07   0.9649   0.3092      265
features.12                      343    -0.327298 8.320158e-08 2.110769e-07   0.7549   0.1003      201
features.11                      274    -0.327273 3.276114e-07 4.286335e-07   0.6691   0.0145      169
features.16                      786    -0.327183 8.185155e-07 6.725249e-08   0.9114   0.2571      329
features.6                        10    -0.325342 4.478956e-08 3.793315e-07   0.6849   0.0342       73
features.14                      520    -0.324561 1.601888e-06 1.757275e-07   0.7807   0.1316      265
features.11                      211    -0.323636 9.335118e-07 1.814363e-06   0.9055   0.2582      169
features.15                      388    -0.323333 1.003826e-06 3.071949e-07   0.9533   0.3067      329
features.8                        79    -0.323293 1.228410e-07 6.815005e-07   0.7711   0.1245      137
features.15                      488    -0.320833 2.014625e-06 3.580768e-07   0.9933   0.3517      329
features.4                        30    -0.320611 1.515806e-06 2.671420e-06   0.8550   0.2137       65
features.6                       102    -0.318493 5.799519e-08 8.791114e-07   0.7534   0.1164       73
features.10                       78    -0.316981 2.734048e-07 3.305602e-07   0.8566   0.2226      137
features.11                      209    -0.314545 4.411810e-07 1.055526e-06   0.7564   0.1273      169
features.11                      230    -0.314545 3.727355e-07 8.107611e-07   0.7091   0.0800      169
features.2                        81    -0.314286 7.480617e-07 1.791054e-05   0.8429   0.2143       49
features.14                      368    -0.313596 2.371008e-06 2.990058e-07   0.8947   0.2675      265
features.12                      533    -0.313370 2.218491e-07 5.959519e-07   0.9443   0.3175      201
features.16                      562    -0.311808 5.080250e-07 5.035241e-08   0.8192   0.1956      329
features.15                      612    -0.311667 3.906925e-07 2.162690e-07   0.8267   0.2033      329
features.12                      523    -0.310585 1.057448e-07 3.777365e-07   0.8273   0.2061      201
features.15                      951    -0.308333 2.516745e-07 1.565046e-07   0.7433   0.1267      329
features.14                      341    -0.307018 1.905319e-06 2.606705e-07   0.8443   0.2303      265
features.16                      848    -0.306888 1.487675e-06 9.771321e-08   0.9766   0.3629      329
features.12                      298    -0.306407 5.631597e-08 7.733128e-08   0.6462   0.0334      201
features.16                      851    -0.306273 4.357619e-07 4.403000e-08   0.7897   0.1771      329
features.14                      317    -0.305921 1.146281e-06 4.974909e-08   0.6316   0.0197      265
features.10                       92    -0.305660 1.819477e-07 2.858200e-07   0.7811   0.1698      137
features.16                      953    -0.305043 4.352132e-07 4.456650e-08   0.7884   0.1784      329
features.12                      543    -0.305014 1.275425e-06 7.585485e-07   1.0000   0.3900      201
features.14                      465    -0.304825 2.640343e-06 3.360312e-07   0.9145   0.3048      265
features.15                      692    -0.304167 1.738963e-07 7.743752e-08   0.6467   0.0383      329
features.16                      274    -0.303813 5.457695e-07 5.804176e-08   0.8315   0.2239      329
features.14                      384    -0.303728 1.085613e-06 4.519089e-08   0.6184   0.0110      265
features.13                      123    -0.303140 2.601517e-07 4.568689e-07   0.9589   0.3527      201
features.14                      165    -0.302632 1.617903e-06 2.129483e-07   0.7829   0.1776      265
features.12                      121    -0.302228 1.308631e-07 5.120336e-07   0.8747   0.2702      201
features.16                      338    -0.301968 9.294132e-07 8.629422e-08   0.9250   0.3210      329
features.10                      337    -0.301887 2.989829e-07 3.627436e-07   0.8642   0.2604      137
features.15                      686    -0.301667 8.773409e-07 3.423156e-07   0.9417   0.3383      329
features.12                        9    -0.300836 1.331065e-07 5.144238e-07   0.8802   0.2786      201
features.15                      598    -0.300833 2.369839e-07 1.514939e-07   0.7267   0.1250      329
features.14                       68    -0.300439 1.631369e-06 2.183067e-07   0.7873   0.1864      265
features.12                       29    -0.299443 7.169911e-08 2.413546e-07   0.7270   0.1281      201
features.9                         3    -0.298872 2.903320e-07 4.669394e-07   0.8684   0.2707      137
