================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 14
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:06:00
  remove_target  : 31967
  accum_removed  : 32117
  selected_channels : 149
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1659606
  model_sparsity : 24.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        2     6.2%
  features.2                 96          5       51    53.1%
  features.3                144          2       38    26.4%
  features.4                144          2       22    15.3%
  features.5                192          3       71    37.0%
  features.6                192          5       65    33.9%
  features.7                192          4       52    27.1%
  features.8                384         12      177    46.1%
  features.9                384         10      167    43.5%
  features.10               384         11      170    44.3%
  features.11               384          8      159    41.4%
  features.12               576         12      278    48.3%
  features.13               576         12      228    39.6%
  features.14               576         25      206    35.8%
  features.15               960         23      490    51.0%
  features.16               960         10      235    24.5%
  features.17               960          5       39     4.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 30          1       3.3%
  features.2                 50          1       2.0%
  features.3                108          1       0.9%
  features.4                124          1       0.8%
  features.5                124          1       0.8%
  features.6                132          1       0.8%
  features.7                144          1       0.7%
  features.8                219          2       0.9%
  features.9                227          2       0.9%
  features.10               225          2       0.9%
  features.11               233          2       0.9%
  features.12               310          2       0.6%
  features.13               360          2       0.6%
  features.14               395          2       0.5%
  features.15               493          3       0.6%
  features.16               735          4       0.5%
  features.17               926          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 11채널 제거
  features.11: 8채널 제거
  features.12: 12채널 제거
  features.13: 12채널 제거
  features.14: 25채널 제거
  features.15: 23채널 제거
  features.16: 10채널 제거
  features.17: 5채널 제거
  features.2: 5채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 5채널 제거
  features.7: 4채널 제거
  features.8: 12채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                       84    -0.379442 1.967365e-06 1.515870e-07   0.8198   0.0609      265
features.12                      129    -0.377023 2.453146e-07 5.902682e-07   0.9515   0.1974      201
features.15                      876    -0.363821 3.556404e-07 2.743177e-07   0.8557   0.1280      329
features.15                       47    -0.360772 3.386684e-07 2.748977e-07   0.8516   0.1301      329
features.7                        54    -0.360140 2.405400e-06 1.522042e-06   0.7902   0.0699      105
features.15                       24    -0.358740 7.329668e-07 3.923385e-07   0.9228   0.2053      329
features.11                      233    -0.355603 4.252096e-07 7.617232e-07   0.7328   0.0216      169
features.16                      583    -0.349455 4.099612e-07 1.686131e-08   0.7916   0.0926      329
features.14                      448    -0.348985 2.096653e-06 3.043182e-07   0.8401   0.1421      265
features.8                        25    -0.348624 1.185119e-07 5.560053e-07   0.7385   0.0413      137
features.12                      321    -0.346278 1.194282e-07 4.952596e-07   0.8641   0.1715      201
features.15                       95    -0.330285 1.499442e-07 2.656061e-08   0.6646   0.0041      329
features.15                      684    -0.329268 2.876584e-07 3.271681e-07   0.8232   0.1646      329
features.14                       15    -0.328680 1.455077e-06 1.497184e-07   0.7157   0.0584      265
features.14                      415    -0.328680 1.389564e-06 1.110689e-07   0.6929   0.0355      265
features.15                      631    -0.326219 1.834141e-07 1.940334e-07   0.7236   0.0711      329
features.14                      364    -0.322335 2.157148e-06 4.130842e-07   0.8528   0.2081      265
features.15                      656    -0.320122 1.565959e-07 1.384081e-07   0.6829   0.0427      329
features.14                      231    -0.319797 1.463567e-06 1.732165e-07   0.7208   0.0812      265
features.14                      390    -0.317259 1.387566e-06 1.481144e-07   0.6904   0.0558      265
features.13                       89    -0.314763 2.859563e-07 6.709911e-07   0.9749   0.3454      201
features.9                       383    -0.314159 2.262365e-07 6.725134e-07   0.8274   0.1991      137
features.15                      356    -0.313008 3.240134e-07 4.008749e-07   0.8374   0.2114      329
features.8                       242    -0.311927 1.238433e-07 1.032234e-06   0.7523   0.1284      137
features.9                       332    -0.309735 4.935928e-07 9.269875e-07   0.9425   0.3230      137
features.14                       48    -0.309645 1.470317e-06 2.294755e-07   0.7234   0.1041      265
features.13                      529    -0.306407 7.966825e-08 2.572438e-07   0.7549   0.1421      201
