================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 15
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:10:08
  remove_target  : 31165
  accum_removed  : 31281
  selected_channels : 137
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1628325
  model_sparsity : 25.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        2     6.2%
  features.2                 96          5       56    58.3%
  features.3                144          0       38    26.4%
  features.4                144          5       27    18.8%
  features.5                192          4       75    39.1%
  features.6                192          4       69    35.9%
  features.7                192          4       56    29.2%
  features.8                384          8      185    48.2%
  features.9                384         10      177    46.1%
  features.10               384         11      181    47.1%
  features.11               384          8      167    43.5%
  features.12               576          6      284    49.3%
  features.13               576         13      241    41.8%
  features.14               576          7      213    37.0%
  features.15               960         27      517    53.9%
  features.16               960         15      250    26.0%
  features.17               960         10       49     5.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 30          1       3.3%
  features.2                 45          1       2.2%
  features.3                106          1       0.9%
  features.4                122          1       0.8%
  features.5                121          1       0.8%
  features.6                127          1       0.8%
  features.7                140          1       0.7%
  features.8                207          2       1.0%
  features.9                217          2       0.9%
  features.10               214          2       0.9%
  features.11               225          2       0.9%
  features.12               298          2       0.7%
  features.13               348          2       0.6%
  features.14               370          2       0.5%
  features.15               470          3       0.6%
  features.16               725          4       0.6%
  features.17               921          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 11채널 제거
  features.11: 8채널 제거
  features.12: 6채널 제거
  features.13: 13채널 제거
  features.14: 7채널 제거
  features.15: 27채널 제거
  features.16: 15채널 제거
  features.17: 10채널 제거
  features.2: 5채널 제거
  features.4: 5채널 제거
  features.5: 4채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 8채널 제거
  features.9: 10채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       168    -0.377315 2.227974e-07 3.495842e-07   0.8148   0.0602      137
features.15                      494    -0.366738 3.107414e-07 2.471593e-07   0.8252   0.0917      329
features.15                      753    -0.366738 2.230458e-07 6.859661e-08   0.7505   0.0171      329
features.15                      136    -0.360341 3.607414e-07 2.902207e-07   0.8486   0.1279      329
features.15                      668    -0.352878 6.340033e-07 4.616917e-07   0.9190   0.2132      329
features.11                      328    -0.341518 8.950947e-07 2.706373e-06   0.8705   0.1875      169
features.9                        31    -0.331019 1.412873e-06 1.016587e-06   0.9861   0.3241      137
features.5                       145    -0.329167 1.569542e-07 6.002089e-06   0.9167   0.2583       73
features.15                      510    -0.323028 2.428274e-07 2.941889e-07   0.7783   0.1322      329
features.15                      515    -0.323028 3.745756e-07 4.566727e-07   0.8550   0.2090      329
features.10                       17    -0.319249 4.181757e-07 7.203353e-07   0.9437   0.3052      137
features.8                       281    -0.317961 8.303848e-07 2.948841e-06   0.9806   0.3447      137
features.15                      730    -0.316631 1.879489e-07 2.202078e-07   0.7079   0.0746      329
features.10                       94    -0.307512 1.183414e-07 2.870727e-07   0.6854   0.0704      137
features.10                      209    -0.307512 1.397151e-07 4.307112e-07   0.7371   0.1221      137
features.15                      173    -0.307036 4.423973e-07 6.077629e-07   0.8870   0.2729      329
features.15                      538    -0.307036 5.185015e-07 6.307486e-07   0.9041   0.2900      329
features.15                      703    -0.305970 1.628653e-07 1.652856e-07   0.6631   0.0512      329
features.8                       356    -0.305825 1.069389e-07 8.007484e-07   0.7039   0.0922      137
features.6                       113    -0.305556 1.096085e-07 3.472014e-06   0.8810   0.2698       73
features.15                      888    -0.304904 1.486005e-07 6.829212e-08   0.6247   0.0149      329
features.15                       53    -0.302772 6.438730e-07 7.015518e-07   0.9232   0.3177      329
features.7                       140    -0.298561 1.911938e-06 2.074033e-06   0.7194   0.1223      105
features.5                        14    -0.295833 5.801645e-08 2.143731e-06   0.6917   0.1000       73
features.10                      373    -0.295775 1.442949e-07 5.029366e-07   0.7559   0.1643      137
features.15                      253    -0.295309 2.386817e-07 3.807894e-07   0.7719   0.1812      329
features.15                      925    -0.294243 1.563191e-07 1.686684e-07   0.6439   0.0554      329
