================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:18:19
  remove_target  : 29622
  accum_removed  : 29684
  selected_channels : 124
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1568204
  model_sparsity : 28.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          2       61    63.5%
  features.3                144          2       42    29.2%
  features.4                144          3       33    22.9%
  features.5                192          2       83    43.2%
  features.6                192          1       75    39.1%
  features.7                192          5       70    36.5%
  features.8                384          4      195    50.8%
  features.9                384          6      195    50.8%
  features.10               384          9      197    51.3%
  features.11               384          7      185    48.2%
  features.12               576          4      298    51.7%
  features.13               576         12      265    46.0%
  features.14               576         18      242    42.0%
  features.15               960         21      555    57.8%
  features.16               960         24      291    30.3%
  features.17               960          4       62     6.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 37          1       2.7%
  features.3                104          1       1.0%
  features.4                114          1       0.9%
  features.5                111          1       0.9%
  features.6                118          1       0.8%
  features.7                127          1       0.8%
  features.8                193          1       0.5%
  features.9                195          1       0.5%
  features.10               196          1       0.5%
  features.11               206          2       1.0%
  features.12               282          2       0.7%
  features.13               323          2       0.6%
  features.14               352          2       0.6%
  features.15               426          3       0.7%
  features.16               693          4       0.6%
  features.17               902          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 9채널 제거
  features.11: 7채널 제거
  features.12: 4채널 제거
  features.13: 12채널 제거
  features.14: 18채널 제거
  features.15: 21채널 제거
  features.16: 24채널 제거
  features.17: 4채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 2채널 제거
  features.6: 1채널 제거
  features.7: 5채널 제거
  features.8: 4채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      521    -0.388199 1.890241e-07 2.760040e-07   0.8975   0.1211      201
features.5                        79    -0.377273 9.854845e-08 1.007134e-06   0.7636   0.0091       73
features.10                      264    -0.371795 2.539639e-07 2.869981e-07   0.7897   0.0462      137
features.15                      566    -0.365882 8.777172e-07 5.771395e-07   0.9318   0.2000      329
features.17                      803    -0.362375 6.106141e-07 8.294026e-09   0.8502   0.1254      489
features.15                      105    -0.362353 3.201620e-07 1.738457e-07   0.7765   0.0518      329
features.14                      417    -0.361823 2.246833e-06 2.537423e-07   0.8091   0.0855      265
features.15                      675    -0.357647 3.361039e-07 2.602768e-07   0.7906   0.0753      329
features.14                      369    -0.353276 2.169392e-06 2.270352e-07   0.7806   0.0741      265
features.13                      369    -0.349379 1.602412e-07 3.278579e-07   0.8478   0.1491      201
features.12                      423    -0.345196 1.532775e-07 5.243984e-07   0.8292   0.1388      201
features.11                       22    -0.326829 8.030083e-07 3.079422e-06   0.7805   0.1268      169
features.13                      551    -0.322981 2.321819e-07 7.627687e-07   0.9410   0.2950      201
features.2                        42    -0.319444 6.354718e-07 3.036369e-04   0.8333   0.1944       49
features.15                      487    -0.318824 2.003782e-07 7.887541e-08   0.6541   0.0165      329
features.8                       151    -0.317708 1.280692e-07 6.496011e-07   0.6562   0.0208      137
features.7                        56    -0.317460 2.286291e-06 2.182828e-06   0.6905   0.0556      105
features.11                      285    -0.317073 7.867851e-07 3.273668e-06   0.7707   0.1366      169
features.13                       69    -0.316770 8.079690e-08 1.046800e-07   0.6894   0.0559      201
features.14                      296    -0.314815 2.055568e-06 3.790119e-07   0.7607   0.1311      265
features.15                      893    -0.312941 4.508274e-07 6.287406e-07   0.8494   0.2235      329
features.9                        50    -0.311856 5.301493e-07 1.575737e-06   0.9278   0.3041      137
features.15                      251    -0.310588 1.593972e-06 9.823272e-07   0.9624   0.3412      329
features.16                       96    -0.309971 3.110732e-07 1.527190e-08   0.6879   0.0679      329
features.15                      772    -0.309412 3.630282e-07 5.360091e-07   0.8118   0.1929      329
features.17                      315    -0.306881 3.930122e-07 7.205307e-09   0.7170   0.1032      489
features.9                        38    -0.306701 1.373768e-07 2.546190e-07   0.6340   0.0206      137
features.16                      943    -0.305636 4.900083e-07 5.647433e-08   0.8107   0.1994      329
features.10                      210    -0.300000 4.216081e-07 9.307678e-07   0.9077   0.3077      137
features.10                      326    -0.300000 1.742457e-07 4.757533e-07   0.6872   0.0872      137
features.13                      545    -0.299689 1.313333e-07 5.006765e-07   0.8106   0.2112      201
features.11                       64    -0.297561 1.358932e-06 5.438031e-06   0.8732   0.2780      169
features.12                       68    -0.297153 1.810143e-07 9.146398e-07   0.8577   0.2633      201
features.8                       120    -0.296875 1.462760e-07 1.312686e-06   0.6979   0.1042      137
