================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 18
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:22:27
  remove_target  : 28880
  accum_removed  : 29043
  selected_channels : 123
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1539161
  model_sparsity : 29.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          2       63    65.6%
  features.3                144          1       43    29.9%
  features.4                144          0       33    22.9%
  features.5                192          3       86    44.8%
  features.6                192          1       76    39.6%
  features.7                192          4       74    38.5%
  features.8                384         10      205    53.4%
  features.9                384          8      203    52.9%
  features.10               384         13      210    54.7%
  features.11               384          5      190    49.5%
  features.12               576          6      304    52.8%
  features.13               576          9      274    47.6%
  features.14               576         15      257    44.6%
  features.15               960         19      574    59.8%
  features.16               960         21      312    32.5%
  features.17               960          6       68     7.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 35          1       2.9%
  features.3                102          1       1.0%
  features.4                111          1       0.9%
  features.5                109          1       0.9%
  features.6                117          1       0.9%
  features.7                122          1       0.8%
  features.8                189          1       0.5%
  features.9                189          1       0.5%
  features.10               187          1       0.5%
  features.11               199          1       0.5%
  features.12               278          2       0.7%
  features.13               311          2       0.6%
  features.14               334          2       0.6%
  features.15               405          3       0.7%
  features.16               669          4       0.6%
  features.17               898          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 13채널 제거
  features.11: 5채널 제거
  features.12: 6채널 제거
  features.13: 9채널 제거
  features.14: 15채널 제거
  features.15: 19채널 제거
  features.16: 21채널 제거
  features.17: 6채널 제거
  features.2: 2채널 제거
  features.3: 1채널 제거
  features.5: 3채널 제거
  features.6: 1채널 제거
  features.7: 4채널 제거
  features.8: 10채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.7                       188    -0.363636 3.690193e-06 2.371356e-06   0.8347   0.1074      105
features.10                      181    -0.346774 2.050901e-07 3.520165e-07   0.7527   0.0591      137
features.11                       43    -0.343434 1.217406e-06 3.556360e-06   0.8485   0.1616      169
features.8                       182    -0.340426 2.111557e-07 1.736159e-06   0.8564   0.1755      137
features.14                      163    -0.331832 3.398616e-06 6.091165e-07   0.8889   0.2252      265
features.14                      277    -0.328829 2.127902e-06 3.005877e-07   0.7538   0.0961      265
features.14                      380    -0.327327 3.531880e-06 6.368483e-07   0.9009   0.2462      265
features.13                      467    -0.325806 1.206943e-07 3.554438e-07   0.8000   0.1484      201
features.10                      126    -0.317204 5.054796e-07 8.768658e-07   0.9301   0.2957      137
features.10                      351    -0.314516 2.123397e-07 5.194541e-07   0.7634   0.1344      137
features.14                      211    -0.312312 5.208427e-06 8.113039e-07   0.9700   0.3453      265
features.7                       100    -0.309917 2.170959e-05 5.983510e-06   0.9669   0.3471      105
features.16                      954    -0.308383 6.286276e-07 8.079746e-08   0.8533   0.2365      329
features.16                      408    -0.307635 6.451104e-07 8.677421e-08   0.8593   0.2440      329
features.15                      310    -0.305693 1.863887e-07 1.532803e-07   0.6510   0.0396      329
features.10                       90    -0.303763 2.361110e-07 5.987912e-07   0.7688   0.1613      137
features.12                      116    -0.303249 1.151842e-07 5.168995e-07   0.7509   0.1444      201
features.15                      924    -0.303218 2.077320e-07 3.042679e-07   0.6856   0.0792      329
features.14                      473    -0.301802 2.647382e-06 6.106329e-07   0.8318   0.2282      265
features.10                      130    -0.298387 5.089938e-07 9.205997e-07   0.9355   0.3387      137
features.9                        53    -0.297872 1.923214e-07 9.328188e-07   0.7660   0.1702      137
features.15                      669    -0.297030 4.869183e-07 8.604372e-07   0.8589   0.2649      329
features.8                       216    -0.295213 4.116811e-07 4.036501e-06   0.9574   0.3670      137
features.10                      363    -0.293011 1.942897e-07 5.492209e-07   0.7312   0.1452      137
features.10                      279    -0.293011 1.762109e-07 5.003269e-07   0.7043   0.1183      137
features.15                      701    -0.292079 4.133409e-07 7.745939e-07   0.8267   0.2426      329
features.15                      762    -0.290842 3.123199e-07 5.971198e-07   0.7698   0.1881      329
