================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 19
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:26:40
  remove_target  : 28153
  accum_removed  : 28375
  selected_channels : 95
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1510786
  model_sparsity : 31.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          0       63    65.6%
  features.3                144          2       45    31.2%
  features.4                144          0       33    22.9%
  features.5                192          0       86    44.8%
  features.6                192          0       76    39.6%
  features.7                192          1       75    39.1%
  features.8                384          2      207    53.9%
  features.9                384          7      210    54.7%
  features.10               384          3      213    55.5%
  features.11               384          2      192    50.0%
  features.12               576          4      308    53.5%
  features.13               576          6      280    48.6%
  features.14               576          7      264    45.8%
  features.15               960         17      591    61.6%
  features.16               960         30      342    35.6%
  features.17               960         14       82     8.5%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 33          1       3.0%
  features.3                101          1       1.0%
  features.4                111          1       0.9%
  features.5                106          1       0.9%
  features.6                116          1       0.9%
  features.7                118          1       0.8%
  features.8                179          1       0.6%
  features.9                181          1       0.6%
  features.10               174          1       0.6%
  features.11               194          1       0.5%
  features.12               272          2       0.7%
  features.13               302          2       0.7%
  features.14               319          2       0.6%
  features.15               386          2       0.5%
  features.16               648          4       0.6%
  features.17               892          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 2채널 제거
  features.12: 4채널 제거
  features.13: 6채널 제거
  features.14: 7채널 제거
  features.15: 17채널 제거
  features.16: 30채널 제거
  features.17: 14채널 제거
  features.3: 2채널 제거
  features.7: 1채널 제거
  features.8: 2채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      320    -0.367079 8.103334e-07 1.032475e-07   0.9181   0.1839      329
features.15                      427    -0.351948 3.963794e-07 5.522492e-07   0.8364   0.1325      329
features.15                      382    -0.338961 6.012398e-07 9.605733e-07   0.9065   0.2286      329
features.16                      569    -0.332303 5.907009e-07 1.215504e-07   0.8717   0.2071      329
features.16                      531    -0.331530 3.100093e-07 3.594698e-08   0.7249   0.0618      329
features.14                        3    -0.327044 2.660449e-06 6.770666e-07   0.8711   0.2170      265
features.16                      487    -0.326893 3.184544e-07 4.490953e-08   0.7311   0.0773      329
features.16                      587    -0.323802 6.582013e-07 1.430461e-07   0.8934   0.2457      329
features.17                      611    -0.322110 3.753489e-07 6.647746e-09   0.7217   0.0774      489
features.17                      613    -0.321549 4.738940e-07 1.067042e-08   0.7924   0.1493      489
features.16                      301    -0.313756 1.215410e-06 1.885763e-07   0.9521   0.3246      329
features.15                      786    -0.311688 7.712251e-07 1.215336e-06   0.9221   0.2987      329
features.16                      771    -0.310665 8.492123e-07 1.732263e-07   0.9227   0.3014      329
features.16                      557    -0.306801 6.559050e-07 1.611778e-07   0.8918   0.2782      329
features.16                      414    -0.306028 3.221248e-07 6.771054e-08   0.7372   0.1252      329
features.16                      770    -0.306028 4.475782e-07 1.089034e-07   0.8068   0.1947      329
features.14                      241    -0.301887 2.080628e-06 5.879980e-07   0.7862   0.1824      265
features.14                      513    -0.301887 1.700227e-06 4.112901e-07   0.7390   0.1352      265
features.16                      876    -0.301391 4.285027e-07 1.066514e-07   0.7913   0.1886      329
features.15                      252    -0.301299 5.610285e-06 1.704233e-06   1.0000   0.3974      329
features.16                      460    -0.299845 1.334704e-06 2.189285e-07   0.9645   0.3648      329
features.10                      356    -0.297688 2.077091e-07 7.966566e-07   0.8035   0.2081      137
features.15                      248    -0.296104 2.751873e-07 6.598700e-07   0.7610   0.1688      329
features.16                      775    -0.295981 5.691691e-07 1.579585e-07   0.8624   0.2705      329
features.14                      342    -0.295597 2.375442e-06 7.156791e-07   0.8333   0.2421      265
features.16                      869    -0.292890 3.458936e-07 9.466138e-08   0.7527   0.1669      329
features.16                      942    -0.292890 4.214359e-07 1.199942e-07   0.7883   0.2025      329
features.11                      138    -0.292746 1.092807e-06 5.343236e-06   0.8342   0.2487      169
features.9                        30    -0.291667 3.716531e-07 1.593211e-06   0.8667   0.2833      137
features.16                      459    -0.290572 2.660994e-07 5.726468e-08   0.6816   0.1005      329
features.13                      236    -0.289037 6.663790e-08 1.961895e-07   0.6711   0.0930      201
features.15                      302    -0.288312 3.067316e-06 1.793469e-06   0.9896   0.4130      329
features.12                       30    -0.285978 5.434194e-07 1.682676e-06   0.9742   0.4022      201
features.12                      263    -0.284133 1.305692e-07 9.118409e-07   0.8155   0.2472      201
features.17                      162    -0.281706 2.834270e-07 5.740962e-09   0.6207   0.0572      489
features.17                      694    -0.281145 4.474044e-07 1.501721e-08   0.7733   0.2110      489
features.12                      551    -0.280443 6.683707e-08 3.996500e-07   0.6568   0.0959      201
features.10                       50    -0.280347 1.594531e-07 7.049559e-07   0.7399   0.1792      137
features.17                      516    -0.278900 3.505494e-07 9.954970e-09   0.6936   0.1358      489
features.14                      419    -0.278302 1.185722e-06 1.640965e-07   0.5912   0.0346      265
features.13                      197    -0.277409 5.691930e-08 1.468449e-07   0.6279   0.0731      201
features.16                       72    -0.276662 2.905850e-07 8.921204e-08   0.7079   0.1546      329
features.16                      641    -0.275889 4.440440e-07 1.440371e-07   0.8006   0.2488      329
features.17                      800    -0.275533 3.512146e-07 1.043224e-08   0.6958   0.1448      489
features.15                      259    -0.275325 1.421732e-07 1.211453e-07   0.5610   0.0104      329
features.15                      393    -0.275325 1.553622e-07 3.345944e-07   0.6078   0.0571      329
features.9                       129    -0.275000 1.912290e-07 1.291483e-06   0.7667   0.2167      137
features.3                        60    -0.275000 8.851742e-08 1.789470e-05   0.7000   0.1500       57
features.9                       142    -0.275000 4.469859e-07 2.285143e-06   0.9167   0.3667      137
features.10                      222    -0.274566 1.087680e-07 3.445348e-07   0.6069   0.0578      137
features.15                      934    -0.274026 1.874438e-07 5.717013e-07   0.6831   0.1351      329
features.16                      846    -0.273570 2.126246e-07 4.008021e-08   0.6151   0.0680      329
features.17                      521    -0.272166 4.602880e-07 1.683059e-08   0.7834   0.2391      489
features.17                      177    -0.271605 3.962075e-07 1.374510e-08   0.7396   0.1964      489
features.16                       60    -0.270479 3.300981e-07 1.175430e-07   0.7419   0.2009      329
features.16                      262    -0.270479 3.027377e-07 1.001676e-07   0.7172   0.1762      329
features.15                      395    -0.270130 1.540226e-07 3.664337e-07   0.6052   0.0649      329
features.9                       225    -0.269444 1.354042e-06 3.002896e-06   1.0000   0.4611      137
features.12                      243    -0.269373 5.673588e-08 2.753947e-07   0.6125   0.0738      201
features.14                      329    -0.268868 4.821136e-06 1.124856e-06   0.9560   0.4182      265
features.17                      947    -0.268799 4.218874e-07 1.551128e-08   0.7553   0.2177      489
features.13                      304    -0.267442 1.013573e-07 5.966838e-07   0.7741   0.2392      201
features.16                      143    -0.266615 8.893709e-07 2.447989e-07   0.9335   0.4003      329
features.17                      352    -0.265993 5.480258e-07 2.171467e-08   0.8294   0.2974      489
features.14                      170    -0.265723 2.874945e-06 9.659042e-07   0.8899   0.3585      265
features.16                      505    -0.265070 1.852530e-06 2.968224e-07   0.9892   0.4590      329
features.3                        23    -0.265000 3.417880e-07 5.414870e-05   0.9400   0.4100       57
features.17                      806    -0.264871 6.558250e-07 2.463046e-08   0.8653   0.3356      489
features.15                      708    -0.263636 3.862960e-07 1.216463e-06   0.8286   0.3013      329
features.15                      216    -0.262338 2.781547e-07 9.934543e-07   0.7662   0.2416      329
features.11                       19    -0.261658 4.536135e-07 1.950920e-06   0.5855   0.0622      169
features.9                       220    -0.261111 1.571965e-07 1.247959e-06   0.7222   0.2000      137
features.17                      922    -0.260382 3.207898e-07 1.018418e-08   0.6611   0.1403      489
features.13                      516    -0.259136 1.120069e-07 8.484285e-07   0.7973   0.2791      201
features.15                      872    -0.258442 1.534798e-07 4.156130e-07   0.6026   0.0857      329
features.8                        96    -0.258427 1.979476e-07 3.158626e-06   0.7865   0.2697      137
features.9                       319    -0.258333 1.442995e-07 9.196562e-07   0.6722   0.1556      137
features.9                       228    -0.258333 5.541112e-07 2.632661e-06   0.9389   0.4222      137
features.17                      135    -0.258137 2.373143e-07 4.449760e-09   0.5432   0.0269      489
features.16                      324    -0.258114 7.600249e-07 2.411097e-07   0.9088   0.3926      329
features.13                      333    -0.257475 1.127335e-07 8.538790e-07   0.8007   0.2857      201
features.16                      257    -0.257342 1.813372e-07 3.462682e-08   0.5750   0.0603      329
features.15                      635    -0.257143 2.910512e-07 1.144241e-06   0.7922   0.2779      329
features.15                      881    -0.257143 1.580851e-07 4.323911e-07   0.6130   0.0987      329
features.16                      540    -0.256569 8.110732e-07 2.462354e-07   0.9196   0.4065      329
features.16                      520    -0.256569 3.194911e-07 1.260517e-07   0.7326   0.2195      329
features.7                       153    -0.256410 1.995995e-06 3.696053e-06   0.6581   0.1453      105
features.15                      827    -0.255844 1.669326e-07 5.371620e-07   0.6390   0.1273      329
features.16                      740    -0.255796 5.421705e-07 1.965022e-07   0.8454   0.3338      329
features.8                        29    -0.255618 1.045326e-07 1.200216e-06   0.5899   0.0787      137
features.17                       38    -0.255331 5.345914e-07 2.293777e-08   0.8249   0.3143      489
features.15                      795    -0.254545 4.670289e-07 1.450301e-06   0.8649   0.3558      329
features.13                      417    -0.254153 2.341124e-07 1.329114e-06   0.9468   0.4385      201
features.16                      595    -0.253478 3.090232e-07 1.254479e-07   0.7233   0.2164      329
features.16                      709    -0.252705 1.328838e-06 2.916655e-07   0.9598   0.4544      329
