================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 20
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:30:48
  remove_target  : 27444
  accum_removed  : 27565
  selected_channels : 101
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1483221
  model_sparsity : 32.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          0       63    65.6%
  features.3                144          2       47    32.6%
  features.4                144          0       33    22.9%
  features.5                192          3       89    46.4%
  features.6                192          1       77    40.1%
  features.7                192          4       79    41.1%
  features.8                384          4      211    54.9%
  features.9                384          4      214    55.7%
  features.10               384          6      219    57.0%
  features.11               384          3      195    50.8%
  features.12               576          3      311    54.0%
  features.13               576          8      288    50.0%
  features.14               576         11      275    47.7%
  features.15               960         13      604    62.9%
  features.16               960         26      368    38.3%
  features.17               960         13       95     9.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 33          1       3.0%
  features.3                 99          1       1.0%
  features.4                111          1       0.9%
  features.5                106          1       0.9%
  features.6                116          1       0.9%
  features.7                117          1       0.9%
  features.8                177          1       0.6%
  features.9                174          1       0.6%
  features.10               171          1       0.6%
  features.11               192          1       0.5%
  features.12               268          2       0.7%
  features.13               296          2       0.7%
  features.14               312          2       0.6%
  features.15               369          2       0.5%
  features.16               618          4       0.6%
  features.17               878          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 3채널 제거
  features.12: 3채널 제거
  features.13: 8채널 제거
  features.14: 11채널 제거
  features.15: 13채널 제거
  features.16: 26채널 제거
  features.17: 13채널 제거
  features.3: 2채널 제거
  features.5: 3채널 제거
  features.6: 1채널 제거
  features.7: 4채널 제거
  features.8: 4채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      398    -0.346442 8.142229e-08 1.537838e-07   0.7416   0.0487      201
features.10                      159    -0.314706 3.734046e-07 9.274368e-07   0.9294   0.3000      137
features.7                        98    -0.301724 2.562721e-06 3.218241e-06   0.7241   0.1207      105
features.17                       18    -0.298746 3.477895e-07 6.490649e-09   0.6910   0.0935      489
features.16                      360    -0.298217 4.943297e-07 1.417036e-07   0.8476   0.2512      329
features.12                       23    -0.297753 1.016185e-07 7.036376e-07   0.7940   0.1985      201
features.10                       68    -0.297059 3.084072e-07 9.102233e-07   0.8765   0.2824      137
features.10                      257    -0.294118 1.416902e-07 5.358213e-07   0.7176   0.1294      137
features.16                      591    -0.291734 2.080827e-07 2.793642e-08   0.6321   0.0486      329
features.17                      852    -0.288483 3.322823e-07 6.532118e-09   0.6739   0.0969      489
features.17                      581    -0.286203 3.511242e-07 7.508733e-09   0.6933   0.1209      489
features.14                       81    -0.284566 4.193683e-06 9.126037e-07   0.9486   0.3794      265
features.9                       351    -0.283237 8.757353e-08 3.863795e-07   0.6012   0.0347      137
features.6                       177    -0.282609 8.533047e-08 4.160318e-06   0.7826   0.2174       73
features.17                       16    -0.280502 3.661457e-07 9.010709e-09   0.7104   0.1494      489
features.11                      358    -0.280105 1.556276e-06 7.767183e-06   0.9162   0.3560      169
features.15                      638    -0.279891 2.034457e-07 6.547725e-07   0.7228   0.1630      329
features.16                      884    -0.279579 4.830137e-07 1.581486e-07   0.8412   0.2820      329
features.10                      298    -0.279412 1.332675e-07 5.660652e-07   0.6941   0.1353      137
features.17                      840    -0.278221 2.775198e-07 5.512615e-09   0.6237   0.0673      489
features.15                      217    -0.277174 4.584894e-07 1.233938e-06   0.8832   0.3288      329
features.16                      442    -0.277147 1.711440e-07 1.686182e-08   0.5786   0.0243      329
features.5                        23    -0.276191 6.213966e-07 2.006908e-05   0.9810   0.4286       73
features.8                       126    -0.275568 5.099251e-07 6.128610e-06   0.9716   0.4205      137
features.8                       334    -0.275568 1.148739e-07 1.152506e-06   0.6307   0.0795      137
features.16                      173    -0.275527 1.209513e-06 2.504142e-07   0.9627   0.4117      329
features.15                       31    -0.271739 1.809188e-07 6.023644e-07   0.6875   0.1440      329
