================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:43:12
  remove_target  : 25423
  accum_removed  : 25676
  selected_channels : 92
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1404262
  model_sparsity : 35.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          0       66    68.8%
  features.3                144          1       48    33.3%
  features.4                144          0       36    25.0%
  features.5                192          3       98    51.0%
  features.6                192          1       82    42.7%
  features.7                192          2       88    45.8%
  features.8                384          2      221    57.6%
  features.9                384          4      229    59.6%
  features.10               384          3      232    60.4%
  features.11               384          5      217    56.5%
  features.12               576          7      332    57.6%
  features.13               576          6      298    51.7%
  features.14               576          9      307    53.3%
  features.15               960         15      649    67.6%
  features.16               960         22      426    44.4%
  features.17               960         12      134    14.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 30          1       3.3%
  features.3                 97          1       1.0%
  features.4                108          1       0.9%
  features.5                 97          1       1.0%
  features.6                111          1       0.9%
  features.7                106          1       0.9%
  features.8                165          1       0.6%
  features.9                159          1       0.6%
  features.10               155          1       0.6%
  features.11               172          1       0.6%
  features.12               251          2       0.8%
  features.13               284          2       0.7%
  features.14               278          2       0.7%
  features.15               326          2       0.6%
  features.16               556          3       0.5%
  features.17               838          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 5채널 제거
  features.12: 7채널 제거
  features.13: 6채널 제거
  features.14: 9채널 제거
  features.15: 15채널 제거
  features.16: 22채널 제거
  features.17: 12채널 제거
  features.3: 1채널 제거
  features.5: 3채널 제거
  features.6: 1채널 제거
  features.7: 2채널 제거
  features.8: 2채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      357    -0.352252 3.931182e-07 5.130508e-08   0.7748   0.0703      329
features.9                       226    -0.348101 1.504694e-07 3.797325e-07   0.7278   0.0316      137
features.16                      687    -0.324324 1.807063e-06 2.673653e-07   0.9820   0.3333      329
features.11                       20    -0.318713 6.789131e-07 2.904612e-06   0.7368   0.0994      169
features.10                      236    -0.318182 1.553057e-07 5.069490e-07   0.7338   0.0974      137
features.16                      796    -0.304505 4.390616e-07 1.243253e-07   0.7910   0.1820      329
features.17                       17    -0.302270 4.569837e-07 1.324359e-08   0.7611   0.1565      489
features.13                      554    -0.300353 1.689810e-07 8.733845e-07   0.8940   0.2933      201
features.16                      133    -0.299099 3.802784e-07 1.128606e-07   0.7622   0.1640      329
features.15                      343    -0.298462 3.098902e-07 1.318597e-06   0.8185   0.2215      329
features.15                      380    -0.293846 8.425675e-07 1.997676e-06   0.9354   0.3477      329
features.15                      530    -0.292308 2.506627e-07 9.202809e-07   0.7569   0.1723      329
features.15                      791    -0.290769 2.034698e-07 6.688232e-07   0.7108   0.1292      329
features.16                      499    -0.290090 2.668321e-06 3.463444e-07   0.9964   0.4162      329
features.16                      222    -0.288288 1.023596e-06 2.867694e-07   0.9315   0.3550      329
features.11                      300    -0.286550 1.645216e-06 9.629870e-06   0.8947   0.3216      169
features.16                      156    -0.285586 8.570238e-07 2.756040e-07   0.9117   0.3405      329
features.16                      896    -0.281982 3.884223e-07 1.519140e-07   0.7712   0.2072      329
features.16                      118    -0.280180 5.487631e-07 2.218968e-07   0.8414   0.2811      329
features.15                      418    -0.280000 2.282889e-07 9.633393e-07   0.7354   0.1754      329
features.15                      177    -0.278462 4.693485e-07 1.850811e-06   0.8800   0.3231      329
features.15                      326    -0.273846 4.018931e-07 1.836140e-06   0.8646   0.3169      329
features.17                      674    -0.272999 3.125173e-07 9.143729e-09   0.6404   0.0944      489
features.16                      211    -0.272973 2.390308e-07 4.998553e-08   0.6126   0.0667      329
features.12                      357    -0.272000 1.149583e-07 1.138033e-06   0.8080   0.2640      201
features.7                        75    -0.271429 7.511708e-06 9.837715e-06   0.8952   0.3524      105
features.3                        12    -0.270833 2.623065e-07 3.655239e-05   0.9062   0.3646       57
