================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 24
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 17:47:18
  remove_target  : 24781
  accum_removed  : 25071
  selected_channels : 87
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1379191
  model_sparsity : 37.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          0       66    68.8%
  features.3                144          2       50    34.7%
  features.4                144          0       36    25.0%
  features.5                192          1       99    51.6%
  features.6                192          0       82    42.7%
  features.7                192          4       92    47.9%
  features.8                384          1      222    57.8%
  features.9                384          1      230    59.9%
  features.10               384          3      235    61.2%
  features.11               384          3      220    57.3%
  features.12               576          7      339    58.9%
  features.13               576          2      300    52.1%
  features.14               576         11      318    55.2%
  features.15               960         12      661    68.9%
  features.16               960         31      457    47.6%
  features.17               960          9      143    14.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 30          1       3.3%
  features.3                 96          1       1.0%
  features.4                108          1       0.9%
  features.5                 94          1       1.1%
  features.6                110          1       0.9%
  features.7                104          1       1.0%
  features.8                163          1       0.6%
  features.9                155          1       0.6%
  features.10               152          1       0.7%
  features.11               167          1       0.6%
  features.12               244          2       0.8%
  features.13               278          2       0.7%
  features.14               269          2       0.7%
  features.15               311          2       0.6%
  features.16               534          3       0.6%
  features.17               826          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 3채널 제거
  features.12: 7채널 제거
  features.13: 2채널 제거
  features.14: 11채널 제거
  features.15: 12채널 제거
  features.16: 31채널 제거
  features.17: 9채널 제거
  features.3: 2채널 제거
  features.5: 1채널 제거
  features.7: 4채널 제거
  features.8: 1채널 제거
  features.9: 1채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      918    -0.332258 1.169432e-06 1.438773e-06   0.9548   0.2903      329
features.12                      282    -0.316872 3.528623e-07 1.325958e-06   0.9630   0.3292      201
features.11                      247    -0.313253 2.350547e-06 8.062998e-06   0.9458   0.3193      169
features.15                      927    -0.311290 2.496031e-06 1.742618e-06   0.9871   0.3645      329
features.12                       32    -0.310700 8.434520e-08 5.326406e-07   0.7407   0.1193      201
features.16                      359    -0.300188 2.679962e-07 5.417782e-08   0.6886   0.0882      329
features.15                      885    -0.296774 1.628108e-07 1.571057e-07   0.6226   0.0290      329
features.16                      239    -0.295497 2.508250e-07 4.316761e-08   0.6642   0.0732      329
features.16                      561    -0.295497 2.227435e-07 2.557585e-08   0.6285   0.0375      329
features.14                      571    -0.292910 2.185381e-06 5.368922e-07   0.7425   0.1567      265
features.16                      364    -0.292683 5.921682e-07 1.870790e-07   0.8612   0.2758      329
features.7                        74    -0.291262 3.792593e-06 5.562706e-06   0.7864   0.2039      105
features.16                      556    -0.289869 6.919346e-07 2.084139e-07   0.8837   0.3039      329
features.16                      390    -0.288931 2.505581e-07 5.248825e-08   0.6623   0.0844      329
features.16                       63    -0.287993 7.244788e-07 2.196912e-07   0.8912   0.3152      329
features.16                      423    -0.287054 4.172149e-07 1.530690e-07   0.8011   0.2270      329
features.15                      398    -0.285484 2.171104e-07 6.475793e-07   0.7065   0.1355      329
features.16                      581    -0.285178 2.539844e-07 6.002507e-08   0.6679   0.0976      329
features.14                      461    -0.279851 3.199936e-06 9.833200e-07   0.8694   0.3097      265
features.15                      215    -0.279032 3.518824e-07 1.291399e-06   0.8194   0.2613      329
features.14                      398    -0.277985 2.846727e-06 9.057793e-07   0.8246   0.2687      265
features.7                        24    -0.276699 1.911661e-06 1.608097e-06   0.5728   0.0194      105
features.14                      150    -0.276119 2.188092e-06 6.385044e-07   0.7463   0.1940      265
features.16                      415    -0.269231 2.574889e-07 8.052037e-08   0.6754   0.1370      329
features.15                      149    -0.267742 1.893828e-07 7.701606e-07   0.6839   0.1484      329
features.12                      555    -0.267490 7.147165e-08 6.387871e-07   0.6996   0.1646      201
features.16                      684    -0.267355 2.104730e-06 3.427717e-07   0.9925   0.4578      329
features.7                       151    -0.266990 3.473809e-06 5.556603e-06   0.7282   0.1942      105
features.17                      865    -0.266667 5.020905e-07 1.748472e-08   0.8024   0.2691      489
features.16                      534    -0.265478 2.549542e-07 8.122016e-08   0.6698   0.1388      329
features.16                      609    -0.263602 5.694853e-07 2.251192e-07   0.8518   0.3246      329
features.16                      873    -0.263602 7.901997e-07 2.710009e-07   0.9043   0.3771      329
features.12                      230    -0.263374 1.225741e-07 1.272474e-06   0.8395   0.3128      201
features.16                      529    -0.261726 1.986165e-06 3.549804e-07   0.9887   0.4653      329
features.14                       50    -0.261194 1.617415e-06 3.336061e-07   0.6269   0.1045      265
features.13                      568    -0.259928 5.107267e-08 1.129606e-07   0.5957   0.0758      201
features.14                      283    -0.259328 1.320078e-06 1.970879e-07   0.5597   0.0410      265
features.12                      164    -0.257202 1.007725e-07 1.142668e-06   0.7942   0.2798      201
features.16                      883    -0.257036 2.728460e-07 1.143762e-07   0.6961   0.1820      329
features.16                       99    -0.255159 2.888261e-07 1.283870e-07   0.7205   0.2101      329
features.17                      114    -0.253939 3.397792e-07 1.185231e-08   0.6848   0.1770      489
features.11                       27    -0.253012 1.245121e-06 9.066322e-06   0.8554   0.3494      169
features.14                       39    -0.251866 6.740825e-06 1.451296e-06   0.9813   0.4776      265
features.14                      305    -0.250000 1.599495e-06 3.872905e-07   0.6194   0.1194      265
features.15                      452    -0.250000 3.112075e-07 1.350110e-06   0.7806   0.2806      329
features.16                       31    -0.248593 3.552732e-07 1.827636e-07   0.7674   0.2702      329
features.16                      214    -0.248593 7.519653e-07 2.873656e-07   0.8949   0.3977      329
features.16                      177    -0.248593 3.327955e-07 1.720994e-07   0.7561   0.2589      329
features.15                      503    -0.248387 1.321775e-07 2.708148e-07   0.5387   0.0419      329
features.16                      678    -0.247655 2.072293e-06 3.776047e-07   0.9906   0.4953      329
features.3                       126    -0.247368 8.591273e-07 5.292165e-05   0.9895   0.4947       57
features.5                       140    -0.247312 1.346333e-07 1.495257e-05   0.7957   0.3011       73
features.11                       46    -0.246988 4.782486e-07 3.477602e-06   0.6265   0.1325      169
features.15                      857    -0.246774 1.766374e-07 8.174802e-07   0.6548   0.1613      329
features.9                       154    -0.246753 3.102207e-07 2.176240e-06   0.8636   0.3701      137
features.16                      203    -0.246717 1.999061e-07 5.474112e-08   0.5872   0.0938      329
features.14                      502    -0.246269 1.524818e-06 3.453908e-07   0.6007   0.1082      265
features.15                      804    -0.245161 2.197002e-07 1.157567e-06   0.7129   0.2226      329
features.10                       75    -0.245033 1.357198e-07 6.261203e-07   0.6424   0.1523      137
features.16                      568    -0.244841 1.034535e-06 3.326045e-07   0.9362   0.4465      329
features.16                      369    -0.244841 4.078821e-07 2.109351e-07   0.7955   0.3058      329
features.14                      110    -0.244403 1.746451e-06 5.769796e-07   0.6679   0.1791      265
features.13                      394    -0.243682 8.388845e-08 6.711256e-07   0.7690   0.2816      201
features.17                      249    -0.243636 9.925323e-07 3.739657e-08   0.9406   0.4533      489
features.3                       111    -0.242105 1.111927e-07 2.433899e-05   0.7579   0.2737       57
features.10                      202    -0.241722 2.470005e-07 1.083048e-06   0.7881   0.3046      137
features.16                      352    -0.241088 1.692078e-07 3.257924e-08   0.5347   0.0525      329
features.8                       332    -0.240741 9.347572e-08 1.231615e-06   0.5494   0.0679      137
features.14                      475    -0.240672 3.459191e-06 1.265041e-06   0.8955   0.4142      265
features.16                      547    -0.240150 2.038508e-07 7.290231e-08   0.6004   0.1201      329
features.17                      369    -0.239394 3.333270e-07 1.289963e-08   0.6739   0.1952      489
features.16                      586    -0.239212 1.929584e-07 5.669976e-08   0.5741   0.0957      329
features.17                      378    -0.238788 3.258304e-07 1.241642e-08   0.6655   0.1879      489
features.15                      601    -0.238710 2.504867e-07 1.302139e-06   0.7452   0.2677      329
features.12                      446    -0.238683 3.715517e-07 2.008308e-06   0.9794   0.5021      201
features.10                      350    -0.238411 1.736730e-07 8.901337e-07   0.6887   0.2119      137
features.17                      763    -0.238182 2.425086e-07 5.845821e-09   0.5479   0.0715      489
features.17                      638    -0.238182 2.992221e-07 1.059433e-08   0.6339   0.1576      489
features.7                       186    -0.237864 3.486681e-06 7.035691e-06   0.7379   0.2621      105
