================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 31
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 18:16:22
  remove_target  : 20736
  accum_removed  : 21059
  selected_channels : 75
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1221392
  model_sparsity : 44.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        3     9.4%
  features.2                 96          1       69    71.9%
  features.3                144          2       57    39.6%
  features.4                144          1       42    29.2%
  features.5                192          3      117    60.9%
  features.6                192          0       96    50.0%
  features.7                192          2      110    57.3%
  features.8                384          3      247    64.3%
  features.9                384          4      259    67.4%
  features.10               384          4      257    66.9%
  features.11               384          4      249    64.8%
  features.12               576          2      370    64.2%
  features.13               576          4      326    56.6%
  features.14               576          8      384    66.7%
  features.15               960          6      716    74.6%
  features.16               960         14      559    58.2%
  features.17               960         17      259    27.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 28          1       3.6%
  features.3                 89          1       1.1%
  features.4                103          1       1.0%
  features.5                 78          1       1.3%
  features.6                 96          1       1.0%
  features.7                 84          1       1.2%
  features.8                140          1       0.7%
  features.9                129          1       0.8%
  features.10               131          1       0.8%
  features.11               139          1       0.7%
  features.12               208          2       1.0%
  features.13               254          2       0.8%
  features.14               200          1       0.5%
  features.15               250          2       0.8%
  features.16               415          3       0.7%
  features.17               718          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 4채널 제거
  features.12: 2채널 제거
  features.13: 4채널 제거
  features.14: 8채널 제거
  features.15: 6채널 제거
  features.16: 14채널 제거
  features.17: 17채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 3채널 제거
  features.7: 2채널 제거
  features.8: 3채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      283    -0.371486 4.116108e-07 4.198296e-07   0.8072   0.0643      329
features.16                      754    -0.311594 8.439580e-07 3.045424e-07   0.9227   0.2995      329
features.17                      343    -0.306137 3.280918e-07 1.826621e-08   0.7350   0.1227      489
features.16                      532    -0.304348 7.088790e-07 2.850197e-07   0.8961   0.2874      329
features.14                      412    -0.301508 1.885659e-06 1.540167e-07   0.6181   0.0151      265
features.8                        32    -0.298561 4.391474e-07 4.602777e-06   0.9353   0.3381      137
features.16                      690    -0.291063 2.453826e-07 4.435195e-08   0.6256   0.0435      329
features.17                      345    -0.286611 2.275817e-07 5.805792e-09   0.5788   0.0056      489
features.12                      305    -0.285024 7.769508e-08 3.930953e-07   0.6618   0.0918      201
features.13                      404    -0.282609 8.490379e-08 3.482149e-07   0.7312   0.1660      201
features.17                       88    -0.276848 5.689033e-07 4.202461e-08   0.8675   0.3138      489
features.16                      694    -0.275362 8.445895e-07 3.970980e-07   0.9251   0.3744      329
features.16                      828    -0.275362 5.902727e-07 3.139301e-07   0.8623   0.3116      329
features.17                      807    -0.274756 4.151678e-07 3.336900e-08   0.7992   0.2497      489
features.17                      407    -0.274059 5.487865e-07 4.203653e-08   0.8633   0.3152      489
features.14                      276    -0.273869 2.780281e-06 1.166219e-06   0.7839   0.2362      265
features.15                       30    -0.273092 2.580164e-07 1.034731e-06   0.7028   0.1566      329
features.10                       84    -0.273077 2.838310e-07 1.156117e-06   0.8462   0.3000      137
features.7                        11    -0.271084 3.503846e-06 7.564860e-06   0.7590   0.2169      105
features.16                      804    -0.270531 4.806178e-07 2.494238e-07   0.8140   0.2729      329
features.13                      538    -0.268775 5.905549e-08 1.138091e-07   0.6285   0.0909      201
features.11                      268    -0.268116 1.947622e-06 1.519394e-05   0.9565   0.4203      169
features.15                      400    -0.267068 3.093114e-07 1.526973e-06   0.7510   0.2169      329
features.5                        45    -0.266234 1.501915e-07 1.402681e-05   0.7922   0.2597       73
features.16                      933    -0.264493 2.327946e-07 8.023429e-08   0.6135   0.0845      329
features.15                      314    -0.263052 1.636830e-07 1.488830e-07   0.5341   0.0080      329
features.17                      652    -0.261506 4.400736e-07 3.824268e-08   0.8103   0.2873      489
