================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 34
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 18:29:02
  remove_target  : 19200
  accum_removed  : 19235
  selected_channels : 75
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1161788
  model_sparsity : 47.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        4    12.5%
  features.2                 96          1       71    74.0%
  features.3                144          2       65    45.1%
  features.4                144          3       50    34.7%
  features.5                192          3      125    65.1%
  features.6                192          2      103    53.6%
  features.7                192          0      116    60.4%
  features.8                384          3      262    68.2%
  features.9                384          4      273    71.1%
  features.10               384          2      269    70.1%
  features.11               384          1      267    69.5%
  features.12               576          6      389    67.5%
  features.13               576          7      342    59.4%
  features.14               576          7      405    70.3%
  features.15               960         10      734    76.5%
  features.16               960         12      591    61.6%
  features.17               960         11      298    31.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 26          1       3.8%
  features.3                 81          1       1.2%
  features.4                 97          1       1.0%
  features.5                 70          1       1.4%
  features.6                 91          1       1.1%
  features.7                 76          1       1.3%
  features.8                125          1       0.8%
  features.9                115          1       0.9%
  features.10               117          1       0.9%
  features.11               118          1       0.8%
  features.12               193          1       0.5%
  features.13               241          2       0.8%
  features.14               178          1       0.6%
  features.15               236          2       0.8%
  features.16               381          2       0.5%
  features.17               673          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 2채널 제거
  features.11: 1채널 제거
  features.12: 6채널 제거
  features.13: 7채널 제거
  features.14: 7채널 제거
  features.15: 10채널 제거
  features.16: 12채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 3채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.8: 3채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      758    -0.305263 3.681694e-07 1.827934e-07   0.7711   0.1605      329
features.15                       23    -0.297872 2.474125e-07 6.350596e-07   0.6851   0.0894      329
features.17                      180    -0.297619 2.944581e-07 1.409950e-08   0.6741   0.0789      489
features.13                      254    -0.293750 2.577818e-07 9.961393e-07   0.9542   0.3667      201
features.5                       121    -0.289855 1.062966e-07 2.083395e-05   0.7971   0.2174       73
features.3                        56    -0.287500 1.000904e-07 3.011990e-05   0.8125   0.2375       57
features.8                       309    -0.286290 1.050091e-07 1.418199e-06   0.6694   0.0968      137
features.8                       336    -0.282258 1.501607e-07 2.181804e-06   0.7419   0.1774      137
features.14                      148    -0.279661 2.396406e-06 9.285785e-07   0.7458   0.1864      265
features.13                      255    -0.279167 8.618784e-08 4.323733e-07   0.7792   0.2208      201
features.16                      246    -0.278947 3.520983e-07 2.456183e-07   0.7605   0.2026      329
features.14                      485    -0.271186 2.675142e-06 1.265013e-06   0.7797   0.2373      265
features.4                        83    -0.270833 8.154198e-07 3.809114e-06   0.6354   0.0938       65
features.14                      325    -0.268362 2.099996e-06 7.000304e-07   0.6836   0.1469      265
features.15                      565    -0.268085 8.577082e-07 3.104724e-06   0.9319   0.3957      329
features.15                      813    -0.268085 1.808606e-07 3.227366e-07   0.5702   0.0340      329
features.8                        89    -0.266129 2.494927e-07 6.291993e-06   0.8871   0.3548      137
features.12                      491    -0.265625 2.074852e-07 2.203704e-06   0.9115   0.3802      201
features.17                       24    -0.265625 3.274646e-07 2.430551e-08   0.7083   0.1771      489
features.17                      477    -0.263393 7.272227e-07 5.786752e-08   0.9107   0.3839      489
features.14                       47    -0.262712 2.360706e-06 1.189367e-06   0.7345   0.2090      265
features.14                      506    -0.262712 3.405387e-06 1.979865e-06   0.8757   0.3503      265
features.3                        46    -0.262500 1.737647e-07 5.455699e-05   0.8875   0.3625       57
features.13                      175    -0.262500 6.386129e-08 2.739974e-07   0.6792   0.1542      201
features.2                         3    -0.260000 1.310298e-05 8.978618e-04   1.0000   0.4800       49
features.16                      892    -0.259211 7.854177e-07 4.765998e-07   0.9053   0.3868      329
features.9                        91    -0.258772 1.022580e-06 4.451511e-06   1.0000   0.4825      137
features.14                      196    -0.257062 3.562118e-06 2.173385e-06   0.8927   0.3785      265
features.15                      125    -0.255319 2.275331e-07 1.003440e-06   0.6553   0.1447      329
features.17                      813    -0.255208 1.883319e-07 8.729101e-09   0.5342   0.0238      489
features.15                      240    -0.253192 2.521174e-07 1.223518e-06   0.6979   0.1915      329
features.16                      430    -0.252632 2.065796e-06 6.705955e-07   0.9711   0.4658      329
features.16                      905    -0.251316 2.654379e-07 2.334674e-07   0.6974   0.1947      329
features.16                      380    -0.250000 2.813830e-07 2.562485e-07   0.7132   0.2132      329
features.17                      365    -0.249256 4.453380e-07 4.164849e-08   0.7961   0.2976      489
