================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 40
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 18:54:10
  remove_target  : 16475
  accum_removed  : 16545
  selected_channels : 65
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1055486
  model_sparsity : 51.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        4    12.5%
  features.2                 96          0       71    74.0%
  features.3                144          2       76    52.8%
  features.4                144          1       61    42.4%
  features.5                192          3      141    73.4%
  features.6                192          4      120    62.5%
  features.7                192          1      129    67.2%
  features.8                384          6      288    75.0%
  features.9                384          4      288    75.0%
  features.10               384          3      289    75.3%
  features.11               384          2      283    73.7%
  features.12               576          6      410    71.2%
  features.13               576          2      377    65.5%
  features.14               576          4      434    75.3%
  features.15               960         10      773    80.5%
  features.16               960          4      645    67.2%
  features.17               960         13      381    39.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 28          1       3.6%
  features.2                 25          1       4.0%
  features.3                 70          1       1.4%
  features.4                 84          1       1.2%
  features.5                 54          1       1.9%
  features.6                 76          1       1.3%
  features.7                 64          1       1.6%
  features.8                102          1       1.0%
  features.9                100          1       1.0%
  features.10                98          1       1.0%
  features.11               103          1       1.0%
  features.12               172          1       0.6%
  features.13               201          2       1.0%
  features.14               146          1       0.7%
  features.15               197          1       0.5%
  features.16               319          2       0.6%
  features.17               592          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 2채널 제거
  features.12: 6채널 제거
  features.13: 2채널 제거
  features.14: 4채널 제거
  features.15: 10채널 제거
  features.16: 4채널 제거
  features.17: 13채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 3채널 제거
  features.6: 4채널 제거
  features.7: 1채널 제거
  features.8: 6채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                      262    -0.335052 2.251883e-07 9.155530e-07   0.8351   0.1649      137
features.11                       44    -0.303922 1.092239e-06 1.212099e-05   0.8627   0.2549      169
features.15                      578    -0.293367 1.828815e-07 2.559524e-07   0.6122   0.0255      329
features.14                      167    -0.289655 3.164970e-06 2.461800e-06   0.8897   0.3103      265
features.12                      201    -0.283626 7.156836e-08 9.246911e-07   0.7485   0.1813      201
features.5                       100    -0.283019 7.118422e-08 9.407416e-06   0.6415   0.0755       73
features.9                        44    -0.277778 1.476617e-07 1.269804e-06   0.6970   0.1414      137
features.8                       339    -0.277228 4.941197e-07 8.281066e-06   0.9703   0.4158      137
features.11                      317    -0.274510 6.816090e-07 1.157266e-05   0.7647   0.2157      169
features.6                       149    -0.273333 5.294973e-08 1.506013e-06   0.6267   0.0800       73
features.14                      441    -0.272414 1.892127e-06 1.063586e-06   0.7310   0.1862      265
features.17                      799    -0.268190 2.376864e-07 1.464789e-08   0.5770   0.0406      489
features.17                      920    -0.268190 2.212842e-07 8.384726e-09   0.5431   0.0068      489
features.12                      570    -0.266082 8.217919e-08 1.579280e-06   0.7895   0.2573      201
features.16                      936    -0.264151 2.813982e-07 2.693416e-07   0.7358   0.2075      329
features.15                      533    -0.262755 5.740544e-07 3.331634e-06   0.8827   0.3571      329
features.8                       286    -0.262376 7.778432e-08 8.051655e-07   0.5347   0.0099      137
features.3                        38    -0.260870 2.857335e-08 4.208931e-06   0.5362   0.0145       57
features.15                      619    -0.257653 4.305374e-07 3.181805e-06   0.8520   0.3367      329
features.9                         4    -0.257576 7.285897e-08 6.302312e-07   0.5556   0.0404      137
features.8                       340    -0.257426 9.915373e-08 1.663065e-06   0.5842   0.0693      137
features.16                      367    -0.253145 4.793222e-07 5.160492e-07   0.8333   0.3270      329
features.17                      612    -0.252961 2.478745e-07 2.061898e-08   0.5888   0.0829      489
features.15                      470    -0.252551 8.025750e-07 4.497463e-06   0.9235   0.4184      329
features.17                      271    -0.250423 2.880498e-07 2.815091e-08   0.6413   0.1404      489
features.12                       42    -0.245614 2.295594e-07 3.747745e-06   0.9591   0.4678      201
features.16                       12    -0.243711 1.873870e-07 1.954502e-07   0.6384   0.1509      329
