================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 44
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-30 19:10:45
  remove_target  : 14879
  accum_removed  : 14891
  selected_channels : 67
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 993294
  model_sparsity : 54.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        6    18.8%
  features.2                 96          4       75    78.1%
  features.3                144          0       79    54.9%
  features.4                144          2       64    44.4%
  features.5                192          4      151    78.6%
  features.6                192          0      127    66.1%
  features.7                192          2      134    69.8%
  features.8                384          4      299    77.9%
  features.9                384          4      299    77.9%
  features.10               384          3      307    79.9%
  features.11               384          6      300    78.1%
  features.12               576          4      423    73.4%
  features.13               576          3      395    68.6%
  features.14               576         11      465    80.7%
  features.15               960          4      801    83.4%
  features.16               960         12      676    70.4%
  features.17               960          4      417    43.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 26          1       3.8%
  features.2                 25          1       4.0%
  features.3                 65          1       1.5%
  features.4                 82          1       1.2%
  features.5                 45          1       2.2%
  features.6                 65          1       1.5%
  features.7                 60          1       1.7%
  features.8                 89          1       1.1%
  features.9                 89          1       1.1%
  features.10                80          1       1.2%
  features.11                90          1       1.1%
  features.12               157          1       0.6%
  features.13               184          1       0.5%
  features.14               122          1       0.8%
  features.15               163          1       0.6%
  features.16               296          2       0.7%
  features.17               547          3       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 6채널 제거
  features.12: 4채널 제거
  features.13: 3채널 제거
  features.14: 11채널 제거
  features.15: 4채널 제거
  features.16: 12채널 제거
  features.17: 4채널 제거
  features.2: 4채널 제거
  features.4: 2채널 제거
  features.5: 4채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                       31    -0.318182 3.343441e-06 2.310403e-06   0.8760   0.2397      265
features.10                      232    -0.291139 7.971482e-07 2.497619e-06   0.9747   0.3924      137
features.5                       117    -0.284091 8.084911e-08 2.043029e-05   0.6591   0.0909       73
features.2                         9    -0.270833 1.813026e-07 9.540749e-05   0.5833   0.0417       49
features.17                      206    -0.270146 5.496900e-07 5.692040e-08   0.8150   0.2747      489
features.11                      181    -0.269663 1.116528e-06 1.644656e-05   0.8427   0.3034      169
features.13                       80    -0.267760 4.188699e-08 1.098336e-07   0.6393   0.1038      201
features.15                      157    -0.262346 5.360212e-07 6.302340e-06   0.9074   0.3827      329
features.5                        97    -0.261364 3.255367e-07 8.029676e-05   0.8636   0.3409       73
features.16                      682    -0.257627 1.534866e-07 2.007625e-07   0.6644   0.1492      329
features.16                      868    -0.257627 1.697916e-07 2.511765e-07   0.6915   0.1763      329
features.2                        13    -0.250000 3.342379e-07 6.785543e-04   0.8333   0.3333       49
features.14                      127    -0.247934 2.545386e-06 3.014572e-06   0.8099   0.3140      265
features.14                      284    -0.247934 2.144267e-06 2.277586e-06   0.7273   0.2314      265
features.14                      297    -0.247934 3.613072e-06 4.329326e-06   0.9008   0.4050      265
features.7                        70    -0.245763 3.813083e-06 9.179385e-06   0.6610   0.1695      105
features.8                        51    -0.244318 2.786335e-07 7.116175e-06   0.8864   0.3977      137
features.17                      170    -0.243590 6.195147e-07 7.692366e-08   0.8462   0.3590      489
features.11                      316    -0.241573 2.574989e-07 2.572017e-06   0.5056   0.0225      169
features.14                      488    -0.239669 3.240685e-06 4.140875e-06   0.8678   0.3884      265
features.14                      315    -0.239669 2.273035e-06 2.572344e-06   0.7603   0.2810      265
features.5                       132    -0.238636 1.785692e-07 5.907714e-05   0.7727   0.2955       73
features.8                        54    -0.238636 1.657317e-07 5.664674e-06   0.7841   0.3068      137
features.9                       281    -0.238636 1.078547e-07 2.041713e-06   0.6591   0.1818      137
features.15                      947    -0.237654 2.823579e-07 3.237331e-06   0.6852   0.2099      329
features.16                      498    -0.237288 5.638167e-07 8.603142e-07   0.8746   0.4000      329
features.16                      240    -0.235593 2.048444e-07 3.570738e-07   0.7220   0.2508      329
features.15                      764    -0.234568 1.448704e-07 3.839667e-07   0.5000   0.0309      329
features.12                      451    -0.233974 7.920922e-08 1.732277e-06   0.7949   0.3269      201
features.16                      812    -0.230508 2.731620e-07 5.192643e-07   0.7729   0.3119      329
features.2                         7    -0.229167 1.191968e-07 2.830517e-05   0.4583   0.0000       49
features.10                      241    -0.227848 4.893612e-08 3.400097e-07   0.5190   0.0633      137
features.9                       303    -0.227273 6.338228e-07 5.211826e-06   0.9545   0.5000      137
features.9                        79    -0.227273 2.676716e-07 3.556478e-06   0.7955   0.3409      137
features.9                       126    -0.227273 9.236387e-08 1.855846e-06   0.6136   0.1591      137
features.14                       66    -0.227273 1.787708e-06 1.931565e-06   0.6694   0.2149      265
features.11                      146    -0.224719 1.819105e-06 4.271205e-05   0.9438   0.4944      169
features.16                       22    -0.222034 1.322863e-07 2.533536e-07   0.6237   0.1797      329
features.16                      908    -0.220339 2.236552e-07 4.894861e-07   0.7458   0.3051      329
features.17                      921    -0.219780 2.089784e-07 1.395918e-08   0.4927   0.0531      489
features.11                       10    -0.219101 1.042709e-06 2.062642e-05   0.8202   0.3820      169
features.15                      141    -0.216049 2.885565e-07 4.049095e-06   0.6914   0.2593      329
features.4                        73    -0.216049 3.521509e-06 2.092321e-05   0.8395   0.4074       65
features.5                        52    -0.215909 8.033428e-08 4.584435e-05   0.6364   0.2045       73
features.16                      317    -0.215254 1.630680e-06 1.335303e-06   0.9627   0.5322      329
features.16                       24    -0.215254 1.738002e-07 3.724712e-07   0.6983   0.2678      329
features.10                       83    -0.215190 4.037047e-07 2.889542e-06   0.8987   0.4684      137
features.11                      379    -0.213483 2.991437e-07 7.123913e-06   0.5506   0.1236      169
features.12                      179    -0.211538 4.448690e-08 8.187368e-07   0.6154   0.1923      201
features.14                       98    -0.210744 4.088410e-06 5.153449e-06   0.9256   0.5041      265
features.16                      795    -0.210169 1.150044e-07 2.330990e-07   0.5831   0.1627      329
features.4                       109    -0.209877 7.901790e-06 3.229011e-05   0.9630   0.5432       65
features.2                        65    -0.208333 2.820096e-07 6.805418e-04   0.7917   0.3750       49
features.12                       12    -0.208333 3.434360e-07 5.481540e-06   0.9679   0.5513      201
features.11                      243    -0.207865 3.694944e-07 8.205878e-06   0.5843   0.1685      169
features.13                      436    -0.207650 1.141112e-07 2.202110e-06   0.8689   0.4536      201
features.13                      406    -0.207650 1.053776e-07 2.191839e-06   0.8579   0.4426      201
features.17                      657    -0.206960 1.859662e-07 1.333976e-08   0.4560   0.0421      489
features.14                       36    -0.206612 2.736348e-06 4.425974e-06   0.8347   0.4215      265
features.14                      460    -0.206612 3.380162e-06 5.037435e-06   0.8843   0.4711      265
features.14                      410    -0.206612 1.436185e-06 1.268393e-06   0.5950   0.1818      265
features.8                        59    -0.204545 2.220870e-07 7.354442e-06   0.8409   0.4318      137
features.8                       136    -0.204545 9.033598e-08 4.140199e-06   0.6136   0.2045      137
features.7                       138    -0.203390 9.519627e-06 2.076952e-05   0.8814   0.4746      105
features.16                      853    -0.203390 1.296210e-06 1.358285e-06   0.9458   0.5390      329
features.12                      169    -0.201923 6.653882e-08 1.811423e-06   0.7436   0.3397      201
features.16                      555    -0.201695 6.127912e-07 1.132219e-06   0.8814   0.4780      329
