================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 3
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 10:19:19
  remove_target  : 42283
  accum_removed  : 42498
  selected_channels : 186
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2061856
  model_sparsity : 6.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2        7    21.9%
  features.2                 96         12       18    18.8%
  features.3                144          1        6     4.2%
  features.4                144          3        4     2.8%
  features.5                192          3        6     3.1%
  features.6                192          6       22    11.5%
  features.7                192          0        1     0.5%
  features.8                384         13       33     8.6%
  features.9                384         13       40    10.4%
  features.10               384         11       17     4.4%
  features.11               384         12       39    10.2%
  features.12               576         11       42     7.3%
  features.13               576         16       37     6.4%
  features.14               576          5       33     5.7%
  features.15               960         23      114    11.9%
  features.16               960         46       97    10.1%
  features.17               960          9       28     2.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 90          1       1.1%
  features.3                139          1       0.7%
  features.4                143          1       0.7%
  features.5                189          1       0.5%
  features.6                176          1       0.6%
  features.7                191          1       0.5%
  features.8                364          2       0.5%
  features.9                357          2       0.6%
  features.10               378          2       0.5%
  features.11               357          2       0.6%
  features.12               545          3       0.6%
  features.13               555          3       0.5%
  features.14               548          3       0.5%
  features.15               869          5       0.6%
  features.16               909          5       0.6%
  features.17               941          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 11채널 제거
  features.11: 12채널 제거
  features.12: 11채널 제거
  features.13: 16채널 제거
  features.14: 5채널 제거
  features.15: 23채널 제거
  features.16: 46채널 제거
  features.17: 9채널 제거
  features.2: 12채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 3채널 제거
  features.6: 6채널 제거
  features.8: 13채널 제거
  features.9: 13채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      861    -0.299132 2.184620e-06 5.149239e-08   1.0000   0.0012      329
features.8                        98    -0.298250 1.187949e-06 1.877822e-07   1.0000   0.0025      137
features.12                      218    -0.297922 1.158324e-06 2.219055e-07   1.0000   0.0030      201
features.13                      227    -0.297842 7.579899e-07 1.762347e-07   1.0000   0.0031      201
features.10                      263    -0.296268 9.676382e-07 1.351029e-07   1.0000   0.0053      137
features.2                        64    -0.294905 1.668712e-06 1.140824e-05   1.0000   0.0073       49
features.6                        52    -0.294122 4.086805e-07 8.821677e-06   1.0000   0.0084       73
features.16                      132    -0.290980 1.524915e-06 2.947131e-07   1.0000   0.0129      329
features.9                        37    -0.286761 9.456567e-07 1.201011e-07   0.9637   0.0034      137
features.10                      106    -0.279742 9.206226e-07 2.056946e-07   0.9514   0.0081      137
features.10                      366    -0.278896 9.213810e-07 2.448262e-07   0.9522   0.0097      137
features.8                       383    -0.277987 1.112185e-06 3.090079e-07   0.9362   0.0041      137
features.9                       371    -0.276588 9.137866e-07 1.418914e-07   0.9313   0.0040      137
features.1                         8    -0.269072 1.075413e-06 1.290413e-02   1.0000   0.0442       25
features.13                       88    -0.267526 6.837316e-07 2.518845e-07   0.9020   0.0044      201
features.10                      153    -0.263644 8.595937e-07 1.034787e-07   0.8883   0.0041      137
features.16                      441    -0.263194 1.352536e-06 9.452116e-08   0.8870   0.0041      329
features.9                        91    -0.260955 9.812252e-07 1.983486e-06   1.0000   0.0558      137
features.12                      399    -0.254915 9.977256e-07 3.727508e-07   0.8614   0.0050      201
features.10                      306    -0.254591 8.578194e-07 4.113604e-07   0.8865   0.0162      137
features.16                      291    -0.252530 1.437590e-06 9.896910e-07   0.9427   0.0433      329
features.16                      191    -0.251344 1.286849e-06 5.948370e-08   0.8439   0.0026      329
features.2                         0    -0.248131 1.398807e-06 7.491085e-06   0.8383   0.0048       49
features.9                       232    -0.245527 8.107818e-07 1.199361e-07   0.8263   0.0034      137
features.15                       67    -0.244564 1.800192e-06 1.568982e-07   0.8240   0.0038      329
features.9                       256    -0.244257 8.250391e-07 4.059018e-07   0.8408   0.0114      137
features.5                       189    -0.242938 6.226169e-07 6.884841e-06   0.8692   0.0255       73
