================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 10:36:32
  remove_target  : 37238
  accum_removed  : 37444
  selected_channels : 148
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1865118
  model_sparsity : 14.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       19    59.4%
  features.2                 96          0       35    36.5%
  features.3                144          0       17    11.8%
  features.4                144          6       16    11.1%
  features.5                192          0       16     8.3%
  features.6                192          8       60    31.2%
  features.7                192          0        2     1.0%
  features.8                384          7       60    15.6%
  features.9                384          9       84    21.9%
  features.10               384          8       80    20.8%
  features.11               384         21      101    26.3%
  features.12               576          4      122    21.2%
  features.13               576         14      109    18.9%
  features.14               576         21       86    14.9%
  features.15               960          6      230    24.0%
  features.16               960         19      239    24.9%
  features.17               960         25       94     9.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 61          1       1.6%
  features.3                127          1       0.8%
  features.4                134          1       0.7%
  features.5                176          1       0.6%
  features.6                140          1       0.7%
  features.7                190          1       0.5%
  features.8                331          2       0.6%
  features.9                309          2       0.6%
  features.10               312          2       0.6%
  features.11               304          2       0.7%
  features.12               458          3       0.7%
  features.13               481          3       0.6%
  features.14               511          3       0.6%
  features.15               736          4       0.5%
  features.16               740          4       0.5%
  features.17               891          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 21채널 제거
  features.12: 4채널 제거
  features.13: 14채널 제거
  features.14: 21채널 제거
  features.15: 6채널 제거
  features.16: 19채널 제거
  features.17: 25채널 제거
  features.4: 6채널 제거
  features.6: 8채널 제거
  features.8: 7채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                       132    -0.298542 1.493838e-07 6.924133e-06   1.0000   0.0021       73
features.13                      194    -0.296712 5.166001e-07 2.376276e-07   1.0000   0.0047      201
features.9                       177    -0.292307 5.582266e-07 3.669846e-07   1.0000   0.0110      137
features.10                      362    -0.291877 4.751321e-07 1.653979e-07   0.9981   0.0108      137
features.17                      460    -0.284276 1.394123e-06 8.386089e-08   1.0000   0.0225      489
features.10                      331    -0.282584 4.760462e-07 3.816806e-07   1.0000   0.0249      137
features.12                      541    -0.268031 9.269932e-07 2.476738e-06   1.0000   0.0457      201
features.13                      161    -0.263484 4.613802e-07 3.215326e-07   0.8931   0.0064      201
features.13                      286    -0.261026 4.648272e-07 6.438195e-07   0.8998   0.0127      201
features.13                      417    -0.257204 4.590304e-07 6.767613e-07   0.8886   0.0134      201
features.14                       86    -0.246052 2.721496e-06 1.496747e-06   1.0000   0.0771      265
features.6                        72    -0.239569 1.196615e-07 3.517441e-06   0.8010   0.0011       73
features.11                       97    -0.237052 8.284625e-07 7.635698e-07   0.8130   0.0098      169
features.9                       231    -0.234242 5.272594e-07 2.343218e-06   0.9445   0.0702      137
features.10                      140    -0.231505 4.097875e-07 5.860244e-07   0.8608   0.0382      137
features.16                      488    -0.227151 1.090127e-06 1.879654e-07   0.7612   0.0017      329
features.8                       377    -0.227134 5.872878e-07 6.981517e-07   0.7872   0.0129      137
features.8                        35    -0.226943 5.796659e-07 4.755873e-07   0.7769   0.0088      137
features.11                      248    -0.225103 7.931811e-07 9.378122e-07   0.7784   0.0120      169
features.9                       274    -0.220886 4.179546e-07 1.779042e-07   0.7487   0.0053      137
features.11                      129    -0.220228 8.661371e-07 3.876568e-06   0.8500   0.0497      169
features.4                        51    -0.219320 1.540071e-06 1.651527e-06   0.7587   0.0118       65
features.13                      526    -0.217076 3.869843e-07 5.531857e-07   0.7491   0.0109      201
features.14                      461    -0.216867 2.058911e-06 2.800402e-07   0.7565   0.0144      265
features.17                      436    -0.214976 1.101510e-06 1.176405e-07   0.7901   0.0315      489
features.17                      423    -0.213647 1.292424e-06 3.438414e-07   0.9271   0.0921      489
features.17                      747    -0.212867 1.241347e-06 2.893789e-07   0.8904   0.0775      489
features.17                      474    -0.209462 1.079468e-06 1.217490e-07   0.7743   0.0326      489
features.11                      222    -0.209382 8.473062e-07 4.467874e-06   0.8315   0.0572      169
features.17                      307    -0.206962 1.203441e-06 2.773675e-07   0.8632   0.0743      489
features.13                      414    -0.206563 3.589326e-07 1.355751e-07   0.6948   0.0027      201
features.14                      162    -0.204208 1.929928e-06 2.367944e-07   0.7091   0.0122      265
features.11                      324    -0.202798 7.080957e-07 6.317310e-07   0.6949   0.0081      169
features.17                      364    -0.201004 9.762928e-07 4.844532e-08   0.7003   0.0130      489
features.17                      182    -0.200414 1.187192e-06 2.936448e-07   0.8516   0.0787      489
features.16                       11    -0.195884 9.379097e-07 9.210194e-08   0.6549   0.0009      329
features.16                      128    -0.194505 9.487572e-07 6.562253e-07   0.6625   0.0061      329
features.11                      171    -0.194154 1.019021e-06 1.180354e-05   1.0000   0.1512      169
features.17                      230    -0.193040 9.341334e-07 4.253737e-08   0.6701   0.0114      489
features.6                       117    -0.192749 9.687793e-08 8.584919e-06   0.6485   0.0026       73
features.8                       378    -0.192155 4.933624e-07 4.822227e-07   0.6613   0.0089      137
features.11                      382    -0.192013 7.182556e-07 2.168086e-06   0.7048   0.0278      169
features.16                      514    -0.191004 9.238682e-07 3.916626e-07   0.6451   0.0036      329
features.11                      291    -0.190404 7.515764e-07 3.441353e-06   0.7375   0.0441      169
features.6                       183    -0.189630 9.461451e-08 1.797391e-06   0.6334   0.0005       73
features.11                       66    -0.187664 8.067274e-07 5.557567e-06   0.7917   0.0712      169
features.15                      820    -0.187185 2.000918e-06 6.570655e-06   1.0000   0.1612      329
features.11                      351    -0.187154 6.927784e-07 1.873466e-06   0.6798   0.0240      169
features.11                      107    -0.186339 1.018177e-06 1.264738e-05   0.9992   0.1620      169
features.12                      272    -0.184918 5.792776e-07 1.976603e-07   0.6249   0.0036      201
features.11                      140    -0.184416 6.338552e-07 2.442692e-07   0.6220   0.0031      169
features.16                      732    -0.184021 8.816398e-07 1.037792e-07   0.6156   0.0010      329
features.14                      439    -0.183570 1.886223e-06 6.757070e-07   0.6931   0.0348      265
features.17                      455    -0.183255 8.602710e-07 9.949659e-09   0.6171   0.0027      489
features.17                      635    -0.182824 9.343204e-07 9.723809e-08   0.6702   0.0260      489
features.16                      752    -0.181330 8.753733e-07 3.166101e-07   0.6113   0.0029      329
features.16                       51    -0.181198 8.664913e-07 4.959944e-08   0.6051   0.0005      329
features.6                       122    -0.181131 9.073376e-08 5.156127e-06   0.6074   0.0015       73
features.14                      364    -0.181028 1.717441e-06 2.300409e-07   0.6311   0.0118      265
features.17                      249    -0.179866 8.591863e-07 2.678036e-08   0.6163   0.0072      489
features.13                      481    -0.179120 3.154215e-07 2.927956e-07   0.6106   0.0058      201
features.13                      561    -0.178479 3.122684e-07 2.068067e-07   0.6045   0.0041      201
features.15                      591    -0.177973 1.209913e-06 1.998097e-07   0.6047   0.0049      329
features.6                       185    -0.176942 8.827897e-08 1.633344e-06   0.5910   0.0005       73
features.11                      304    -0.176716 6.075999e-07 2.409934e-07   0.5963   0.0031      169
features.13                      330    -0.175290 3.385760e-07 1.541537e-06   0.6554   0.0305      201
features.9                       150    -0.175249 3.374592e-07 2.913266e-07   0.6045   0.0087      137
features.16                      532    -0.174717 8.405979e-07 2.128969e-07   0.5870   0.0020      329
features.8                       217    -0.174619 4.390407e-07 1.486159e-07   0.5885   0.0027      137
features.13                      263    -0.174445 3.020427e-07 6.919123e-08   0.5847   0.0014      201
features.8                       159    -0.174387 4.404682e-07 2.109996e-07   0.5904   0.0039      137
features.11                      144    -0.174363 6.218575e-07 9.715234e-07   0.6102   0.0124      169
features.10                      351    -0.173826 3.073661e-07 4.355574e-07   0.6457   0.0284      137
features.9                       136    -0.173029 3.291251e-07 1.835895e-07   0.5896   0.0055      137
features.14                      548    -0.172826 1.685793e-06 3.608140e-07   0.6194   0.0186      265
features.14                      323    -0.172229 1.794155e-06 7.087774e-07   0.6593   0.0365      265
features.16                       41    -0.171263 8.202674e-07 8.841638e-08   0.5728   0.0008      329
features.16                      724    -0.170944 8.183941e-07 7.705736e-08   0.5715   0.0007      329
features.17                      623    -0.170759 8.267435e-07 3.811842e-08   0.5930   0.0102      489
features.13                      548    -0.170673 2.983971e-07 1.887783e-07   0.5776   0.0037      201
features.16                      393    -0.170623 9.181610e-07 3.355741e-06   0.6411   0.0310      329
features.4                        75    -0.170407 1.608619e-06 1.340934e-05   0.7925   0.0962       65
features.9                       291    -0.170392 3.283234e-07 2.888361e-07   0.5882   0.0086      137
features.9                       154    -0.170246 3.704463e-07 1.375771e-06   0.6636   0.0412      137
features.14                       63    -0.169359 1.853417e-06 9.696515e-07   0.6810   0.0499      265
