================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 9
  alpha      : 0.7000
  norm       : max
  timestamp  : 2026-09-09 10:40:00
  remove_target  : 36302
  accum_removed  : 36526
  selected_channels : 134
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1828592
  model_sparsity : 16.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       19    59.4%
  features.2                 96          0       35    36.5%
  features.3                144          0       17    11.8%
  features.4                144          1       17    11.8%
  features.5                192          0       16     8.3%
  features.6                192          7       67    34.9%
  features.7                192          0        2     1.0%
  features.8                384          0       60    15.6%
  features.9                384         12       96    25.0%
  features.10               384         10       90    23.4%
  features.11               384          6      107    27.9%
  features.12               576         17      139    24.1%
  features.13               576         16      125    21.7%
  features.14               576          9       95    16.5%
  features.15               960         13      243    25.3%
  features.16               960         15      254    26.5%
  features.17               960         28      122    12.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 61          1       1.6%
  features.3                127          1       0.8%
  features.4                128          1       0.8%
  features.5                176          1       0.6%
  features.6                132          1       0.8%
  features.7                190          1       0.5%
  features.8                324          2       0.6%
  features.9                300          2       0.7%
  features.10               304          2       0.7%
  features.11               283          2       0.7%
  features.12               454          3       0.7%
  features.13               467          3       0.6%
  features.14               490          3       0.6%
  features.15               730          4       0.5%
  features.16               721          4       0.6%
  features.17               866          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 10채널 제거
  features.11: 6채널 제거
  features.12: 17채널 제거
  features.13: 16채널 제거
  features.14: 9채널 제거
  features.15: 13채널 제거
  features.16: 15채널 제거
  features.17: 28채널 제거
  features.4: 1채널 제거
  features.6: 7채널 제거
  features.9: 12채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      456    -0.299224 4.250351e-07 6.099113e-08   1.0000   0.0011      201
features.6                       105    -0.298526 1.047999e-07 6.600500e-06   1.0000   0.0021       73
features.9                       176    -0.296977 4.938157e-07 1.829639e-07   1.0000   0.0043      137
features.13                      350    -0.296345 3.475711e-07 2.781572e-07   1.0000   0.0052      201
features.15                      686    -0.289545 1.125105e-06 6.487503e-07   1.0000   0.0149      329
features.13                      171    -0.287734 3.380268e-07 3.065543e-07   0.9725   0.0058      201
features.9                       171    -0.271987 4.517555e-07 1.489033e-07   0.9148   0.0035      137
features.6                       100    -0.269572 9.465833e-08 6.255230e-06   0.9032   0.0020       73
features.17                      416    -0.269561 1.003626e-06 6.735542e-08   0.9493   0.0217      489
features.12                      188    -0.265909 3.865981e-07 5.477269e-07   0.9096   0.0099      201
features.16                      440    -0.265759 1.155648e-06 6.179942e-06   1.0000   0.0489      329
features.16                      477    -0.260379 1.007293e-06 2.000722e-07   0.8716   0.0016      329
features.16                      729    -0.257390 9.991046e-07 3.559293e-07   0.8645   0.0028      329
features.14                       94    -0.256072 2.089088e-06 3.268195e-07   0.8866   0.0142      265
features.12                      270    -0.250122 3.565805e-07 1.227994e-07   0.8389   0.0022      201
features.14                      128    -0.247196 2.356262e-06 1.741210e-06   1.0000   0.0754      265
features.13                      107    -0.245448 2.888897e-07 2.969246e-07   0.8312   0.0056      201
features.12                      141    -0.243695 3.484705e-07 1.780974e-07   0.8199   0.0032      201
features.10                       35    -0.243585 3.380706e-07 1.707893e-07   0.8413   0.0126      137
features.6                        44    -0.242179 8.471286e-08 1.423690e-06   0.8083   0.0005       73
features.10                      284    -0.241072 3.588936e-07 5.206576e-07   0.8932   0.0384      137
features.9                       185    -0.235170 3.936395e-07 2.403401e-07   0.7971   0.0057      137
features.12                      159    -0.232169 3.373513e-07 4.675433e-07   0.7937   0.0085      201
features.15                      923    -0.229639 8.661771e-07 8.192282e-08   0.7699   0.0019      329
features.17                        3    -0.227925 9.082343e-07 1.318217e-07   0.8591   0.0426      489
features.11                      268    -0.227326 8.734597e-07 9.304675e-06   1.0000   0.1038      169
features.17                      545    -0.225301 8.393117e-07 5.689127e-08   0.7939   0.0184      489
features.12                      144    -0.222265 3.261318e-07 6.236943e-07   0.7673   0.0113      201
features.15                      364    -0.219281 8.384661e-07 2.661510e-07   0.7452   0.0061      329
features.17                      519    -0.214490 8.046122e-07 6.116164e-08   0.7610   0.0197      489
features.12                      568    -0.214386 3.056324e-07 1.051185e-07   0.7191   0.0019      201
features.10                      335    -0.213745 3.214616e-07 5.086659e-07   0.8000   0.0375      137
features.12                      265    -0.212796 3.078827e-07 3.552570e-07   0.7244   0.0064      201
features.11                      341    -0.211688 6.383752e-07 9.690715e-07   0.7309   0.0108      169
features.16                      385    -0.211190 8.271579e-07 6.380715e-07   0.7158   0.0051      329
features.10                       10    -0.209312 2.890230e-07 1.253504e-07   0.7193   0.0092      137
features.17                      466    -0.208385 8.539312e-07 1.501032e-07   0.8077   0.0485      489
features.14                      139    -0.207165 1.669658e-06 1.786011e-07   0.7086   0.0077      265
features.6                        90    -0.206642 7.248659e-08 3.839371e-06   0.6917   0.0012       73
features.16                      775    -0.205389 7.943827e-07 1.494058e-07   0.6874   0.0012      329
features.16                       42    -0.205264 7.935392e-07 1.325394e-07   0.6867   0.0010      329
features.12                      464    -0.204476 3.560234e-07 3.683816e-06   0.8376   0.0669      201
features.15                       13    -0.204350 7.724120e-07 9.971161e-08   0.6865   0.0023      329
features.15                      423    -0.203673 8.007000e-07 6.097629e-07   0.7117   0.0140      329
features.13                      305    -0.203383 2.484144e-07 8.396526e-07   0.7147   0.0158      201
features.12                      497    -0.202829 2.891433e-07 9.872629e-08   0.6803   0.0018      201
features.10                      349    -0.202284 2.837966e-07 1.859025e-07   0.7063   0.0137      137
features.13                      426    -0.202068 2.820225e-07 3.147605e-06   0.8114   0.0591      201
features.15                      736    -0.202034 7.629789e-07 8.736602e-08   0.6781   0.0020      329
features.15                      358    -0.201396 7.772363e-07 3.628204e-07   0.6908   0.0084      329
features.12                      447    -0.200908 2.855427e-07 4.992696e-08   0.6718   0.0009      201
features.10                       96    -0.200158 2.854231e-07 2.506215e-07   0.7103   0.0185      137
features.17                      301    -0.199024 7.490605e-07 5.984882e-08   0.7085   0.0193      489
features.11                       80    -0.198928 6.292491e-07 2.201507e-06   0.7204   0.0246      169
features.13                      573    -0.198716 2.323849e-07 1.417420e-07   0.6686   0.0027      201
features.11                      321    -0.197378 6.038365e-07 1.282515e-06   0.6913   0.0143      169
features.12                      350    -0.197143 2.819912e-07 1.489747e-07   0.6635   0.0027      201
features.17                      947    -0.196505 7.374223e-07 5.638018e-08   0.6975   0.0182      489
features.9                       321    -0.196326 3.271410e-07 1.462440e-07   0.6625   0.0035      137
features.15                      921    -0.195192 7.383402e-07 1.042511e-07   0.6562   0.0024      329
features.16                      275    -0.194830 7.524399e-07 9.000124e-08   0.6511   0.0007      329
features.10                      189    -0.194676 2.770040e-07 2.350512e-07   0.6894   0.0173      137
features.13                      156    -0.194313 2.290268e-07 2.562516e-07   0.6589   0.0048      201
features.13                      238    -0.194247 2.278616e-07 1.847261e-07   0.6556   0.0035      201
features.9                        66    -0.194213 3.251346e-07 2.003579e-07   0.6584   0.0047      137
features.17                      934    -0.194211 7.546707e-07 8.818905e-08   0.7138   0.0285      489
features.14                      157    -0.194200 1.652899e-06 5.357627e-07   0.7015   0.0232      265
features.6                       189    -0.194084 6.812472e-08 4.160413e-06   0.6500   0.0013       73
features.13                      270    -0.193181 2.259630e-07 1.411827e-07   0.6501   0.0026      201
features.16                      609    -0.192272 7.438961e-07 1.514812e-07   0.6437   0.0012      329
features.9                       360    -0.190864 3.296317e-07 5.684324e-07   0.6675   0.0134      137
features.9                       132    -0.190594 3.274477e-07 5.044890e-07   0.6631   0.0119      137
features.17                      860    -0.190471 8.378632e-07 2.091976e-07   0.7925   0.0675      489
features.6                       146    -0.190286 6.682109e-08 4.461183e-06   0.6376   0.0014       73
features.12                       74    -0.189691 3.114093e-07 2.369273e-06   0.7327   0.0430      201
features.16                      938    -0.189529 7.341005e-07 1.875002e-07   0.6352   0.0015      329
features.10                      144    -0.189499 2.670599e-07 1.915145e-07   0.6646   0.0141      137
features.17                      284    -0.189358 6.909962e-07 2.971320e-08   0.6536   0.0096      489
features.17                      206    -0.189160 7.624008e-07 1.202477e-07   0.7211   0.0388      489
features.13                      240    -0.189134 2.618328e-07 2.805678e-06   0.7533   0.0527      201
features.16                      812    -0.188838 7.293749e-07 9.089661e-08   0.6311   0.0007      329
features.13                      321    -0.188133 2.207361e-07 1.819910e-07   0.6351   0.0034      201
features.9                       257    -0.187388 3.103419e-07 6.955443e-08   0.6285   0.0016      137
features.15                      680    -0.186977 7.537783e-07 8.694754e-07   0.6700   0.0200      329
features.11                       98    -0.186713 6.115063e-07 2.985220e-06   0.7001   0.0333      169
features.17                      712    -0.185226 6.843646e-07 3.967098e-08   0.6473   0.0128      489
features.13                      444    -0.185152 2.193988e-07 3.210372e-07   0.6312   0.0060      201
features.13                      124    -0.184605 2.839338e-07 4.602390e-06   0.8169   0.0864      201
features.10                      345    -0.184447 2.524691e-07 7.835376e-08   0.6283   0.0058      137
features.17                      914    -0.184260 9.931614e-07 4.316796e-07   0.9394   0.1394      489
features.17                      917    -0.183434 6.791860e-07 4.109818e-08   0.6424   0.0133      489
